,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,予想タイム,最初コーナー,最終コーナー,コーナー平均,位置取り,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,位置取り平均,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,着差平均_condision,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均
187,187,2011/09/25,4中山6,晴,11.0,産経賞オールカマー(G2),,9.0,8.0,9,15.9,5.0,9,田中勝春,58.0,芝2200,良,-17.0,2:12.6,1.4,98.0,1-1-1-1,36.2-35.5,36.9,506(0),,,アーネストリー,,13,,795.7966666666667,0.8814285714285715,102.66666666666667,0,,,36.153333333333336,0.6298076923076923,16.591251885369534,16.45504530621,132.6,120.99681274900398,1.0,1.0,1.0,0.1111111111111111,36.2,35.5,0.6999999999999957,1.3999999999999986,0.7000000000000028,35.93,35.82666666666667,4.397619047619048,1.0942857142857136,0.5514285714285717,-0.5428571428571418,-8.0,-8.0,0.0,0.02144629920264809,4.085714285714285,4.571428571428571,-2.1714285714285713,-1.6857142857142857,0.4857142857142857,7.336436632939441,1.7261670770171054,9,1.4,0.6783333333333333,35.97,18.0,789.0,101.0
188,188,2011/09/25,4中山6,晴,11,産経賞オールカマー(G2),,9,7,7,1.4,1.0,1,佐藤哲三,59.0,芝2200,良,-17,2:11.2,-0.2,110,3-3-3-2,36.2-35.5,34.9,522(-12),,,(ゲシュタルト),6465.8,14,,3078.364705882352,0.20952380952380953,103.6470588235294,0,,,35.411764705882355,0.8916666666666667,16.76829268292683,16.591475888689548,131.2,120.12173913043475,3.0,2.0,2.75,0.3333333333333333,36.2,35.5,-1.3000000000000043,-0.6000000000000014,0.7000000000000028,35.37647058823529,35.505882352941164,3.0,0.552380952380953,-0.05238095238095143,-0.6047619047619044,1.0,2.0,1.0,0.015241860647151818,2.8095238095238093,3.0476190476190474,0.2857142857142857,0.5238095238095238,0.23809523809523808,9.611460101839688,0.9163460496147879,6,-0.1,0.1823529411764706,35.431372549019606,30.0,519.0,111.0
189,189,2011/10/09,4東京2,晴,11,毎日王冠(G2),,11,3,3,9.6,4.0,6,北村友一,57.0,芝1800,良,-11,1:47.0,0.3,108,9-10-11,36.1-33.6,32.8,516(+2),,出遅れ,ダークシャドウ,,15,,100.0,0.17352941176470588,102.66666666666667,0,,,34.06666666666667,0.7,16.822429906542055,16.903099420184624,107.0,119.30617283950626,9.0,11.0,10.0,0.8181818181818182,36.1,33.6,-3.3000000000000043,-0.8000000000000043,2.5,35.26666666666667,34.6,9.897058823529411,-1.3941176470588241,-0.9117647058823538,0.4823529411764703,5.0,3.0,-2.0,0.042164900295312724,10.0,9.764705882352942,6.823529411764706,6.588235294117647,-0.23529411764705882,13.891999651633585,1.1185997640348244,5,0.3,0.43333333333333335,34.644444444444446,28.0,353.0,111.25
190,190,2011/10/09,4東京2,晴,11,毎日王冠(G2),,11,2,2,7.5,3.0,8,小牧太,58.0,芝1800,良,-11,1:47.2,0.5,104,1-1-1,36.1-33.6,34.1,504(+8),,,ダークシャドウ,,16,,649.5333333333334,0.47105263157894733,101.8,0,,,35.593333333333334,0.6582914572864321,16.791044776119403,16.89711862179731,107.2,119.95999999999998,1.0,1.0,1.0,0.09090909090909091,36.1,33.6,-2.0,0.5,2.5,35.473333333333336,35.093333333333334,2.192982456140351,0.4026315789473689,0.3263157894736853,-0.07631578947368362,-7.0,-7.0,0.0,0.009243049805492698,2.210526315789474,2.1842105263157894,-3.6315789473684212,-3.6578947368421053,-0.02631578947368421,14.348439358744148,1.3049896657113464,6,0.5,0.44000000000000006,35.38666666666666,24.0,667.0,111.25
191,191,2011/10/09,4東京2,晴,11,毎日王冠(G2),,11,8,11,43.7,11.0,11,川田将雅,59.0,芝1800,良,-11.0,1:47.5,0.8,101.0,2-2-2,36.1-33.6,34.3,450(-10),,,ダークシャドウ,,17,,548.1333333333333,0.6,97.66666666666667,0,,,35.11666666666667,0.7894736842105263,16.74418604651163,16.589613526390853,107.5,121.15050167224089,2.0,2.0,2.0,0.18181818181818182,36.1,33.6,-1.8000000000000043,0.6999999999999957,2.5,35.75,35.11666666666667,1.9038461538461537,-0.7000000000000001,0.34615384615384615,1.0461538461538462,-9.0,-9.0,0.0,0.010751927670894121,1.9230769230769231,1.8461538461538463,-1.9230769230769231,-2.0,-0.07692307692307693,12.638820986087563,1.4154576673865116,4,0.8,0.2666666666666667,35.327777777777776,21.0,142.0,93.75
192,192,2011/03/26,2阪神1,晴,11.0,スプリングS(G2),,18.0,3.0,6,4.7,1,1,池添謙一,56.0,芝1800,良,-4.0,1:46.4,-0.1,104.0,11-9,35.0-34.8,34.3,444(-6),,,(ベルシャザール),5570.8,1,,3278.4500000000003,0.17500000000000002,101.5,0,,,33.75,0.9285714285714286,16.917293233082706,16.79422728700722,106.4,118.56666666666659,11.0,9.0,10.0,0.6111111111111112,35.0,34.8,-0.7000000000000028,-0.5,0.20000000000000284,35.15,35.099999999999994,8.472222222222223,-1.9666666666666675,-0.8999999999999998,1.0666666666666675,8.0,10.0,2.0,0.05231104864785421,8.0,9.0,4.833333333333333,5.833333333333333,1.0,14.059639731790964,0.4624689730353895,3,-0.05,0.07500000000000001,34.666666666666664,24.0,68.0,99.25
193,193,2011/03/06,2中山4,晴,11.0,報知杯弥生賞(G2),,11.0,6.0,6,2.7,1,1,岩田康誠,56.0,芝2000,良,-7.0,2:01.0,-0.1,100.0,4-4-6-4,36.3-34.7,34.2,508(+10),,S不利,(プレイ),5482.6,2,,4369.3,-0.039999999999999994,100.0,0,,,33.95,1.0,16.52892561983471,16.750498774964164,121.0,120.70624999999995,4.0,4.0,4.5,0.36363636363636365,36.3,34.7,-2.0999999999999943,-0.5,1.5999999999999943,36.25,34.95,6.4,-1.6399999999999992,-0.6600000000000008,0.9799999999999983,3.0,3.0,0.0,0.0331102947377298,5.6,7.4,3.8,5.6,1.8,13.900439641328694,0.5734883511361736,3,-0.05,-0.175,35.050000000000004,20.0,55.0,98.25
194,194,2011/02/13,1東京6,晴,11.0,共同通信杯(G3),,13.0,7.0,11,2.9,1,9,武豊,57.0,芝1800,良,2.0,1:49.2,0.7,90.0,6-7-9,36.8-34.4,34.5,460(0),,,ナカヤマナイト,,3,,1089.1,0.16249999999999998,87.75,0,,,34.725,0.782608695652174,16.483516483516482,16.46082999000153,109.2,121.95000000000003,6.0,9.0,7.333333333333333,0.46153846153846156,36.8,34.4,-2.299999999999997,0.10000000000000142,2.3999999999999986,36.55,35.074999999999996,6.333333333333333,-1.8249999999999975,-0.34999999999999787,1.4749999999999996,0.0,-3.0,-3.0,0.04304240631163708,6.5,6.75,3.0,3.25,0.25,5.830951894845301,0.30724582991474325,3,0.7,0.16249999999999998,35.45,10.0,31.0,87.75
195,195,2011/03/06,2中山4,晴,11.0,報知杯弥生賞(G2),,11.0,4.0,4,8.7,5,3,佐藤哲三,56.0,芝2000,良,-7.0,2:01.1,0.1,99.0,6-6-8-7,36.3-34.7,34.1,534(+4),,,サダムパテック,1411.8,4,,731.72,0.3833333333333333,85.0,0,,,35.58,0.8181818181818182,16.51527663088357,16.164750003374888,121.1,121.92500000000005,6.0,7.0,6.75,0.5454545454545454,36.3,34.7,-2.1999999999999957,-0.6000000000000014,1.5999999999999943,36.02,35.8,5.708333333333333,1.1666666666666672,-0.0666666666666688,-1.233333333333336,4.0,3.0,-1.0,0.02884188248541777,5.666666666666667,5.666666666666667,2.3333333333333335,2.3333333333333335,0.0,15.526146479078314,1.7741913938582883,3,0.1,0.27999999999999997,35.8,19.0,3.0,87.75
196,196,2011/02/13,1東京6,晴,11.0,共同通信杯(G3),,13.0,2.0,2,4.9,3.0,1,柴田善臣,56.0,芝1800,良,2.0,1:48.5,0.0,97.0,9-9-9,36.8-34.4,33.8,466(+6),,,(ユニバーサルバンク),3948.3,5,,980.4499999999999,0.1357142857142857,85.66666666666667,0,,,33.833333333333336,0.9342105263157895,16.589861751152075,16.55546849856201,108.5,121.5714285714286,9.0,9.0,9.0,0.6923076923076923,36.8,34.4,-3.0,-0.6000000000000014,2.3999999999999986,36.3,34.25,6.357142857142857,-2.400000000000001,-0.35714285714285715,2.0428571428571436,8.0,8.0,0.0,0.03941201425090908,5.0,7.142857142857143,3.2857142857142856,5.428571428571429,2.142857142857143,13.190313680879617,0.604022971417478,3,0.0,0.18333333333333335,34.794444444444444,17.0,50.0,98.0
197,197,2011/02/27,1阪神2,晴,9.0,すみれS(OP),,9.0,6.0,6,12.1,6,1,岩田康誠,56.0,芝2200,良,-7.0,2:15.0,-0.3,88.0,1-1-1-1,36.3-35.4,35.4,476(-4),,,(グレープブランデー),1923.1,6,,874.3666666666667,0.15,76.33333333333333,0,,,34.86666666666667,0.7692307692307693,16.296296296296298,16.077464505535648,135.0,125.29999999999995,1.0,1.0,1.0,0.1111111111111111,36.3,35.4,-0.8999999999999986,0.0,0.8999999999999986,36.833333333333336,34.96666666666667,3.805555555555556,-1.9666666666666661,-0.09999999999999905,1.8666666666666671,0.0,0.0,0.0,0.04078189300411523,3.3333333333333335,4.0,0.3333333333333333,1.0,0.6666666666666666,12.98075498574717,0.8514693182963206,3,-0.15,0.15,35.55555555555555,8.0,-11.0,76.33333333333333
198,198,2011/02/06,2京都4,晴,11.0,きさらぎ賞(G3),,12.0,5.0,6,5.1,3,1,デムーロ,56.0,芝1800,良,0.0,1:47.6,0.0,101.0,5-4,35.3-35.4,33.4,432(-10),,,(リキサンマックス),3942.7,7,,1287.7250000000001,0.075,83.75,0,,,33.95,0.9090909090909091,16.728624535315987,16.34479003353283,107.6,123.14999999999999,5.0,4.0,4.5,0.4166666666666667,35.3,35.4,-1.8999999999999986,-2.0,-0.10000000000000142,36.875,34.675,4.25,-2.924999999999999,-0.7250000000000014,2.1999999999999975,3.0,4.0,1.0,0.03130625606587145,3.75,4.5,1.75,2.5,0.75,14.961283367412035,0.5122499389946282,3,0.0,0.075,35.166666666666664,21.0,15.0,83.75
199,199,2011/04/09,2阪神5,曇,12.0,ニュージーランドT(G2),,18.0,4.0,8,56.3,12,1,幸英明,56.0,芝1600,良,-2.0,1:34.5,-0.2,99.0,3-2,35.9-34.6,34.2,470(+2),,,(エーシンジャッカル),5545.6,8,,540.0,0.425,98.0,0,,,34.9,0.7647058823529411,16.93121693121693,16.91211412413954,94.5,118.525,3.0,2.0,2.5,0.16666666666666666,35.9,34.6,-1.6999999999999957,-0.3999999999999986,1.2999999999999972,35.0,34.8,3.0625,0.3250000000000002,0.20000000000000107,-0.12499999999999911,1.0,2.0,1.0,0.023867767699456845,3.25,2.875,-0.625,-1.0,-0.375,8.265651072621019,0.6674069963413858,3,-0.1,0.6,34.9,19.0,49.0,93.0
200,200,2011/03/06,2中山4,晴,11.0,報知杯弥生賞(G2),,11.0,3.0,3,16.6,7,2,松岡正海,56.0,芝2000,良,-7.0,2:01.1,0.1,98.0,3-3-3-3,36.3-34.7,34.6,494(0),,,サダムパテック,2223.6,9,,675.775,0.2,87.875,0,,,35.550000000000004,0.8829787234042553,16.51527663088357,16.384564484100256,121.1,121.24999999999994,3.0,3.0,3.0,0.2727272727272727,36.3,34.7,-1.6999999999999957,-0.10000000000000142,1.5999999999999943,36.1875,35.45,2.34375,-0.6375000000000011,0.09999999999999787,0.7374999999999989,1.0,1.0,0.0,0.016162906009979508,2.125,2.625,-0.25,0.25,0.5,10.945431427577557,0.7241853660800136,3,0.1,0.2,35.729166666666664,18.0,63.0,97.75
201,201,2011/03/26,2阪神1,晴,11.0,スプリングS(G2),,18.0,7.0,15,15.8,8,3,リスポリ,56.0,芝1800,良,-4.0,1:46.6,0.2,103.0,13-12,35.0-34.8,34.3,476(-6),,,オルフェーヴル,1424.4,10,,647.55,0.08750000000000001,87.5,0,,,34.1,0.9259259259259259,16.885553470919326,16.536089945925205,106.6,114.92361111111106,13.0,12.0,12.5,0.7222222222222222,35.0,34.8,-0.7000000000000028,-0.5,0.20000000000000284,35.95,34.625,6.875,-1.8500000000000014,-0.5250000000000004,1.325000000000001,9.0,10.0,1.0,0.03932773919753087,6.5,7.0,4.5,5.0,0.5,9.264987857520376,0.8749857141690951,3,0.2,0.08750000000000001,34.891666666666666,23.0,30.0,87.5
202,202,2011/03/26,2阪神1,晴,11.0,スプリングS(G2),,18.0,4.0,7,5.5,4,2,安藤勝己,56.0,芝1800,良,-4.0,1:46.5,0.1,103.0,3-5,35.0-34.8,34.6,528(-12),,,オルフェーヴル,2248.8,11,,1114.06,0.16,87.4,0,,,34.60000000000001,0.8888888888888888,16.901408450704224,16.396489933359298,106.5,120.40000000000002,3.0,5.0,4.0,0.16666666666666666,35.0,34.8,-0.3999999999999986,-0.19999999999999574,0.20000000000000284,36.48,34.739999999999995,3.4666666666666663,-1.8799999999999983,-0.13999999999999774,1.7400000000000007,3.0,1.0,-2.0,0.03500273942581635,3.2,4.2,1.0,2.0,1.0,16.921386861996073,0.6593346814950819,3,0.1,0.16,35.27333333333333,23.0,37.0,95.25
