,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,本番年齢
175,175,2009/05/30,3中京3,晴,10,金鯱賞(G2),,18,8,17,2.1,1,1,福永祐一,57.0,芝2000,良,-10.0,1:58.4,-0.2,109.0,7-7-6-4,34.6-34.5,34.0,490(-6),,,(シャドウゲイト),6537.2,2,34789.899999999994,1512.6043478260867,0.3217391304347826,109.56521739130434,-2,-3,-0.13043478260869565,34.75217391304348,0.7689969604863222,6
176,176,2009/06/07,3東京6,晴,11,安田記念(G1),,18,3,6,3.7,2,2,四位洋文,58,芝1600,良,0,1:33.6,0.1,110,10-8,33.4-36.1,35.5,524(+14),,,ウオッカ,4109.2,3,60870.7,3804.41875,0.09375,97.875,0,2,0.13333333333333333,34.7625,0.9022222222222223,4
177,177,2009/06/07,3東京6,晴,11,安田記念(G1),,18,5,9,20.6,4,4,横山典弘,58,芝1600,良,0.0,1:33.8,0.3,107.0,14-14,33.4-36.1,35.5,468(-2),,,ウオッカ,1500.0,4,45740.5,2407.3947368421054,0.42631578947368426,112.94736842105263,0,-2,-0.10526315789473684,34.726315789473674,0.7555555555555555,8
178,178,2009/05/03,3京都4,曇,10,天皇賞(春)(G1),,18,8,16,6.3,2,14,横山典弘,58,芝3200,良,-7,3:17.1,2.7,100,6-6-2-2,36.4-35.1,37.7,486(-2),,,マイネルキッツ,0.0,5,43611.100000000006,2180.5550000000003,0.5250000000000001,96.45,2,18,1.0,36.675,0.7785977859778598,5
179,179,2009/05/03,3京都4,曇,10,天皇賞(春)(G1),,18,2,4,7.5,4,2,蛯名正義,58.0,芝3200,良,-7,3:14.4,0.0,117,8-6-7-4,36.4-35.1,34.8,542(-4),,,マイネルキッツ,5411.6,6,30592.100000000002,1799.5352941176473,0.31176470588235294,103.29411764705883,0,9,0.5625,35.39411764705882,0.7837837837837838,5
180,180,2009/05/03,3京都4,曇,10,天皇賞(春)(G1),,18,1,2,46.5,12,1,松岡正海,58.0,芝3200,良,-7.0,3:14.4,0.0,117.0,10-10-4-4,36.4-35.1,34.9,494(-8),,,(アルナスライン),13590.6,7,32277.2,1195.4518518518519,0.32962962962962955,104.55555555555556,0,1,0.037037037037037035,34.98888888888889,0.8088642659279779,6
181,181,2009/05/30,3中京3,晴,10,金鯱賞(G2),,18,2,3,6.2,3,5,武豊,57,芝2000,良,-10.0,1:58.7,0.3,108.0,13-13-13-13,34.6-34.5,33.7,454(-2),,,サクラメガワンダー,640.0,8,9313.4,665.2428571428571,0.2642857142857143,92.35714285714286,-2,22,1.6923076923076923,34.49285714285714,0.8082901554404145,4
182,182,2009/05/03,3京都4,曇,10,天皇賞(春)(G1),,18,7,15,7.4,3,12,武豊,58,芝3200,良,-7.0,3:16.7,2.3,102.0,16-15-14-11,36.4-35.1,36.7,536(+2),,,マイネルキッツ,0.0,9,13135.900000000001,772.7,0.5,95.58823529411765,1,-4,-0.23529411764705882,35.49411764705883,0.7162162162162162,4
183,183,2009/05/09,1新潟3,晴,11,新潟大賞典(G3),,16,1,2,7.1,3.0,4,川田将雅,58.5,芝2000,良,0.0,1:57.6,0.7,114.0,5-5,34.9-34.3,34.5,534(-2),,,シンゲン,620.0,10,28561.399999999998,1360.0666666666666,0.6285714285714286,108.80952380952381,-1,3,0.14285714285714285,35.43333333333334,0.6842105263157895,7
184,184,2009/06/14,3東京8,曇,11,エプソムC(G3),,18,7,15,133.2,15,7,蛯名正義,56,芝1800,良,-5.0,1:46.5,1.0,104.0,13-7-7,34.8-34.7,35.3,500(-4),,,シンゲン,0.0,11,11314.8,665.5764705882352,0.6411764705882351,94.88235294117646,0,18,1.125,35.78235294117648,0.7256637168141593,6
185,185,2009/05/30,3中京3,晴,10,金鯱賞(G2),,18,2,4,16.6,6,6,佐藤哲三,57.0,芝2000,良,-10.0,1:58.9,0.5,105.0,5-5-3-4,34.6-34.5,34.7,478(+14),,,サクラメガワンダー,0.0,12,19698.999999999996,1158.7647058823527,0.9,106.52941176470588,-2,5,0.29411764705882354,35.98823529411765,0.568075117370892,7
186,186,2009/05/03,3京都4,曇,10.0,天皇賞(春)(G1),,18,7.0,14,141.1,17.0,16,幸英明,58,芝3200,良,-7.0,3:17.9,3.5,96.0,4-4-11-15,36.4-35.1,37.6,504(-10),,,マイネルキッツ,0.0,13,14378.6,798.8111111111111,1.288888888888889,107.16666666666667,2,4,0.2222222222222222,36.22777777777778,0.46530612244897956,8
187,187,2009/06/21,2福島2,曇,11,福島テレビOP(OP),,15,8,14,7.8,5,8,蛯名正義,56,芝1800,重,21.0,1:49.8,0.9,101.0,9-9-9-7,35.7-36.5,36.6,494(+10),,出脚鈍い,トーホウレーサー,0.0,14,9994.0,526.0,0.6315789473684209,94.57894736842105,1,17,0.8947368421052632,35.39473684210526,0.6197718631178707,5
188,188,2008/05/31,2中京3,小雨,11,金鯱賞(G2),,17,6,12,4.6,2,1,岩田康誠,57,芝2000,稍,-10.0,1:59.1,-0.2,107.0,1-1-2-1,35.3-35.1,35.1,496(-2),,,(マンハッタンスカイ),6530.2,1,29822.100000000006,1420.1000000000004,0.17142857142857146,105.0952380952381,-1,5,0.23809523809523808,35.004761904761914,0.8215488215488216,6
189,189,2008/05/04,3京都4,晴,11.0,天皇賞(春)(G1),,14,5.0,8,4.8,2,2,武豊,58.0,芝3200,良,-10.0,3:15.1,0.0,119.0,9-9-6-3,36.8-35.3,34.9,514(-4),,,アドマイヤジュピタ,5390.0,2,97122.2,5713.070588235294,0.21176470588235294,112.0,0,-7,-0.4375,35.141176470588235,0.8723404255319149,5
190,190,2008/05/31,2中京3,小雨,11,金鯱賞(G2),,17,4,7,7.5,4,7,佐藤哲三,58.0,芝2000,稍,-10.0,1:59.8,0.7,100.0,7-9-7-8,35.3-35.1,35.3,474(0),,,エイシンデピュティ,0.0,3,16355.800000000001,1090.3866666666668,0.9800000000000001,106.0,-1,5,0.3333333333333333,35.99333333333333,0.5355191256830601,6
191,191,2008/05/31,2中京3,小雨,11,金鯱賞(G2),,17,3,5,7.4,3,4,福永祐一,57.0,芝2000,稍,-10.0,1:59.5,0.4,102.0,3-5-5-5,35.3-35.1,35.2,480(-2),,,エイシンデピュティ,960.0,4,18479.3,1087.0176470588235,0.41176470588235287,107.76470588235294,-1,-1,-0.058823529411764705,34.67058823529412,0.7344398340248963,5
192,192,2008/05/04,3京都4,晴,11,天皇賞(春)(G1),,14,8,13,3.6,1,3,四位洋文,58,芝3200,良,-10.0,3:15.5,0.4,115.0,3-4-2-2,36.8-35.3,35.5,500(-4),,,アドマイヤジュピタ,3345.0,5,35866.49999999999,2988.8749999999995,0.6166666666666668,99.83333333333333,0,-2,-0.16666666666666666,35.733333333333334,0.7452229299363057,4
193,193,2008/05/04,3京都4,晴,11,天皇賞(春)(G1),,14,2,2,25.9,10.0,5,川田将雅,58.0,芝3200,良,-10.0,3:15.8,0.7,115.0,7-8-9-10,36.8-35.3,35.2,530(-8),,出遅れ,アドマイヤジュピタ,1320.0,6,19389.6,1491.5076923076922,0.5692307692307692,106.76923076923077,0,8,0.6153846153846154,35.253846153846155,0.7062146892655368,6
194,194,2008/06/08,3東京6,晴,11,安田記念(G1),,18,7,14,19.9,6,4,後藤浩輝,58,芝1600,良,-3.0,1:33.4,0.7,116.0,13-14,34.6-34.8,34.0,484(-10),,,ウオッカ,1500.0,7,29188.6,1716.9764705882353,0.31176470588235294,112.0,0,-1,-0.058823529411764705,34.55882352941176,0.8221343873517787,7
195,195,2008/04/19,2阪神7,晴,11,読売マイラーズC(G2),,15,2,3,2.9,1,1,横山典弘,58,芝1600,良,6.0,1:33.6,0.0,123.0,5-6,35.5-34.8,34.3,466(+6),,,(ニシノマナムスメ),6114.8,8,31190.300000000003,2599.191666666667,0.5083333333333334,113.16666666666667,0,0,0.0,34.80833333333333,0.7413793103448276,7
196,196,2008/05/04,3京都4,晴,11,天皇賞(春)(G1),,14,5,7,9.9,5,9,松岡正海,58,芝3200,良,-10.0,3:16.6,1.5,110.0,9-9-10-8,36.8-35.3,36.0,472(-4),,出遅れ,アドマイヤジュピタ,0.0,9,43908.5,2927.233333333333,0.4133333333333333,112.2,1,-2,-0.13333333333333333,34.873333333333335,0.7751196172248804,5
197,197,2008/06/01,3東京4,晴,12,目黒記念(G2),,18,8,17,2.1,1,2,和田竜二,58.0,芝2500,良,-1.0,2:32.0,0.1,112.0,7-6-6-6,30.3-36.3,35.8,544(-2),,,ホクトスルタン,2338.4,10,16513.699999999997,1651.3699999999997,0.22999999999999998,96.3,0,8,0.8888888888888888,35.39,0.8307692307692308,4
198,198,2008/06/01,3東京4,晴,12,目黒記念(G2),,18,1,2,119.0,12,4,福永祐一,54,芝2500,良,-1.0,2:32.3,0.4,109.0,6-6-7-6,30.3-36.3,36.0,506(-2),,,ホクトスルタン,870.0,11,9780.199999999999,611.2624999999999,0.54375,104.25,1,-11,-0.6875,35.487500000000004,0.6756756756756757,6
199,199,2008/06/01,3東京4,晴,12,目黒記念(G2),,18,1,1,4.1,2,3,岩田康誠,57,芝2500,良,-1.0,2:32.3,0.4,108.0,2-3-3-2,30.3-36.3,36.5,510(+2),,,ホクトスルタン,1519.2,12,18922.6,2703.2285714285713,0.08571428571428573,102.14285714285714,1,5,0.7142857142857143,35.699999999999996,0.9326923076923077,4
200,200,2008/05/31,2中京3,小雨,11,金鯱賞(G2),,17,7,14,50.2,13,10,小牧太,57.0,芝2000,稍,-10.0,2:00.1,1.0,98.0,13-13-13-13,35.3-35.1,35.3,522(-8),,,エイシンデピュティ,0.0,13,19197.199999999997,872.5999999999999,0.7818181818181821,105.18181818181819,0,7,0.3333333333333333,35.095454545454544,0.6370106761565836,10
201,201,2008/05/31,2中京3,小雨,11.0,金鯱賞(G2),,17,7.0,13,3.4,1.0,6,安藤勝己,58,芝2000,稍,-10.0,1:59.7,0.6,101.0,10-10-7-5,35.3-35.1,35.3,452(0),,,エイシンデピュティ,0.0,14,25811.0,2581.1,0.13,104.6,-1,3,0.3333333333333333,33.93,0.8947368421052632,4
202,202,2007/02/17,2京都7,雨,11.0,京都記念(G2),,14,6.0,9,4.0,2.0,1,武豊,59.0,芝2200,稍,26.0,2:17.2,0.0,110.0,6-6-6-5,38.6-35.6,35.1,482(+12),,,(ポップロック),6507.8,1,29513.200000000004,3689.1500000000005,0.14999999999999997,105.375,4,7,0.875,34.55,0.8867924528301887,4
203,203,2007/04/29,3京都4,晴,11.0,天皇賞(春)(G1),,16,3.0,6,4.5,2.0,1,石橋守,58.0,芝3200,良,-13.0,3:14.1,0.0,113.0,8-9-6-2,36.9-34.8,34.7,516(-2),,,(エリモエクスパイア),13552.8,2,66415.0,6037.727272727273,0.16363636363636364,110.54545454545455,-1,-5,-0.5,35.018181818181816,0.9060402684563759,4
204,204,2007/05/27,3東京4,晴,12.0,目黒記念(G2),,18,1.0,2,2.9,1.0,1,武豊,58.5,芝2500,良,-12.0,2:31.4,0.0,107.0,5-6-11-8,30.1-35.4,34.5,490(0),,,(ココナッツパンチ),5937.2,3,25721.5,3215.1875,-0.0625,105.875,0,11,1.8333333333333333,35.987500000000004,0.9636363636363636,6
205,205,2007/05/27,3東京4,晴,12.0,目黒記念(G2),,18,5.0,10,19.7,6.0,3,福永祐一,57.0,芝2500,良,-12.0,2:31.6,0.2,103.0,2-2-4-3,30.1-35.4,35.2,518(-8),,,ポップロック,1519.6,4,7607.799999999999,1521.56,0.86,106.6,0,1,0.2,35.660000000000004,0.6060606060606061,5
206,206,2007/04/29,3京都4,晴,11.0,天皇賞(春)(G1),,16,1.0,2,27.8,9.0,10,武幸四郎,58.0,芝3200,良,-13.0,3:15.1,1.0,108.0,11-11-10-10,36.9-34.8,35.3,470(0),,,メイショウサムソン,0.0,5,11331.699999999999,755.4466666666666,1.0066666666666666,108.8,0,9,0.6,35.57333333333334,0.6010928961748634,8
207,207,2007/05/13,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18,3.0,6,2.1,1.0,10,武幸四郎,55.0,芝1600,良,-10.0,1:33.4,0.9,112.0,11-11,34.8-34.3,33.7,488(-2),,出遅れ,コイウタ,0.0,6,25567.0,3652.4285714285716,0.0,103.85714285714286,0,4,0.5714285714285714,34.98571428571429,0.8230088495575221,4
208,208,2007/05/26,2中京3,晴,11.0,金鯱賞(G2),,12,5.0,6,9.2,5.0,3,佐藤哲三,57.0,芝2000,良,-16.0,1:57.6,0.4,111.0,5-5-5-7,33.9-36.0,35.9,476(+6),,,ローゼンクロイツ,1613.8,7,5642.4,705.3,1.2375,104.125,-3,7,0.875,36.762499999999996,0.45054945054945056,5
209,209,2007/05/27,3東京4,晴,10.0,東京優駿(G1),,18,2.0,3,10.5,3.0,1,四位洋文,55.0,芝2400,良,-12.0,2:24.5,-0.5,113.0,9-11-11-8,35.8-34.4,33.0,482(-4),,,(アサクサキングス),19011.0,8,36647.0,5235.285714285715,-0.17142857142857146,106.0,-1,1,0.14285714285714285,33.84285714285714,0.978494623655914,3
210,210,2007/05/27,3東京4,晴,12.0,目黒記念(G2),,18.0,8.0,17,4.8,2.0,10,幸英明,58.0,芝2500,良,-12.0,2:32.4,1.0,100.0,9-13-12-12,30.1-35.4,35.2,436(-2),,,ポップロック,0.0,9,16917.8,1409.8166666666666,0.5833333333333333,110.83333333333333,1,3,0.25,35.716666666666676,0.7354838709677419,5
211,211,2007/05/05,3京都5,晴,10.0,烏丸S(1600万下),,11,7.0,8,12.6,5.0,1,武幸四郎,56.0,芝2400,良,-11.0,2:24.6,0.0,109.0,7-6-7-7,35.0-35.1,34.4,500(+4),,,(ホーマンアラシ),1854.5,10,5831.200000000001,485.9333333333334,0.5833333333333334,97.16666666666667,-1,-7,-0.6363636363636364,35.058333333333344,0.6496815286624203,5
212,212,2007/04/01,2阪神4,曇,11.0,産経大阪杯(G2),,11,7.0,9,5.8,3.0,8,五十嵐冬,59.0,芝2000,良,3.0,2:02.2,0.8,103.0,4-4-4-4,37.4-35.1,35.3,510(-2),,,メイショウサムソン,0.0,11,12098.6,1344.288888888889,0.7333333333333333,110.88888888888889,1,-2,-0.2222222222222222,35.58888888888889,0.6216216216216216,6
213,213,2007/06/03,3東京6,晴,11.0,安田記念(G1),,18,1.0,2,4.4,2.0,1,安藤勝己,58.0,芝1600,良,-9.0,1:32.3,0.0,116.0,4-4,34.1-34.8,34.4,532(0),,,(コンゴウリキシオー),10390.6,12,57726.600000000006,6414.0666666666675,0.30000000000000004,114.55555555555556,-1,-2,-0.2222222222222222,35.22222222222222,0.9291338582677166,6
214,214,2007/05/26,2中京3,晴,11.0,金鯱賞(G2),,12,1.0,1,4.4,3.0,2,武豊,57.0,芝2000,良,-16.0,1:57.2,0.0,116.0,9-9-10-9,33.9-36.0,35.0,476(-16),,,ローゼンクロイツ,2627.6,13,17325.1,1732.5099999999998,0.32999999999999996,110.6,-3,0,0.0,34.790000000000006,0.7301587301587301,6
215,215,2007/04/01,2阪神4,曇,11.0,産経大阪杯(G2),,11.0,8.0,10,4.7,2.0,2,安藤光彰,57.0,芝2000,良,3.0,2:01.5,0.1,106.0,1-1-1-1,37.4-35.1,35.2,492(+2),,,メイショウサムソン,2623.6,14,11554.1,1050.3727272727274,0.10909090909090911,102.0,0,6,0.5454545454545454,36.18181818181818,0.8013698630136986,5
216,216,2007/05/27,3東京4,晴,10.0,東京優駿(G1),,18,8.0,16,84.5,14.0,2,福永祐一,57.0,芝2400,良,-12.0,2:25.0,0.5,106.0,1-1-1-1,35.8-34.4,34.9,488(-6),,,ウオッカ,7146.0,15,13419.900000000001,1917.1285714285716,0.2571428571428572,96.57142857142857,0,7,1.0,35.114285714285714,0.7558139534883721,3
217,217,2007/04/29,3京都4,晴,11.0,天皇賞(春)(G1),,16,6.0,11,99.1,14.0,16,角田晃一,58.0,芝3200,良,-13.0,3:21.7,7.6,69.0,2-2-2-15,36.9-34.8,42.0,476(-6),,,メイショウサムソン,0.0,16,0.0,0.0,2.8499999999999996,93.625,6,30,3.75,37.9125,0.16981132075471697,8
218,218,2007/05/26,2中京3,晴,11.0,金鯱賞(G2),,12,8.0,11,4.2,2.0,10,福永祐一,57.0,芝2000,良,-16.0,1:58.3,1.1,106.0,2-2-2-2,33.9-36.0,36.8,504(+8),,,ローゼンクロイツ,0.0,17,21575.9,2157.59,0.09999999999999998,105.2,-2,-4,-0.4,35.86,0.7421875,4
219,219,2007/04/14,2阪神7,晴,11.0,読売マイラーズC(G2),,15,3.0,5,10.6,7.0,12,後藤浩輝,58.0,芝1600,良,-9.0,1:33.8,1.6,105.0,3-3,34.9-34.0,34.9,492(-4),,,コンゴウリキシオー,0.0,18,10412.4,867.6999999999999,0.8916666666666665,103.5,0,5,0.4166666666666667,35.324999999999996,0.5491329479768786,8
