,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,本番年齢
122,122,2013/06/02,3阪神2,曇,11.0,垂水S(1600万下),,14,7.0,12,44.2,9,7,松山弘平,57.0,芝1800,良,-15.0,1:45.9,1.4,95.0,12-12,34.8-34.2,34.8,508(+2),,直線不利,カレンミロティック,0.0,9,11408.8,292.5333333333333,0.5897435897435896,93.58974358974359,0,-3,-0.07692307692307693,34.94615384615384,0.639412997903564,6
123,123,2013/06/02,3東京2,晴,11.0,安田記念(G1),,18,7.0,13,119.8,17,18,酒井学,58.0,芝1600,良,-14.0,1:32.9,1.4,103.0,1-1,33.9-34.5,35.9,510(+4),,,ロードカナロア,0.0,10,39732.8,749.6754716981133,0.5830188679245282,99.75471698113208,-1,12,0.23076923076923078,35.82641509433962,0.5909090909090909,8
124,124,2013/05/26,2東京12,晴,12.0,目黒記念(G2),,18,5.0,9,105.2,14,4,大野拓弥,57.5,芝2500,良,-15.0,2:30.0,0.4,105.0,15-15-15-14,29.5-35.2,34.3,518(-2),,,ムスカテール,830.0,11,18458.299999999996,709.9346153846152,0.6846153846153846,93.57692307692308,-1,25,0.9615384615384616,35.64615384615384,0.6814159292035398,5
125,125,2012/04/29,3京都4,晴,11.0,天皇賞(春)(G1),,18.0,8.0,18,1.3,1,11,池添謙一,58.0,芝3200,良,-20.0,3:15.6,1.8,98.0,16-16-17-14,35.9-36.5,34.0,460(-2),,,ビートブラック,0.0,1,84323.8,6486.446153846154,0.08461538461538462,98.92307692307692,0,5,0.38461538461538464,34.08461538461538,0.8651685393258427,4
126,126,2012/03/24,3中山1,曇,11.0,日経賞(G2),,14.0,8.0,13,1.4,1.0,3,福永祐一,57.0,芝2500,重,29.0,2:38.1,0.7,113.0,8-7-5-3,31.0-37.8,36.2,504(0),,,ネコパンチ,1514.4,2,34822.6,2487.328571428571,0.035714285714285705,104.57142857142857,4,19,1.3571428571428572,34.42857142857143,0.8700564971751412,5
127,127,2012/06/02,3阪神1,曇,11.0,鳴尾記念(G3),,10.0,7.0,8,2.7,1,2,浜中俊,57.0,芝2000,良,-15.0,2:00.2,0.1,93.0,9-9-6-7,37.0-33.4,32.9,494(-6),,,トゥザグローリー,1610.8,3,16694.7,1284.2076923076925,0.20769230769230768,97.07692307692308,0,6,0.46153846153846156,34.184615384615384,0.803921568627451,4
128,128,2012/04/29,3京都4,晴,11.0,天皇賞(春)(G1),,18.0,6.0,11,9.8,2,3,武豊,58.0,芝3200,良,-20.0,3:14.8,1.0,102.0,12-12-12-12,35.9-36.5,33.5,512(-2),,,ビートブラック,3355.8,4,32044.6,2464.9692307692308,0.3076923076923077,98.84615384615384,0,3,0.23076923076923078,34.39230769230769,0.8421052631578947,4
129,129,2012/05/26,3京都11,晴,10.0,白百合S(OP),,10.0,7.0,8,1.5,1,1,岩田康誠,57.0,芝1800,良,-17.0,1:47.0,-0.3,90.0,5-5,36.5-33.5,33.1,456(0),,,(ヤマニンファラオ),1928.7,5,5024.9,1256.225,-0.1,87.25,0,12,3.0,34.725,0.9791666666666666,3
130,130,2011/12/25,5中山8,晴,10.0,有馬記念(G1),,13.0,4.0,5,26.8,7,2,ルメール,57.0,芝2500,良,-8.0,2:36.1,0.1,105.0,5-5-6-5,31.2-34.0,33.6,488(-4),,,オルフェーヴル,8086.4,6,48074.6,3004.6625,0.23750000000000002,99.125,2,0,0.0,34.512499999999996,0.8119266055045872,5
131,131,2012/06/02,3阪神1,曇,11.0,鳴尾記念(G3),,10.0,1.0,1,4.2,3,5,佐藤哲三,58.0,芝2000,良,-15.0,2:00.8,0.7,88.0,8-8-9-9,37.0-33.4,33.3,536(+6),,,トゥザグローリー,400.0,7,58290.899999999994,2331.636,0.29600000000000004,104.04,0,-5,-0.2,35.404,0.8157894736842105,7
132,132,2012/06/02,3阪神1,曇,11.0,鳴尾記念(G3),,10.0,3.0,3,5.4,4.0,4,柴田善臣,56.0,芝2000,良,-15.0,2:00.5,0.4,91.0,5-6-6-6,37.0-33.4,33.3,472(-8),,,トゥザグローリー,600.0,8,16144.400000000001,1241.8769230769233,0.3153846153846154,94.6923076923077,0,22,1.6923076923076923,34.51538461538461,0.8809523809523809,4
