,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/12/19,6阪神6,晴,7,3歳以上1勝クラス,,17,2,3,6.1,2,4,Ｍ．デム,56,芝1800,良,-12,1:46.6,0.7,93,11-12,34.9-34.7,34.5,474(-2),,,サトノペルセウス,110.0,1,1717.0,214.625,0.3875,88.125
1,1,2022/02/13,2小倉2,小雨,7,4歳以上1勝クラス,,15,4,6,5.8,2,13,吉田隼人,54,芝2000,稍,8,2:03.9,2.3,72,2-2-2-6,35.6-37.6,39.8,468(-8),,,エンジェルサークル,0.0,2,1821.0,107.11764705882354,1.352941176470588,72.82352941176471
2,2,2022/02/06,1小倉8,晴,9,波佐見特別(1勝クラス),,16,8,15,4.5,2,4,藤岡佑介,56,芝1800,良,5,1:47.9,0.1,96,5-4-4-3,35.5-36.5,35.9,504(+14),,4角不利,イザニコス,160.0,3,1151.0,191.83333333333334,0.7333333333333334,81.66666666666667
3,3,2022/02/13,2小倉2,小雨,7,4歳以上1勝クラス,,15,5,9,7.5,5,8,浜中俊,54,芝2000,稍,8,2:02.3,0.7,85,10-9-12-10,35.6-37.6,37.4,410(-8),,,エンジェルサークル,0.0,4,2097.2,174.76666666666665,0.7000000000000001,85.75
4,4,2022/02/13,2小倉2,曇,12,4歳以上1勝クラス,,15,6,10,7.4,4,6,富田暁,56,ダ1700,稍,10,1:48.1,1.6,79,8-9-8-9,30.2-38.8,39.8,478(+6),,,シゲルバクハツ,0.0,5,923.0,115.375,1.0125,78.375
5,5,2022/01/15,1小倉1,晴,8,4歳以上1勝クラス,,16,5,10,16.9,6,11,斎藤新,54,芝1800,良,-13,1:48.1,1.4,76,14-14-15-14,35.7-35.3,35.2,404(-8),,出遅れ,シャイニングフジ,0.0,6,510.0,63.75,1.0875,77.875
6,6,2022/01/29,1小倉5,晴,7,4歳以上1勝クラス,,16,5,10,19.4,10,7,藤岡康太,55,ダ1700,良,10,1:48.5,2.1,75,10-9-9-8,29.2-38.4,39.6,458(-2),,,リファインドマナー,0.0,7,2375.0,98.95833333333333,0.8250000000000002,81.625
7,7,2022/02/10,笠松,曇,8,仲春特別,,7,6,6,24.6,5,3,今井貴大,57,ダ1400,稍,9,1:30.4,1.0,62,4-3-3,0.0-39.7,40.4,519(+5),,,クリノキララ,9.0,8,845.0,36.73913043478261,2.0173913043478264,70.78260869565217
8,8,2022/01/30,1小倉6,曇,12,4歳以上1勝クラス,,14,3,4,6.1,3,8,松若風馬,56,芝2000,良,-7,2:00.8,0.6,84,11-11-12-13,35.0-37.5,35.2,486(+2),,出遅れ,ダノンターキッシュ,0.0,9,890.0,98.88888888888889,0.7444444444444445,81.11111111111111
9,9,2021/11/07,2福島2,晴,8,3歳以上1勝クラス,,16,3,6,173.3,16,12,森裕太朗,55,芝1200,良,-9,1:10.4,1.3,71,16-16,33.9-35.2,34.7,434(-8),,出遅れ,ココクラッシュ,0.0,10,680.4000000000001,20.61818181818182,1.1454545454545455,64.63636363636364
10,10,2021/01/23,1中京7,雨,6,3歳未勝利,,12,8,12,31.0,7,1,小崎綾也,54,芝2200,重,8,2:17.9,-0.6,81,1-1-1-1,36.4-36.8,36.8,460(-6),,,(サイモンメガライズ),510.0,11,510.0,102.0,1.6,64.8
11,11,2022/01/29,1中京9,晴,5,3歳未勝利,,11,8,10,4.4,3,8,和田竜二,56,芝2000,良,-5,2:03.7,1.3,73,4-4-5-5,37.0-34.9,35.8,458(+2),,,ハイコースト,0.0,1,760.0,253.33333333333334,0.39999999999999997,77.66666666666667
12,12,2021/11/28,5阪神8,晴,3,2歳未勝利,,14,6,10,4.8,3,2,岩田望来,54,芝2000,良,-6,2:03.4,0.4,74,13-13-13-10,38.1-35.9,35.3,462(-14),,出遅れ,タイセイディバイン,200.0,2,690.0,230.0,0.19999999999999998,77.66666666666667
13,13,2022/02/06,1小倉8,晴,7,3歳未勝利,,16,6,11,31.4,9,6,酒井学,56,芝1800,良,5,1:49.4,0.9,82,3-5-5-7,35.9-36.1,36.4,502(+2),,出遅れ,パフィリア,0.0,3,130.0,43.333333333333336,0.7000000000000001,79.0
14,14,2022/01/22,1中京7,晴,5,3歳未勝利,,7,7,7,1.5,1,3,川田将雅,54,芝2000,良,-11,2:02.4,0.5,79,6-5-6-6,38.2-34.8,34.8,428(+6),,出遅れ,プレミアスコア,130.0,4,488.0,162.66666666666666,0.5333333333333333,76.66666666666667
