,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
233,233,2008/02/23,1東京7,曇,11,デイリー杯クイーンC(G3),,16,7,13,25.8,10,6,蛯名正義,55,芝1600,良,4,1:36.0,0.5,91,5-3,35.3-35.3,35.4,430(-8),,,リトルアマポーラ,0.0,2,10389.5,1154.388888888889,0.5111111111111111,86.44444444444444
234,234,2008/03/15,2中山5,晴,10,アネモネS(OP),,16,6,11,6.7,2,1,後藤浩輝,54,芝1600,稍,15,1:36.0,-0.1,102,10-7-8,35.3-36.7,36.3,492(-2),,,(シャランジュ),1940.6,3,6502.200000000001,1083.7,0.13333333333333333,88.0
235,235,2008/03/15,2中山5,晴,10,アネモネS(OP),,16,3,5,47.7,10,14,小野次郎,54,芝1600,稍,15.0,1:37.4,1.4,88.0,2-4-6,35.3-36.7,37.8,468(-4),,,ソーマジック,0.0,4,6373.299999999999,637.3299999999999,0.43,
236,236,2008/02/23,1東京7,曇,11,デイリー杯クイーンC(G3),,16,3,6,2.9,1,1,武幸四郎,54.0,芝1600,良,4,1:35.5,-0.2,101,10-10,35.3-35.3,34.4,458(-12),,,(ライムキャンディ),3863.0,5,6753.0,1350.6,-0.039999999999999994,89.8
237,237,2008/03/16,1阪神6,晴,11,フィリーズレビュー(G2),,16,4,8,53.1,11,1,池添謙一,54,芝1400,良,-3,1:22.5,0.0,95,13-13,34.8-35.8,34.9,396(-8),,,(ベストオブミー),5334.4,6,9605.3,960.53,0.23999999999999994,88.7
238,238,2008/03/16,1阪神6,晴,11,フィリーズレビュー(G2),,16,8,15,2.6,1,10,福永祐一,54,芝1400,良,-3,1:23.3,0.8,81,8-7,34.8-35.8,36.1,464(+10),,,マイネレーツェル,0.0,7,4833.7,604.2125,0.11250000000000002,89.5
239,239,2008/03/08,1阪神3,晴,11,チューリップ賞(G3),,16,1,2,2.2,1,2,池添謙一,54.0,芝1600,良,-6,1:35.8,0.0,96,6-5,36.1-34.5,34.1,470(+4),,,エアパスカル,1517.4,8,8837.2,1472.8666666666668,0.11666666666666665,93.33333333333333
240,240,2008/03/08,1阪神3,晴,11,チューリップ賞(G3),,16,5,10,13.8,5,1,藤岡佑介,54,芝1600,良,-6,1:35.8,0.0,93,1-1,36.1-34.5,34.5,418(-8),,,(トールポピー),3860.9,9,5609.7,801.3857142857142,0.7714285714285712,80.85714285714286
241,241,2008/03/22,2中山7,晴,11.0,フラワーC(G3),,16,1,1,2.0,1.0,1,松岡正海,54,芝1800,良,3.0,1:49.5,0.0,97.0,1-1-1-1,37.8-36.1,36.1,452(-4),,,(レッドアゲート),3861.6,10,5652.099999999999,942.0166666666665,0.25,87.16666666666667
242,242,2008/03/16,1阪神6,晴,11,フィリーズレビュー(G2),,16,1,1,16.4,7,2,安藤勝己,54,芝1400,良,-3,1:22.5,0.0,95,13-13,34.8-35.8,34.9,446(+2),,,マイネレーツェル,2138.4,11,4132.8,516.6,0.35,88.25
243,243,2008/03/08,1阪神3,晴,11,チューリップ賞(G3),,16,8,15,3.3,2,3,安藤勝己,54,芝1600,良,-6,1:35.8,0.0,96,13-11,36.1-34.5,33.5,438(-8),,出遅れ,エアパスカル,958.7,12,6195.6,885.0857142857143,0.18571428571428575,88.71428571428571
244,244,2008/03/15,2中山5,晴,10,アネモネS(OP),,16,8,16,25.3,7,2,村田一誠,54,芝1600,稍,15,1:36.1,0.1,103,15-13-10,35.3-36.7,35.8,422(0),,出遅れ,ソーマジック,771.6,13,3770.3999999999996,471.29999999999995,0.35,93.875
245,245,2008/03/15,1中京5,晴,11,中スポ賞ファルコンS(G3),,18,6,11,14.2,6,3,吉田隼人,55,芝1200,良,-8,1:09.2,0.2,92,3-3,33.8-35.2,35.1,438(-4),,,ダノンゴーゴー,1009.9,14,7123.400000000001,712.34,0.55,84.1
246,246,2008/03/15,2中山5,晴,10,アネモネS(OP),,16,7,14,13.9,6,10,勝浦正樹,54,芝1600,稍,15,1:36.8,0.8,94,6-2-3,35.3-36.7,37.4,482(0),,,ソーマジック,0.0,15,3205.7,534.2833333333333,0.65,83.66666666666667
247,247,2008/03/19,浦和,雨,11,桜花賞(G),,11,5,5,1.9,1.0,8,町田直希,54.0,ダ1600,良,-5.0,1:45.0,1.1,64.0,8-9-10-9,38.1-39.0,39.1,419(+5),,,フィリアレギス,0.0,16,3225.0,293.1818181818182,0.49090909090909096,
248,248,2008/03/16,1阪神6,晴,11,フィリーズレビュー(G2),,16,3,6,4.9,2,14,四位洋文,54,芝1400,良,-3,1:24.2,1.7,70,7-7,34.8-35.8,37.1,492(0),,,マイネレーツェル,0.0,17,3190.8,531.8000000000001,0.7166666666666668,79.33333333333333
249,249,2007/03/03,1阪神3,曇,11,チューリップ賞(G3),,16,4,7,2.8,2,2,安藤勝己,54,芝1600,良,-9,1:33.7,0.0,107,1-1,35.4-33.9,33.9,488(-2),,,ウオッカ,1617.8,1,17272.3,3454.46,-0.08,101.8
250,250,2007/03/03,1阪神3,曇,11.0,チューリップ賞(G3),,16,6.0,11,1.4,1.0,1,四位洋文,54.0,芝1600,良,-9.0,1:33.7,0.0,111.0,5-5,35.4-33.9,33.5,488(-2),,,(ダイワスカーレット),4062.3,2,17636.0,2939.3333333333335,-0.11666666666666665,104.83333333333333
251,251,2007/02/17,1東京7,曇,11,デイリー杯クイーンC(G3),,16,7,13,2.8,1,2,安藤勝己,54,芝1600,良,-2,1:34.7,0.2,102,4-4,35.1-35.1,34.3,468(-8),,,イクスキューズ,1617.8,3,6354.9,1059.1499999999999,0.15,93.33333333333333
252,252,2007/03/03,1阪神3,曇,11.0,チューリップ賞(G3),,16,4.0,8,14.6,3.0,5,武豊,54,芝1600,良,-9.0,1:34.8,1.1,95.0,5-5,35.4-33.9,34.5,458(+2),,,ウオッカ,400.0,4,6163.799999999999,880.5428571428571,0.41428571428571426,94.85714285714286
253,253,2007/02/17,1東京7,曇,11,デイリー杯クイーンC(G3),,16,7,14,6.0,3,1,北村宏司,54,芝1600,良,-2,1:34.5,-0.2,103,3-2,35.1-35.1,34.3,446(0),,,(カタマチボタン),4062.3,5,10481.7,1310.2125,0.13750000000000007,95.375
254,254,2007/03/03,1阪神3,曇,11,チューリップ賞(G3),,16,1,2,58.0,5,3,武幸四郎,54,芝1600,良,-9,1:34.7,1.0,97,7-7,35.4-33.9,34.2,486(0),,,ウオッカ,1008.9,6,2038.9,339.81666666666666,0.38333333333333336,89.33333333333333
255,255,2007/03/11,1阪神6,晴,11,フィリーズレビュー(G2),,16,6,12,1.1,1,1,武豊,54,芝1400,良,-3,1:21.8,-0.4,99,3-3,34.8-35.3,35.0,466(+6),,,(アマノチェリーラン),5331.6,7,15055.3,2150.7571428571428,-0.07142857142857144,98.28571428571429
256,256,2007/03/11,1阪神6,晴,11,フィリーズレビュー(G2),,16,2,4,35.6,5,3,武幸四郎,54,芝1400,良,-3,1:22.4,0.6,93,11-11,34.8-35.3,35.2,482(-4),,,アストンマーチャン,1318.8,8,3938.1000000000004,393.81000000000006,0.8099999999999999,89.4
257,257,2007/03/10,1中京3,晴,11,中スポ賞ファルコンS(G3),,16,1,1,13.3,5,2,上村洋行,54.0,芝1200,良,-13,1:08.3,0.3,100,5-5,32.7-35.3,34.7,514(0),,,アドマイヤホクト,1617.8,9,3663.0,610.5,0.3666666666666667,93.5
258,258,2007/03/11,1阪神6,晴,11,フィリーズレビュー(G2),,16,8,15,172.6,10,2,池添謙一,54,芝1400,良,-3,1:22.2,0.4,95,2-2,34.8-35.3,35.6,480(+2),,,アストンマーチャン,2137.6,10,4196.3,466.2555555555556,0.5111111111111111,84.77777777777777
259,259,2007/03/10,2中山5,晴,10,アネモネS(OP),,16,4,7,7.9,3,2,柴山雄一,54,芝1600,良,-6,1:36.0,0.2,92,11-9-8,35.8-34.9,34.5,428(-6),,,エミーズスマイル,770.6,11,2054.7,410.93999999999994,0.4000000000000001,90.2
260,260,2007/03/11,1阪神6,晴,11,フィリーズレビュー(G2),,16,6,11,45.8,8,5,福永祐一,54,芝1400,良,-3,1:22.4,0.6,92,8-6,34.8-35.3,35.4,464(-4),,,アストンマーチャン,520.0,12,3798.5,474.8125,0.42499999999999993,86.625
261,261,2007/03/17,2中山7,晴,11,フラワーC(G3),,16,3,5,2.4,1,1,柴田善臣,54,芝1800,良,-4,1:49.6,-0.2,90,1-1-1-1,36.4-35.9,35.9,454(+4),,,(ホクレレ),4060.9,13,6649.1,949.8714285714286,0.2857142857142857,90.14285714285714
262,262,2007/01/20,1中山6,曇,9,菜の花賞(OP),,11,6,6,4.5,3,1,蛯名正義,54,芝1600,良,-4,1:35.5,-0.1,95,4-3-5,35.5-35.2,34.9,468(+14),,,(ショウナンタレント),1926.6,14,4293.299999999999,715.5499999999998,0.5166666666666666,89.33333333333333
263,263,2007/03/10,2中山5,晴,10,アネモネS(OP),,16,7,14,2.3,1,1,内田博幸,54,芝1600,良,-6.0,1:35.8,-0.2,93.0,6-7-3,35.8-34.9,34.4,434(-6),,,(フローラルカーヴ),1937.1,15,3534.8999999999996,441.86249999999995,0.44999999999999996,
264,264,2007/02/17,1東京7,曇,11,デイリー杯クイーンC(G3),,16,5,9,31.5,9,15,吉田隼人,55,芝1600,良,-2,1:36.3,1.8,81,6-7,35.1-35.1,35.7,468(0),,,イクスキューズ,0.0,16,4114.5,587.7857142857143,0.7428571428571429,81.0
265,266,2006/08/06,2函館8,晴,9,函館2歳S(G3),,15,7,14,16.5,7,1,四位洋文,54,芝1200,良,6,1:10.3,-0.2,102,7-4,34.2-36.1,35.6,462(+2),,,(ローレルゲレイロ),3256.0,18,3956.0,1318.6666666666667,1.1333333333333333,83.66666666666667
266,267,2006/03/18,2中山7,曇,11.0,フラワーC(G3),,16.0,6.0,11,20.7,6.0,1,横山典弘,54.0,芝1800,良,-1.0,1:48.9,-0.2,100.0,5-6-6-7,35.5-37.2,35.5,418(-6),,,(フサイチパンドラ),4058.8,1,16816.3,2802.7166666666667,-0.05000000000000002,87.33333333333333
267,268,2006/03/04,1阪神3,晴,11.0,チューリップ賞(G3),,16.0,7.0,14,3.8,2.0,1,武豊,54.0,芝1600,良,7.0,1:36.5,0.0,89.0,13-11-6,35.6-36.4,35.6,458(+18),,,(シェルズレイ),4060.2,2,9405.2,1881.0400000000002,-0.12000000000000002,
268,269,2006/02/18,1東京7,晴,11.0,デイリー杯クイーンC(G3),,16.0,6.0,11,3.2,1.0,1,ルメール,55.0,芝1600,良,3.0,1:35.6,-0.1,99.0,3-3,36.0-34.7,34.4,460(0),,,(アサヒライジング),4058.8,3,11652.800000000001,1456.6000000000001,0.27499999999999997,
