,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2020/12/05,3中京1,晴,4,2歳未勝利,,16,1,2,32.4,8,6,浜中俊,55,芝1600,良,-16,1:35.1,0.4,80,4-6-5,35.9-35.0,34.9,492(0),,出遅れ,ヴィアルークス,0.0,1,710.0,78.88888888888889,1.2444444444444445,72.44444444444444
1,1,2020/09/19,4中山3,曇,3,2歳未勝利,,15,3,4,2.3,1.0,5.0,Ｍ．デム,54,芝1200,良,-2.0,1:10.7,0.3,76.0,12-11,33.8-36.6,35.6,426(0),,出遅れ,オリアメンディ,51.0,3.0,388.0,35.27272727272727,1.2272727272727273,66.0
2,2,2021/08/21,2札幌3,晴,4,3歳未勝利,,16,3,5,15.7,6,5,池添謙一,54,芝1200,良,-13,1:10.0,0.3,81,8-9,34.4-35.3,35.2,426(0),,出遅れ,シュアーヴアリア,51.0,4,605.0,100.83333333333333,0.8166666666666668,76.66666666666667
3,3,2021/06/12,4中京3,曇,6,3歳未勝利,,18,5,10,7.5,5,4,岩田望来,56,芝1200,良,-16,1:09.0,0.3,83,6-6,33.8-34.9,34.6,452(-2),,,タナキーボー,77.0,5,748.5,83.16666666666667,0.5333333333333333,79.66666666666667
4,4,2021/08/21,2札幌3,晴,4,3歳未勝利,,16,2,4,41.8,11,2,古川吉洋,54,芝1200,良,-13,1:09.8,0.1,84,4-6,34.4-35.3,35.2,462(-4),,,シュアーヴアリア,200.0,6,700.0,63.63636363636363,0.8818181818181817,75.36363636363636
5,5,2021/08/08,1函館12,曇,4,3歳未勝利,,16,1,1,4.1,2,4,秋山稔樹,52,芝1200,良,-6,1:10.0,0.9,82,2-2,33.5-35.6,36.2,430(+4),,,ゼログラヴィティ,77.0,7,785.0,78.5,1.1299999999999997,70.6
6,6,2021/01/11,1中京4,曇,1,3歳未勝利,,16,6,12,41.6,11,16,藤岡康太,54,ダ1800,良,1,2:03.3,7.3,8,4-4-12-16,36.9-39.8,46.2,494(+6),,,トップザビル,0.0,8,0.0,0.0,3.1142857142857143,52.714285714285715
7,7,2021/06/27,1札幌6,晴,2,3歳未勝利,,11,4,4,16.4,5,10,吉田隼人,54,ダ1700,良,5,1:51.0,2.9,51,3-3-5-7,30.5-38.5,41.0,450(0),,,ドリームアゲイン,0.0,9,121.0,30.25,1.875,64.5
8,8,2021/02/06,1小倉7,晴,2,3歳未勝利,,17,8,16,14.8,6,5,斎藤新,53,芝1200,良,2,1:09.6,0.3,83,10-6,33.2-36.1,35.6,424(-8),,,テリーヌ,51.0,10,258.0,43.0,0.6333333333333334,77.5
9,9,2021/07/17,1函館5,晴,3,3歳未勝利,,16,5,10,69.3,12,16,鮫島克駿,54,芝1200,良,-3,1:11.2,1.3,68,11-14,33.9-36.0,36.4,430(-4),,,ニューアリオン,0.0,11,390.5,48.8125,1.2125000000000001,71.75
10,10,2020/09/26,4中山6,曇,1,2歳未勝利,,15,3,5,4.3,1,5,戸崎圭太,54,芝1200,稍,-1,1:11.2,1.0,67,5-5,34.3-35.9,36.6,438(-8),,,ルミナスライン,51.0,12,235.3,26.144444444444446,1.9555555555555553,59.111111111111114
11,11,2021/04/24,1新潟5,晴,5,3歳未勝利,,16,4,8,36.9,8,4,丸田恭介,54,芝1200,良,1,1:10.5,0.6,76,7-6,33.7-36.2,36.1,482(0),,,ステラダイヤ,77.0,15,128.0,16.0,1.6,58.375
12,12,2021/07/18,1福島6,晴,4,3歳未勝利,,16,3,6,348.3,16,12,原優介,51,芝1200,良,-7,1:10.9,1.7,65,15-14,34.2-35.0,35.3,432(+8),,S不利,スマートルグラン,0.0,16,0.0,0.0,2.5333333333333337,56.666666666666664
13,13,2021/06/27,1札幌6,晴,1,3歳未勝利,,16,7,13,19.8,7,3,秋山稔樹,54,芝1200,良,-23,1:09.0,0.6,86,12-11,33.5-34.9,34.6,428(-4),,,クレマチステソーロ,130.0,1,1730.0,144.16666666666666,1.3416666666666668,67.33333333333333
14,14,2021/02/06,1小倉7,晴,10,かささぎ賞(1勝クラス),,13,3,3,44.7,11,5,菊沢一樹,54,芝1200,良,2,1:09.5,0.8,84,1-1,33.2-35.5,36.3,446(+4),,,マイネルジェロディ,101.0,2,1341.0,111.75,1.0250000000000001,73.41666666666667
