,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
447,447,2019/12/08,4中京4,晴,7,2歳未勝利,,16,8,16,8.3,3.0,3,吉田隼人,55.0,芝1600,良,-9,1:35.5,0.1,83,8-6-7,35.2-35.6,35.0,458(+10),,,ウインドラブリーナ,130.0,2,3068.9,306.89,0.29000000000000004,87.6
448,448,2019/11/30,4中京1,晴,9,3歳以上1勝クラス,,18,4,7,18.1,6.0,1,岡田祥嗣,55,芝1400,良,-13,1:20.3,0.0,101,9-9,33.9-34.9,34.0,462(+6),,,(サトノコメット),750.0,3,4903.6,175.12857142857143,0.4678571428571429,90.07142857142857
449,449,2018/10/28,4京都9,晴,9,鳴滝特別(1000万下),,9,2,2,4.3,2.0,4,内田博幸,57,芝2400,良,3,2:30.4,0.2,87,4-4-7-7,37.3-34.7,34.4,440(-4),,,スティルウォーター,230.0,4,6689.799999999999,202.7212121212121,0.7636363636363637,88.39393939393939
450,450,2019/04/21,2東京2,晴,7,4歳以上500万下,,12,7,9,7.0,4.0,2,戸崎圭太,57,芝2000,良,-18,2:01.6,0.2,80,3-2-2,37.3-33.5,33.5,444(0),,,モンテグロッソ,300.0,5,4642.6,165.80714285714288,0.6964285714285714,84.53571428571429
451,451,2020/03/29,1中京8,晴,8,4歳以上1勝クラス,,14,1,1,27.7,10.0,9,国分優作,57,芝1600,重,10,1:38.2,1.5,73,1-1-2,36.8-35.8,37.2,460(-2),,,トロイメント,0.0,6,2006.0,105.57894736842105,0.9684210526315788,81.21052631578948
452,452,2019/09/07,4阪神1,晴,3,2歳未勝利,,10,7,7,3.6,1.0,1,福永祐一,54,芝1800,良,-22,1:47.5,-0.1,81,6-4,36.3-33.7,33.4,452(0),,,(ドゥーベ),500.0,7,3333.7,277.80833333333334,0.4750000000000001,88.33333333333333
453,453,2020/07/06,水沢,曇,3,C2,,10,8,9,30.0,5.0,4,山本聡哉,56,ダ850,重,-11,0:52.5,1.2,18,4-4,0.0-36.2,36.9,500(0),,,リュウグウオー,2.5,8,2475.5,41.95762711864407,1.9220338983050844,45.6271186440678
454,454,2020/03/28,1中京7,曇,10,熊野特別(2勝クラス),,12,7,9,45.2,11.0,7,藤井勘一,54,芝2200,稍,-6,2:15.9,0.3,84,11-11-11-11,38.0-34.2,33.6,448(-2),,出遅れ,ニューポート,0.0,9,2787.1,139.355,0.5449999999999999,87.1
455,455,2020/04/11,2阪神5,晴,9,丹波特別(2勝クラス),,11,8,10,6.6,4.0,11,藤岡佑介,57,芝1600,良,-9,1:38.2,4.3,53,1-1,35.8-34.1,38.4,524(+12),,,キャンディストーム,0.0,10,3317.3,157.96666666666667,1.6142857142857143,79.0
456,456,2019/12/09,水沢,晴,8,B2四組,,12,7,9,1.5,1.0,2,村上忍,56,ダ1600,不,-12,1:43.7,0.1,44,2-2-1-1,0.0-39.7,39.8,499(-17),,,ワタリエミネント,9.1,11,1301.0,72.27777777777777,0.8,70.61111111111111
457,457,2018/12/08,5阪神3,晴,10,境港特別(1000万下),,10,8,10,8.7,4.0,7,武豊,54,芝2200,良,-9,2:13.8,1.9,92,1-1-1-1,36.0-35.5,37.4,506(+2),,,シルヴァンシャー,0.0,12,3885.0,228.52941176470588,0.9823529411764705,85.41176470588235
458,458,2019/12/14,4中京5,曇,12,中京日経賞(2勝クラス),,17,2,4,14.2,7.0,9,藤田菜七,57,芝1400,良,-10,1:22.1,0.9,80,1-1,34.8-34.8,35.7,490(0),,出遅れ,アプルーヴァル,0.0,13,3645.2,95.92631578947368,0.7710526315789475,86.71052631578948
459,459,2020/11/15,3福島6,晴,10,福島2歳S(OP),,16,2,4,6.9,3,1,西村淳也,54,芝1200,良,3,1:10.0,0.0,88,11-15,34.2-35.8,34.9,420(-2),,出遅れ,(サニーオーシャン),1636.4,10,3046.4,609.28,0.41999999999999993,81.4
460,460,2019/07/28,2小倉2,晴,7,3歳以上1勝クラス,,15,6,10,2.7,1,2,浜中俊,54,芝1800,良,-11,1:46.5,0.0,94,7-7-6-4,35.2-36.0,35.3,498(-6),,,ウルクラフト,300.0,1,7860.1,982.5125,-0.0125,97.125
461,461,2020/05/09,1新潟1,曇,11,谷川岳S(L),,16,7,14,9.9,4,7,古川吉洋,56,芝1600,良,-3,1:34.0,0.5,96,3-2,35.6-33.8,33.9,518(+8),,,アストラエンブレム,0.0,2,8369.3,597.8071428571428,0.9214285714285716,93.5
462,462,2019/01/26,2京都1,晴,7,4歳以上500万下,,9,4,4,2.9,1,1,福永祐一,56,芝1800,良,6,1:48.1,-0.3,97,7-7,36.2-35.2,34.3,510(-2),,,(ドラグーンシチー),750.0,3,9807.4,700.5285714285714,0.2,98.14285714285714
463,463,2020/05/09,1新潟1,曇,11,谷川岳S(L),,16,5,10,18.2,9,5,斎藤新,56,芝1600,良,-3,1:33.8,0.3,100,9-10,35.6-33.8,33.2,466(0),,,アストラエンブレム,250.0,4,11809.6,256.7304347826087,0.8869565217391302,93.08695652173913
464,464,2019/12/15,5阪神6,晴,10,元町S(3勝クラス),,14,8,14,7.6,3,9,福永祐一,54,芝1600,良,-10,1:33.7,0.7,98,9-6,34.9-34.7,34.7,456(+14),,,モズダディー,0.0,5,6285.1,392.81875,0.31875,95.5625
465,465,2019/09/29,4中山9,曇,11,スプリンターズS(G1),,16,8,15,49.1,10,11,浜中俊,53,芝1200,良,-17,1:08.0,0.9,97,4-5,32.8-34.3,34.8,464(0),,,タワーオブロンドン,0.0,6,8774.0,548.375,0.66875,90.625
466,466,2020/04/05,2阪神4,晴,10,難波S(3勝クラス),,16,5,9,82.4,13,6,幸英明,53,芝1800,良,-10,1:46.1,0.8,103,8-7,35.3-33.9,34.1,458(+2),,,セラピア,0.0,7,8583.9,245.25428571428571,0.4971428571428572,95.54285714285714
467,467,2019/05/12,3京都8,晴,10,錦S(1600万下),,10,8,9,12.1,6,4,藤岡佑介,56,芝1600,良,-15,1:31.9,0.3,112,9-6,34.6-34.6,33.8,490(+4),,,オールフォーラヴ,270.0,8,9868.099999999999,493.4049999999999,0.45999999999999996,95.3
468,468,2019/07/21,3中京8,曇,11,トヨタ賞中京記念(G3),,16,6,12,25.0,7,9,小崎綾也,54.0,芝1600,稍,-3,1:34.2,0.6,104,14-15-14,35.3-35.6,34.2,462(+2),,出遅れ,グルーヴィット,0.0,9,15461.4,351.3954545454545,0.4295454545454545,98.38636363636364
469,469,2020/01/05,1京都1,曇,11.0,スポニチ賞京都金杯(G3),,18,8.0,16,76.0,13,7,坂井瑠星,54,芝1600,良,10.0,1:35.0,1.0,104.0,14-18,34.9-35.0,34.5,488(+2),,,サウンドキアラ,0.0,10,11553.500000000002,350.1060606060607,0.5060606060606061,97.33333333333333
470,470,2019/09/29,4阪神9,曇,11,ポートアイランドS(L),,15,2,2,13.9,6,7,和田竜二,54,芝1600,良,-15,1:33.5,0.8,93,9-9,34.3-35.3,35.1,486(0),,,ロードマイウェイ,0.0,11,3892.7,204.87894736842105,0.8421052631578949,89.6842105263158
471,471,2019/03/09,2中京1,晴,11,トリトンS(1600万下),,14,7,11,7.6,3,7,柴山雄一,55,芝1400,良,-10,1:20.8,0.4,102,11-12,34.9-34.0,33.3,500(-4),,,グランドボヌール,0.0,12,8809.8,352.392,0.48399999999999993,92.64
472,472,2019/08/25,2新潟10,曇,10,朱鷺S(L),,16,7,14,34.3,11,2,北村宏司,54,芝1400,良,2,1:21.5,0.2,102,11-11,34.8-34.7,33.9,436(+10),,,ストーミーシー,1010.0,13,5268.3,292.68333333333334,0.688888888888889,94.66666666666667
473,473,2019/10/26,4京都8,晴,9,萩S(L),,7,3,3,4.8,3,5,シュタル,54,芝1800,稍,9,1:51.4,0.6,81,6-7,37.5-34.7,34.9,468(-4),,出遅れ,ヴェルトライゼンデ,170.0,14,6426.700000000001,642.6700000000001,0.30999999999999994,94.3
474,474,2020/11/01,4京都8,晴,11,カシオペアS(L),,18,4,7,21.3,9,6,藤岡康太,54,芝1800,良,4,1:46.4,0.3,111,2-2,35.1-34.8,35.0,474(+2),,,ランブリングアレー,0.0,15,14449.100000000002,437.85151515151523,0.5272727272727272,95.06060606060606
475,475,2020/05/30,2東京11,晴,11,欅S(OP),,16,2,3,45.3,12,9,田中勝春,56,ダ1400,良,-3.0,1:24.4,1.0,98.0,10-10,35.5-36.1,36.3,502(+2),,,トップウイナー,0.0,16,6545.5,327.275,0.8550000000000001,93.8
476,476,2019/06/29,3中京1,曇,10,知多特別(2勝クラス),,18,7,15,1.9,1,1,福永祐一,54,芝1400,稍,-5,1:20.3,0.0,107,7-8,34.0-34.8,34.2,466(+4),,,(メモリーコロネット),1539.2,17,8930.6,496.14444444444445,0.3944444444444444,96.05555555555556
477,477,2020/11/21,5阪神5,晴,5,2歳新馬,,8,4,4,128.1,8,5,国分優作,54,芝1600,良,-12,1:36.2,0.7,76,2-2,38.0-33.7,34.3,404(0),,,レゾンドゥスリール,70.0,15,70.0,35.0,1.25,75.0
478,478,2020/07/12,4阪神4,曇,12,シンガポールTC賞(2勝クラス),,15,8,14,4.0,2,3,武豊,55,芝1600,稍,9,1:35.7,0.5,101,14-15,36.4-35.3,34.2,490(-2),,出遅れ,オールイズウェル,384.6,1,8092.5,622.5,0.17692307692307688,96.0
479,479,2020/07/11,4阪神3,曇,11,マレーシアC(3勝クラス),,15,5,8,5.9,3,3,和田竜二,55,芝1800,重,22,1:49.5,0.6,99,11-10,35.5-37.9,37.1,446(0),,,タガノアスワド,464.9,2,4451.0,445.1,0.37,94.9
480,480,2019/11/24,5京都8,曇,9,白菊賞(1勝クラス),,6,2,2,2.6,1,1,松岡正海,54,芝1600,良,2,1:36.7,0.0,80,2-2,36.8-35.5,35.4,468(-2),,,(ヴィンチェーレ),1013.3,3,3850.5,550.0714285714286,0.18571428571428572,90.0
481,481,2020/03/29,2阪神2,晴,10,武庫川S(3勝クラス),,9,8,8,5.6,3,5,岩田望来,55,芝1600,稍,1,1:35.7,0.3,91,3-3,36.3-34.8,34.9,478(-4),,,トーセンブレス,182.0,4,5298.6,311.6823529411765,0.32941176470588235,94.29411764705883
482,482,2020/10/24,4京都5,晴,9,トルマリンS(3勝クラス),,7,1,1,6.0,3,2,水口優也,55,芝1600,稍,8,1:36.1,0.1,98,2-2,37.9-34.0,33.8,466(0),,,クリスティ,734.8,5,5206.8,433.90000000000003,0.225,90.33333333333333
483,483,2020/02/15,1東京5,曇,10,雲雀S(3勝クラス),,16,7,14,8.0,4,3,石川裕紀,55,芝1400,良,-9,1:21.0,0.2,102,2-2,34.4-35.0,35.2,472(0),,,ベストアクター,465.4,6,4939.6,259.9789473684211,0.4421052631578948,90.3157894736842
484,484,2020/05/16,1新潟3,雨,11,パールS(3勝クラス),,14,1,1,25.6,11,4,団野大成,55,芝1800,良,6,1:47.9,0.4,94,3-3,36.1-34.1,34.3,526(+6),,出遅れ,アンドラステ,270.0,7,4986.9,311.68125,0.4875,92.8125
485,485,2019/03/10,1阪神6,曇,7,3歳500万下,,8,8,8,12.4,5,4,藤岡佑介,56,芝1600,良,-2.0,1:35.8,0.4,88.0,8-6,37.3-33.9,33.7,450(-6),,出遅れ,ミッキーブリランテ,110.0,9,5010.8,313.175,0.4,91.3125
486,486,2020/10/31,4東京7,晴,10,キタサンブラックM(3勝クラス),,18,8,17,280.1,17,5,石川裕紀,54,芝1600,良,-10,1:33.3,0.5,107,16-17,34.8-34.6,33.6,490(-16),,,トライン,182.0,10,5492.299999999999,156.9228571428571,0.637142857142857,92.42857142857143
487,487,2019/04/13,2阪神7,晴,9,蓬莱峡特別(1000万下),,14,4,6,2.4,1,9,川田将雅,57,芝1800,良,-6,1:47.8,0.7,90,7-9,36.5-34.7,34.4,508(-10),,出遅れ,レッドガラン,0.0,11,3964.4,264.29333333333335,0.4400000000000001,90.66666666666667
488,488,2020/10/25,4京都6,晴,5,2歳新馬,,18,5,10,67.5,7,9,国分優作,55,芝1800,良,5,1:51.9,2.0,63,10-13,36.2-35.0,36.0,440(0),,,シャフリヤール,0.0,2,200.0,66.66666666666667,1.2,72.0
489,489,2020/04/12,2阪神6,雨,9,忘れな草賞(L),,10,3,3,5.7,4,5,武豊,54,芝2000,稍,14,2:04.3,0.7,90,3-3-3-3,37.4-35.2,35.7,404(0),,,ウインマイティー,200.0,1,4369.7,728.2833333333333,0.21666666666666667,92.33333333333333
490,490,2019/10/20,4京都7,晴,4,2歳新馬,,18,4,8,61.4,11,7,石橋脩,55.0,芝1400,稍,5,1:24.0,0.7,78,16-16,34.8-36.5,34.8,446(0),,出遅れ,タケルラスティ,0.0,2,2628.9,292.1,0.32222222222222224,86.0
491,491,2019/07/20,3中京7,曇,12,3歳以上1勝クラス,,15,2,3,4.6,2.0,11,Ｍ．デム,57,芝1600,重,-5,1:35.7,2.3,82,6-5-6,35.8-34.3,35.9,454(0),,,アンドラステ,0.0,3,5132.900000000001,197.41923076923078,0.5653846153846154,92.15384615384616
492,492,2019/12/28,5阪神9,晴,8,3歳以上1勝クラス,,18,2,3,13.1,5,1,藤岡佑介,57,芝1600,良,-4,1:35.6,-0.4,93,1-1,37.1-34.2,34.2,520(+20),,,(ナンヨープランタン),750.0,4,3317.3,165.865,1.65,78.3
493,493,2020/01/12,1京都4,曇,9,天ケ瀬特別(2勝クラス),,16,4,7,129.3,14,10,松山弘平,57,ダ1400,稍,3,1:26.5,1.3,74,15-14,35.3-37.6,37.7,508(+10),,,マイネルオスカル,0.0,7,2473.9,74.96666666666667,1.0878787878787883,82.36363636363636
494,494,2019/02/23,1小倉5,晴,7,4歳以上500万下,,11,8,10,4.3,2,1,柴山雄一,57,ダ1700,稍,4,1:46.5,0.0,88,6-5-5-4,29.9-38.1,37.6,462(-8),,,(ブラックカード),750.0,8,3203.0000000000005,94.20588235294119,0.9705882352941176,84.05882352941177
495,495,2019/04/07,2阪神6,晴,11,桜花賞(G1),,18,4,8,3.4,2,1,ルメール,55,芝1600,良,-6,1:32.7,-0.4,114,3-1,35.4-33.3,33.3,476(-6),,,(シゲルピンクダイヤ),12982.9,1,72021.5,7202.15,-0.22000000000000003,109.2
