,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
87,87,2015/10/12,4京都3,晴,10,オルフェーヴルM(1600万下),,9,4,4,8.2,6,4,高倉稜,55,芝2000,良,-13,1:58.5,0.3,104,4-4-3-3,36.0-34.4,34.4,482(-8),,,プロモントーリオ,270.0,16,7080.6,208.25294117647059,0.7941176470588236,85.5
88,88,2014/11/09,5東京2,曇,11,アルゼンチン共和国杯(G2),,18,2,4,10.6,7,9,横山典弘,58.0,芝2500,良,-7,2:32.0,1.5,100,1-1-1-2,30.4-34.7,36.1,468(-10),,,フェイムゲーム,0.0,1,32397.6,952.8705882352941,0.6794117647058824,98.55882352941177
89,89,2011/12/17,5小倉7,晴,9,3歳以上500万下,,16,2,4,2.4,1,1,川島信二,55.0,芝2600,良,0,2:40.5,-0.1,98,12-12-12-4,36.4-36.4,34.8,466(-10),,,(コウエイオトメ),700.0,2,11287.4,663.964705882353,0.33529411764705885,92.47058823529412
90,90,2013/10/05,4東京1,小雨,10,オクトーバーS(1600万下),,16,5,9,4.7,2,9,吉田豊,57.5,芝2400,稍,5,2:27.0,0.7,104,7-7-3-2,36.2-35.3,35.7,480(+8),,,ホッコーブレーヴ,0.0,3,17615.399999999998,629.1214285714285,0.34285714285714286,96.32142857142857
91,91,2013/04/06,3中山5,雨,10.0,湾岸S(1600万下),,15,3.0,4,25.3,8,3,三浦皇成,57.0,芝2200,良,-5.0,2:12.8,0.2,108.0,5-5-6-4,37.0-34.4,34.2,478(-4),,S不利,サトノシュレン,445.0,5,15088.300000000001,558.825925925926,0.3518518518518519,95.0
92,92,2013/07/06,2函館1,曇,11.0,五稜郭S(1600万下),,16,7.0,14,8.1,3,11,藤田伸二,55.0,芝2000,良,-11.0,2:02.9,0.8,83.0,11-11-11-10,36.2-35.2,35.1,498(-2),,,ラブイズブーシェ,0.0,6,7799.8,210.80540540540542,0.5621621621621623,92.62162162162163
93,93,2014/02/02,2京都2,晴,10,松籟S(1600万下),,11,1,1,58.8,9,5,中井裕二,54.0,芝2400,良,-2.0,2:31.6,0.4,86.0,8-8-8-8,37.2-33.6,33.3,484(-6),,,ラストインパクト,179.0,7,5711.2,203.97142857142856,0.6964285714285717,91.14285714285714
94,94,2012/07/14,2新潟1,曇,11,柳都S(1600万下),,15,8,14,29.7,8,7,柴田善臣,57.0,ダ1800,稍,6,1:53.3,1.3,98,9-9-9-9,36.7-37.5,38.1,452(+4),,出遅れ,コンノート,0.0,8,10448.800000000001,189.97818181818184,0.8927272727272725,93.83636363636364
95,95,2014/02/22,1東京7,晴,11,ダイヤモンドS(G3),,11,4,4,11.0,5.0,2,リスポリ,56.0,芝3400,良,-4,3:30.4,0.2,108,6-6-5-6,38.7-36.0,35.9,494(+2),,,フェイムゲーム,1611.4,9,25120.199999999997,523.3375,0.42708333333333326,102.20833333333333
96,96,2014/11/02,4京都9,曇,11,カシオペアS(OP),,15,6,10,22.8,6,12,川須栄彦,56.0,芝1800,良,-10,1:48.1,0.7,97,12-14,35.8-34.1,33.6,506(+26),,,ウインフルブルーム,0.0,10,11391.2,949.2666666666668,0.4166666666666666,89.08333333333333
97,97,2013/01/21,1中山5,晴,11,京成杯(G3),,12,6,7,27.6,9,3,石橋脩,56.0,芝2000,良,1.0,2:02.5,0.2,94.0,9-10-4-2,36.2-35.5,35.1,446(+4),,,フェイムゲーム,937.1,11,9496.300000000001,412.8826086956522,0.5434782608695651,91.91304347826087
98,98,2012/12/23,5中山8,曇,8,グッドラックH(1000万下),,16,6,12,5.3,2,1,蛯名正義,56.0,芝2500,良,0,2:34.4,0.0,106,7-7-3-3,29.5-36.5,35.7,496(+6),,,(シャドウパーティー),1439.2,12,19151.000000000004,491.05128205128216,0.482051282051282,93.97435897435898
99,99,2014/03/30,3中山2,小雨,10,常総S(1600万下),,12,7,9,123.7,12,7,西田雄一,53.0,芝2000,重,21,2:04.2,1.3,97,5-5-5-8,35.5-36.7,37.5,518(-2),,,バッドボーイ,0.0,13,5502.1,137.5525,0.9225000000000001,85.4
100,100,2014/04/12,3中山5,晴,10,湾岸S(1600万下),,18,2,4,18.7,8,11,大野拓弥,57.0,芝2200,良,-10.0,2:12.9,1.0,99.0,6-5-5-8,35.8-34.7,35.4,436(-12),,,クリールカイザー,0.0,14,6286.3,209.54333333333335,0.7733333333333334,85.26666666666667
101,101,2011/03/20,1阪神8,曇,5,3歳未勝利,,16,5,10,20.1,8,1,北村宏司,56.0,芝1800,良,-7,1:49.0,-0.2,80,2-2,35.6-34.3,34.2,456(-8),,,(ダノンピナクル),500.0,15,5559.9,185.32999999999998,0.61,90.46666666666667
102,102,2012/12/01,5中山1,晴,11,ステイヤーズS(G2),,15,5,8,5.3,2,3,内田博幸,56.0,芝3600,良,-10,3:46.7,0.2,99,12-13-4-3,38.1-36.9,36.8,480(-6),,,トウカイトリック,1516.8,1,20200.199999999997,721.4357142857142,0.6000000000000002,97.89285714285714
103,103,2013/05/26,2東京12,晴,12,目黒記念(G2),,18,1,1,69.2,13,7,川田将雅,56.0,芝2500,良,-15,2:30.2,0.6,101,3-4-4-3,29.5-35.2,35.3,464(-12),,,ムスカテール,0.0,2,16364.400000000001,654.576,0.768,95.28
104,104,2013/04/28,3京都4,晴,11.0,天皇賞(春)(G1),,18.0,6.0,11,198.2,16.0,11,北村宏司,58.0,芝3200,良,-13.0,3:16.2,2.0,100.0,14-13-16-16,36.5-36.3,37.2,454(0),,,フェノーメノ,0.0,3,46336.1,965.3354166666667,0.9166666666666664,103.77083333333333
105,105,2013/05/04,3京都5,晴,9,白川特別(1000万下),,13,4,5,44.2,10,9,武幸四郎,57.0,芝2400,良,-12.0,2:25.8,1.1,93.0,5-5-6-6,35.9-35.0,35.7,448(+10),,アオル,サフランディライト,0.0,4,5776.299999999999,240.67916666666665,0.7250000000000001,82.75
106,106,2012/04/22,1福島6,曇,4,3歳未勝利,,16,7,14,1.3,1,1,吉田隼人,56.0,芝2000,良,-8,2:03.8,-0.3,70,5-6-6-4,35.9-35.4,35.0,482(-4),,,(コスモプランタン),500.0,6,5063.099999999999,337.53999999999996,0.2933333333333333,93.66666666666667
107,107,2011/12/04,5中山2,晴,12,3歳以上1000万下,,13,2,2,7.8,4,6,石橋脩,55.0,芝2500,稍,-1,2:35.5,1.5,100,10-10-10-9,30.9-35.2,34.8,526(-2),,,ギュスターヴクライ,0.0,7,11519.7,548.5571428571429,0.6619047619047621,93.95238095238095
108,108,2010/04/25,1福島6,晴,9,4歳以上500万下,,15,4,6,1.7,1,6,中舘英二,57.0,ダ1700,良,2,1:47.8,0.5,81,5-4-6-6,29.8-38.6,38.8,448(-4),,,デルマリゲル,0.0,9,10448.800000000001,227.14782608695654,0.7782608695652172,93.52173913043478
109,109,2013/08/04,3函館4,曇,11,札幌日経OP(OP),,10,2,2,52.5,8.0,1,津村明秀,55.0,芝2600,良,-5,2:41.5,0.0,102,9-9-9-4,36.2-37.8,36.7,464(-4),,,(ロードオブザリング),2221.7,10,8540.0,140.0,1.1131147540983606,84.21311475409836
110,110,2013/09/22,4中山7,晴,11,産経賞オールカマー(G2),,16,1,1,50.9,10,10,柴田大知,57.0,芝2200,良,-13.0,2:13.2,1.2,101.0,16-16-13-13,36.0-36.3,34.7,492(-14),,,ヴェルデグリーン,0.0,11,55203.80000000001,1104.0760000000002,0.6200000000000001,104.2
111,111,2013/08/18,4函館2,小雨,11.0,札幌記念(G2),,16,2.0,4,471.1,16.0,12,丸田恭介,57.0,芝2000,重,46.0,2:11.2,4.7,70.0,15-16-16-16,36.2-39.7,41.4,478(-2),,出遅れ,トウケイヘイロー,0.0,12,39713.200000000004,844.9617021276597,1.0382978723404253,103.25531914893617
112,112,2013/09/01,4函館6,曇,11,丹頂S(OP),,13,1,1,14.2,8,4,丹内祐次,53.0,芝2600,重,84,2:55.4,0.7,104,1-1-1-1,37.7-43.0,43.7,478(-6),,,サイモントルナーレ,330.0,13,10874.0,319.8235294117647,1.773529411764706,87.32352941176471
113,113,2011/11/06,5東京2,曇,11.0,アルゼンチン共和国杯(G2),,18.0,3.0,5,122.3,16.0,12,石橋脩,57.5,芝2500,良,-4.0,2:33.2,1.7,96.0,17-17-17-17,30.1-35.7,35.9,450(+6),,,トレイルブレイザー,0.0,1,44222.9,1028.4395348837209,0.8534883720930233,104.48837209302326
114,114,2011/10/16,5京都4,晴,8.0,3歳以上1000万下,,14.0,4.0,5,11.3,5.0,6,後藤浩輝,55.0,ダ1800,重,-11.0,1:51.4,0.7,100.0,8-9-11-13,36.6-36.1,35.7,476(+4),,,ソリタリーキング,0.0,3,9454.400000000001,450.2095238095239,0.6190476190476191,95.95238095238095
115,115,2011/10/16,4東京5,晴,8.0,3歳以上1000万下,,14.0,1.0,1,103.1,12.0,14,石橋脩,57.0,ダ2100,重,-2.0,2:13.2,1.9,87.0,7-7-6-6,30.8-38.0,39.3,468(-2),,,スギノブレイド,0.0,4,6318.299999999999,121.50576923076922,1.1288461538461538,82.23076923076923
116,116,2012/05/27,2東京12,晴,12.0,目黒記念(G2),,18.0,7.0,13,114.2,14.0,16,吉田隼人,57.0,芝2500,良,-15.0,2:32.3,1.7,89.0,11-10-10-10,29.4-34.8,35.6,476(-14),,,スマートロビン,0.0,5,39713.200000000004,923.5627906976745,0.8488372093023255,104.3953488372093
117,117,2011/10/09,5京都2,晴,11.0,京都大賞典(G2),,8.0,6.0,6,13.2,5.0,7,松岡正海,58.0,芝2400,良,-16.0,2:25.1,1.0,102.0,8-8-7-7,35.6-33.8,33.7,494(-2),,,ローズキングダム,0.0,7,54383.80000000001,1208.528888888889,0.5555555555555556,104.6
