,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
199,199,2020/03/15,1阪神6,小雨,9,淡路特別(2勝クラス),,11,7,9,20.0,7.0,11,藤岡佑介,55,芝2600,稍,-2,2:45.0,5.7,64,1-1-1-2,34.8-36.1,41.7,518(+8),,,ツーエムアロンソ,0.0,2,3999.8,222.2111111111111,1.044444444444444,86.05555555555556
200,200,2019/07/14,2函館4,曇,10,北海ハンデキャップ(2勝クラス),,11,7,10,4.9,2.0,6,福永祐一,53,芝2600,良,-2,2:42.3,0.6,92,6-6-5-6,38.2-36.2,36.4,468(0),,出遅れ,ポンデザール,0.0,3,3453.7,156.98636363636362,0.718181818181818,85.9090909090909
201,201,2019/05/18,3京都9,曇,9,メルボルンT(500万下),,9,5,5,1.7,1.0,1,川田将雅,56,芝2400,良,-12,2:25.7,-0.2,94,5-5-5-4,35.3-37.2,36.3,474(-8),,4角不利,(タニノドラマ),1020.3,4,4135.8,344.65000000000003,0.525,89.08333333333333
202,202,2019/05/04,3京都5,晴,5,3歳500万下,,16,2,4,25.9,8.0,7,松田大作,54,ダ1800,稍,-1,1:54.6,1.5,78,12-11-11-9,35.1-39.7,40.0,446(-2),,,アッシェンプッテル,0.0,5,2425.0,121.25,1.02,73.7
203,203,2017/08/19,2札幌1,晴,11,札幌日刊スポーツ杯(1000万下),,14,1,1,52.1,11.0,9.0,太宰啓介,54,芝2600,良,-7.0,2:43.0,2.1,89.0,6-6-9-8,37.2-36.9,38.1,480(+8),,,リッジマン,0.0,6.0,2915.2,71.10243902439024,1.3146341463414635,83.5609756097561
204,204,2018/05/05,2東京5,晴,11,プリンシパルS(OP),,14,3,4,4.8,2.0,5,戸崎圭太,56,芝2000,良,-18,1:58.5,0.3,100,5-5-4,35.3-35.1,34.5,472(+2),,,コズミックフォース,190.0,8,2990.2,299.02,0.45999999999999996,90.7
205,205,2018/11/17,高知,晴,8,寺井剛・結ご結婚特別,,10,8,10,7.5,3.0,2,岡村卓弥,54,ダ1300,重,-3,1:25.4,0.1,44,2-2-2-2,0.0-40.4,40.4,443(-2),,,サウストラベラー,6.0,9,1419.0,74.6842105263158,1.1842105263157894,66.21052631578948
206,206,2017/03/05,1阪神4,晴,5,3歳未勝利,,15,8,15,2.0,1.0,2,Ｍ．デム,56,芝1800,良,-7,1:46.2,0.4,104,13-11,34.8-35.3,33.9,470(-4),,,アドミラブル,200.0,10,4695.8,187.832,0.44,86.88
207,207,2019/08/24,2小倉9,曇,10,西海賞(2勝クラス),,11,7,9,5.3,3.0,4,和田竜二,55,芝2000,良,0,2:00.0,0.4,99,3-3-3-3,36.2-35.6,34.9,486(0),,,ブライトムーン,230.0,11,2134.4,194.03636363636363,0.8181818181818182,87.0909090909091
208,208,2019/09/16,4阪神5,晴,8,3歳以上1勝クラス,,9,8,9,13.3,7.0,4,武豊,54,芝1800,良,-15.0,1:47.5,0.3,87.0,3-3,36.6-33.6,33.7,500(-6),,,トーセンカンビーナ,110.0,12,2853.3,203.80714285714288,0.8571428571428573,85.57142857142857
209,209,2018/12/20,名古屋,曇,5,C15組,,10,1,1,2.0,1.0,1,岡部誠,56,ダ1400,重,7.0,1:31.8,-0.4,53.0,1-1-1,0.0-39.2,39.2,507(-5),,,(バンブトンエガオ),23.0,1,2431.0,151.9375,0.41250000000000003,78.0625
210,210,2020/03/14,1中京5,曇,8,4歳以上1勝クラス,,16,2,4,103.2,13.0,10,亀田温心,52,芝1600,重,9.0,1:37.4,1.1,83.0,7-8-10,36.4-35.1,35.3,440(-4),,,シャドウアイランド,0.0,2,1080.0,83.07692307692308,1.176923076923077,82.3076923076923
211,211,2018/07/29,1札幌2,晴,5,2歳新馬,,10,5,5,3.8,3.0,6,ルメール,54,芝1800,良,-14.0,1:55.0,0.8,48.0,7-3-4-4,40.2-34.6,35.1,472(0),,,クラージュゲリエ,0.0,3,1820.0,113.75,0.7187500000000001,77.1875
