,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/10/30,4東京7,晴,11,アルテミスS(G3),,11,4,4,12.0,5,6,横山武史,54,芝1600,良,-21,1:34.7,0.7,79,4-5,35.2-34.8,34.5,450(-2),,,サークルオブライフ,0.0,1,1844.5,461.125,0.22499999999999998,86.75
1,1,2021/12/26,5中山8,晴,4,2歳未勝利,,18,3,5,5.8,3,1,Ｍ．デム,54,芝2000,良,-3,2:02.6,-0.2,86,15-13-3-2,36.9-35.6,35.4,498(+4),,,(ベジャール),510.0,2,927.0,309.0,0.033333333333333326,80.0
2,2,2021/12/12,5中山4,曇,5,2歳新馬,,16,2,3,4.7,2,1,津村明秀,55,芝1600,良,-10,1:36.7,-0.1,71,6-7-6,37.3-34.6,33.9,484(0),,,(スパイダーゴールド),700.0,3,963.5,481.75,-0.05,82.0
3,3,2021/07/10,1福島3,曇,5,2歳新馬,,12,2,2,2.9,1,1,柴田大知,54,芝1800,稍,-2.0,1:51.9,-0.5,64.0,1-1-1-1,38.1-36.1,36.1,476(0),,,(シエラプリンセサ),700.0,4,1320.0,440.0,0.3,77.0
4,4,2021/12/04,5中山1,晴,9,葉牡丹賞(1勝クラス),,15,2,2,23.5,7,2,津村明秀,54,芝2000,良,-14,2:00.6,0.0,90,10-10-8-8,36.1-35.6,34.9,480(+14),,,ボーンディスウェイ,409.2,5,1302.2,325.55,0.125,80.5
5,5,2021/10/17,5新潟4,曇,3,2歳未勝利,,14,7,11,19.3,9.0,1,藤井勘一,55,芝2000,重,16,2:06.0,0.0,68,12-12-13-11,36.2-36.9,36.0,474(0),,,(プレシャスソウル),510.0,6,587.0,117.4,0.82,72.8
6,6,2022/01/05,1中山1,晴,5,3歳1勝クラス,,9,3,3,8.2,4,5,石橋脩,56,芝2000,良,-5,2:02.8,0.9,84,8-8-8-7,37.4-34.3,34.5,496(+2),,出遅れ,アスクビクターモア,75.0,7,1178.2,235.64000000000001,0.32,82.0
7,7,2021/11/13,5東京3,晴,4,2歳未勝利,,15,5,8,7.2,3,5,田辺裕信,55,芝1800,良,-10,1:48.3,0.5,85,1-1-1,36.4-35.0,35.5,484(+6),,S不利,ショウナンマグマ,51.0,8,1263.0,126.3,0.7,74.1
8,8,2021/10/02,4中山8,晴,9,芙蓉S(OP),,10,7,7,29.1,8,6,柴田大知,55,芝2000,良,-15,2:01.5,0.6,81,3-3-4-3,34.8-35.6,35.9,460(+2),,,ラーグルフ,0.0,9,710.0,101.42857142857143,0.8428571428571429,70.71428571428571
9,9,2021/10/30,4阪神7,晴,2,2歳未勝利,,10,2,2,2.3,2,3,和田竜二,55,芝1600,良,-13,1:35.6,0.2,89,4-4,36.6-33.5,33.3,478(0),,,ビーアストニッシド,130.0,10,920.0,230.0,0.425,77.75
10,10,2021/12/11,5中山3,晴,3,2歳未勝利,,15,4,7,58.9,9,1,酒井学,55,ダ1800,稍,-9,1:54.9,-0.2,80,2-2-2-2,37.1-39.6,39.5,450(+6),,,(インペラートル),510.0,11,510.0,170.0,1.5666666666666667,62.666666666666664
11,11,2021/12/04,6阪神1,曇,9,再度山特別(2勝クラス),,9,6,6,3.0,2,3,岩田望来,55,芝1800,良,-7,1:47.5,0.4,91,3-3,36.3-34.3,34.1,490(+10),,,オヌール,383.3,1,4437.299999999999,403.390909090909,0.22727272727272727,89.18181818181819
12,12,2021/11/13,5東京3,晴,8,3歳以上2勝クラス,,11,2,2,3.6,2,2,戸崎圭太,56,芝1600,良,-10,1:33.6,0.3,101,7-7,35.6-34.3,34.0,490(+4),,,リフレイム,440.0,2,2762.4,394.62857142857143,0.15714285714285717,89.14285714285714
13,13,2021/12/19,6中京6,曇,9,3歳以上1勝クラス,,18,5,10,31.8,11,6,亀田温心,53,芝2000,良,-3.0,2:02.0,0.4,87.0,6-6-9-8,36.6-35.9,35.5,462(-4),,,アトミックフレア,0.0,3,2677.3,223.10833333333335,0.8250000000000002,85.16666666666667
14,14,2021/12/18,5中山5,晴,12,3歳以上2勝クラス,,14,4,5,106.4,11,12,鮫島克駿,55,芝1800,稍,-5,1:50.2,0.8,78,10-12-10-10,37.7-35.7,35.3,470(-2),,,ヤマニンデンファレ,0.0,4,7993.800000000001,177.64000000000001,0.731111111111111,89.73333333333333
15,15,2021/12/25,5中山7,曇,12,クリスマスC(2勝クラス),,16,3,5,20.0,6,12,横山和生,56,芝1600,稍,-2,1:36.0,1.9,83,3-6-9,35.0-35.5,36.2,500(0),,,ソウルラッシュ,0.0,5,1691.0,241.57142857142858,0.6714285714285714,87.0
16,16,2021/11/21,5東京6,曇,10,南武特別(2勝クラス),,12,1,1,86.2,9,12,江田照男,57,芝2400,良,-13,2:29.8,3.8,67,4-6-7-8,36.9-35.5,37.7,498(+14),,,レイオブウォーター,0.0,6,1926.6,87.57272727272726,1.4181818181818182,77.36363636363636
17,17,2021/08/29,2札幌6,晴,12,支笏湖特別(2勝クラス),,13,2,2,9.0,5,2,藤岡佑介,55,芝1800,良,-12,1:47.8,0.2,98,4-3-3-3,36.3-35.7,35.6,468(+2),,,ラヴユーライヴ,610.0,1,3918.0,279.85714285714283,0.29999999999999993,83.71428571428571
18,18,2021/12/12,5中山4,晴,8,3歳以上1勝クラス,,16,5,9,2.0,1,1,横山武史,54,芝1800,良,-10,1:48.0,-0.1,95,10-10-14-12,36.7-35.4,34.3,464(+6),,出遅れ,(カランドゥーラ),760.0,2,1900.0,380.0,0.13999999999999999,83.4
19,19,2021/10/17,5新潟4,曇,9,3歳以上1勝クラス,,17,6,12,64.0,15,8,秋山稔樹,51,芝1800,重,16,1:49.5,1.0,81,5-6,35.3-35.6,36.1,438(0),,,ルーツドール,0.0,3,790.0,112.85714285714286,0.7428571428571428,84.14285714285714
20,20,2021/09/11,4中山1,晴,11,紫苑S(G3),,18,8,18,29.2,11,11,横山武史,54,芝2000,良,-19,1:59.0,0.8,98,9-9-9-7,35.3-34.8,34.8,458(-4),,,ファインルージュ,0.0,4,2350.0,293.75,0.0875,85.875
