,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,上り平均,勝率
0,0,2019/02/22,船橋,曇,1,3歳　未受賞(未出走),,11,7,9,8.9,4.0,2,張田昂,56.5,ダ1200,稍,7,1:18.5,0.3,25,3-3-3,37.4-40.8,40.5,486(-1),,,キングイスカンダル,52.0,1,182.0,60.666666666666664,1.0666666666666667,19.333333333333332,41.166666666666664,0.7666666666666667
1,1,2019/02/22,船橋,曇,1,3歳　未受賞(未出走),,11,4,4,39.7,8.0,5,高橋利幸,54.5,ダ1200,稍,7,1:18.7,0.5,22,6-7-7,37.4-40.8,39.7,429(0),,,キングイスカンダル,13.0,2,65.0,32.5,0.35,26.0,39.8,0.7619047619047619
2,2,2019/02/22,船橋,曇,3,3歳七,,11,5,5,20.7,7.0,7,笹川翼,54.5,ダ1200,稍,7.0,1:19.3,3.4,14.0,1-1-1,37.2-38.7,42.1,473(+1),,,ミスタージョイ,0.0,3,97.5,10.833333333333334,1.966666666666667,23.444444444444443,40.233333333333334,0.4222222222222222
3,3,2019/02/22,船橋,曇,2,3歳八,,10,8,9,3.5,3.0,3,村上忍,54.5,ダ1200,稍,7,1:19.0,0.4,18,5-5-3,38.4-40.2,40.0,445(-2),,,ハクサンナデシコ,32.5,4,65.0,21.666666666666668,0.8000000000000002,21.666666666666668,40.26666666666667,0.6896551724137931
4,4,2019/02/22,船橋,曇,2,3歳八,,10,7,7,37.6,8.0,5,山中悠希,54.5,ダ1200,稍,7,1:19.6,1.0,10,8-9-9,38.4-40.2,40.0,467(+6),,,ハクサンナデシコ,13.0,5,61.0,10.166666666666666,1.7166666666666668,-0.16666666666666666,41.13333333333333,0.4666666666666667
5,5,2019/02/22,船橋,曇,3,3歳七,,11,1,1,26.6,8.0,10,左海誠二,56.5,ダ1200,稍,7,1:19.8,3.9,7,5-6-6,37.2-38.7,41.6,454(0),,,ミスタージョイ,0.0,6,52.0,8.666666666666666,2.2,-5.666666666666667,41.699999999999996,0.4827586206896552
6,6,2019/02/22,船橋,曇,2,3歳八,,10,7,8,8.8,4.0,4,町田直希,56.5,ダ1200,稍,7,1:19.4,0.8,12,9-6-6,38.4-40.2,40.1,439(-5),,,ハクサンナデシコ,19.5,7,46.5,9.3,2.0,7.4,40.36,0.52
7,7,2019/02/22,船橋,曇,2,3歳八,,10,6,6,28.1,6.0,10,岡村健司,56.5,ダ1200,稍,7,1:20.6,2.0,-4,6-8-8,38.4-40.2,41.2,473(+5),,,ハクサンナデシコ,0.0,8,35.0,5.0,2.642857142857143,-5.714285714285714,41.5,0.25396825396825395
8,8,2019/03/01,川崎,曇,1,3歳9,,12,8,12,70.0,9.0,7,中越琉世,53.0,ダ1400,不,0.0,1:36.0,2.3,4.0,7-6-6-7,38.8-41.9,43.2,437(-3),,,ミヤビハヤテ,0.0,9,15.6,3.9,3.35,-10.75,41.8,0.34210526315789475
9,9,2019/03/01,川崎,曇,2,3歳8,,12,7,10,418.8,12.0,8,櫻井光輔,53.0,ダ1400,不,0,1:37.3,2.2,-10,9-9-9-10,39.0-43.2,43.1,374(-4),,,スタービアンカ,0.0,10,32.4,4.628571428571428,3.942857142857143,-22.428571428571427,44.271428571428565,0.16393442622950818
10,10,2019/02/28,川崎,雨,1,3歳7,,12,7,9,63.9,8.0,8,笹川翼,54.0,ダ1400,稍,0,1:36.8,1.9,-5,12-11-9-8,40.9-41.4,42.2,422(+2),,,ノットソーキュート,0.0,11,63.599999999999994,7.066666666666666,3.5999999999999996,-19.88888888888889,43.05555555555556,0.25925925925925924
11,11,2019/02/22,船橋,曇,2,3歳八,,10,2,2,30.1,7.0,8,半澤慶実,54.5,ダ1200,稍,7,1:20.1,1.5,3,1-1-2,38.4-40.2,41.7,458(+7),,,ハクサンナデシコ,0.0,12,48.5,6.928571428571429,2.6285714285714286,-1.8571428571428572,41.8,0.30158730158730157
