,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,上り平均,勝率
31,31,2020/10/31,高知,晴,7,C2ー6,,10,6,6,21.3,6,5,多田羅誠,53,ダ1300,稍,-3,1:27.0,0.4,25,1-1-1-1,0.0-40.7,41.1,499(+7),,,ハッピーテーラー,5.0,7,1416.8,25.759999999999998,1.267272727272727,56.018181818181816,38.89636363636364,0.523728813559322
32,32,2020/10/31,高知,晴,7,C2ー6,,10,7,8,60.9,8.0,9.0,木村直輝,56,ダ1300,稍,-3.0,1:28.8,2.2,3.0,9-10-9-10,0.0-40.7,40.7,467(+2),,,ハッピーテーラー,0.0,8.0,732.5,33.29545454545455,2.5090909090909093,43.5,40.15,0.39147286821705424
33,33,2020/10/31,高知,晴,7,C2ー6,,10,4,4,267.0,9,8,大澤誠志,56,ダ1300,稍,-3,1:28.4,1.8,8,10-9-10-8,0.0-40.7,40.2,503(+3),,,ハッピーテーラー,0.0,9,441.4,5.3180722891566266,1.5867469879518077,27.397590361445783,40.57108433734939,0.49879227053140096
34,34,2020/10/31,高知,晴,7,C2ー6,,10,8,9,320.4,10,10,妹尾将充,54,ダ1300,稍,-3,1:29.3,2.7,-3,7-8-8-9,0.0-40.7,41.7,448(-3),,,ハッピーテーラー,0.0,10,300.6,5.010000000000001,1.4150000000000003,22.283333333333335,41.275000000000006,0.47795414462081126
35,35,2020/01/26,高知,曇,5,C2ー3,,10,3,3,20.8,5.0,5.0,倉兼育康,56,ダ1400,不,-16.0,1:31.8,1.2,35.0,10-10-9-7,0.0-39.4,38.6,466(+2),,,キモンリッチ,4.0,1.0,284.59999999999997,4.5174603174603165,1.2365079365079368,29.88888888888889,39.94761904761905,0.5963455149501661
36,36,2020/01/21,高知,晴,5,全日本新人王争覇戦第,,11,7,9,20.7,10.0,1.0,出水拓人,56,ダ1400,重,7.0,1:33.8,-0.2,36.0,7-6-5-4,0.0-41.6,40.8,442(+3),,,(ワイルドジーク),60.0,2.0,1677.4,41.935,1.2425,51.25,39.915000000000006,0.6748329621380846
37,37,2020/01/26,高知,曇,9,厳寒特別,,10,7,8,26.0,7.0,10,高松亮,56,ダ1400,不,-16.0,1:33.4,3.0,17.0,3-4-5-10,0.0-39.2,41.7,483(+1),,,ヤマニンシャンデル,0.0,3,287.0,8.2,1.5114285714285716,19.914285714285715,41.28000000000001,0.5030120481927711
38,38,2020/01/26,高知,曇,7,高知競馬の名脇役特別,,10,3,3,24.4,7.0,5.0,倉兼育康,54,ダ1400,不,-16.0,1:31.6,0.5,38.0,6-7-6-6,0.0-39.6,39.5,486(-1),,,コジョウザン,4.0,4.0,1104.0,18.098360655737704,1.062295081967213,44.704918032786885,40.218032786885246,0.5947611710323575
39,39,2020/01/26,高知,曇,9,厳寒特別,,10,6,6,47.5,10.0,7,郷間勇太,54,ダ1400,不,-16.0,1:31.6,1.2,38.0,8-8-8-7,0.0-39.2,39.3,428(+4),,,ヤマニンシャンデル,0.0,5,275.50000000000006,5.8617021276595755,1.3404255319148932,32.91489361702128,40.29574468085106,0.6053811659192825
40,40,2020/01/26,高知,曇,7,高知競馬の名脇役特別,,10,8,11,4.7,3.0,10,妹尾将充,51,ダ1400,不,-16.0,1:32.5,1.4,27.0,9-9-10-10,0.0-39.6,39.9,484(-2),,,コジョウザン,0.0,6,1174.6,30.117948717948714,0.8307692307692306,64.02564102564102,39.09487179487179,0.6017316017316018
41,41,2020/01/26,高知,曇,9,厳寒特別,,10,1,1,40.6,8.0,6,妹尾将充,53,ダ1400,不,-16.0,1:31.3,0.9,41.0,9-9-9-6,0.0-39.2,38.7,504(-2),,,ヤマニンシャンデル,0.0,7,245.8,5.120833333333334,1.8937499999999998,27.270833333333332,41.42291666666667,0.4906832298136646
42,42,2020/01/26,高知,曇,2,C2ー6,,8,7,7,1.8,1.0,4,塚本雄大,55,ダ1400,不,-16.0,1:32.8,1.0,24.0,5-5-5-4,0.0-40.2,40.3,470(-2),,,プロムナード,6.0,8,181.1,6.244827586206896,1.1689655172413793,31.724137931034484,40.762068965517244,0.5770491803278689
