,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
347,347,2019/12/22,5阪神8,曇,6,2歳新馬,,18,2,4,2.8,1,2,水口優也,54,芝1400,良,-13.0,1:22.9,0.0,74.0,1-1,35.6-35.1,35.1,418(0),,,カバジェーロ,280.0,8,1067.0,152.42857142857142,0.4428571428571428,84.14285714285714
348,348,2020/11/08,3福島4,晴,8,3歳以上1勝クラス,,13,4,4,52.6,12,5,木幡初也,54,芝1200,良,0,1:10.3,0.5,81,5-6,34.3-35.5,35.5,406(-12),,,ルクルト,76.0,9,576.0,64.0,0.9555555555555555,78.88888888888889
349,349,2020/07/04,2函館1,曇,9,3歳以上1勝クラス,,10,7,7,52.9,9,10,亀田温心,52,ダ1700,稍,-16.0,1:48.6,2.3,60.0,2-2-8-10,30.9-38.2,39.8,456(+2),,,イーサンティラノ,0.0,10,896.0,52.705882352941174,1.6176470588235294,76.88235294117646
350,350,2018/12/01,5阪神1,晴,5,2歳新馬,,13,6,8,46.7,8,13,小牧太,54.0,芝1600,良,-15,1:39.0,2.4,37,11-13,37.0-34.2,35.1,422(0),,,キュールエミヤビ,0.0,11,540.0,54.0,0.6,62.1
351,351,2020/06/06,3阪神1,晴,5,2歳新馬,,10,6,6,28.9,7,2,和田竜二,54,芝1600,良,-12.0,1:36.7,0.1,68.0,2-1,36.6-34.5,34.6,402(0),,,ダディーズビビッド,280.0,5,382.0,76.4,0.8399999999999999,74.6
352,352,2021/03/07,1阪神8,晴,5,3歳未勝利,,12,8,11,88.7,9,11,角田大和,53,芝2200,良,-9.0,2:16.9,2.6,72.0,11-11-11-10,34.8-36.2,37.8,470(0),,出遅れ,アルバーシャ,0.0,9,0.0,0.0,2.5666666666666664,61.0
353,353,2020/08/08,2新潟5,雨,6,2歳新馬,,15,4,6,42.5,11,15,西村淳也,54,ダ1800,重,-13.0,2:02.9,8.2,-2.0,13-15-15-15,36.6-37.6,42.8,474(0),,,サウンドブレイズ,0.0,10,260.0,52.0,2.38,66.4
354,354,2021/01/31,1小倉6,晴,1,3歳未勝利,,14,6,10,31.9,7,14,吉田隼人,54,ダ1700,稍,-5.0,1:54.8,7.2,0.0,6-5-8-13,29.9-39.4,45.8,548(+4),,出遅れ,ラブオブマイライフ,0.0,15,0.0,0.0,4.7,27.0
355,355,2020/11/28,5阪神8,晴,6,2歳新馬,,17,8,15,17.8,7,8,武豊,54,芝1600,良,-10.0,1:36.8,0.3,67.0,3-3,35.9-35.5,35.5,440(0),,,ティフォーザ,0.0,16,0.0,0.0,2.1,60.333333333333336
356,356,2020/12/13,6阪神4,曇,8,3歳以上2勝クラス,,13,8,12,8.2,4,7,藤井勘一,56,芝1600,良,-10,1:34.0,0.5,95,8-8,35.4-34.9,34.7,478(+12),,直線不利,ナンヨープランタン,0.0,1,6445.900000000001,379.17058823529413,0.3529411764705883,90.0
