,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,最初コーナー,最終コーナー,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,本番年齢,レース評価,レース評価平均
163,163,2021/10/16,5新潟3,曇,10,粟島特別(1勝クラス),,13,7,11,41.2,9,10,柴山雄一,55,芝1800,良,-3,1:48.7,0.8,77,2-2,36.9-34.3,35.0,470(+4),,,ハリウッドヒルズ,0.0,7,570.0,95.0,0.6333333333333334,80.0,16,63,12.6,36.166666666666664,0.632183908045977,2.0,2.0,-8.0,-8.0,0.0,1.8333333333333333,1.8333333333333333,-4.5,-4.5,0.0,3,2.0236686390532546,1.3754513318175177
164,164,2021/04/17,3中山7,曇,7,4歳以上1勝クラス,,15,8,15,143.3,15,13,石川裕紀,55,芝2200,良,-8,2:15.8,1.6,84,11-11-10-11,36.8-35.3,36.0,440(0),,出遅れ,アラタ,0.0,8,1271.0,57.77272727272727,1.018181818181818,78.18181818181819,20,488,22.181818181818183,36.51818181818182,0.5344262295081967,11.0,11.0,-2.0,-2.0,0.0,6.363636363636363,7.0,-1.0909090909090908,-0.45454545454545453,0.6363636363636364,4,2.013333333333333,1.448843252555764
165,165,2021/09/05,2札幌8,晴,8,3歳以上1勝クラス,,14,4,6,17.4,8,6,原田和真,57,芝1800,稍,7,1:51.8,0.5,80,3-3-2-2,37.4-36.5,36.9,466(+2),,,ペドラフォルカ,0.0,9,1915.2,83.2695652173913,0.7478260869565215,76.69565217391305,43,398,18.09090909090909,36.24347826086957,0.5354609929078015,3.0,2.0,-4.0,-3.0,1.0,2.8260869565217392,2.652173913043478,-3.869565217391304,-4.043478260869565,-0.17391304347826086,4,2.045918367346939,1.6955629133269519
166,166,2021/10/17,5新潟4,曇,9,3歳以上1勝クラス,,17,7,13,261.7,17.0,12,小牧太,55,芝1800,重,16,1:49.9,1.4,77,14-13,35.3-35.6,36.1,428(+4),,直線不利,ルーツドール,0.0,10,281.70000000000005,9.087096774193549,0.9387096774193547,50.903225806451616,28,254,31.75,39.02258064516129,0.6222910216718266,14.0,13.0,1.0,2.0,1.0,5.967741935483871,6.548387096774194,1.032258064516129,1.6129032258064515,0.5806451612903226,5,2.0207612456747404,0.42656418946464153
167,167,2021/09/11,4中山1,晴,7,3歳以上1勝クラス,,13,4,5,46.4,7,4,菊沢一樹,57,芝1800,良,-19,1:47.2,0.6,98,7-7-8-7,36.3-34.3,34.3,474(-4),,,アールバロン,110.0,11,1320.0,94.28571428571429,0.9142857142857143,81.71428571428571,-13,423,32.53846153846154,35.99285714285715,0.5789473684210527,7.0,7.0,3.0,3.0,0.0,7.571428571428571,9.428571428571429,0.8571428571428571,2.7142857142857144,1.8571428571428572,4,2.059171597633136,1.6140634131188367
168,168,2021/09/25,4中山6,曇,6,3歳以上1勝クラス,,15,2,3,3.8,1,3,横山武史,54,芝2000,良,-17,2:00.8,0.1,88,1-1-1-1,36.8-35.1,35.2,494(+2),,,レインカルナティオ,190.0,12,1301.0,144.55555555555554,0.588888888888889,84.33333333333333,-4,107,11.88888888888889,35.1,0.7008547008547008,1.0,1.0,-2.0,-2.0,0.0,6.0,6.444444444444445,1.1111111111111112,1.5555555555555556,0.4444444444444444,3,2.057777777777778,1.718664624079672
169,169,2021/08/07,1函館11,晴,9,八雲特別(1勝クラス),,10,4,4,58.2,9,10,岩田康誠,57,芝1800,良,-5,1:50.9,2.5,70,9-9-10-10,36.8-35.9,37.3,478(-2),,,アイリッシュムーン,0.0,13,1587.0,66.125,1.4000000000000001,77.58333333333333,33,768,32.0,36.762499999999996,0.38596491228070173,9.0,10.0,0.0,-1.0,-1.0,6.666666666666667,7.25,-0.16666666666666666,0.4166666666666667,0.5833333333333334,5,2.01,1.6226882056709002
170,170,2021/08/29,4新潟6,晴,4,3歳未勝利,,18,3,6,5.8,3,4,藤田菜七,52,芝2000,良,-5,2:02.4,0.3,76,15-15-7-8,36.2-35.7,35.4,422(0),,出遅れ,マイネルパリオート,77.0,14,968.0,96.8,0.58,76.9,33,279,27.9,35.550000000000004,0.7605633802816901,15.0,8.0,4.0,11.0,7.0,8.9,10.9,4.5,6.5,2.0,3,1.0462962962962963,1.0523341010015117
171,171,2021/10/10,4東京2,曇,7,3歳以上1勝クラス,,12,5,6,370.5,12,11,山田敬士,55,芝1800,良,-18,1:48.2,1.6,82,11-9-11,36.0-34.1,34.9,496(+6),,,ドンナセレーノ,0.0,15,220.09999999999997,7.589655172413792,0.8862068965517241,48.96551724137931,13,150,21.428571428571427,38.5551724137931,0.6312292358803987,11.0,11.0,0.0,0.0,0.0,4.862068965517241,6.758620689655173,0.034482758620689655,1.9310344827586208,1.896551724137931,5,2.013888888888889,0.3850917484892848
172,172,2021/10/16,5新潟3,曇,7,3歳以上1勝クラス,,12,4,4,98.9,10,9,小林脩斗,54,芝2000,良,-3,2:02.3,2.5,72,1-1,35.7-35.0,37.5,426(-2),,,ビートザウイングス,0.0,16,1292.0,80.75,0.90625,81.75,32,289,19.266666666666666,36.39375,0.4842105263157895,1.0,1.0,-8.0,-8.0,0.0,5.1875,5.875,-1.9375,-1.25,0.6875,4,2.0277777777777777,1.852897797284423
173,173,2021/06/26,3東京7,曇,5,2歳新馬,,10,6,6,4.4,2,4,Ｍ．デム,54,芝1800,良,-20,1:49.3,1.1,73,6-5-5,38.1-33.5,34.3,494(0),,出遅れ,ジオグリフ,110.0,1,110.0,110.0,1.1,73.0,24,24,24.0,34.3,0.6666666666666666,6.0,5.0,1.0,2.0,1.0,5.0,6.0,1.0,2.0,1.0,2,1.07,1.07
174,174,2021/06/26,3東京7,晴,1,2歳未勝利,,8,3,3,41.7,5,4,柴田善臣,54,芝1600,良,-20,1:36.0,0.2,74,6-5,37.3-34.0,33.7,456(0),,出遅れ,フェスティヴボス,77.0,2,77.0,38.5,0.75,67.0,21,49,24.5,34.55,0.3684210526315789,6.0,5.0,1.0,2.0,1.0,6.5,5.5,-0.5,-1.5,-1.0,2,1.078125,1.0508968195266273
175,175,2021/07/04,1福島2,小雨,5,2歳新馬,,16,5,10,10.7,5,2,木幡巧也,54,芝1800,良,-6,1:52.7,0.6,54,8-8-5-7,37.9-36.0,36.4,474(0),,,ウインピクシス,280.0,3,280.0,280.0,0.6,54.0,47,47,47.0,36.4,0.9333333333333333,8.0,7.0,5.0,6.0,1.0,7.0,8.0,5.0,6.0,1.0,2,1.05859375,1.05859375
176,176,2021/06/27,3東京8,曇,6,2歳新馬,,15,3,5,36.4,7,11,Ｍ．デム,54,ダ1400,良,-4,1:29.7,3.2,39,12-10,37.2-36.9,38.1,444(0),,出遅れ,コンバスチョン,0.0,4,0.0,0.0,3.2,39.0,62,62,62.0,38.1,0.2857142857142857,12.0,10.0,-1.0,1.0,2.0,10.0,12.0,-1.0,1.0,2.0,2,1.0222222222222221,1.0222222222222221
177,177,2021/06/13,3東京4,曇,5,2歳新馬,,8,5,5,35.9,6,6,岩部純二,54,芝1800,良,-18,1:52.1,1.2,51,4-4-5,38.7-34.3,35.2,486(0),,,ヴァーンフリート,0.0,5,0.0,0.0,1.2,51.0,52,52,52.0,35.2,0.2857142857142857,4.0,5.0,-1.0,-2.0,-1.0,5.0,4.0,-1.0,-2.0,-1.0,2,1.046875,1.046875
178,178,2021/06/27,3東京8,曇,5,2歳新馬,,16,7,13,79.6,13,10,的場勇人,54,芝1600,良,-19,1:36.7,1.3,61,3-3,35.9-34.6,35.7,478(0),,,アバンチュリエ,0.0,6,0.0,0.0,1.3,61.0,28,28,28.0,35.7,0.4,3.0,3.0,-7.0,-7.0,0.0,3.0,3.0,-7.0,-7.0,0.0,2,1.02734375,1.02734375
179,179,2021/06/20,3東京6,晴,5,2歳新馬,,16,4,7,31.8,8.0,9,江田照男,54,芝1400,稍,-14.0,1:27.2,1.5,38.0,9-9,39.0-33.6,34.4,458(0),,出遅れ,キミワクイーン,0.0,7,0.0,0.0,1.5,38.0,62,62,62.0,34.4,0.4666666666666667,9.0,9.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,2,1.03125,1.03125
180,180,2021/06/26,1札幌5,晴,1,2歳未勝利,,14,7,12,192.8,14,9,山田敬士,52,芝1200,良,-23,1:10.7,1.7,61,8-9,33.9-35.1,36.2,442(+2),,,リトス,0.0,8,0.0,0.0,1.9,57.5,17,37,18.5,35.900000000000006,0.32,8.0,9.0,0.0,-1.0,-1.0,9.5,9.0,0.0,-0.5,-0.5,2,1.030612244897959,1.0271404419756067
181,181,2021/07/04,1福島2,小雨,1,2歳未勝利,,9,1,1,4.9,3,4,石川裕紀,54,芝1800,良,-8,1:52.7,1.0,52,7-7-8-7,37.8-35.9,35.9,466(-2),,,グランドライン,77.0,9,147.0,73.5,1.0,52.5,47,97,48.5,35.599999999999994,0.5333333333333333,7.0,7.0,3.0,3.0,0.0,4.0,4.0,-0.5,-0.5,0.0,2,1.074074074074074,1.068287037037037
182,182,2021/07/04,1福島2,小雨,5,2歳新馬,,16,4,8,68.5,10,7,藤田菜七,52,芝1800,良,-6,1:52.9,0.8,54,16-16-13-13,37.9-36.0,35.6,436(0),,出遅れ,ウインピクシス,0.0,10,0.0,0.0,0.8,54.0,49,49,49.0,35.6,0.6,16.0,13.0,6.0,9.0,3.0,13.0,16.0,6.0,9.0,3.0,2,1.0390625,1.0390625
183,183,2021/07/04,1福島2,小雨,5,2歳新馬,,16,1,1,6.4,3,3,三浦皇成,54,芝1800,良,-6,1:52.8,0.7,53,3-3-5-3,37.9-36.0,36.4,444(0),,,ウインピクシス,180.0,11,180.0,180.0,0.7,53.0,48,48,48.0,36.4,0.8666666666666667,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2,1.0546875,1.0546875
184,184,2021/06/19,3東京5,雨,5,2歳新馬,,16,1,2,55.8,9,7,津村明秀,54,芝1600,稍,-15,1:37.5,0.7,64,10-7,37.0-34.1,34.2,466(0),,,アライバル,0.0,12,0.0,0.0,0.7,64.0,36,36,36.0,34.2,0.6,10.0,7.0,0.0,3.0,3.0,7.0,10.0,0.0,3.0,3.0,2,1.0390625,1.0390625
185,185,2021/06/05,3東京1,晴,5,2歳新馬,,11,7,9,90.1,10,5,武藤雅,54,芝1600,良,-19,1:37.0,1.6,57,6-6,36.5-34.6,35.8,470(0),,,コマンドライン,70.0,13,70.0,70.0,1.6,57.0,31,31,31.0,35.8,0.6,6.0,6.0,1.0,1.0,0.0,6.0,6.0,1.0,1.0,0.0,2,1.0578512396694215,1.0578512396694215
