,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,上り平均,勝率
0,0,2019/08/20,浦和,曇,6,C3二　三四,,11,2,2,3.6,2,1,山崎真,54,ダ1400,重,-18,1:30.0,-0.7,60,4-4-4-4,37.6-39.2,38.7,435(-7),,,(クールスパート),80.0,1,912.8,22.26341463414634,1.2585365853658539,34.90243902439025,39.47317073170732,0.5547445255474452
1,1,2019/08/19,浦和,晴,9,一本ねぎの横綱は越谷,,12,3,3,7.2,4.0,1,笹川翼,53.0,ダ1400,良,-16,1:29.7,-1.2,65,1-1-1-1,37.7-39.1,39.1,495(-3),,,(ボナリー),100.0,2,915.6999999999999,15.520338983050847,1.1932203389830507,44.50847457627118,40.489830508474576,0.5633116883116883
2,2,2019/08/20,浦和,曇,7,C3二　三四,,12,3,3,1.5,1.0,1,福原杏,51,ダ1500,重,-18,1:36.9,-0.9,60,3-3-3-2,30.7-38.6,38.4,459(-3),,,(キンショーブラック),80.0,3,856.6999999999999,14.770689655172413,0.8931034482758624,45.8448275862069,39.79827586206896,0.6056338028169014
3,3,2019/08/19,浦和,晴,9,一本ねぎの横綱は越谷,,12,4,4,11.1,5,3,寺島憂人,55,ダ1400,良,-16,1:31.1,1.4,50,4-4-4-5,37.7-39.1,40.0,446(+6),,,ケイティーアニマル,20.0,4,1131.8000000000002,12.575555555555557,1.5033333333333334,42.51111111111111,40.67666666666667,0.4788732394366197
4,4,2019/09/02,船橋,晴,3,C2四　五六　ア,,9,6,6,8.1,4,7,山口達弥,56.0,ダ1500,稍,-1,1:40.4,2.0,26,9-9-8-9,31.7-41.0,42.1,468(-1),,,ウインウェルス,0.0,5,890.7,25.44857142857143,1.0028571428571431,45.885714285714286,40.294285714285714,0.6470588235294118
5,5,2019/08/16,浦和,曇,7,コバトン&うまたせ!,,11,2,2,7.1,3,8,澤田龍哉,54.0,ダ1500,良,-17,1:42.7,4.2,1,9-8-9-5,30.1-41.9,43.7,479(-5),,,キシュウマイウェイ,0.0,6,974.3,16.798275862068966,1.5793103448275858,64.17241379310344,38.775862068965516,0.38803894297635605
6,6,2019/08/16,浦和,曇,7,コバトン&うまたせ!,,11,8,11,28.8,8.0,3.0,内田利雄,56.0,ダ1500,良,-17.0,1:39.6,1.1,33.0,4-5-5-3,30.1-41.9,41.4,490(+8),,,キシュウマイウェイ,20.0,7.0,1072.7000000000003,11.058762886597941,1.4309278350515462,36.8041237113402,41.22783505154638,0.5332671300893744
7,7,2019/09/02,船橋,晴,7,C2四　五六　ウ,,12,5,5,285.3,12,12,国分祐仁,54.0,ダ1200,稍,-1.0,1:18.8,2.9,13.0,9-10-11,36.9-39.0,39.6,467(-2),,,フィーア,0.0,8,866.9999999999999,6.2374100719424455,1.9496402877697843,33.02158273381295,41.06474820143883,0.36016655100624567
8,8,2019/07/23,川崎,曇,6,あつぎ食ブランドOE,,12,6,7,25.8,8,10,酒井忍,54,ダ1400,稍,-2,1:35.0,2.9,14,11-11-12-12,37.9-42.0,42.0,468(0),,,アーガマ,0.0,9,898.0,17.607843137254903,1.5352941176470585,51.94117647058823,39.57647058823529,0.4878048780487805
9,9,2019/07/25,浦和,曇,9,夏の土用浦和のうなぎ,,11,2,2,1.4,1,5,橋本直哉,56,ダ1400,良,-16,1:30.9,0.5,52,6-5-3-3,36.7-40.6,40.7,502(-8),,,ナオトラ,10.0,1,460.0,32.857142857142854,0.6714285714285715,59.142857142857146,39.61428571428572,0.7012195121951219
10,10,2019/08/29,船橋,曇,8,ふなばしミュージック,,12,1,1,15.7,6,3,笠野雄大,56.0,ダ1200,重,0,1:16.6,0.7,43,11-11-11,35.9-40.0,38.9,470(+1),,,サスナーアディーン,42.5,2,1083.4,20.062962962962963,1.162962962962963,47.01851851851852,39.8962962962963,0.5275459098497496
11,11,2019/08/30,船橋,曇,8,じゃんけんに勝ってビ,,12,5,5,31.1,8,10,町田直希,54.0,ダ1500,不,-2,1:39.9,3.0,30,1-1-1-3,32.3-39.5,42.5,481(+5),,,モダンブラック,0.0,3,418.5,16.74,1.548,46.0,40.05199999999999,0.46153846153846156
12,12,2019/08/30,船橋,曇,4,C2二　三,,12,8,11,8.4,4,4,山口達弥,54.0,ダ1200,不,-2,1:16.5,0.7,43,4-3-3,35.7-40.1,40.3,471(+2),,,マグナスエフェクト,15.0,4,449.5,24.97222222222222,1.3666666666666663,39.72222222222222,40.238888888888894,0.4530386740331492
13,13,2019/09/06,川崎,晴,4,ラゾーナ川崎プラザソ,,10,8,11,85.4,9,10,福原杏,51.0,ダ900,稍,-7,0:56.7,1.9,24,10-10,28.5-37.8,37.5,435(-6),,,ホウオウファースト,0.0,5,629.7,8.995714285714286,2.225714285714286,35.31428571428572,39.96142857142857,0.2493150684931507
