,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/09/26,4中山7,曇,9,木更津特別(2勝クラス),,13,8,13,4.6,2,10,丸山元気,57,芝1600,良,-14,1:34.4,1.1,88,4-7-7,35.0-35.3,35.6,526(-2),,,ゴールデンシロップ,0.0,1,3740.0,374.0,0.20000000000000004,87.2
1,1,2021/08/14,4新潟1,雨,10,新発田城特別(2勝クラス),,17,1,1,7.0,3,2,津村明秀,54,芝1400,稍,2,1:21.4,0.3,100,3-4,33.7-35.7,35.8,474(-6),,,テンハッピーローズ,611.0,2,3771.6,419.06666666666666,0.5666666666666668,89.22222222222223
2,2,2021/09/18,4中山3,曇,10,御宿特別(2勝クラス),,14,8,14,7.3,4,9,田辺裕信,55,芝1600,重,-5.0,1:36.0,0.8,91.0,11-12-7,36.9-34.3,34.2,510(+2),,出遅れ,サトノアイ,0.0,3,4574.5,217.83333333333334,0.8,85.66666666666667
3,3,2021/08/08,3新潟6,曇,10,信濃川特別(2勝クラス),,14,2,2,4.3,2,9,岩田望来,54,芝2000,良,-11,1:59.2,0.8,90,4-4,35.8-34.9,35.3,450(-4),,,ダノンレガーロ,0.0,4,4513.0,451.3,0.29,91.8
4,4,2022/01/05,1中京1,晴,12,4歳以上2勝クラス,,16,6,12,201.1,13,6,岩田康誠,57,ダ1400,良,-3,1:25.1,1.3,89,8-7,34.5-37.2,37.8,468(0),,,トーセンアラン,0.0,5,1860.0,116.25,0.9562500000000002,76.875
5,5,2021/12/12,5中山4,晴,12,3歳以上2勝クラス,,13,5,6,50.8,11,9,三浦皇成,55,芝1600,良,-10,1:34.7,0.7,89,7-8-7,35.8-35.1,34.6,472(+2),,,グルアーブ,0.0,6,5583.700000000001,169.20303030303032,0.5787878787878787,89.6969696969697
6,6,2021/08/14,2札幌1,曇,12,札幌道新スポーツ賞(2勝クラス),,14,7,11,19.2,7,12,団野大成,55,芝1500,良,-15,1:30.4,2.5,70,10-13-14,28.8-35.9,36.5,446(+2),,,ヴァトレニ,0.0,7,2552.0,159.5,0.75,80.375
7,7,2021/12/12,5中山4,晴,12,3歳以上2勝クラス,,13,2,2,8.7,4,3,菅原明良,55,芝1600,良,-10,1:34.2,0.2,94,4-3-4,35.8-35.1,34.6,472(+2),,,グルアーブ,280.0,8,2335.0,194.58333333333334,0.6250000000000001,86.83333333333333
8,8,2021/09/18,4中山3,曇,10,御宿特別(2勝クラス),,14,2,2,21.5,7,11,津村明秀,55,芝1600,重,-5,1:36.1,0.9,90,11-11-11,36.9-34.3,34.4,442(+6),,,サトノアイ,0.0,9,3388.2,211.7625,0.7562500000000001,86.125
9,9,2021/11/13,5東京3,晴,4,2歳未勝利,,15,2,2,2.6,2,2,武藤雅,55,芝1800,良,-10,1:48.0,0.2,86,2-3-3,36.4-35.0,34.8,464(0),,,ショウナンマグマ,200.0,1,1000.0,333.3333333333333,0.13333333333333333,77.0
10,10,2022/01/09,1中山3,晴,6,3歳新馬,,14,3,3,16.3,7,2,戸崎圭太,56,芝2000,稍,-8,2:05.7,0.2,58,1-1-1-1,39.4-34.7,34.9,496(0),,,マイネルニコラス,240.0,2,450.0,225.0,0.1,73.0
11,11,2021/10/24,4東京6,晴,3,2歳未勝利,,12,1,1,5.9,3,8,戸崎圭太,54,芝2000,良,-11,2:03.6,1.0,70,1-2-2,37.0-35.0,36.0,494(0),,,キャルレイ,0.0,3,260.0,65.0,0.775,76.5
12,12,2021/10/16,4東京3,曇,3,2歳新馬,,18,4,8,7.7,4,6,福永祐一,54,芝1600,良,-16,1:36.9,0.5,68,8-8,36.4-34.5,34.6,416(0),,出遅れ,エリカヴィータ,0.0,4,78.0,39.0,0.45,75.5
13,13,2022/01/08,1中山2,晴,6,3歳新馬,,16,2,4,22.5,6,2,北村宏司,56,芝1600,稍,-7,1:36.6,0.9,74,4-4-4,35.4-36.0,35.8,470(0),,出遅れ,リヴォリ,240.0,6,240.0,120.0,0.75,77.5
14,14,2021/11/07,5東京2,晴,5,2歳新馬,,12,4,4,36.6,8,8,団野大成,54,芝1800,良,-7,1:50.2,1.3,71,6-7-7,36.5-34.3,35.0,444(0),,,ドゥラドーレス,0.0,8,0.0,0.0,1.2000000000000002,73.5
15,15,2021/10/03,4中山9,晴,2,2歳未勝利,,16,1,2,276.9,14,8,武士沢友,55,芝1600,稍,-11,1:36.8,0.9,72,6-7-7,35.9-35.2,35.4,478(+6),,,ロードカテドラル,0.0,9,0.0,0.0,2.05,55.5
16,16,2021/10/10,4東京2,曇,1,2歳未勝利,,16,4,8,274.4,15,10,内田博幸,55,芝1400,良,-18,1:23.4,2.0,64,14-14,35.3-34.7,34.6,414(+6),,出遅れ,レッツリブオン,0.0,10,0.0,0.0,1.575,65.5
17,17,2021/10/31,4東京8,曇,2,2歳未勝利,,11,1,1,374.6,11,10,柴田大知,54,芝1600,良,-20,1:36.6,0.5,67,3-3,36.8-34.4,34.6,452(0),,,ワールドコネクター,0.0,11,0.0,0.0,1.2999999999999998,64.0
18,18,2021/10/24,4東京6,晴,5,2歳新馬,,16,1,1,43.6,9,8,江田照男,54,芝1600,良,-11,1:38.4,1.7,58,10-11,36.6-34.8,35.0,434(0),,,プレサージュリフト,0.0,12,0.0,0.0,1.9,62.0
19,19,2021/12/19,5中山6,晴,5,2歳新馬,,16,7,13,102.2,12,14,柴田大知,54,芝1600,良,-8,1:39.3,2.5,44,8-9-11,36.8-35.4,36.8,444(0),,,アオイモエ,0.0,13,0.0,0.0,2.4,54.0
20,20,2021/12/12,5中山4,曇,5,2歳新馬,,16,8,15,97.2,12,10,松岡正海,55,芝1600,良,-10,1:38.0,1.3,58,4-5-5,37.3-34.6,35.4,464(0),,出遅れ,パンテレリア,0.0,14,0.0,0.0,1.7999999999999998,60.5
21,21,2021/11/14,5東京4,晴,3,2歳未勝利,,15,8,15,349.1,15,15,武士沢友,54,芝2000,良,-8,2:04.8,2.8,60,7-9-9,36.8-34.6,36.7,460(+2),,,アケルナルスター,0.0,15,0.0,0.0,2.4,49.0
22,22,2021/11/07,2福島2,晴,5,2歳新馬,,16,2,4,153.3,12,5,原優介,51,芝1200,良,-9,1:11.5,0.7,55,8-7,34.8-36.0,36.0,428(0),,,オレタチハツヨイ,70.0,16,70.0,35.0,2.2,52.0
23,23,2021/08/28,4新潟5,曇,6,2歳新馬,,18,8,17,54.8,10,4,杉原誠人,54,芝1600,良,-4.0,1:35.6,1.3,76.0,13-13,35.4-34.5,34.6,444(0),,出遅れ,ソネットフレーズ,110.0,2,320.0,80.0,0.7,74.5
24,24,2021/12/26,5中山8,晴,6,2歳新馬,,16,4,7,14.3,5,4,横山和生,54,芝1600,良,-5.0,1:38.1,0.5,59.0,1-1-1,36.4-36.1,36.6,400(0),,,ローブエリタージュ,110.0,3,240.0,120.0,0.4,69.0
25,25,2021/10/02,4中山8,晴,5,2歳新馬,,15,4,8,8.1,4,5,秋山稔樹,52,芝1600,稍,-13.0,1:38.6,0.5,62.0,9-6-6,37.6-34.8,34.7,430(0),,,ガルブグリーン,70.0,4,148.0,49.333333333333336,0.6,74.33333333333333
26,26,2021/10/17,4東京4,雨,2,2歳未勝利,,11,7,9,76.0,10,2,柴田大知,54,芝1600,稍,-2.0,1:37.3,0.4,79.0,6-6,36.4-34.8,34.7,442(-4),,,ティーガーデン,200.0,5,252.0,42.0,0.9666666666666667,67.33333333333333
27,27,2021/10/30,4東京7,晴,4,2歳新馬,,14,3,3,65.3,9,9,永野猛蔵,51,芝1400,良,-21.0,1:23.7,1.1,69.0,8-10,36.2-34.3,34.6,466(0),,,アインシュペンナー,0.0,6,0.0,0.0,0.8500000000000001,72.5
28,28,2021/11/20,5東京5,晴,5,2歳新馬,,15,6,10,46.4,8,6,大野拓弥,54,芝1600,良,-16.0,1:37.6,0.9,56.0,8-6,37.2-33.9,34.1,456(0),,,シークルーズ,0.0,7,0.0,0.0,0.8,66.0
29,29,2021/12/25,5中山7,晴,5,2歳新馬,,16,5,10,33.9,8,4,菅原明良,54,芝1800,稍,-2.0,1:51.1,0.5,74.0,2-2-2-2,37.5-35.6,36.0,448(0),,,ルージュエヴァイユ,110.0,8,110.0,55.0,0.65,74.0
30,30,2021/11/21,2福島6,晴,2,2歳未勝利,,15,2,3,456.1,15,12,原優介,51,ダ1700,良,-2.0,1:50.8,3.1,49.0,13-12-13-13,30.6-38.0,39.9,458(+2),,,クラーベドラド,0.0,9,0.0,0.0,2.7,48.75
31,31,2021/12/28,5中山9,晴,3,2歳未勝利,,15,8,15,98.8,9,3,岩田望来,54,芝1600,良,-5.0,1:36.5,0.7,75.0,9-7-6,35.7-35.8,35.9,456(-2),,,クロスマジェスティ,130.0,10,130.0,32.5,1.375,67.0
32,32,2021/12/26,5中山8,晴,6,2歳新馬,,16,5,9,21.5,7,3,丸田恭介,54,芝1600,良,-5.0,1:38.1,0.5,59.0,6-6-10,36.4-36.1,36.2,508(0),,,ローブエリタージュ,180.0,12,180.0,90.0,0.8,65.0
33,33,2021/10/24,4東京6,晴,5,2歳新馬,,16,5,9,9.8,4,7,戸崎圭太,54,芝1600,良,-11.0,1:38.2,1.5,59.0,6-7,36.6-34.8,35.2,438(0),,,プレサージュリフト,0.0,13,0.0,0.0,1.4,63.5
34,34,2021/10/16,4東京3,曇,3,2歳新馬,,18,2,4,115.1,13,14,永野猛蔵,51,芝1600,良,-16.0,1:38.3,1.9,53.0,14-13,36.4-34.5,35.4,408(0),,3角不利,エリカヴィータ,0.0,14,0.0,0.0,1.65,60.5
35,35,2021/11/06,5東京1,晴,2,2歳未勝利,,13,7,10,6.1,2,12,三浦皇成,54,芝1600,良,-10.0,1:36.4,1.9,72.0,6-6,35.1-35.0,36.3,446(+2),,直線不利,ロジレット,0.0,16,280.0,93.33333333333333,1.8666666666666665,60.333333333333336
36,36,2021/11/28,5阪神8,晴,9,白菊賞(1勝クラス),,8,4,4,10.7,5,2,岩田望来,54,芝1600,良,-6,1:34.8,0.0,91,5-5,36.5-34.4,33.9,472(+10),,,ルージュラテール,405.2,1,1968.3,393.65999999999997,0.13999999999999999,83.6
37,37,2021/12/12,6中京4,曇,10,つわぶき賞(1勝クラス),,12,1,1,16.5,7,6,秋山真一,54,芝1400,良,-6,1:22.4,0.7,80,11-12,34.9-35.1,34.7,460(+4),,出遅れ,コムストックロード,0.0,2,1276.6,319.15,0.425,81.0
38,38,2021/11/21,5東京6,曇,9,赤松賞(1勝クラス),,9,2,2,218.5,9,9,内田博幸,54,芝1600,良,-13,1:35.4,1.6,80,9-9,35.9-34.1,34.2,444(-16),,出遅れ,ナミュール,0.0,3,1063.3,151.9,0.7999999999999999,79.0
39,39,2021/11/13,5東京3,晴,2,2歳未勝利,,18,8,16,10.6,4,1,岩田康誠,54,芝1400,良,-10,1:22.4,-0.1,84,9-10,35.0-35.5,34.6,510(-10),,,(アメイジングアイル),510.0,4,660.0,220.0,0.46666666666666673,77.0
