,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,上り平均,勝率
80,80,2016/04/03,2阪神4,曇,11.0,産経大阪杯(G2),,11.0,4.0,4,18.5,7,5,蛯名正義,57,芝2000,良,-12.0,1:59.9,0.6,108.0,5-5-5-6,36.8-33.6,33.6,476(-4),,,アンビシャス,670.0,5,51198.7,3011.6882352941175,0.22941176470588226,102.17647058823529,34.26470588235294,0.8396624472573839
81,81,2016/03/26,3中山1,晴,11.0,日経賞(G2),,9.0,3.0,3,9.0,5,5,武幸四郎,57.0,芝2500,良,-6.0,2:37.3,0.5,99.0,1-1-1-1,31.7-33.9,34.4,506(-4),,出遅れ,ゴールドアクター,670.0,6,41165.9,1176.1685714285716,0.2771428571428572,100.17142857142858,34.77714285714286,0.8077709611451943
82,82,2016/04/24,3京都2,曇,11.0,読売マイラーズC(G2),,15.0,1.0,1,9.3,5,2,福永祐一,57,芝1600,良,-11.0,1:32.6,0.0,106.0,7-7,34.1-34.7,34.2,458(-2),,,クルーガー,2430.4,7,47177.8,1275.0756756756757,0.27027027027027023,104.91891891891892,34.283783783783775,0.7922077922077922
83,83,2016/04/24,3京都2,曇,11.0,読売マイラーズC(G2),,15.0,3.0,4,33.5,11,3,小牧太,56.0,芝1600,良,-11.0,1:32.7,0.1,105.0,3-3,34.1-34.7,34.6,510(+10),,,クルーガー,1515.2,8,38459.2,1098.8342857142857,0.5,103.62857142857143,34.77428571428571,0.6372360844529751
84,84,2016/05/14,2東京7,晴,11.0,京王杯スプリングC(G2),,16.0,1.0,1,4.3,2,3,Ｍ．デム,57,芝1400,良,-14.0,1:19.8,0.2,115.0,6-6,34.6-33.5,33.1,530(+2),,,サトノアラジン,1516.4,9,21395.500000000004,1126.0789473684213,0.19473684210526318,100.10526315789474,34.08421052631579,0.7573529411764706
85,85,2016/04/24,3京都2,曇,11.0,読売マイラーズC(G2),,15.0,6.0,11,17.2,7,14,川須栄彦,57.0,芝1600,良,-11.0,1:34.5,1.9,86.0,3-3,34.1-34.7,36.4,490(+6),,,クルーガー,0.0,10,25498.500000000004,772.6818181818182,0.4666666666666667,98.27272727272727,34.6030303030303,0.6247240618101545
86,86,2016/02/28,2中山2,晴,11.0,中山記念(G2),,11.0,2.0,2,4.2,2,3,福永祐一,55,芝1800,良,-10.0,1:46.0,0.1,116.0,5-5-6-5,36.5-34.9,34.1,508(+8),,,ドゥラメンテ,1611.6,11,23502.800000000003,2611.4222222222224,0.16666666666666666,102.11111111111111,34.16666666666667,0.831858407079646
87,87,2015/04/05,3中山4,小雨,11.0,ダービー卿チャレンジ(G3),,16,5.0,10,3.1,1,1,戸崎圭太,55,芝1600,良,-9.0,1:32.2,-0.6,117.0,14-15-13,35.6-34.2,33.0,508(-2),,出遅れ,(クラリティシチー),3857.4,1,20918.6,1901.690909090909,0.06363636363636366,100.45454545454545,34.290909090909096,0.8611111111111112
88,88,2015/05/16,2東京7,曇,11.0,京王杯スプリングC(G2),,18,7.0,15,4.7,2,2,福永祐一,56,芝1400,良,-6.0,1:21.6,0.0,103.0,15-15,36.0-33.7,32.7,508(+2),,,サクラゴスペル,2339.2,2,16094.2,1238.0153846153846,0.2846153846153846,99.07692307692308,34.6,0.8074866310160428
89,89,2015/04/26,3京都2,晴,11.0,読売マイラーズC(G2),,18,8.0,18,27.1,9,10,幸英明,56.0,芝1600,良,-18.0,1:33.2,0.6,96.0,6-5,35.3-33.2,33.4,498(+6),,,レッドアリオン,0.0,3,36344.0,1298.0,0.48214285714285715,103.10714285714286,34.83214285714286,0.6658823529411765
90,90,2015/04/26,3京都2,晴,11.0,読売マイラーズC(G2),,18.0,4.0,7,2.7,1,3,戸崎圭太,56.0,芝1600,良,-18.0,1:32.7,0.1,103.0,10-11,35.3-33.2,32.5,502(+3),,,レッドアリオン,1419.6,4,17775.7,1269.6928571428573,0.1714285714285714,101.0,34.43571428571428,0.863849765258216
91,91,2015/05/17,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18,4.0,7,47.4,12,2,吉田豊,55,芝1600,良,-12.0,1:31.9,0.0,117.0,2-2,34.3-35.0,34.0,530(+10),,,ストレイトガール,3709.2,5,21013.500000000004,677.8548387096776,0.5483870967741936,93.96774193548387,35.880645161290325,0.7074829931972789
92,92,2015/05/16,2東京7,曇,11.0,京王杯スプリングC(G2),,18,5.0,10,42.9,10.0,4,田中勝春,56,芝1400,良,-6.0,1:21.7,0.1,100.0,6-4,36.0-33.7,33.6,486(-8),,,サクラゴスペル,860.0,6,13475.9,434.7064516129032,0.4645161290322581,96.06451612903226,34.96774193548387,0.7152777777777778
93,93,2015/04/05,2阪神4,曇,11.0,産経大阪杯(G2),,14,4.0,6,12.1,5,8,松山弘平,57.0,芝2000,不,27.0,2:04.5,1.6,98.0,2-2-2-2,36.6-37.1,38.5,488(+6),,,ラキシス,0.0,7,33284.7,1751.8263157894735,0.5368421052631579,103.52631578947368,35.852631578947374,0.6644295302013423
94,94,2015/04/26,3京都2,晴,11.0,読売マイラーズC(G2),,18,7.0,15,22.4,8,1,川須栄彦,56.0,芝1600,良,-18.0,1:32.6,0.0,103.0,3-3,35.3-33.2,32.9,484(0),,,(サンライズメジャー),5837.2,8,21653.7,866.148,0.352,97.56,34.54,0.7218934911242604
95,95,2015/04/26,3京都2,晴,11.0,読売マイラーズC(G2),,18,5.0,10,14.8,6,4,小牧太,56,芝1600,良,-18.0,1:32.8,0.2,101.0,7-7,35.3-33.2,32.9,468(-2),,,レッドアリオン,860.0,9,20262.3,750.4555555555555,0.3925925925925926,101.5925925925926,34.29999999999999,0.6863270777479893
96,96,2015/03/01,1阪神2,雨,11.0,阪急杯(G3),,16,2.0,3,7.5,3,5,福永祐一,58,芝1400,不,39.0,1:24.4,0.6,107.0,10-11,34.9-36.8,36.7,462(+18),,出遅れ,ダイワマッジョーレ,400.0,10,43767.4,1411.851612903226,0.22580645161290325,104.45161290322581,34.34193548387097,0.838495575221239
97,97,2015/04/26,3京都2,晴,11.0,読売マイラーズC(G2),,18,2.0,4,14.6,5.0,2,四位洋文,56.0,芝1600,良,-18.0,1:32.6,0.0,102.0,1-1,35.3-33.2,33.2,488(+4),,,レッドアリオン,2339.2,11,15625.400000000001,781.2700000000001,0.22999999999999998,97.5,34.525,0.7964285714285714
98,98,2014/12/27,5阪神7,曇,11.0,阪神C(G2),,18.0,4.0,8,14.4,8,1,ビュイッ,57,芝1400,良,-1.0,1:20.7,0.0,112.0,6-5,34.3-35.2,34.7,518(-20),,,(コパノリチャード),6635.8,12,39609.4,1523.4384615384615,0.5076923076923078,104.53846153846153,34.988461538461536,0.6508728179551122
99,99,2015/05/03,1新潟2,晴,11.0,谷川岳S(OP),,16,4.0,8,3.8,1,1,柴山雄一,57,芝1600,良,3.0,1:33.7,-0.1,104.0,15-14,36.5-33.3,31.9,500(0),,出遅れ,(メイショウヤタロウ),2236.4,13,18280.899999999998,703.1115384615384,0.33076923076923076,98.76923076923077,34.31153846153846,0.7640449438202247
100,100,2015/05/17,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18,7.0,13,24.5,8,17,武幸四郎,55,芝1600,良,-12.0,1:33.7,1.8,101.0,16-15,34.3-35.0,33.9,500(-6),,,ストレイトガール,0.0,14,43519.5,2290.5,0.6315789473684215,98.42105263157895,35.089473684210525,0.5957446808510638
101,101,2015/03/29,2中京6,小雨,11.0,高松宮記念(G1),,18,8.0,16,5.2,3,3,浜中俊,57,芝1200,稍,0.0,1:08.6,0.1,116.0,4-4,34.0-34.5,34.2,486(+4),,,エアロヴェロシティ,2454.0,15,28701.199999999997,2207.7846153846153,0.20769230769230768,101.0,35.315384615384616,0.7258064516129032
102,102,2015/05/16,2東京7,曇,11.0,京王杯スプリングC(G2),,18,7.0,13,3.6,1.0,10,Ｍ．デム,56.0,芝1400,良,-6.0,1:21.9,0.3,99.0,15-11,36.0-33.7,33.3,438(-2),,出遅れ,サクラゴスペル,0.0,16,29362.700000000004,1087.5074074074075,0.37037037037037035,103.96296296296296,34.58518518518519,0.7071240105540897
103,103,2015/05/16,2東京7,曇,11.0,京王杯スプリングC(G2),,18,6.0,11,8.7,5,1,戸崎圭太,56.0,芝1400,良,-6.0,1:21.6,0.0,103.0,6-7,36.0-33.7,33.3,490(+2),,,(ヴァンセンヌ),5837.2,17,27251.199999999997,908.3733333333332,0.39,101.2,34.53666666666666,0.6409090909090909
104,104,2014/03/02,2中山2,雨,11.0,中山記念(G2),,15.0,3.0,4,5.3,2,1,横山典弘,58.0,芝1800,稍,28.0,1:49.8,-0.6,114.0,3-4-4-3,37.3-36.9,36.6,502(+6),,,(アルキメデス),6106.4,1,46460.200000000004,2581.1222222222223,0.2222222222222222,104.77777777777777,34.30555555555555,0.8333333333333334
105,105,2013/11/17,5京都6,晴,11.0,マイルチャンピオンS(G1),,18.0,8.0,16,15.0,7.0,9,ルメール,57.0,芝1600,良,-9.0,1:33.1,0.7,105.0,8-9,35.1-34.1,34.3,510(-2),,,トーセンラー,0.0,2,49929.100000000006,2170.830434782609,0.39130434782608703,107.26086956521739,34.66521739130435,0.7282913165266106
106,106,2014/04/06,2阪神4,晴,11.0,産経大阪杯(G2),,8.0,2.0,2,13.2,4,5,浜中俊,56.0,芝2000,良,9.0,2:01.0,0.7,109.0,4-4-4-4,36.6-36.3,35.3,504(+4),,,キズナ,620.0,3,31266.3,1488.8714285714286,0.27619047619047615,102.80952380952381,34.27142857142857,0.7795275590551181
107,107,2014/03/02,1阪神2,曇,11.0,阪急杯(G3),,16.0,7.0,13,2.8,1,9,小牧太,56.0,芝1400,良,5.0,1:21.9,1.2,104.0,6-5,33.8-35.8,36.3,448(+4),,,コパノリチャード,0.0,4,31466.199999999993,1210.2384615384613,0.20384615384615387,103.61538461538461,34.284615384615385,0.8586666666666667
