,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2008/07/19,2小倉1,曇,11,対馬特別(500万下),,13,7,10,9.5,5,4,佐藤哲三,52,芝1700,稍,-5,1:41.4,0.3,94,3-1-2-2,29.7-36.2,36.4,462(0),,,エイシンルンナ,160.0,7,1971.1,109.50555555555555,0.7833333333333333,83.38888888888889
1,1,2009/03/15,1阪神6,晴,10,甲南S(1600万下),,16,2,3,34.0,7,6,四位洋文,57,ダ1800,稍,3,1:52.6,0.7,104,9-8-8-7,36.3-38.2,38.1,474(-4),,,フォーティファイド,0.0,1,5046.1,252.305,0.6200000000000002,92.2
2,2,2007/11/04,5京都2,晴,4,2歳未勝利,,10,1,1,3.3,2,4,川田将雅,55,芝1600,良,-9,1:35.8,0.5,77,4-4,35.1-35.9,36.2,434(+4),,,ロードバリオス,75.0,2,7469.799999999999,257.57931034482755,0.40689655172413797,87.03448275862068
3,3,2009/08/02,2新潟6,曇,9,燕特別(500万下),,18,2,3,20.4,6,11,蛯名正義,57,芝2000,良,-5,1:59.7,0.5,92,15-14,34.4-35.1,34.5,476(+2),,,アドマイヤアトム,0.0,4,3642.0,151.75,0.6750000000000002,87.91666666666667
4,4,2008/12/27,3中京5,晴,11,中京日経賞(1000万下),,18,8,16,11.0,4,11,西田雄一,54,芝1200,良,1.0,1:10.1,0.5,88.0,15-13,33.6-36.0,35.4,510(-4),,出脚鈍い,マチカネハヤテ,0.0,7,2797.9,116.57916666666667,0.9125,86.875
5,5,2009/06/13,3中京7,曇,11,4歳以上500万下,,16,2,3,19.5,8,3,川田将雅,57.0,芝1800,良,-10.0,1:47.2,0.2,96.0,2-2-2-1,35.0-35.1,35.3,480(+6),,,クレスコワールド,190.0,9,3345.6,223.04,0.5733333333333334,87.93333333333334
6,6,2008/05/24,2中京1,雨,9,小牧特別(1000万下),,9,4,4,3.6,2,4,幸英明,57,芝2000,良,-18.0,2:00.2,0.8,92.0,3-3-3-3,35.7-34.0,34.5,464(-2),,,ドリームサンデー,220.0,10,4376.0,182.33333333333334,0.6916666666666665,89.54166666666667
7,7,2009/03/15,2中京2,晴,6,4歳以上500万下,,16,4,8,10.5,4,11,角田晃一,57,ダ1700,重,-2.0,1:49.3,3.2,62.0,5-7-7-11,29.5-37.8,40.5,474(-1),,直線不利,マルサライガー,0.0,12,1684.8,120.34285714285714,1.464285714285714,76.0
8,8,2007/12/23,5中山8,曇,3,2歳未勝利,,16,4,8,32.4,8,11,四位洋文,54,芝1800,稍,11,1:54.4,2.5,57,10-12-11-11,36.9-37.4,38.4,442(+12),,,ニシノシュテルン,0.0,2,2637.5,155.14705882352942,1.4235294117647062,77.29411764705883
9,9,2008/05/31,2中京3,曇,3,3歳未勝利,,16,1,2,4.0,2,1,田中克典,53,芝1800,良,-17,1:49.0,-0.3,78,6-5-2-2,35.6-35.4,35.3,474(0),,,(オースミターゲット),500.0,3,1170.8,130.08888888888887,0.6111111111111112,85.11111111111111
