,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2022/02/06,1小倉8,晴,7,3歳未勝利,,16,7,14,2.3,1,3,鮫島克駿,56,芝1800,良,5,1:48.9,0.4,85,8-9-5-3,35.9-36.1,35.8,494(-2),,,パフィリア,130.0,1,800.0,266.6666666666667,0.16666666666666666,77.0
1,1,2022/01/30,1中京10,曇,6,3歳新馬,,18,4,7,3.1,2,2,団野大成,54,芝2000,良,-10,2:01.9,0.1,82,5-5-5-5,37.0-35.6,35.3,498(0),,,ブラックブロッサム,240.0,2,450.0,225.0,0.2,82.5
2,2,2022/01/30,1中京10,曇,6,3歳新馬,,18,7,13,12.9,4,8,横山典弘,56,芝2000,良,-10,2:03.1,1.3,72,8-8-8-7,37.0-35.6,36.4,540(0),,,ブラックブロッサム,0.0,4,78.0,39.0,1.05,75.5
3,3,2022/02/06,1中京12,曇,5,3歳未勝利,,10,2,2,5.3,2,3,松山弘平,56,芝2200,稍,-1,2:15.6,0.6,84,1-1-1-1,35.6-36.3,36.9,474(-6),,,ダノンジャッカル,130.0,5,272.0,90.66666666666667,0.7333333333333333,75.66666666666667
4,4,2021/09/26,5中京7,雨,2,2歳未勝利,,10,8,10,43.7,8,7,国分優作,54,ダ1800,重,-22,1:55.7,4.5,52,6-6-6-6,37.2-37.0,41.0,472(0),,,コパノニコルソン,0.0,6,0.0,0.0,2.3600000000000003,59.0
5,5,2022/02/06,1小倉8,晴,5,3歳新馬,,16,6,12,85.4,15,13,斎藤新,56,芝2000,良,5,2:04.7,1.3,67,14-14-11-11,36.5-35.0,35.5,478(0),,出遅れ,ファンジオ,0.0,7,0.0,0.0,1.35,70.5
6,6,2022/02/06,1中京12,曇,5,3歳未勝利,,10,8,9,29.4,8,7,幸英明,56,芝2200,稍,-1,2:16.7,1.7,77,9-9-3-3,35.6-36.3,37.8,484(0),,出遅れ,ダノンジャッカル,0.0,8,180.0,36.0,1.2,70.4
7,7,2022/02/05,1東京3,晴,6,3歳新馬,,16,3,5,17.1,6,7,北村宏司,56,芝1800,良,-15,1:50.4,1.3,60,2-5-5,36.8-34.6,35.4,504(0),,,ブラックノワール,0.0,9,0.0,0.0,1.7000000000000002,64.0
8,8,2021/08/22,4小倉4,小雨,2,2歳未勝利,,16,1,1,48.5,9,6,岩田望来,54,芝1800,稍,-3,1:50.8,0.6,60,8-8-11-5,37.4-36.0,36.0,444(-2),,,サウンドクレア,0.0,11,0.0,0.0,2.1666666666666665,54.0
9,9,2022/02/06,1小倉8,晴,1,3歳未勝利,,16,1,1,27.1,10,14,小沢大仁,54,ダ1700,良,10,1:51.8,3.0,43,15-15-15-16,30.4-38.6,40.2,458(+6),,,トランソニック,0.0,12,270.0,45.0,2.2333333333333334,52.666666666666664
10,10,2022/01/16,1中京6,晴,5,3歳未勝利,,11,8,10,3.9,2,2,池添謙一,56,芝2000,良,-8,2:02.0,0.1,84,2-2-2-2,36.7-34.9,34.9,498(-2),,,エイカイマッケンロ,210.0,1,1410.0,282.0,0.16,80.8
11,11,2022/01/10,1中京4,晴,5,3歳未勝利,,17,1,1,14.9,5,2,幸英明,54,芝2000,良,-14,2:01.0,0.2,86,1-1-1-1,36.0-35.0,35.2,428(-6),,,セルケト,210.0,2,420.0,140.0,0.4666666666666666,77.66666666666667
12,12,2022/01/23,1中京8,曇,5,3歳未勝利,,9,6,6,4.0,3,4,岩田望来,56,芝2200,良,-2,2:14.4,0.7,92,2-2-2-2,35.2-35.9,36.5,466(-2),,,エターナルビクトリ,78.0,4,226.0,56.5,0.675,84.25
13,13,2021/11/07,5阪神2,晴,3,2歳未勝利,,13,2,2,7.0,5,4,坂井瑠星,55,芝1800,良,-11,1:47.6,0.7,86,5-4,36.9-34.2,34.6,452(+2),,,ポッドボレット,77.0,5,251.0,62.75,0.95,74.75
14,14,2021/11/13,5阪神3,晴,5,2歳新馬,,11,2,2,11.3,4,2,団野大成,54,芝1800,良,-3,1:49.6,0.2,76,4-5,36.9-34.9,34.8,452(0),,,ホウオウバニラ,280.0,6,280.0,140.0,0.44999999999999996,79.5
15,15,2022/01/22,1中京7,晴,6,3歳未勝利,,15,1,1,17.2,8,13,池添謙一,54,芝1600,良,-11,1:36.7,2.4,66,3-4-4,34.9-36.1,37.5,402(-2),,,アスクコンナモンダ,0.0,7,0.0,0.0,1.2,65.75
16,16,2021/11/28,5阪神8,晴,3,2歳未勝利,,14,5,7,170.8,10,9,角田大和,52,芝2000,良,-6,2:04.5,1.5,64,3-3-3-8,38.1-35.9,37.0,484(0),,,タイセイディバイン,0.0,9,0.0,0.0,2.325,56.25
17,17,2021/12/12,6阪神4,晴,9,オリオンS(3勝クラス),,12,7,9,18.9,7,12,幸英明,57,芝2200,良,-8,2:14.6,2.4,87,2-4-3-3,35.5-36.2,37.9,518(+6),,S接触,ルビーカサブランカ,0.0,1,4572.7,326.62142857142857,0.9142857142857144,88.42857142857143
18,18,2022/01/08,1中京2,晴,10,寿S(3勝クラス),,10,4,4,3.3,2,3,川田将雅,56,芝2000,良,-10,1:59.9,0.4,99,4-4-4-4,37.0-35.2,34.7,446(-4),,S不利,シュヴァリエローズ,463.6,1,4913.1,701.8714285714286,0.15714285714285717,92.71428571428571
