,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2009/04/19,1福島4,晴,9,4歳以上500万下,,16,3,5,7.0,4,4,宮崎北斗,54,芝1800,良,2,1:49.8,0.7,84,15-12-11-10,36.1-35.9,35.6,452(0),,,スマートステージ,110.0,1,7037.6,270.6769230769231,0.41538461538461535,84.57692307692308
1,1,2008/06/07,2中京5,晴,7,3歳500万下,,13,3,3,13.5,5.0,2,小原義之,56,芝2500,良,-17,2:33.4,0.3,92,10-11-9-5,30.0-34.9,34.7,418(-8),,,シャイニーブラウン,280.0,2,6032.0,262.2608695652174,0.6086956521739131,88.21739130434783
2,2,2008/12/28,5中山8,晴,8,グッドラックH(1000万下),,13,3,3,11.1,4,6,三浦皇成,52,芝2500,良,-1,2:36.9,0.5,90,5-5-4-6,31.8-35.4,35.7,438(+6),,,モンテクリスエス,0.0,4,5071.200000000001,163.58709677419358,0.8451612903225807,85.38709677419355
3,3,2009/05/24,3東京2,小雨,9,秩父特別(1000万下),,11,7,8,16.5,6,4,三浦皇成,55,芝2000,良,0,2:03.1,0.6,83,10-10-9,37.4-34.8,34.7,486(+2),,出遅れ,フライングメリッサ,220.0,7,4881.0,139.45714285714286,0.7657142857142856,84.6
4,4,2006/12/17,4中京6,晴,4,2歳未勝利,,16,3,6,290.5,16.0,10,芹沢純一,54,芝2000,良,-9.0,2:03.6,2.0,70.0,2-2-2-5,35.6-35.3,37.2,482(+2),,,タスカータソルテ,0.0,8,3306.1,127.1576923076923,1.2923076923076924,85.92307692307692
5,5,2009/04/24,大井,曇,12,北区特別競走,,11,8,10,9.6,4,4,酒井忍,55,ダ1800,稍,5.0,1:56.4,0.5,74.0,10-10-10-8,38.2-39.5,38.2,481(+1),,,アイアイユメイロ,31.5,9,1541.2,41.65405405405406,0.7648648648648649,65.72972972972973
6,6,2009/01/10,1京都3,晴,7,4歳以上500万下,,14,2,2,63.8,9,4,幸英明,54,ダ1800,稍,6,1:55.4,1.0,77,8-8-8-7,36.9-38.2,38.6,520(0),,出遅れ,イカガデスカ,110.0,12,1950.0,139.28571428571428,0.9642857142857143,79.85714285714286
7,7,2009/02/28,1小倉7,晴,6,4歳以上500万下,,13,5,6,6.9,3,3,田中健,54,ダ2400,重,-11,2:33.4,0.5,94,3-3-6-3,37.3-37.0,37.2,488(-4),,,マチカネフクノカミ,180.0,13,3764.0,171.0909090909091,0.8590909090909092,84.63636363636364
8,8,2010/02/20,2京都7,晴,10,東山特別(1000万下),,13,7,10,49.8,10,11,柴原央明,57,芝2000,良,5,2:03.3,1.1,83,1-1-1-1,37.1-34.3,35.4,488(+2),,,マイネルアトレ,0.0,14,2192.4,274.05,0.9875000000000002,83.375
9,9,2010/02/13,1中京7,晴,12,金山特別(500万下),,16,5,10,139.7,14,1,松田大作,57,芝2500,良,8,2:38.4,-0.2,82,1-1-1-1,31.8-36.0,36.0,494(+18),,,(シゲルエボシダケ),1058.5,15,2958.5,147.925,0.875,79.65
10,10,2009/02/28,1小倉7,晴,11,皿倉山特別(1000万下),,16,5,9,18.6,9,6,安藤光彰,55,芝2600,稍,9.0,2:40.6,0.7,101.0,14-14-13-7,37.2-36.9,36.7,446(-6),,,シャローム,0.0,16,3923.2,130.77333333333334,0.8766666666666667,90.9
11,11,2009/05/17,1新潟6,小雨,5,3歳未勝利,,13,7,11,2.4,1,1,太宰啓介,56,芝2000,良,6,2:03.5,0.0,81,9-9-4-3,36.4-35.7,35.3,506(+6),,,(トドロキエンジェル),500.0,4,1410.0,100.71428571428571,0.9071428571428571,76.78571428571429
12,12,2009/08/16,3新潟2,晴,8,3歳以上500万下,,18,7,15,33.7,9,10,蛯名正義,57,芝2000,良,-6.0,2:01.2,1.3,80.0,6-7,36.2-34.0,34.8,466(+6),,,マイネプリンセス,0.0,5,1167.0,37.645161290322584,1.058064516129032,80.64516129032258
