,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/12/04,6中京1,曇,11,飛騨S(3勝クラス),,18,7,14,33.3,11,3,吉田隼人,52,芝1400,良,-9,1:20.9,0.2,95,6-6,34.2-35.1,34.9,514(+8),,,イーサンパンサー,465.4,1,6574.7,410.91875,0.5125,88.625
1,1,2022/01/09,1中京3,晴,10,新春S(3勝クラス),,16,6,11,149.0,15,3,松田大作,57,芝1400,良,-11,1:20.4,0.8,99,8-6,33.6-34.7,34.8,474(+16),,,グレイイングリーン,465.6,2,3420.2000000000003,285.0166666666667,1.1833333333333333,87.66666666666667
2,2,2021/10/02,5中京8,晴,12,3歳以上2勝クラス,,13,8,13,2.2,1,1,川田将雅,55,芝1400,良,-14,1:20.6,-0.1,95,2-2,34.7-34.5,34.2,486(-2),,,(サルビア),1100.0,3,3996.8999999999996,666.15,0.10000000000000002,95.33333333333333
3,3,2022/01/09,1中京3,晴,10,新春S(3勝クラス),,16,4,8,66.8,11,8,斎藤新,57,芝1400,良,-11,1:20.9,1.3,93,2-2,33.6-34.7,35.8,500(+6),,,グレイイングリーン,0.0,4,5921.2,191.00645161290322,0.6548387096774194,84.0
4,4,2022/01/09,1中京3,晴,10,新春S(3勝クラス),,16,4,7,35.8,8.0,4,池添謙一,57,芝1400,良,-11,1:20.4,0.8,99,4-3,33.6-34.7,35.1,494(+2),,,グレイイングリーン,280.0,5,5276.2,310.36470588235295,0.8647058823529412,92.11764705882354
5,5,2022/01/09,1中京3,晴,10,新春S(3勝クラス),,16,7,13,3.7,2,7,松山弘平,54,芝1400,良,-11,1:20.9,1.3,93,9-9,33.6-34.7,35.1,442(-2),,,グレイイングリーン,0.0,6,5713.1,519.3727272727273,0.32727272727272727,93.72727272727273
6,6,2021/12/04,6中京1,曇,11,飛騨S(3勝クラス),,18,7,15,36.6,14,9,川又賢治,51,芝1400,良,-9,1:21.1,0.4,93,10-10,34.2-35.1,34.5,464(+8),,出遅れ,イーサンパンサー,0.0,7,3455.5,143.97916666666666,1.0833333333333333,84.70833333333333
7,7,2021/11/07,5阪神2,晴,10,道頓堀S(3勝クラス),,14,3,3,6.2,2,11,浜中俊,55,芝1200,良,-11,1:09.2,0.6,89,8-7,34.6-34.0,34.0,462(-6),,,スマートクラージュ,0.0,8,7854.7,280.525,0.6035714285714286,88.32142857142857
8,8,2022/01/22,1中京7,晴,11,長篠S(3勝クラス),,7,5,5,4.0,2,4,松山弘平,55,芝1600,良,-8,1:35.1,0.3,87,2-2-2,35.6-34.8,35.0,446(+12),,,ワールドバローズ,280.0,9,3749.3999999999996,374.93999999999994,0.17,90.4
9,9,2021/12/28,6阪神9,晴,12,2021ファイナルS(3勝クラス),,16,6,11,9.6,5.0,12,坂井瑠星,53,芝1200,良,-7,1:08.9,0.9,97,12-12,33.2-34.8,34.3,446(-2),,出遅れ,ローレルアイリス,0.0,10,5740.6,197.95172413793105,0.5517241379310346,87.24137931034483
10,10,2021/09/26,5中京7,雨,9,知多特別(2勝クラス),,18,5,9,9.3,4,8,吉田隼人,55,芝1200,重,20.0,1:11.6,0.8,84.0,15-16,35.2-35.6,35.2,490(-4),,,マリーナ,0.0,1,5014.5,238.78571428571428,0.6523809523809524,87.0952380952381
11,11,2021/10/02,5中京8,晴,12,3歳以上2勝クラス,,13,7,10,19.2,7,11,浜中俊,57,芝1400,良,-14.0,1:21.6,1.0,82.0,9-10,34.7-34.5,34.6,482(-6),,,ブルースピリット,0.0,2,5856.6,177.4727272727273,0.8242424242424243,85.3030303030303
12,12,2021/10/03,4中山9,晴,10,茨城新聞杯(2勝クラス),,12,8,11,4.1,3,5,三浦皇成,53,芝1800,良,-13.0,1:47.5,0.5,94.0,1-1-1-1,36.2-34.9,35.4,496(0),,,ヴァリアメンテ,150.0,3,2518.2,279.79999999999995,0.4222222222222223,87.11111111111111
13,13,2022/01/08,1中京2,晴,9,鳥羽特別(2勝クラス),,14,7,12,34.3,9,9,小沢大仁,57,芝1200,良,-10.0,1:09.1,0.9,87.0,13-12,33.9-34.3,33.6,454(+4),,,テーオーマルクス,0.0,4,4243.700000000001,157.1740740740741,0.5629629629629629,85.48148148148148
14,14,2021/11/07,5阪神2,晴,12,3歳以上2勝クラス,,9,6,6,13.8,5,5,国分優作,57,芝1600,良,-11.0,1:34.1,0.3,92.0,7-7,36.0-34.4,34.2,470(0),,,ジャカランダレーン,110.0,5,3472.0,144.66666666666666,0.6291666666666665,84.33333333333333
15,15,2021/12/18,6阪神5,晴,10,甲東特別(2勝クラス),,9,2,2,5.2,2,3,岩田康誠,57,芝1600,良,-8.0,1:34.4,0.4,93.0,8-9,36.0-34.6,33.1,480(-2),,出遅れ,シャーレイポピー,382.9,6,4015.8,167.32500000000002,0.6083333333333333,91.29166666666667
16,16,2021/09/20,5中京5,晴,12,3歳以上1勝クラス,,18,2,4,13.8,7,1,幸英明,57,芝1200,良,-10.0,1:08.6,-0.1,96.0,8-7,34.1-34.5,34.0,480(+10),,,(メイショウホシアイ),760.0,7,2801.8,186.7866666666667,0.5,82.33333333333333
17,17,2021/11/06,5東京1,晴,9,神奈川新聞杯(2勝クラス),,18,3,6,29.1,6,12,三浦皇成,54,芝1400,良,-10.0,1:21.8,1.0,91.0,3-4,34.3-35.2,35.3,504(-8),,,バルトリ,0.0,8,1750.9999999999998,72.95833333333333,0.8541666666666666,75.33333333333333
18,18,2021/10/17,4阪神4,晴,8,3歳以上2勝クラス,,14,6,10,5.5,2,9,福永祐一,55,ダ1400,良,-3.0,1:25.7,1.2,83.0,8-7,34.0-38.7,38.9,480(0),,出遅れ,スペースクラフト,0.0,9,1321.0,132.1,1.1300000000000001,74.3
19,19,2021/12/25,5中山7,曇,12,クリスマスC(2勝クラス),,16,6,12,29.5,8,7,黛弘人,56,芝1600,稍,-2.0,1:35.2,1.1,92.0,10-11-9,35.0-35.5,35.0,502(0),,,ソウルラッシュ,0.0,10,2627.2,202.09230769230768,0.7000000000000001,87.15384615384616
20,20,2021/12/18,6阪神5,晴,10,甲東特別(2勝クラス),,9,3,3,119.2,7,8,藤岡佑介,57,芝1600,良,-8.0,1:35.5,1.5,80.0,5-7,36.0-34.6,34.6,468(+20),,,シャーレイポピー,0.0,11,7946.5,139.41228070175438,0.8245614035087719,89.45614035087719
21,21,2022/01/08,1中京2,晴,9,鳥羽特別(2勝クラス),,14,8,13,128.0,13,11,団野大成,55,芝1200,良,-10.0,1:09.5,1.3,81.0,6-6,33.9-34.3,34.9,502(0),,,テーオーマルクス,0.0,12,2283.8,126.8777777777778,0.6388888888888888,83.5
22,22,2021/12/25,5中山7,曇,12,クリスマスC(2勝クラス),,16,8,16,8.9,4,3,菅原明良,54,芝1600,稍,-2,1:34.8,0.7,96,7-6-6,35.0-35.5,35.0,454(+2),,,ソウルラッシュ,385.0,1,4284.0,476.0,0.15555555555555556,91.0
23,23,2021/11/13,5阪神3,晴,12,3歳以上2勝クラス,,13,1,1,2.6,1,2,ルメール,54,芝1400,良,-3,1:22.0,0.0,95,7-7,34.9-35.7,35.2,438(0),,,グランレイ,440.0,2,4536.5,348.96153846153845,0.2692307692307693,89.07692307692308
24,24,2021/09/20,5中京5,晴,8,3歳以上1勝クラス,,15,4,8,5.4,3,5,藤岡佑介,53,芝1600,良,-10,1:34.5,0.3,90,3-3-3,35.3-35.6,35.4,420(-4),,,ヒメノカリス,76.0,3,2259.1,322.7285714285714,0.27142857142857146,90.57142857142857
25,25,2021/12/26,6阪神8,曇,12,猪名川特別(2勝クラス),,15,4,6,38.7,11,2,川須栄彦,55,芝1400,良,-4,1:21.8,0.1,96,1-1,35.3-34.8,34.9,454(+12),,,エルカスティージョ,609.4,4,2783.8,214.13846153846154,0.6000000000000001,80.53846153846153
26,26,2021/12/04,6阪神1,曇,9,再度山特別(2勝クラス),,9,2,2,21.0,4,5,幸英明,53,芝1800,良,-7,1:47.8,0.7,89,9-9,36.3-34.3,33.7,458(+4),,,オヌール,150.0,5,4554.4,157.04827586206895,0.710344827586207,81.41379310344827
27,27,2021/12/05,6阪神2,曇,12,3歳以上2勝クラス,,14,4,5,34.7,8,6,鮫島良太,54,芝1400,良,-12,1:21.3,0.7,94,5-5,34.5-34.6,34.8,430(-8),,,ショウリュウレーヴ,0.0,6,2133.7,164.1307692307692,0.7461538461538463,81.0
28,28,2021/12/26,5中山8,晴,12,キャンドルライト賞(2勝クラス),,16,1,1,4.0,2,6,池添謙一,54,芝1200,良,-5,1:09.2,0.1,93,16-16,33.1-36.0,34.6,446(+2),,出遅れ,コスモアンジュ,0.0,7,4933.7,379.5153846153846,0.34615384615384615,88.61538461538461
29,29,2021/12/26,6阪神8,曇,12,猪名川特別(2勝クラス),,15,6,11,14.5,6,7,松若風馬,55,芝1400,良,-4,1:22.0,0.3,95,15-15,35.3-34.8,33.9,488(-2),,出遅れ,エルカスティージョ,0.0,8,6495.4,223.97931034482758,0.42068965517241375,91.03448275862068
30,30,2021/11/07,5東京2,晴,8,3歳以上2勝クラス,,9,7,7,33.0,6,4,田辺裕信,55,芝2000,良,-7,1:59.8,0.6,102,5-5-5,36.5-34.5,34.6,486(+2),,,モリノカンナチャン,170.0,9,3391.4,141.30833333333334,0.6124999999999999,88.70833333333333
31,31,2021/12/26,6阪神8,曇,12,猪名川特別(2勝クラス),,15,4,7,18.1,7,12,鮫島克駿,55,芝1400,良,-4,1:22.3,0.6,91,12-13,35.3-34.8,34.4,470(0),,直線不利,エルカスティージョ,0.0,10,5174.1,199.00384615384615,0.5230769230769231,86.76923076923077
32,32,2021/05/29,3中京7,晴,11,葵S(G),,17,5,10,13.0,5,14,団野大成,54,芝1200,良,-12,1:08.7,0.6,92,16-17,33.2-34.9,33.8,432(+6),,出遅れ,レイハリア,0.0,11,2327.0,290.875,0.46249999999999997,86.25
33,33,2021/06/27,1札幌6,晴,12,HBC賞(2勝クラス),,16,3,6,32.2,11,12,小崎綾也,53,芝1200,良,-23.0,1:09.1,0.7,84.0,14-16,33.0-35.4,34.9,472(+10),,出遅れ,キーダイヤ,0.0,12,2859.2,150.4842105263158,0.5526315789473685,83.52631578947368
34,34,2021/12/05,6阪神2,曇,12,3歳以上2勝クラス,,14,4,6,40.6,10,3,酒井学,55,芝1400,良,-12,1:21.0,0.4,98,2-2,34.5-34.6,34.9,444(+2),,,ショウリュウレーヴ,280.0,13,2073.0,115.16666666666667,0.788888888888889,82.38888888888889
35,35,2021/11/21,5東京6,曇,12,3歳以上2勝クラス,,18,2,3,18.8,6.0,4,柴田大知,55,芝1400,良,-13,1:22.1,0.3,86,5-5,35.3-34.7,34.5,450(-2),,,ミスビアンカ,170.0,14,2810.0,133.8095238095238,0.5904761904761905,82.19047619047619
36,36,2021/12/19,6中京6,晴,4,2歳未勝利,,18,7,14,5.6,3,3,浜中俊,55,芝1400,良,-3,1:22.3,0.2,83,6-6,33.9-36.3,35.7,472(-2),,,スカイトレイル,130.0,1,1018.0,145.42857142857142,1.5,68.71428571428571
37,37,2021/11/27,5阪神7,晴,4,2歳未勝利,,18,8,16,7.8,4,2,福永祐一,54,芝1400,良,-6,1:22.7,0.0,84,12-8,35.1-35.9,35.3,472(-4),,出遅れ,スピリットワールド,200.0,2,720.0,144.0,0.56,78.2
38,38,2022/01/09,1中京3,晴,5,3歳未勝利,,16,2,4,10.4,5,12,斎藤新,56,芝1600,良,-11,1:36.4,1.7,70,3-8-8,35.3-34.8,35.9,452(0),,,エンペザー,0.0,3,517.0,103.4,0.74,75.0
39,39,2021/07/31,3新潟3,晴,5,2歳新馬,,17,6,11,28.9,8,3,丸山元気,54,芝1600,良,-14,1:35.9,0.4,66,15-11,35.8-34.6,34.4,488(0),,出遅れ,ラニュイエトワール,180.0,4,258.0,86.0,0.5666666666666665,74.66666666666667
40,40,2021/12/25,6阪神7,晴,4,2歳未勝利,,18,4,8,10.5,4,4,幸英明,55,芝1600,良,-5,1:36.0,0.6,77,15-12,35.6-35.7,35.4,464(+2),,,エリカフェリーチェ,77.0,5,569.0,113.8,0.5399999999999999,77.6
41,41,2021/11/06,5阪神1,晴,3,2歳未勝利,,17,7,13,2.0,1,4,松山弘平,54,芝1600,良,-12,1:34.9,0.6,83,11-8,35.2-34.9,35.1,496(-8),,,トゥードジボン,77.0,6,887.0,147.83333333333334,0.3,79.0
