,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2022/01/29,1中京9,晴,10,茶臼山高原特別(2勝クラス),,10,4,4,4.3,2.0,2.0,岩田望来,54,芝2200,良,-5.0,2:12.8,0.1,101.0,4-4-4-3,35.3-35.7,35.6,494(+2),,,ロードプレジール,606.6,1.0,4425.7,163.9148148148148,1.2925925925925925,75.29629629629629
1,1,2022/01/15,1中京5,晴,9,渥美特別(2勝クラス),,10,8,9,20.6,4.0,4.0,団野大成,57,芝2000,良,-6.0,2:01.2,1.1,92.0,1-1-1-1,36.2-35.0,36.1,516(+2),,,ビッグリボン,230.0,2.0,4417.1,339.7769230769231,0.7076923076923077,85.6923076923077
2,2,2022/01/10,1中京4,晴,9,長良川特別(2勝クラス),,11,2,2,63.3,8.0,7.0,古川吉洋,56,芝2200,良,-14.0,2:13.0,1.4,90.0,2-2-2-2,33.9-36.6,38.0,514(0),,,カレンルシェルブル,0.0,3.0,2696.2,207.39999999999998,1.1153846153846154,81.53846153846153
3,3,2021/12/11,6阪神3,晴,10,境港特別(2勝クラス),,9,7,7,21.1,6.0,3.0,藤岡佑介,55,芝2400,良,-12.0,2:28.3,0.3,81.0,1-1-1-1,39.0-35.0,35.3,466(-2),,,タイセイモンストル,382.8,4.0,4417.799999999999,200.80909090909088,1.0272727272727273,76.22727272727273
4,4,2022/02/05,1小倉7,雪,11,玄海特別(2勝クラス),,10,1,1,166.1,10.0,9.0,竹之下智,57,芝1800,良,3.0,1:49.9,0.9,75.0,6-7-10-10,37.6-35.8,34.7,536(-10),,出遅れ,メイショウテンモン,0.0,5.0,2056.0,79.07692307692308,1.3346153846153848,79.53846153846153
5,5,2022/01/05,1中山1,晴,12,4歳以上2勝クラス,,10,6,6,19.5,8.0,5.0,木幡育也,56,芝2000,良,-5.0,2:02.4,0.5,83.0,5-5-5-4,37.8-36.3,36.2,472(+4),,,レッドライデン,111.0,6.0,4744.3,215.65,0.4681818181818182,90.77272727272727
6,6,2022/02/05,1中京11,晴,9,天竜川特別(2勝クラス),,7,6,6,5.7,3.0,7.0,岩田望来,57,芝2000,良,-3.0,2:05.1,0.9,67.0,7-7-7-7,38.8-33.8,34.1,468(+8),,,リフレーミング,0.0,7.0,2480.0,155.0,0.5750000000000001,84.75
7,7,2022/02/12,1阪神1,晴,9,春日特別(2勝クラス),,8,5,5,159.5,8.0,8.0,団野大成,55,芝1800,良,-19.0,1:49.2,2.5,63.0,2-2,37.2-34.0,36.2,520(+12),,,ロックユー,0.0,8.0,1257.5,54.67391304347826,1.1478260869565218,55.91304347826087
8,8,2022/01/29,1中京9,晴,10,茶臼山高原特別(2勝クラス),,10,3,3,135.7,10.0,10.0,酒井学,52,芝2200,良,-5.0,2:16.0,3.3,77.0,3-3-2-4,35.3-35.7,38.6,408(-4),,,ロードプレジール,0.0,9.0,2898.9,87.84545454545454,1.2030303030303033,83.51515151515152
9,9,2021/10/30,4阪神7,晴,5,2歳新馬,,12,5,5,40.2,7,12,浜中俊,55,芝2000,良,-13,2:05.6,2.8,46,12-12-9-10,37.5-35.8,37.6,508(0),,出遅れ,マテンロウレオ,0.0,1,520.0,260.0,1.3499999999999999,64.0
