,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,最初コーナー,最終コーナー,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,本番年齢,レース評価,レース評価平均
171,171,2022/01/23,1中京8,小雨,10,賢島特別(2勝クラス),,12,6,8,20.5,8,4,酒井学,54,芝1400,良,-2,1:21.3,0.1,97,8-8,34.4-35.1,34.3,450(-4),,,エグレムニ,230.0,10,4243.700000000001,157.1740740740741,0.5629629629629629,85.48148148148148,2,318,11.777777777777779,35.044444444444444,0.6430769230769231,8.0,8.0,4.0,4.0,0.0,6.62962962962963,6.666666666666667,1.3333333333333333,1.3703703703703705,0.037037037037037035,5,3.0,2.814814814814815
172,172,2022/02/12,1東京5,晴,11,デイリー杯クイーンC(G3),,16,5,9,3.4,1,2,横山武史,54,芝1600,良,-14,1:34.2,0.1,91,5-3,35.3-34.4,34.2,474(0),,,プレサージュリフト,1516.2,1,4075.9000000000005,815.1800000000001,0.15999999999999998,83.0,3,63,12.6,33.92,0.9137931034482759,5.0,3.0,1.0,3.0,2.0,4.8,5.2,2.8,3.2,0.4,3,7.0,4.2
173,173,2022/03/05,1阪神7,晴,11,チューリップ賞(G2),,15,5,9,5.6,3,5,武豊,54,芝1600,良,-13,1:33.6,0.4,94,4-5,34.3-34.7,34.5,478(+8),,,ナミュール,520.0,2,6803.0,1360.6,0.12000000000000002,89.6,-6,28,5.6,34.42,0.8983050847457628,4.0,5.0,0.0,-1.0,-1.0,2.6,2.4,0.4,0.2,-0.2,3,7.0,5.6
174,174,2022/03/13,1阪神10,曇,11,フィリーズレビュー(G2),,15,2,2,1.7,1,2,浜中俊,54,芝1400,良,-18,1:19.9,0.0,105,9-9,33.5-35.0,34.4,466(+12),,出遅れ,サブライムアンセム,2130.8,3,8930.3,1488.3833333333332,0.21666666666666665,91.16666666666667,-11,39,6.5,34.63333333333333,0.8918918918918919,9.0,9.0,7.0,7.0,0.0,6.166666666666667,6.0,3.8333333333333335,3.6666666666666665,-0.16666666666666666,3,8.0,6.333333333333333
175,175,2022/03/05,1阪神7,晴,11,チューリップ賞(G2),,15,2,3,3.3,2,3,Ｍ．デム,54,芝1600,良,-13,1:33.4,0.2,97,4-4,34.3-34.7,34.5,476(-2),,,ナミュール,1315.2,4,11572.5,2314.5,0.27999999999999997,87.4,-8,15,3.0,34.56,0.9420289855072463,4.0,4.0,1.0,1.0,0.0,6.0,9.0,4.2,7.2,3.0,3,8.0,5.6
176,176,2022/03/05,1阪神7,晴,11,チューリップ賞(G2),,15,1,1,229.8,13,2,高倉稜,54,芝1600,良,-13,1:33.4,0.2,98,10-8,34.3-34.7,34.1,414(-6),,出遅れ,ナミュール,2130.4,5,2830.4,1415.2,0.1,85.5,-8,12,6.0,34.55,0.9629629629629629,10.0,8.0,6.0,8.0,2.0,9.5,10.5,8.0,9.0,1.0,3,8.0,5.0
177,177,2022/03/21,2中山8,晴,11,フラワーC(G3),,12,2,2,5.6,3,6,藤岡康太,54,芝1800,良,-7,1:49.2,0.7,87,9-7-8-5,36.9-35.4,35.3,464(+2),,出遅れ,スタニングローズ,0.0,6,1186.6,197.76666666666665,0.8999999999999999,79.16666666666667,7,86,14.333333333333334,34.833333333333336,0.6231884057971014,9.0,5.0,-1.0,3.0,4.0,4.166666666666667,5.5,-1.1666666666666667,0.16666666666666666,1.3333333333333333,3,6.0,3.6666666666666665
178,178,2022/02/12,1東京5,晴,11,デイリー杯クイーンC(G3),,16,1,2,3.7,3,3,松山弘平,54,芝1600,良,-14,1:34.3,0.2,90,13-16,35.3-34.4,33.4,464(-2),,,プレサージュリフト,938.1,7,2939.1,587.8199999999999,0.2,84.8,4,39,7.8,34.04,0.859375,13.0,16.0,13.0,10.0,-3.0,7.4,8.2,4.6,5.4,0.8,3,7.0,5.2
179,179,2022/02/05,1中京11,晴,10,エルフィンS(L),,10,6,6,4.9,4,1,藤岡佑介,54,芝1600,良,-3,1:34.0,0.0,103,2-2-2,35.5-34.9,34.8,454(-4),,,(ママコチャ),2024.5,8,3131.7,1043.8999999999999,0.0,93.66666666666667,1,22,7.333333333333333,34.7,0.96875,2.0,2.0,1.0,1.0,0.0,2.3333333333333335,2.6666666666666665,1.0,1.3333333333333333,0.3333333333333333,3,0.0,1.6666666666666667
180,180,2022/03/13,1阪神10,曇,11,フィリーズレビュー(G2),,15,3,4,7.9,2,1,池添謙一,54,芝1400,良,-18,1:19.9,0.0,105,11-11,33.5-35.0,34.2,476(-2),,出遅れ,(ナムラクレア),5307.8,9,6547.8,935.4,0.4,83.0,-11,111,15.857142857142858,35.214285714285715,0.8431372549019608,11.0,11.0,10.0,10.0,0.0,7.571428571428571,7.142857142857143,4.285714285714286,3.857142857142857,-0.42857142857142855,3,8.0,2.5714285714285716
181,181,2022/03/05,1阪神7,晴,11,チューリップ賞(G2),,15,4,6,2.2,1,1,横山武史,54,芝1600,良,-13,1:33.2,0.0,99,7-8,34.3-34.7,33.9,430(0),,,(ピンハイ),5306.4,10,8019.5,2004.875,0.05,86.5,-10,40,10.0,33.45,0.9375,7.0,8.0,7.0,6.0,-1.0,8.0,6.75,6.25,5.0,-1.25,3,8.0,5.25
182,182,2022/02/12,1東京5,晴,11,デイリー杯クイーンC(G3),,16,7,13,3.7,2,1,戸崎圭太,54,芝1600,良,-14,1:34.1,0.0,93,13-11,35.3-34.4,33.5,464(+12),,出遅れ,(スターズオンアース),3756.7,11,4456.7,2228.35,0.0,85.0,2,30,15.0,33.4,1.0,13.0,11.0,10.0,12.0,2.0,11.0,13.0,10.0,12.0,2.0,3,7.0,4.5
183,183,2022/03/19,1阪神11,曇,6,3歳1勝クラス,,16,4,8,7.2,3,6,古川吉洋,54,ダ1400,重,-23,1:24.4,1.1,78,1-1,34.3-37.1,38.2,450(0),,,レオノーレ,0.0,12,1140.0,190.0,0.46666666666666673,75.66666666666667,8,131,21.833333333333332,37.85,0.7432432432432432,1.0,1.0,-5.0,-5.0,0.0,2.0,2.6666666666666665,-2.1666666666666665,-1.5,0.6666666666666666,3,2.0,2.0
184,184,2022/03/13,2中山6,晴,11,アネモネS(L),,14,6,9,39.8,8,1,武藤雅,54,芝1600,良,-12,1:34.4,0.0,92,2-2-2,35.4-34.6,34.5,470(+2),,,(ラズベリームース),2031.5,13,2921.5,730.375,0.07500000000000001,75.5,1,76,19.0,35.05,0.9411764705882353,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.25,0.25,0.0,3,0.0,1.5
185,185,2022/01/15,1中京5,晴,10,紅梅S(L),,9,1,1,2.0,1,1,ルメール,54,芝1400,良,-6,1:21.8,0.0,88,7-7,34.9-35.3,34.7,440(+2),,出遅れ,(ダークペイジ),2021.7,14,3011.7,1003.9,0.16666666666666666,82.66666666666667,7,26,8.666666666666666,33.96666666666667,0.8823529411764706,7.0,7.0,6.0,6.0,0.0,6.333333333333333,7.333333333333333,4.0,5.0,1.0,3,0.0,2.6666666666666665
186,186,2022/03/13,1阪神10,曇,11,フィリーズレビュー(G2),,15,4,6,11.4,4,3,酒井学,54,芝1400,良,-18,1:20.2,0.3,102,3-3,33.5-35.0,35.0,438(-6),,,サブライムアンセム,1315.4,15,3950.7,564.3857142857142,0.4,87.28571428571429,-8,63,9.0,35.671428571428564,0.7764705882352941,3.0,3.0,0.0,0.0,0.0,4.428571428571429,4.285714285714286,0.7142857142857143,0.5714285714285714,-0.14285714285714285,3,8.0,5.142857142857143
187,187,2022/01/10,1中山4,曇,11,フェアリーS(G3),,16,4,8,7.1,5,1,Ｍ．デム,54,芝1600,良,-5,1:35.2,0.0,91,16-9-10,35.5-35.3,34.7,420(-4),,出遅れ,(スターズオンアース),3757.4,16,4457.4,1485.8,0.39999999999999997,77.66666666666667,9,80,26.666666666666668,35.03333333333333,0.8292682926829268,16.0,10.0,9.0,15.0,6.0,5.0,8.333333333333334,1.6666666666666667,5.0,3.3333333333333335,3,7.0,5.0
188,188,2022/03/13,2中山6,晴,11,アネモネS(L),,14,2,2,5.7,3,2,津村明秀,54,芝1600,良,-12,1:34.6,0.2,90,5-5-6,35.4-34.6,34.3,500(+16),,,クロスマジェスティ,809.0,17,1589.0,397.25,0.175,83.5,3,41,10.25,34.375,0.8983050847457628,5.0,6.0,4.0,3.0,-1.0,6.25,6.25,3.75,3.75,0.0,3,0.0,1.25
189,189,2021/12/12,6阪神4,晴,11,阪神ジュベナイルF(G1),,18,6,11,51.2,8,2,団野大成,54,芝1600,良,-8,1:33.9,0.1,97,6-6,34.1-34.8,34.2,428(-10),,,サークルオブライフ,2636.8,18,5917.1,1479.275,0.1,91.0,-3,5,1.25,34.724999999999994,0.9387755102040817,6.0,6.0,4.0,4.0,0.0,3.5,3.75,1.75,2.0,0.25,3,9.0,6.25
190,190,2022/02/13,2小倉2,曇,11,北九州短距離S(OP),,18,6,12,7.5,3,13,田中健,54,芝1200,稍,9,1:09.3,0.6,95,9-11,33.6-35.1,35.1,456(0),,出遅れ,ビオグラフィー,0.0,1,7694.5,307.78,0.5439999999999999,87.04,11,302,12.08,35.36399999999999,0.6712328767123288,9.0,11.0,-2.0,-4.0,-2.0,4.6,4.84,-1.2,-0.96,0.24,5,5.0,3.08
191,191,2022/01/15,1中京5,晴,11,愛知杯(G3),,16,3,6,2.9,1,11,松山弘平,55,芝2000,良,-6,2:01.6,0.6,90,5-5-6-5,36.9-34.8,35.1,448(+16),,,ルビーカサブランカ,0.0,2,10265.3,1283.1625,0.2125,95.875,7,6,0.75,34.675000000000004,0.8728813559322034,5.0,5.0,-6.0,-6.0,0.0,4.125,3.875,1.25,1.0,-0.25,4,6.0,4.375
192,192,2022/01/15,1中京5,晴,11,愛知杯(G3),,16,6,12,10.7,6,3,川田将雅,55.5,芝2000,良,-6,2:01.0,0.0,95,11-12-11-9,36.9-34.8,34.2,488(+4),,,ルビーカサブランカ,958.2,3,12194.199999999999,1108.5636363636363,0.3727272727272727,99.54545454545455,1,-19,-1.7272727272727273,34.1,0.7325581395348837,11.0,9.0,6.0,8.0,2.0,10.636363636363637,10.454545454545455,5.454545454545454,5.2727272727272725,-0.18181818181818182,5,7.0,5.909090909090909
193,193,2022/03/19,2中京3,曇,10,豊橋S(3勝クラス),,16,8,16,21.3,9,7,武豊,55,芝1600,稍,-5,1:34.7,0.4,94,16-16-15,35.2-36.0,34.8,454(+4),,出遅れ,ディヴィーナ,0.0,4,6706.4,335.32,0.41500000000000004,91.95,8,251,13.210526315789474,35.18999999999999,0.7733812949640287,16.0,15.0,8.0,9.0,1.0,9.75,10.45,5.6,6.3,0.7,5,4.0,4.0
194,194,2022/01/15,1中京5,晴,11,愛知杯(G3),,16,1,2,7.6,4,9,ルメール,56,芝2000,良,-6,2:01.6,0.6,90,13-13-13-13,36.9-34.8,34.5,452(+8),,,ルビーカサブランカ,0.0,5,19433.1,1388.0785714285714,0.3642857142857143,98.35714285714286,7,-6,-0.42857142857142855,34.65,0.7669902912621359,13.0,13.0,4.0,4.0,0.0,9.428571428571429,9.428571428571429,5.0,5.0,0.0,5,6.0,6.714285714285714
195,195,2022/02/13,1阪神2,小雨,11,京都記念(G2),,13,6,9,7.5,4,4,福永祐一,53,芝2200,稍,-9,2:12.2,0.3,107,11-11-12-11,36.0-34.5,33.6,454(+6),,,アフリカンゴールド,930.0,6,6908.9,628.0818181818181,0.5636363636363636,91.72727272727273,-10,58,5.2727272727272725,34.61818181818182,0.7669172932330827,11.0,11.0,7.0,7.0,0.0,7.909090909090909,9.0,4.090909090909091,5.181818181818182,1.0909090909090908,4,7.0,3.727272727272727
196,196,2022/02/19,1阪神3,小雨,11,京都牝馬S(G3),,18,7,13,12.1,7,15,武豊,55,芝1400,良,-11,1:21.9,2.2,88,17-14,34.3-33.9,35.2,494(+7),,出遅れ,ロータスランド,0.0,7,9377.6,551.6235294117647,0.9235294117647058,89.47058823529412,9,100,7.142857142857143,35.864705882352936,0.6588785046728972,17.0,14.0,-1.0,2.0,3.0,4.0,3.9411764705882355,-1.2941176470588236,-1.3529411764705883,-0.058823529411764705,5,6.0,4.647058823529412
197,197,2022/03/27,2阪神2,晴,11,六甲S(L),,18,6,11,33.5,9,5,酒井学,54,芝1600,稍,-9,1:34.2,0.5,93,13-14,35.0-34.7,34.0,482(+2),,,エアロロノア,250.0,8,6451.0,379.47058823529414,0.4235294117647058,89.41176470588235,0,172,10.117647058823529,35.05882352941177,0.7647058823529411,13.0,14.0,9.0,8.0,-1.0,4.294117647058823,4.411764705882353,0.0,0.11764705882352941,0.11764705882352941,5,0.0,3.1176470588235294
198,198,2022/03/19,2中京3,曇,10,豊橋S(3勝クラス),,16,5,10,45.0,11,3,石橋脩,55,芝1600,稍,-5,1:34.4,0.1,96,4-5-6,35.2-36.0,35.3,480(-10),,,ディヴィーナ,465.0,9,4089.9,408.99,0.38999999999999996,92.2,5,106,10.6,35.68,0.75,4.0,6.0,3.0,1.0,-2.0,2.9,2.7,-1.0,-1.2,-0.2,4,5.0,3.1
199,199,2022/02/13,2小倉2,曇,11,北九州短距離S(OP),,18,8,18,13.5,7.0,17,川又賢治,54,芝1200,稍,9.0,1:09.7,1.0,89.0,6-8,33.6-35.1,35.7,442(-4),,直線不利,ビオグラフィー,0.0,10,4734.6,263.03333333333336,0.8222222222222223,59.333333333333336,15,99,12.375,37.477777777777774,0.7004608294930875,6.0,8.0,-9.0,-11.0,-2.0,5.111111111111111,5.166666666666667,0.5,0.5555555555555556,0.05555555555555555,5,5.0,1.5
200,200,2022/03/02,川崎,晴,11,エンプレス杯(G2),,13,5,6,10.3,5,4,福永祐一,55,ダ2100,良,-7,2:16.6,0.9,91,2-2-2-3,31.5-38.7,39.4,449(-1),,,ショウナンナデシコ,350.0,11,8745.3,312.33214285714286,0.7857142857142856,89.67857142857143,0,317,11.74074074074074,37.23214285714285,0.61,2.0,3.0,-1.0,-2.0,-1.0,3.857142857142857,3.892857142857143,-2.7142857142857144,-2.6785714285714284,0.03571428571428571,7,7.0,3.0
201,201,2022/03/21,2中京4,晴,9,フローラルウォーク賞(1勝クラス),,10,7,8,5.8,3,4,古川吉洋,54,芝1600,良,-5,1:35.6,0.5,86,7-7-7,35.8-34.4,34.1,448(-2),,,エンペザー,150.0,1,910.0,303.3333333333333,0.16666666666666666,84.0,17,35,11.666666666666666,34.0,0.9024390243902439,7.0,7.0,3.0,3.0,0.0,10.666666666666666,11.0,8.333333333333334,8.666666666666666,0.3333333333333333,3,2.0,2.0
202,202,2022/03/13,2中山6,晴,7,3歳1勝クラス,,16,8,15,36.2,10,6,丸山元気,56,芝1200,良,-15,1:09.0,0.5,85,16-15,33.2-35.3,34.1,488(+10),,出遅れ,シゲルファンノユメ,0.0,2,700.0,175.0,0.625,81.0,5,39,9.75,34.475,0.47619047619047616,16.0,15.0,9.0,10.0,1.0,7.25,8.0,0.75,1.5,0.75,3,2.0,3.0
203,203,2022/02/20,1東京8,曇,5,3歳1勝クラス,,15,5,9,3.3,2,2,川田将雅,56,芝1600,重,-3,1:34.7,0.3,95,5-6,34.2-36.0,35.8,488(+6),,,ラスール,300.0,3,990.0,330.0,0.19999999999999998,82.0,8,60,20.0,35.23333333333333,0.9285714285714286,5.0,6.0,4.0,3.0,-1.0,3.3333333333333335,3.0,1.3333333333333333,1.0,-0.3333333333333333,3,3.0,2.3333333333333335
204,204,2022/03/13,1阪神10,曇,5,3歳1勝クラス,,13,5,7,9.9,4,3,富田暁,56,ダ1400,良,-4,1:25.4,0.8,85,12-10,34.4-38.2,37.4,466(+6),,出遅れ,ドンフランキー,190.0,4,1394.6,278.91999999999996,0.36000000000000004,82.2,18,75,15.0,35.12,0.7884615384615384,12.0,10.0,7.0,9.0,2.0,7.0,8.0,3.8,4.8,1.0,3,3.0,2.4
205,205,2022/03/13,1阪神10,曇,11,フィリーズレビュー(G2),,15,5,9,53.2,12,6,富田暁,54,芝1400,良,-18,1:20.4,0.5,99,6-8,33.5-35.0,35.0,462(-2),,,サブライムアンセム,0.0,5,2116.6,235.17777777777778,0.4222222222222222,81.55555555555556,-6,50,7.142857142857143,36.277777777777786,0.7450980392156863,6.0,8.0,2.0,0.0,-2.0,4.888888888888889,5.111111111111111,1.0,1.2222222222222223,0.2222222222222222,3,7.0,3.4444444444444446
206,206,2022/03/12,1阪神9,晴,6,3歳1勝クラス,,9,8,9,58.3,6,2,横山典弘,56,芝1600,良,-13,1:33.9,0.1,92,1-1,35.3-34.8,34.9,458(0),,,トゥードジボン,300.0,6,1010.0,126.25,0.7625,75.0,-3,120,15.0,36.125,0.5,1.0,1.0,-1.0,-1.0,0.0,6.0,6.125,-0.5,-0.375,0.125,3,3.0,2.0
207,207,2022/03/21,2中京4,晴,9,フローラルウォーク賞(1勝クラス),,10,4,4,20.2,6,2,岩田望来,56,芝1600,良,-5,1:35.3,0.2,90,3-3-3,35.8-34.4,34.3,466(-4),,,エンペザー,417.8,7,927.8,231.95,0.575,75.75,14,110,27.5,35.475,0.625,3.0,3.0,1.0,1.0,0.0,2.25,2.75,-2.5,-2.0,0.5,3,3.0,3.0
208,208,2022/01/09,1中京3,晴,11,日刊スポシンザン記念(G3),,15,3,5,353.7,15,10,団野大成,56,芝1600,良,-11,1:35.2,1.1,82,12-11-9,35.2-35.1,35.5,476(+12),,,マテンロウオリオン,0.0,8,510.0,127.5,0.9750000000000001,71.0,13,64,16.0,35.525,0.45454545454545453,12.0,9.0,-1.0,2.0,3.0,9.75,10.75,2.75,3.75,1.0,3,6.0,3.5
209,209,2022/03/12,1阪神9,晴,6,3歳1勝クラス,,9,2,2,196.6,7,7,藤懸貴志,56,芝1600,良,-13,1:35.0,1.2,81,8-9,35.3-34.8,34.3,432(-2),,出遅れ,トゥードジボン,0.0,9,700.0,175.0,0.9,76.75,8,82,20.5,35.15,0.43902439024390244,8.0,9.0,2.0,1.0,-1.0,6.25,5.75,-0.5,-1.0,-0.5,3,2.0,2.0
210,210,2022/03/12,1阪神9,晴,6,3歳1勝クラス,,9,8,8,1.4,1,3,川田将雅,56,芝1600,良,-13,1:34.0,0.2,91,4-4,35.3-34.8,34.0,522(+10),,出遅れ,トゥードジボン,190.0,10,2278.0,569.5,0.375,87.25,-1,21,5.25,34.575,0.813953488372093,4.0,4.0,1.0,1.0,0.0,5.75,5.0,2.75,2.0,-0.75,3,3.0,4.75
211,211,2022/03/19,2中京3,曇,11,中スポ賞ファルコンS(G3),,18,6,11,225.8,18,14,川又賢治,56,芝1400,稍,-6,1:22.8,1.9,74,13-13,33.1-36.5,37.3,474(-8),,,プルパレイ,0.0,11,792.0,99.0,0.9500000000000001,74.375,17,130,18.571428571428573,35.637499999999996,0.5368421052631579,13.0,13.0,-1.0,-1.0,0.0,4.5,4.25,-2.0,-2.25,-0.25,3,6.0,2.875
212,212,2022/01/29,1中京9,曇,9,白梅賞(1勝クラス),,11,4,4,17.6,6,8,幸英明,54,芝1600,良,-5,1:36.6,0.6,76,4-3-4,37.0-34.6,34.8,418(-2),,,カワキタレブリー,0.0,12,820.0,205.0,0.3,75.75,27,96,24.0,34.3,0.7317073170731707,4.0,4.0,-4.0,-4.0,0.0,3.5,3.75,-0.25,0.0,0.25,3,2.0,1.75
213,213,2022/02/05,1中京11,晴,10,エルフィンS(L),,10,8,10,92.9,10,10,国分恭介,54,芝1600,良,-3,1:36.0,2.0,82,1-1-1,35.5-34.9,36.9,452(0),,,アルーリングウェイ,0.0,13,700.0,233.33333333333334,1.2666666666666666,80.66666666666667,21,48,16.0,35.800000000000004,0.425,1.0,1.0,-9.0,-9.0,0.0,5.666666666666667,6.0,-3.0,-2.6666666666666665,0.3333333333333333,3,0.0,3.3333333333333335
214,214,2022/03/05,1阪神7,晴,5,3歳未勝利,,18,1,1,21.7,7,3,和田竜二,56,芝1600,良,-13,1:33.9,0.6,91,6-7,34.4-35.1,35.0,484(+16),,,サンクフィーユ,130.0,1,277.0,46.166666666666664,0.75,77.5,-3,93,15.5,34.766666666666666,0.6521739130434783,6.0,7.0,4.0,3.0,-1.0,11.333333333333334,10.333333333333334,5.0,4.0,-1.0,3,2.0,1.1666666666666667
215,215,2022/03/05,1阪神7,晴,5,3歳未勝利,,18,2,3,1.8,1,2,池添謙一,56,芝1600,良,-13,1:33.6,0.3,94,4-4,34.4-35.1,34.9,476(-6),,,サンクフィーユ,210.0,2,620.0,206.66666666666666,0.13333333333333333,85.0,-6,27,9.0,35.199999999999996,0.9130434782608695,4.0,4.0,2.0,2.0,0.0,2.3333333333333335,2.3333333333333335,0.0,0.0,0.0,3,2.0,2.0
216,216,2022/02/26,2小倉5,晴,5,3歳未勝利,,16,1,2,7.8,4,4,鮫島克駿,54,芝1800,良,-4,1:50.4,0.6,65,6-7-10-8,37.6-35.0,34.8,444(-6),,,ゴールドエクリプス,78.0,4,78.0,26.0,0.4666666666666666,65.66666666666667,30,96,32.0,34.26666666666667,0.6511627906976745,6.0,8.0,4.0,2.0,-2.0,10.666666666666666,8.666666666666666,4.666666666666667,2.6666666666666665,-2.0,3,1.0,1.0
217,217,2021/11/14,5阪神4,晴,5,2歳新馬,,14,3,4,31.2,6,3,角田大和,52,芝1600,良,-1,1:37.1,0.0,72,4-3,36.9-35.0,34.8,460(0),,,カレンマックナイト,180.0,5,180.0,180.0,0.0,72.0,29,29,29.0,34.8,0.8461538461538461,4.0,3.0,0.0,1.0,1.0,3.0,4.0,0.0,1.0,1.0,3,2.0,2.0
218,218,2022/01/05,1中京1,晴,1,3歳未勝利,,14,6,9,11.3,4,8,武豊,56,ダ1800,良,-3,1:57.7,2.9,57,13-13-11-11,38.2-37.2,39.1,462(-12),,出遅れ,ロードジャスティス,0.0,7,328.0,54.666666666666664,1.3166666666666667,64.33333333333333,67,233,38.833333333333336,37.349999999999994,0.6111111111111112,13.0,11.0,3.0,5.0,2.0,7.5,8.833333333333334,1.8333333333333333,3.1666666666666665,1.3333333333333333,3,1.0,1.1666666666666667
219,219,2021/12/11,6阪神3,晴,2,2歳未勝利,,16,8,15,499.0,15,11,永島まな,50,芝1400,良,-12,1:23.6,1.7,66,14-14,34.6-35.5,36.1,418(-2),,,マコトダイトウレン,0.0,11,0.0,0.0,2.35,49.75,26,154,38.5,37.6,0.23404255319148937,14.0,14.0,3.0,3.0,0.0,9.5,8.25,-0.5,-1.75,-1.25,3,1.0,1.0
220,220,2022/03/13,1阪神10,曇,4,3歳未勝利,,18,5,10,93.8,13,5,富田暁,54,芝1600,良,-13,1:35.7,0.8,72,8-7,34.5-36.0,36.1,446(0),,,メトセラ,52.0,13,52.0,13.0,1.3499999999999999,67.25,15,99,24.75,36.650000000000006,0.46808510638297873,8.0,7.0,2.0,3.0,1.0,5.25,5.75,-2.0,-1.5,0.5,3,1.0,1.0
221,221,2021/12/18,6阪神5,晴,3,2歳未勝利,,16,4,7,162.6,12,16,秋山真一,55,ダ1400,重,-18,1:28.0,4.7,41,16-16,34.4-36.9,39.4,474(-10),,,ドンフランキー,0.0,14,0.0,0.0,2.7199999999999998,48.0,44,215,43.0,38.3,0.1875,16.0,16.0,0.0,0.0,0.0,8.2,7.6,-3.2,-3.8,-0.6,3,1.0,1.0
222,222,2021/12/18,6阪神5,晴,5,2歳新馬,,18,4,8,6.3,2,5,松田大作,54,芝1400,稍,-7,1:23.6,0.6,71,6-7,34.8-36.4,36.5,434(0),,,パンドレア,70.0,16,70.0,70.0,0.6,71.0,26,26,26.0,36.5,0.7647058823529411,6.0,7.0,2.0,1.0,-1.0,7.0,6.0,2.0,1.0,-1.0,3,1.0,1.0
223,223,2022/01/05,1中京1,晴,11,スポニチ賞京都金杯(G3),,16,6,12,3.5,1,6,岩田望来,56,芝1600,良,-10,1:33.3,0.4,103,10-9-9,34.1-35.1,34.7,506(0),,,ザダル,0.0,1,8685.2,579.0133333333334,0.22666666666666666,96.66666666666667,-6,27,1.8,34.25333333333334,0.8391959798994975,10.0,9.0,3.0,4.0,1.0,6.666666666666667,7.066666666666666,3.533333333333333,3.933333333333333,0.4,5,6.0,2.7333333333333334
224,224,2022/02/12,1阪神1,晴,11,洛陽S(L),,17,6,12,4.0,1,3,川田将雅,56,芝1600,良,-19,1:32.1,0.2,105,4-4,35.1-34.1,34.0,470(+4),,,エアファンディタ,635.3,2,12331.4,822.0933333333334,0.3466666666666667,93.13333333333334,-21,41,2.7333333333333334,35.03333333333333,0.8033707865168539,4.0,4.0,1.0,1.0,0.0,3.7333333333333334,5.733333333333333,0.4,2.4,2.0,5,0.0,3.8
225,225,2022/03/06,1阪神8,晴,11,大阪城S(L),,12,8,12,2.8,1,2,津村明秀,55,芝1800,良,-16,1:44.9,0.1,104,9-9,35.5-34.8,33.8,518(-4),,,アルサトワ,1007.6,3,7826.5,652.2083333333334,0.26666666666666666,97.25,-16,-32,-2.6666666666666665,34.43333333333333,0.8589743589743589,9.0,9.0,7.0,7.0,0.0,7.416666666666667,7.5,4.583333333333333,4.666666666666667,0.08333333333333333,5,0.0,3.3333333333333335
226,226,2022/03/13,2中山6,晴,10,東風S(L),,14,8,13,4.1,2,3,戸崎圭太,54,芝1600,良,-12,1:34.3,0.2,92,4-6-6,35.5-34.6,33.9,478(-2),,,ボンセルヴィーソ,634.5,4,9534.1,560.8294117647059,0.3411764705882353,96.11764705882354,0,107,6.294117647058823,34.864705882352936,0.8,4.0,6.0,3.0,1.0,-2.0,5.294117647058823,5.176470588235294,1.6470588235294117,1.5294117647058822,-0.11764705882352941,5,0.0,2.9411764705882355
227,227,2022/01/15,1中京5,晴,11,愛知杯(G3),,16,8,16,37.0,11,10,池添謙一,52,芝2000,良,-6,2:01.6,0.6,90,4-4-3-2,36.9-34.8,35.3,480(+10),,,ルビーカサブランカ,0.0,5,6201.0,387.5625,0.41874999999999996,89.1875,7,172,10.75,35.125,0.7647058823529411,4.0,2.0,-8.0,-6.0,2.0,3.6875,3.875,-0.5625,-0.375,0.1875,5,6.0,3.3125
228,228,2021/02/27,2中山1,晴,11,幕張S(3勝クラス),,16,1,1,4.2,3.0,1,三浦皇成,57,芝1600,良,-18,1:31.8,0.0,109,2-2-2,34.3-34.8,34.5,496(-6),,,(エイムアンドエンド),1855.0,6,8351.3,596.5214285714285,0.5428571428571429,90.85714285714286,-25,124,8.857142857142858,35.25,0.7202380952380952,2.0,2.0,1.0,1.0,0.0,2.7142857142857144,2.357142857142857,-1.6428571428571428,-2.0,-0.35714285714285715,5,5.0,4.642857142857143
229,229,2021/04/18,3中山8,晴,11,皐月賞(G1),,16,8,16,18.8,9,8,福永祐一,57,芝2000,稍,2,2:01.8,1.2,95,6-4-2-2,36.3-37.0,38.1,478(+2),,出遅れ,エフフォーリア,0.0,7,6437.200000000001,1287.44,0.32,97.6,6,-4,-0.8,35.36,0.8412698412698413,6.0,2.0,-6.0,-2.0,4.0,4.4,5.4,1.4,2.4,1.0,4,8.0,5.8
230,230,2021/11/27,5東京7,晴,11,キャピタルS(L),,17,6,12,53.8,12,10,横山和生,54,芝1600,良,-11,1:33.9,0.9,95,17-17,34.4-34.7,34.0,456(-4),,出脚鈍い,プリンスリターン,0.0,8,7573.2,344.23636363636365,0.4227272727272727,97.63636363636364,0,52,2.3636363636363638,34.32272727272727,0.6577181208053692,17.0,17.0,7.0,7.0,0.0,8.636363636363637,8.636363636363637,3.0,3.0,0.0,6,0.0,3.272727272727273
