,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,最初コーナー,最終コーナー,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,本番年齢,レース評価,レース評価平均
134,134,2022/02/20,1阪神4,曇,10,武庫川S(3勝クラス),,9,2,2,7.8,4,2,坂井瑠星,55,芝1600,稍,-6,1:35.5,0.2,85,2-2,37.3-33.8,34.0,496(+4),,,シャーレイポピー,745.8,4,5757.2,479.76666666666665,0.525,86.83333333333333,13,146,12.166666666666666,34.98333333333333,0.7398373983739838,2.0,2.0,0.0,0.0,0.0,5.166666666666667,5.5,1.5,1.8333333333333333,0.3333333333333333,4,5.0,3.5833333333333335
135,135,2022/03/27,3中山2,曇,10,春興S(3勝クラス),,16,7,13,20.4,6,7,大野拓弥,55,芝1600,重,-1,1:35.3,1.2,93,16-16-15,34.9-36.1,35.5,482(-12),,出遅れ,ソウルラッシュ,0.0,5,8109.400000000001,324.37600000000003,0.3960000000000001,95.76,10,123,4.92,34.29600000000001,0.7244582043343654,16.0,15.0,8.0,9.0,1.0,9.2,9.92,4.64,5.36,0.72,6,4.0,3.76
136,136,2022/02/06,1中京12,晴,9,トリトンS(3勝クラス),,10,8,10,5.2,3,9,横山典弘,57,芝1400,稍,-1,1:21.6,0.4,94,8-8,34.5-35.3,34.4,444(-2),,,ビップウインク,0.0,6,3749.3999999999996,374.93999999999994,0.25,90.4,5,34,3.4,35.470000000000006,0.7846153846153846,8.0,8.0,-1.0,-1.0,0.0,3.0,3.3,-0.8,-0.5,0.3,4,4.0,2.9
137,137,2022/03/27,3中山2,曇,10,春興S(3勝クラス),,16,8,15,56.6,11,10,菱田裕二,54,芝1600,重,-1,1:35.5,1.4,89,8-8-7,34.9-36.1,36.6,478(-2),,,ソウルラッシュ,0.0,7,4691.7,223.4142857142857,0.8142857142857142,85.76190476190476,12,298,14.19047619047619,35.890476190476186,0.5603448275862069,8.0,7.0,-3.0,-2.0,1.0,3.380952380952381,3.142857142857143,-2.4761904761904763,-2.7142857142857144,-0.23809523809523808,6,4.0,2.619047619047619
138,138,2022/03/19,2中京3,曇,10,豊橋S(3勝クラス),,16,7,14,83.9,13,15,小沢大仁,55,芝1600,稍,-5,1:35.4,1.1,85,6-7-7,35.2-36.0,36.1,454(+6),,,ディヴィーナ,0.0,8,3090.0,220.71428571428572,0.5,87.78571428571429,15,123,8.785714285714286,35.26428571428571,0.6457142857142857,6.0,7.0,-8.0,-9.0,-1.0,3.9285714285714284,4.0,-1.5,-1.4285714285714286,0.07142857142857142,5,4.0,2.4285714285714284
139,139,2022/03/06,2中山4,晴,9,湾岸S(3勝クラス),,16,3,5,154.0,12,13,横山典弘,57,芝2200,良,-7,2:14.0,1.6,94,6-6-8-14,36.5-37.0,36.9,460(0),,,キングオブドラゴン,0.0,9,6592.5,199.77272727272728,0.6,88.18181818181819,2,447,13.96875,35.403030303030306,0.6520618556701031,6.0,14.0,1.0,-7.0,-8.0,7.757575757575758,9.0,2.6666666666666665,3.909090909090909,1.2424242424242424,6,4.0,2.8181818181818183
140,140,2022/03/19,2中京3,曇,10,豊橋S(3勝クラス),,16,7,13,4.5,2,10,横山武史,55,芝1600,稍,-5,1:34.9,0.6,91,1-1-1,35.2-36.0,36.6,462(+6),,,ディヴィーナ,0.0,10,3429.6,263.81538461538463,0.46923076923076923,89.07692307692308,10,176,13.538461538461538,35.5076923076923,0.6878612716763006,1.0,1.0,-9.0,-9.0,0.0,4.153846153846154,4.230769230769231,-1.0,-0.9230769230769231,0.07692307692307693,5,4.0,2.6153846153846154
141,141,2022/02/20,1阪神4,晴,12,4歳以上2勝クラス,,14,5,7,2.4,1,1,鮫島克駿,57,芝1600,稍,-6,1:34.6,0.0,91,9-10,35.6-35.2,33.9,470(+4),,,(シャンブル),1110.0,11,3211.0,401.375,0.23750000000000002,92.5,4,54,6.75,34.475,0.8907563025210085,9.0,10.0,9.0,8.0,-1.0,7.875,8.0,5.25,5.375,0.125,4,4.0,2.875
142,142,2022/03/12,1阪神9,晴,10,飛鳥S(3勝クラス),,16,1,1,73.6,11,8,岩田望来,55,芝1800,良,-13,1:46.7,0.9,91,14-12,34.7-34.6,34.4,478(-2),,出遅れ,ヤマニンサンパ,0.0,12,8943.5,229.32051282051282,0.4692307692307692,92.92307692307692,2,302,7.743589743589744,34.658974358974355,0.6726907630522089,14.0,12.0,4.0,6.0,2.0,9.153846153846153,10.487179487179487,3.9743589743589745,5.3076923076923075,1.3333333333333333,8,4.0,2.128205128205128
143,143,2022/03/27,3中山2,曇,10,春興S(3勝クラス),,16,3,5,25.1,8,9,木幡巧也,53,芝1600,重,-1,1:35.5,1.4,89,2-2-2,34.9-36.1,37.4,480(-6),,,ソウルラッシュ,0.0,13,4319.4,287.96,0.8933333333333333,87.2,12,209,16.076923076923077,36.60666666666667,0.5958549222797928,2.0,2.0,-7.0,-7.0,0.0,4.266666666666667,3.7333333333333334,-1.9333333333333333,-2.466666666666667,-0.5333333333333333,5,4.0,4.466666666666667
144,144,2022/02/13,1東京6,雨,11,共同通信杯(G3),,11,8,11,5.3,4,7,川田将雅,56,芝1800,稍,5,1:48.8,0.9,95,8-8-7,36.1-34.3,34.3,458(0),,,ダノンベルーガ,0.0,1,4229.1,1057.275,0.275,85.75,19,79,19.75,34.1,0.7714285714285715,8.0,7.0,0.0,1.0,1.0,6.25,6.0,3.25,3.0,-0.25,3,6.0,4.25
145,145,2022/03/19,2中京3,曇,11,中スポ賞ファルコンS(G3),,18,2,3,55.1,13,2,松若風馬,56,芝1400,稍,-6,1:21.2,0.3,95,9-9,33.1-36.5,36.1,514(+2),,直線不利,プルパレイ,1618.2,2,2658.2,332.275,0.6000000000000001,77.75,1,179,22.375,36.0875,0.7303370786516854,9.0,9.0,7.0,7.0,0.0,3.125,4.0,-0.875,0.0,0.875,3,7.0,3.0
146,146,2021/11/06,5東京1,晴,11,京王杯2歳S(G2),,14,3,3,16.4,8,1,坂井瑠星,55,芝1400,良,-10,1:21.3,0.0,99,2-2,35.1-34.1,34.1,492(+18),,,(トウシンマカオ),3850.4,3,4710.4,1570.1333333333332,0.26666666666666666,89.33333333333333,3,9,3.0,34.50000000000001,0.8666666666666667,2.0,2.0,1.0,1.0,0.0,3.0,3.6666666666666665,0.6666666666666666,1.3333333333333333,0.6666666666666666,3,8.0,5.0
147,147,2022/03/06,1阪神8,晴,9,アルメリア賞(1勝クラス),,7,1,1,1.4,1,2,吉田隼人,56,芝1800,良,-16,1:46.4,0.1,91,3-3,35.1-34.9,34.7,472(-2),,,ピースオブエイト,414.6,4,1804.6,451.15,0.22499999999999998,90.75,0,36,9.0,34.525,0.8863636363636364,3.0,3.0,1.0,1.0,0.0,3.0,2.5,0.75,0.25,-0.5,3,3.0,3.25
148,148,2022/03/20,2中山7,曇,11,フジTVスプリングS(G2),,13,5,7,18.3,7,5,戸崎圭太,56,芝1800,稍,-5,1:48.7,0.3,92,6-6-4-4,36.7-35.3,35.1,478(-8),,,ビーアストニッシド,540.0,5,1500.0,300.0,0.24,84.6,2,37,7.4,34.8,0.855072463768116,6.0,4.0,-1.0,1.0,2.0,4.2,4.6,1.2,1.6,0.4,3,7.0,2.8
149,149,2022/03/12,1阪神9,晴,6,3歳1勝クラス,,9,4,4,2.9,2,1,福永祐一,56,芝1600,良,-13,1:33.8,0.0,93,2-2,35.3-34.8,34.2,476(0),,出遅れ,(ヒルノショパン),750.0,6,1440.0,288.0,0.78,83.0,-4,39,7.8,35.38,0.6612903225806451,2.0,2.0,1.0,1.0,0.0,2.8,2.2,-2.4,-3.0,-0.6,3,3.0,3.2
