,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,上り平均,勝率
0,0,2022/03/29,高知,曇,7,くぼはるか生誕特別,,11,2,2,52.3,7,8,多田羅誠,56.0,ダ1400,重,-10,1:31.8,1.0,41,11-11-11-10,0.0-39.4,38.6,485(0),,,スケロク,0.0,1,2530.5,46.861111111111114,1.1814814814814807,54.611111111111114,39.296296296296305,0.5654545454545454
1,1,2022/03/23,高知,雨,8,伊尾木洞特別,,8,5,5,2.0,1,1,佐原秀泰,56.0,ダ1600,不,-30,1:43.5,-0.3,48,3-4-3-1,0.0-38.6,38.4,525(+4),,,(クレマンダルザス),120.0,2,1650.5,56.91379310344828,0.7689655172413794,60.55172413793103,37.762068965517244,0.5897435897435898
2,2,2022/03/29,高知,曇,10,吉良川特別,,12,5,5,90.0,9.0,8,西森将司,54.0,ダ1400,重,-10,1:32.5,0.8,33,6-7-8-7,0.0-40.6,40.4,493(-5),,,トウカイラルゴ,0.0,3,746.0999999999998,14.921999999999995,0.9059999999999999,44.42,39.904,0.6653225806451613
3,3,2022/03/29,高知,曇,6,中根秀樹五十一才特別,,9,5,5,2.8,2.0,1.0,多田羅誠,56.0,ダ1400,重,-10.0,1:31.6,-0.6,44.0,2-2-2-1,0.0-40.1,40.0,477(0),,,(デルマフゲン),100.0,4.0,843.4,13.826229508196722,1.1639344262295084,48.31147540983606,39.5327868852459,0.5855670103092784
4,4,2022/03/21,高知,曇,6,Bー3,,10,2,2,5.8,3.0,7,塚本雄大,54.0,ダ1400,重,-21,1:31.7,1.4,31,4-3-3-4,0.0-39.4,40.1,438(+5),,,ジョルジュサンク,0.0,5,735.5,21.014285714285716,1.0914285714285712,30.65714285714286,40.905714285714296,0.5956112852664577
5,5,2022/03/21,高知,曇,7,Z軍団よ永遠に!特別,,8,2,2,51.4,6.0,4,上田将司,56.0,ダ1400,重,-21,1:30.8,1.5,41,6-5-5-4,0.0-38.0,38.3,507(-2),,,グッドヒューマー,15.0,6,847.1,24.202857142857145,0.8514285714285715,43.457142857142856,39.84000000000001,0.7155172413793104
6,6,2022/03/29,高知,曇,7,くぼはるか生誕特別,,11,7,8,14.4,5,9,濱尚美,52.0,ダ1400,重,-10,1:31.8,1.0,41,1-1-1-2,0.0-39.4,40.4,444(-6),,,スケロク,0.0,7,3099.5,65.94680851063829,1.221276595744681,57.93617021276596,40.025531914893605,0.5467889908256881
7,7,2022/03/29,高知,曇,6,中根秀樹五十一才特別,,9,7,7,26.5,6,3,嬉勝則,56.0,ダ1400,重,-10,1:32.6,1.0,32,5-5-4-3,0.0-40.1,40.5,467(-7),,,キングワールド,20.0,8,693.5,23.116666666666667,1.4366666666666663,37.93333333333333,39.513333333333335,0.547244094488189
8,8,2022/03/29,高知,曇,5,高知の人馬に敬意特別,,11,3,3,2.4,1,6,郷間勇太,54,ダ1400,重,-10,1:34.0,1.9,17,1-1-1-2,0.0-40.2,42.1,434(+4),,,グリムカレッジ,0.0,1,332.5,15.113636363636363,1.1590909090909087,31.227272727272727,40.913636363636364,0.6535087719298246
9,9,2022/03/29,高知,曇,4,C3ー3,,11,7,10,4.5,2,2,永森大智,54,ダ1400,重,-10,1:32.9,0.1,29,2-2-2-1,0.0-41.3,41.2,425(-2),,,アラバド,17.5,2,373.0,20.72222222222222,1.3388888888888888,26.055555555555557,41.49444444444444,0.5780346820809249
10,10,2022/03/29,高知,曇,11,ファイナルレース,,12,7,10,11.3,6,5,石本純也,56,ダ1400,重,-10,1:35.2,0.9,3,12-12-10-7,0.0-41.1,41.0,494(+3),,,セイリスペクト,5.0,3,300.0,4.918032786885246,1.9475409836065576,15.98360655737705,41.018032786885264,0.4588815789473684
11,11,2022/03/29,高知,曇,5,高知の人馬に敬意特別,,11,6,7,8.0,4,5,上田将司,56,ダ1400,重,-10,1:33.0,0.9,28,7-8-8-6,0.0-40.2,40.1,501(+4),,,グリムカレッジ,5.0,4,311.5,11.98076923076923,1.1576923076923078,33.15384615384615,39.89615384615384,0.6691729323308271
12,12,2022/03/27,高知,晴,6,C2ー2,,10,4,4,489.8,10.0,9,石本純也,56,ダ1400,不,-16,1:34.7,2.7,3,8-9-9-9,0.0-39.9,40.3,512(-1),,,バイクミリオン,0.0,5,1679.5,28.466101694915253,1.5372881355932204,39.6271186440678,41.413559322033905,0.5475460122699386
13,13,2022/03/27,高知,晴,9,春暖特別,,9,2,2,67.2,7.0,9,山崎雅由,54,ダ1400,不,-16,1:34.0,3.6,11,6-6-7-9,0.0-39.5,41.7,516(+13),,,マイネルボーダレス,0.0,6,494.7,19.788,0.9399999999999997,39.6,39.976000000000006,0.652
14,14,2022/03/29,高知,曇,11,ファイナルレース,,12,1,1,9.6,5.0,11,濱尚美,52,ダ1400,重,-10.0,1:36.1,1.8,-7.0,7-7-7-8,0.0-41.1,42.1,484(+2),,,セイリスペクト,0.0,7,3113.9,18.10406976744186,1.2802325581395355,44.51162790697674,39.83023255813952,0.540927303949628
15,15,2022/03/20,高知,晴,7,春分特別,,9,1,1,56.7,8,5,米倉知,56,ダ1600,不,-23,1:48.9,3.3,3,9-9-9-7,0.0-41.7,42.4,505(-1),,,アイソリズム,11.0,8,2012.5,30.96153846153846,1.3753846153846152,52.292307692307695,38.26769230769231,0.49
16,16,2022/03/21,高知,曇,3,第3回広島県もみじ特,,9,8,8,46.1,6,9,塚本雄大,54,ダ1400,重,-21,1:36.3,4.2,-20,1-2-5-9,0.0-39.8,43.8,454(+4),,,プロトイチバンボシ,0.0,9,261.5,7.263888888888889,2.1833333333333327,9.777777777777779,42.300000000000004,0.40119760479041916
17,17,2022/03/29,高知,曇,5,高知の人馬に敬意特別,,11,4,4,40.1,8,10,西森将司,56,ダ1400,重,-10,1:35.0,2.9,6,6-6-7-8,0.0-40.2,42.4,470(-1),,,グリムカレッジ,0.0,10,398.4,7.968,1.6179999999999994,33.12,39.99199999999998,0.498046875
18,18,2022/03/29,高知,曇,5,高知の人馬に敬意特別,,11,2,2,6.2,3,11,宮川実,54,ダ1400,重,-10,1:37.5,5.4,-22,3-4-6-11,0.0-40.2,45.0,432(-13),,,グリムカレッジ,0.0,11,245.0,11.136363636363637,1.4772727272727268,27.5,40.47272727272727,0.5020746887966805
19,19,2022/03/21,高知,曇,8,菜の花特別,,9,4,4,80.8,8,5,佐原秀泰,56.0,ダ1400,重,-21,1:32.3,1.7,25,6-6-7-5,0.0-37.9,39.0,441(+1),,,ボーダーオブライフ,10.0,1,473.4,15.78,1.3333333333333333,22.233333333333334,41.093333333333334,0.5886524822695035
20,20,2022/03/15,高知,晴,10,ファイナルレース,,12,7,10,6.9,4,4,塚本雄大,56.0,ダ1400,良,13,1:37.8,0.9,-3,11-10-11-7,0.0-43.1,42.3,475(+1),,,ブレーンクロー,7.5,2,432.0,19.636363636363637,1.3909090909090909,24.09090909090909,40.86363636363637,0.6044444444444445
21,21,2022/03/15,高知,晴,8,ヒスイカズラ特別,,9,4,4,60.4,8.0,6,木村直輝,56.0,ダ1300,良,13.0,1:29.0,1.7,16.0,9-9-9-8,0.0-42.4,41.4,512(+3),,,ハイフォース,0.0,3,3023.9,31.498958333333334,1.2489583333333332,59.364583333333336,38.979166666666664,0.5888538380651945
22,22,2022/03/07,高知,曇,1,土佐ジロー特別,,10,3,3,7.2,3,4,塚本雄大,56.0,ダ1400,良,11,1:36.9,0.9,5,6-6-6-5,0.0-41.4,41.4,501(+8),,,アイオーン,7.5,4,722.5,48.166666666666664,1.533333333333333,54.2,38.30666666666666,0.2608695652173913
23,23,2022/03/15,高知,晴,4,ヴァニラお誕生日特別,,10,1,1,6.6,5,4,倉兼育康,56.0,ダ1300,良,13,1:29.5,1.3,10,9-9-9-5,0.0-41.3,41.3,497(0),,,コスタアレグレ,7.5,5,302.5,12.1,1.1560000000000001,33.88,39.81199999999999,0.66796875
24,24,2022/03/15,高知,晴,3,45回目のHBD特別,,9,1,1,4.4,3,4,郷間勇太,54.0,ダ1300,良,13,1:29.9,1.3,6,2-2-3-2,0.0-42.7,43.9,430(0),,,チャットムーン,7.5,6,272.5,12.976190476190476,1.2428571428571427,31.38095238095238,40.90952380952381,0.6376146788990825
25,25,2022/03/15,高知,晴,4,ヴァニラお誕生日特別,,10,3,3,220.3,9.0,7,米倉知,56.0,ダ1300,良,13,1:29.9,1.7,6,10-10-10-10,0.0-41.3,40.6,514(+9),,,コスタアレグレ,0.0,7,918.9,19.14375,1.6270833333333334,41.6875,39.92291666666669,0.4731977818853974
26,26,2022/03/15,高知,晴,4,ヴァニラお誕生日特別,,10,7,8,5.1,4.0,5,吉原寛人,56.0,ダ1300,良,13,1:29.5,1.3,10,4-3-3-4,0.0-41.3,42.3,488(0),,,コスタアレグレ,5.0,8,689.8,19.708571428571428,1.0171428571428571,47.4,39.811428571428564,0.5761772853185596
27,27,2022/03/15,高知,晴,4,ヴァニラお誕生日特別,,10,8,10,148.2,7.0,6.0,石本純也,56.0,ダ1300,良,13.0,1:29.8,1.6,7.0,7-8-8-8,0.0-41.3,41.7,482(-9),,,コスタアレグレ,0.0,9.0,565.1999999999999,3.9249999999999994,1.3874999999999993,29.95138888888889,40.33402777777778,0.5442073170731707
28,28,2022/03/21,高知,曇,3,第3回広島県もみじ特,,9,7,7,7.5,4,4,西森将司,56.0,ダ1400,重,-21,1:33.8,1.7,8,5-5-4-3,0.0-39.8,41.0,471(+2),,,プロトイチバンボシ,7.5,10,398.4,8.130612244897959,1.56734693877551,34.16326530612245,39.89999999999999,0.5059760956175299
29,29,2021/12/12,高知,晴,4,C3ー3,,11,7,9,3.9,2,11,赤岡修次,54.0,ダ1300,重,-4,1:29.3,3.5,-4,7-9-11-11,0.0-40.5,42.6,445(+4),,,ビッグブルー,0.0,11,245.0,11.666666666666666,1.319047619047619,30.0,40.21428571428571,0.5238095238095238
30,30,2022/03/02,高知,晴,1,C3ー12,,9,7,7,1.9,1.0,1,妹尾浩一,56,ダ1400,重,2,1:32.3,-1.3,48,2-2-2-1,0.0-40.1,40.0,519(+23),,,(グラナタス),50.0,1,5767.2,360.45,0.725,81.625,36.099999999999994,0.49029126213592233
31,31,2022/02/20,高知,晴,2,3歳ー2,,9,8,9,45.7,5.0,3,赤岡修次,54,ダ1400,重,-10,1:34.6,2.2,10,5-5-6-3,0.0-39.9,41.3,450(-3),,,チアアップ,10.0,2,140.0,14.0,1.5699999999999998,11.1,40.21,0.573170731707317
32,32,2022/03/02,高知,晴,3,C3ー10,,8,3,3,96.4,8.0,4,塚本雄大,56,ダ1400,重,2.0,1:34.4,0.4,24.0,4-4-4-4,0.0-40.2,39.9,470(+1),,,キタノコドウ,7.5,3,202.5,5.328947368421052,1.8868421052631583,12.447368421052632,40.284210526315796,0.4367816091954023
33,33,2022/03/02,高知,晴,4,PT10周年記念特別,,8,6,6,259.1,8.0,7,西森将司,54,ダ1400,重,2,1:35.5,2.4,12,4-4-5-7,0.0-40.5,41.6,430(+4),,,アクアマリンブルー,0.0,4,178.5,4.697368421052632,2.3026315789473686,2.8947368421052633,41.55,0.40061162079510704
