,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/12/04,6阪神1,晴,5,2歳新馬,,11,8,10,3.4,2,3,川田将雅,55,芝1800,良,-7,1:47.6,0.3,89,6-4,35.9-34.7,34.7,460(0),,,ラリュエル,180.0,1,700.0,350.0,-0.05000000000000002,89.0
1,1,2022/01/10,1中京4,晴,5,3歳未勝利,,17,1,2,45.5,10,4,角田大和,51,芝2000,良,-14,2:01.6,0.8,81,5-6-6-6,36.0-35.0,35.1,472(-4),,,セルケト,78.0,2,288.0,72.0,0.875,80.75
2,2,2022/01/10,1中山4,曇,5,3歳未勝利,,17,2,3,34.1,8,3,Ｍ．デム,56,芝2000,良,-5,2:04.5,0.4,66,6-7-7-7,36.7-37.2,36.9,562(-4),,,スリーエクスプレス,130.0,4,208.0,69.33333333333333,0.7333333333333334,68.33333333333333
3,3,2021/10/10,4阪神2,晴,5,2歳新馬,,11,6,7,22.9,7,5,池添謙一,55,芝1800,良,-15,1:50.5,0.6,66,10-8,37.1-34.1,33.8,484(0),,出遅れ,タガノエスコート,70.0,5,122.0,40.666666666666664,1.1,73.33333333333333
4,4,2021/08/07,3新潟5,晴,1,2歳未勝利,,11,8,10,13.6,5,6,幸英明,54,芝2000,良,-12.0,2:02.8,1.1,64.0,5-6-6-5,36.4-35.7,36.1,462(+2),,出遅れ,ロードリライアブル,0.0,7,180.0,45.0,1.1500000000000001,69.25
5,5,2022/01/23,1中京8,曇,6,3歳新馬,,16,4,8,34.3,9,6,柴山雄一,54,芝1600,良,-2,1:37.7,0.3,67,8-9-8,36.5-35.1,34.9,444(0),,,キタサンシュガー,0.0,8,0.0,0.0,1.0999999999999999,71.5
6,6,2022/01/15,1中山5,晴,5,3歳未勝利,,13,8,13,606.3,13,9,武士沢友,56,芝2000,良,1,2:06.0,1.6,63,3-3-3-4,38.4-36.1,37.5,488(-4),,出遅れ,オウケンボルト,0.0,9,0.0,0.0,2.122222222222222,56.44444444444444
7,7,2022/01/15,1中京5,晴,6,3歳新馬,,12,1,1,9.7,5,5,ルメール,56,芝2000,良,-6,2:04.9,0.7,64,10-9-7-7,37.6-34.5,34.6,470(0),,,マテンロウボンド,60.0,10,60.0,30.0,2.45,60.5
8,8,2022/01/08,1中京2,晴,10,寿S(3勝クラス),,10,8,9,14.9,5,4,松山弘平,57,芝2000,良,-10,2:00.1,0.6,97,10-10-8-8,37.0-35.2,34.4,482(0),,出遅れ,シュヴァリエローズ,280.0,1,9534.699999999999,353.137037037037,0.36296296296296293,91.96296296296296
9,9,2022/01/16,1小倉2,曇,9,宇佐特別(2勝クラス),,14,5,8,5.5,3,1,吉田隼人,56,芝1800,良,-10,1:46.5,-0.2,94,7-7-7-6,34.5-36.7,34.7,500(+10),,出遅れ,(ハーランズハーツ),1540.8,2,4600.299999999999,383.3583333333333,0.18333333333333335,82.83333333333333
