,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
0,0,2021/12/05,5中山2,晴,12,3歳以上2勝クラス,,8,4,4,4.0,3,5,秋山稔樹,52,芝2500,良,-15,2:37.5,0.8,76,8-8-8-8,32.6-34.8,34.4,462(+4),,,ナリノモンターニュ,110.0,1,3506.7,292.22499999999997,0.44166666666666665,83.58333333333333
1,1,2021/07/10,1函館3,小雨,12,駒ケ岳特別(2勝クラス),,13,4,4,1.6,1,2,ルメール,54,芝2600,稍,6,2:42.4,0.3,98,2-3-1-1,37.7-37.0,37.3,530(-2),,出遅れ,アラタ,607.8,2,4384.4,487.1555555555555,0.26666666666666666,87.55555555555556
2,2,2021/10/03,4中山9,晴,7,3歳以上1勝クラス,,9,2,2,5.5,3,1,横山武史,54,芝2200,稍,-12,2:13.0,-0.4,103,1-1-1-1,35.9-34.6,34.6,486(+2),,,(ナムラカミカゼ),760.0,3,2265.1,226.51,0.64,86.1
3,3,2021/07/18,1福島6,晴,9,信夫山特別(2勝クラス),,11,8,10,30.2,8.0,9,藤田菜七,57,芝2600,良,-6,2:43.5,1.6,83,11-11-11-11,39.3-34.9,35.0,466(+2),,躓く,エドノフェリーチェ,0.0,4,1770.0,98.33333333333333,0.9666666666666666,79.83333333333333
4,4,2021/11/06,5阪神1,晴,9,能勢特別(2勝クラス),,9,7,7,32.3,8,4,泉谷楓真,52,芝2000,良,-12,2:01.0,0.3,86,7-7-7-9,36.9-35.7,35.2,458(+2),,,ホウオウエクレール,230.0,5,3137.4,125.49600000000001,0.912,82.52
5,5,2021/11/07,2福島2,晴,12,三陸特別(2勝クラス),,16,8,16,51.3,12.0,10,斎藤新,54,芝2600,良,-9,2:42.0,1.1,83,15-15-15-12,37.7-36.3,35.9,432(+6),,,ウシュバテソーロ,0.0,6,1953.2000000000003,69.75714285714287,0.6821428571428572,73.82142857142857
6,6,2021/09/25,4中山6,曇,10,九十九里特別(2勝クラス),,12,1,1,18.4,6,6,菅原明良,57,芝2500,良,-17,2:32.5,0.6,99,9-10-11-11,30.1-35.9,35.5,480(+16),,出遅れ,ベスビアナイト,0.0,7,3466.6000000000004,266.6615384615385,0.31538461538461543,89.61538461538461
7,7,2021/09/12,5中京2,小雨,9,長久手特別(2勝クラス),,8,3,3,88.8,8.0,5,鮫島克駿,53,芝2000,良,-14,2:01.5,1.1,88,7-7-8-7,37.7-34.6,34.4,454(+14),,,ロバートソンキー,150.0,8,2495.0,124.75,1.0900000000000003,83.2
8,8,2021/08/21,2札幌3,晴,11,札幌日刊スポーツ杯(2勝クラス),,14,5,8,7.1,4,4,古川吉洋,54,芝2600,良,-13,2:41.4,0.4,98,11-12-13-12,37.3-35.3,34.9,430(-4),,,エアサージュ,230.0,8,5455.2,202.04444444444445,0.6555555555555556,86.96296296296296
9,9,2021/08/28,4小倉5,晴,10,西海賞(2勝クラス),,10,2,2,30.7,8,5,藤岡康太,55,芝2000,良,-18,1:59.9,0.3,89,10-10-10-9,37.2-34.3,33.8,442(+8),,出遅れ,レッドルーヴル,150.0,10,7684.2,156.8204081632653,0.6367346938775511,87.79591836734694
10,10,2021/09/25,5中京6,曇,12,3歳以上2勝クラス,,16,1,2,17.6,7,15,松山弘平,54,ダ1800,良,-9,1:55.2,2.4,70,9-8-9-12,37.8-37.6,39.3,490(-10),,,クリノホノオ,0.0,10,1886.0,157.16666666666666,1.2916666666666667,82.33333333333333
11,11,2021/04/18,1新潟4,雨,10,奥の細道特別(2勝クラス),,10,7,7,3.0,1,5,丹内祐次,57,芝2400,不,55.0,2:36.2,1.4,84.0,10-9-9-8,38.0-39.8,40.1,464(-4),,,ワンダーコノシュア,150.0,12,3531.1,207.71176470588236,0.9764705882352942,86.29411764705883
12,12,2021/06/05,3東京1,曇,9,稲城特別(1勝クラス),,10,7,7,3.8,2,1,内田博幸,57,芝2400,良,-20,2:26.4,-0.1,87,4-5-7-6,37.5-35.1,34.6,460(+4),,,(セルヴァン),1081.7,13,2683.4,127.78095238095239,0.6666666666666667,81.33333333333333
13,13,2020/11/28,5阪神8,曇,9,江坂特別(2勝クラス),,9,2,2,13.1,7,3,和田竜二,57,芝2600,良,-10,2:41.3,0.1,83,3-2-5-4,37.7-35.7,35.6,458(+4),,,レティキュール,383.0,14,8151.0999999999985,198.8073170731707,0.6609756097560976,91.3170731707317
14,14,2021/07/25,3新潟2,晴,10,糸魚川特別(2勝クラス),,12,6,8,181.5,12,8,松若風馬,55,芝1800,良,-15,1:47.5,1.2,77,7-7,36.4-33.5,33.6,476(-2),,,ランドオブリバティ,0.0,15,2093.6,130.85,0.7687500000000002,86.375
15,15,2021/06/06,3東京2,晴,12,小金井特別(2勝クラス),,16,5,9,44.6,10,12,池添謙一,55,ダ1600,重,-19,1:37.0,1.5,87,4-6,34.5-37.0,37.9,496(+2),,,ヘライア,0.0,16,2538.6,158.6625,1.18125,81.5
16,16,2021/10/31,4東京8,曇,11,天皇賞(秋)(G1),,16,3,5,3.4,3,1,横山武史,56,芝2000,良,-11,1:57.9,-0.1,118,6-6-6,36.2-33.6,33.2,514(+4),,,(コントレイル),15336.0,1,73663.59999999999,10523.371428571427,-0.2,101.28571428571429
17,17,2021/05/02,2阪神12,晴,11.0,天皇賞(春)(G1),,17,6.0,12,3.6,1,2,和田竜二,58.0,芝3200,良,-10.0,3:14.8,0.1,110.0,4-3-4-3,35.8-37.4,37.1,502(0),,,ワールドプレミア,6102.0,2,36182.2,2783.2461538461534,0.40769230769230774,98.23076923076923
18,18,2021/06/27,3阪神4,晴,11.0,宝塚記念(G1),,13,5.0,7,1.8,1,1,ルメール,56,芝2200,良,-12.0,2:10.9,-0.4,112.0,4-4-3-4,35.1-34.7,34.4,478(0),,,(ユニコーンライオン),15281.4,3,110171.39999999998,7344.759999999998,-0.08000000000000002,105.93333333333334
19,19,2021/09/26,5中京7,雨,11,神戸新聞杯(G2),,10,5,5,3.0,2,1,吉田隼人,56,芝2200,不,35,2:18.0,0.0,107,9-8-9-9,37.0-36.5,35.6,506(+18),,,(レッドジェネシス),5471.4,4,27587.299999999996,3065.255555555555,0.2111111111111111,100.88888888888889
20,20,2021/10/24,4阪神6,曇,11,菊花賞(G1),,18,2,3,8.0,4,1,横山武史,57,芝3000,良,-13,3:04.6,-0.8,104,1-1-1-1,35.1-35.1,35.1,464(-2),,,(オーソクレース),15007.9,5,31745.9,3527.3222222222225,0.2666666666666667,96.88888888888889
21,21,2021/11/28,5東京8,晴,12,ジャパンC(G1),,18,5,9,20.5,4,9,横山武史,57,芝2400,良,-17,2:25.8,1.1,92,1-1-2-2,37.0-35.3,35.3,480(+8),,,コントレイル,0.0,6,22223.299999999996,1388.9562499999997,0.44375000000000003,99.5
22,22,2021/11/14,5阪神4,晴,11,エリザベス女王杯(G1),,17,8,16,64.9,10,1,幸英明,56,芝2200,良,-1,2:12.1,-0.3,113,13-13-13-7,34.1-36.5,35.7,514(0),,出遅れ,(ステラリア),10861.2,7,19289.500000000007,918.5476190476194,0.2761904761904762,93.76190476190476
23,23,2021/11/28,5東京8,晴,12,ジャパンC(G1),,18,7,13,278.8,16,13,池添謙一,57,芝2400,良,-17,2:26.5,1.8,89,14-14-16-15,37.0-35.3,34.8,488(+6),,出遅れ,コントレイル,0.0,8,23049.8,1002.1652173913043,0.8826086956521738,97.8695652173913
24,24,2021/11/28,5東京8,晴,12,ジャパンC(G1),,18,8,16,240.1,14,12,藤岡佑介,57,芝2400,良,-17,2:26.2,1.5,90,13-14-13-12,37.0-35.3,34.7,506(+6),,,コントレイル,0.0,9,35646.600000000006,1425.8640000000003,0.6,101.0
25,25,2021/11/28,5東京8,晴,12.0,ジャパンC(G1),,18,3.0,5,37.4,7,10,和田竜二,57.0,芝2400,良,-17.0,2:26.0,1.3,92.0,18-14-1-1,37.0-35.3,36.6,512(+6),,出遅れ,コントレイル,0.0,10,70140.29999999999,2418.6310344827584,0.5241379310344827,105.82758620689656
