,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
297,297,2012/07/22,2新潟4,晴,5,2歳新馬,,11,2,2,3.2,2,1,柴田善臣,54,芝1800,良,-6.0,1:51.3,0.0,57.0,9-9,37.6-34.4,33.8,468(0),,出遅れ,(サングブルー),700.0,18,,700.0,0.0,57.0,0,,,33.8,1.0,16.172506738544474,16.172506738544474,111.3,9.0,9.0,37.6,34.4,-3.8000000000000043,-0.6000000000000014,3.200000000000003,-3.8000000000000043,-0.6000000000000014,3.200000000000003,8.0,8.0,0.0,9.0,8.0,8.0,0.0,8.5,0.6000000000000014,2,35.26666666666666,35.26666666666666,57.0
298,298,2012/06/03,3東京2,曇,11,安田記念(G1),,18,6,12,29.1,14,10,川田将雅,56,芝1600,良,-15,1:32.1,0.8,110,4-5,33.8-35.0,35.2,436(+4),,,ストロングリターン,,1,,1007.9250000000001,0.3333333333333333,98.83333333333333,0,,,34.64999999999999,0.7803468208092486,17.37242128121607,16.830493554534712,92.1,4.0,5.0,33.8,35.0,1.4000000000000057,0.20000000000000284,-1.2000000000000028,-0.7416666666666666,-0.3750000000000006,0.366666666666666,-5.0,-6.0,-1.0,6.333333333333333,2.1666666666666665,2.6666666666666665,0.5,10.880197526922572,1.1350781324930483,4,34.666666666666664,35.02222222222222,107.75
299,299,2012/07/22,2中京8,晴,11,トヨタ賞中京記念(G3),,16,7,14,6.6,4,14,松山弘平,54.0,芝1600,良,9,1:36.6,1.5,94,4-5-4,35.3-36.0,36.9,474(+24),,,フラガラッハ,,2,,889.7411764705882,0.5473684210526316,94.57894736842105,0,,,34.926315789473676,0.7550200803212851,16.563146997929607,16.80949741454986,96.6,4.0,4.0,35.3,36.0,1.6000000000000014,0.8999999999999986,-0.7000000000000028,-0.42105263157894735,0.07894736842105263,0.5,-10.0,-10.0,0.0,4.473684210526316,-1.1578947368421053,-1.0,0.15789473684210525,14.061561079766358,1.3843680868901889,5,36.06666666666667,35.040350877192985,102.5
300,300,2012/07/29,2新潟6,晴,11,NST賞(OP),,12,7,9,7.8,5,2,武豊,56,芝1800,良,-9,1:46.2,0.2,101,3-3,35.8-33.3,33.3,450(+2),,,スマートシルエット,887.6,3,,508.21935483870965,0.39677419354838694,101.0,0,,,34.23225806451613,0.7894736842105263,16.949152542372882,16.912796714022594,106.2,3.0,3.0,35.8,33.3,-2.5,0.0,2.5,-1.0354838709677427,-0.5387096774193554,0.4967741935483874,1.0,1.0,0.0,8.741935483870968,4.774193548387097,5.451612903225806,0.6774193548387096,11.695643887255631,1.4697868680526438,7,34.13333333333333,34.75698924731182,88.75
301,301,2012/05/13,2東京8,晴,11,ヴィクトリアマイル(G1),,18,2,4,32.8,10,6,松岡正海,55,芝1600,良,-9,1:32.9,0.5,110,8-11,34.4-34.2,33.8,478(+10),,,ホエールキャプチャ,,4,,905.2299999999999,0.46428571428571436,94.92857142857143,0,,,35.08571428571429,0.810126582278481,17.222820236813778,16.705473451383167,92.9,8.0,11.0,34.4,34.2,-0.6000000000000014,-0.4000000000000057,0.19999999999999574,-0.20000000000000132,-0.27857142857142947,-0.07857142857142817,5.0,2.0,-3.0,7.785714285714286,2.857142857142857,2.357142857142857,-0.5,10.71364654178129,1.2065377463359093,4,34.13333333333333,35.24523809523809,107.75
302,302,2012/07/22,2中京8,晴,11,トヨタ賞中京記念(G3),,16,4,8,25.9,9.0,5,尾島徹,56,芝1600,良,9,1:35.6,0.5,108,15-14-13,35.3-36.0,35.4,486(0),,出脚鈍い,フラガラッハ,380.0,5,,725.6166666666667,0.523809523809524,101.42857142857143,0,,,34.63333333333334,0.7078189300411523,16.736401673640167,16.88524125432763,95.6,15.0,13.0,35.3,36.0,0.10000000000000142,-0.6000000000000014,-0.7000000000000028,-0.7285714285714281,-0.16190476190476216,0.5666666666666659,8.0,10.0,2.0,6.571428571428571,1.1428571428571428,2.4285714285714284,1.2857142857142858,10.939068659648127,0.9411725586330955,5,35.56666666666667,34.93015873015874,102.75
303,303,2012/06/24,3阪神8,晴,11,宝塚記念(G1),,16,3,5,159.2,15,15,田辺裕信,58.0,芝2200,良,-2.0,2:16.0,5.1,82.0,2-2-2-3,34.3-35.3,40.4,494(+4),,,オルフェーヴル,,6,,1065.8178571428573,0.7722222222222223,103.52777777777777,0,,,35.03055555555555,0.7090464547677262,16.176470588235293,16.841683501778604,136.0,2.0,3.0,34.3,35.3,6.100000000000001,5.100000000000001,-1.0,-0.030555555555555596,-0.02777777777777837,0.002777777777777225,-12.0,-13.0,-1.0,7.75,1.3333333333333333,1.1388888888888888,-0.19444444444444445,10.463962994419257,1.663675426287273,7,36.666666666666664,35.050000000000004,96.75
304,304,2012/04/22,3京都2,曇,11,読売マイラーズC(G2),,18,6,12,79.4,15,12,川田将雅,56.0,芝1600,稍,-4,1:34.3,1.1,96,17-17,34.3-35.7,35.0,466(-4),,出遅れ,シルポート,,7,,760.5799999999999,0.5565217391304348,88.0,0,,,35.33913043478261,0.7121212121212122,16.96712619300106,16.333284500156743,94.3,17.0,17.0,34.3,35.7,0.7000000000000028,-0.7000000000000028,-1.4000000000000057,-0.6304347826086957,-0.43478260869565216,0.1956521739130435,5.0,5.0,0.0,8.173913043478262,3.1739130434782608,5.521739130434782,2.347826086956522,11.714188927203718,1.6173484387175894,5,35.0,35.69420289855073,105.0
305,305,2012/03/25,2阪神2,晴,11,六甲S(OP),,12,6,7,8.7,4,10,安藤勝己,56.0,芝1600,稍,22,1:37.9,1.7,84,9-5,35.8-36.0,37.4,502(+2),,,マイネルクラリティ,,8,,364.8105263157895,0.64,96.1,0,,,34.97666666666666,0.5573770491803278,16.343207354443308,17.000293122011232,97.9,9.0,5.0,35.8,36.0,1.6000000000000014,1.3999999999999986,-0.20000000000000284,0.18999999999999914,-0.17000000000000123,-0.3600000000000004,-5.0,-1.0,4.0,7.8,1.5666666666666667,1.9333333333333333,0.36666666666666664,11.655745346556216,1.5291479471682337,6,36.4,34.97,95.5
306,306,2012/07/29,2新潟6,晴,11,NST賞(OP),,12,3,3,4.7,3,5,内田博幸,54,芝1800,良,-9,1:46.3,0.3,101,6-9,35.8-33.3,33.0,476(+2),,出遅れ,スマートシルエット,220.0,9,,518.2333333333332,0.3923076923076923,95.46153846153847,0,,,35.107692307692304,0.7969348659003831,16.933207902163687,16.710857489596638,106.3,6.0,9.0,35.8,33.3,-2.799999999999997,-0.29999999999999716,2.5,-0.32692307692307637,-0.16923076923076918,0.1576923076923072,4.0,1.0,-3.0,5.769230769230769,1.6923076923076923,1.9230769230769231,0.23076923076923078,12.879306782970756,1.117205508466615,5,34.03333333333333,35.27307692307692,103.25
