,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢
0,0,2022/02/27,2小倉6,晴,3,3歳未勝利,,14,7,11,11.2,5,3,小林凌大,51,ダ1000,良,11,1:00.3,0.4,73,1-1,34.9-36.3,36.7,490(-6),,,アスターヘキサゴン,130.0,1,540.0,67.5,1.0625,59.0,0,,,38.150000000000006,0.6542056074766355,16.58374792703151,16.310680563620906,60.3,1.0,1.0,-2.0,-2.0,0.0,2.375,-3.25,-3.125,0.125,17.205368097138308,2.077391526784383,3
1,1,2021/12/04,5中山1,晴,1,2歳未勝利,,16,6,11,2.8,1,9,石橋脩,55,ダ1200,稍,-7,1:14.2,1.8,55,3-3,33.7-38.7,40.2,472(+12),,,カリュウ,0.0,2,238.0,47.6,0.9,72.0,0,,,36.260000000000005,0.609375,16.172506738544474,16.733682803942827,74.2,3.0,3.0,-6.0,-6.0,0.0,5.0,-1.0,-0.6,0.4,8.87724932372385,2.2637849328552013,3
2,2,2021/06/26,3阪神3,曇,5,2歳新馬,,17,7,14,168.9,11,11,斎藤新,53,芝1400,良,-12,1:25.3,1.1,55,3-2,36.9-34.8,35.6,412(0),,出遅れ,タガノフィナーレ,0.0,3,0.0,0.0,1.1,55.0,0,,,35.6,0.375,16.412661195779602,16.412661195779602,85.3,3.0,2.0,-9.0,-8.0,1.0,2.0,-9.0,-8.0,1.0,13.5,1.25,3
3,3,2022/02/26,2小倉5,晴,2,3歳未勝利,,18,4,7,340.8,16,8,斎藤新,54,芝1200,良,-8,1:09.5,1.2,74,7-6,33.4-34.9,35.5,456(-2),,,ニシノデフィレ,0.0,4,200.0,22.22222222222222,1.0222222222222224,66.33333333333333,0,,,35.43333333333334,0.5874125874125874,17.26618705035971,17.20268647197218,69.5,7.0,6.0,-2.0,-1.0,1.0,3.888888888888889,-3.6666666666666665,-3.3333333333333335,0.3333333333333333,4.648655719667784,1.2644761761298635,3
4,4,2022/01/22,1中山7,晴,3,3歳新馬,,16,1,1,45.9,8,6,木幡育也,53,ダ1200,良,-6,1:14.8,2.5,49,6-5,34.6-37.7,39.7,400(0),,出遅れ,クールライズ,0.0,5,0.0,0.0,2.5,49.0,0,,,39.7,0.6666666666666666,16.0427807486631,16.0427807486631,74.8,6.0,5.0,-1.0,0.0,1.0,5.0,-1.0,0.0,1.0,10.5,2.950000000000003,3
5,5,2022/02/26,1阪神5,晴,2,3歳未勝利,,15,8,15,6.4,3,6,岩田望来,56,ダ1200,良,0,1:15.4,2.5,51,9-9,35.5-37.4,38.9,454(+2),,,ナムラフランク,0.0,6,52.0,10.4,2.62,52.8,0,,,40.220000000000006,0.4925373134328358,15.915119363395224,15.828283467078474,75.4,9.0,9.0,3.0,3.0,0.0,5.4,-2.4,-2.0,0.4,12.406315595964285,2.9420797632513884,3
6,6,2022/02/26,2中山1,晴,4,3歳未勝利,,16,1,1,114.1,12,9,山田敬士,52,ダ1200,良,-5,1:14.6,2.3,53,10-10,34.9-37.4,38.4,446(-2),,出遅れ,ヤマトコウセイ,0.0,7,0.0,0.0,1.425,58.5,0,,,36.3,0.3709677419354839,16.0857908847185,16.3566755843578,74.6,10.0,10.0,1.0,1.0,0.0,7.5,-3.25,-3.25,0.0,6.04648658313239,1.630460057775104,3
7,7,2022/02/26,2中山1,晴,2,3歳未勝利,,16,8,16,92.8,8,14,小林脩斗,51,ダ1200,良,-5,1:14.8,2.0,49,8-11,34.6-38.2,39.3,418(-4),,,リュタン,0.0,8,90.0,30.0,2.0,53.666666666666664,0,,,38.86666666666667,0.4444444444444444,16.0427807486631,16.023442374935556,74.8,8.0,11.0,-3.0,-6.0,-3.0,9.666666666666666,0.3333333333333333,0.0,-0.3333333333333333,5.3091901453988255,2.3983066943158033,3
8,8,2022/04/30,1福島5,晴,5,3歳未勝利,,16,3,6,6.8,3,4,岩田康誠,54,芝1200,重,6,1:11.0,0.3,77,6-6,34.5-36.2,36.1,452(-14),,,グラストンベリー,78.0,9,148.0,24.666666666666668,0.7833333333333332,70.0,0,,,36.15,0.6136363636363636,16.901408450704224,16.711627376430744,71.0,6.0,6.0,2.0,2.0,0.0,6.666666666666667,0.0,0.5,0.5,7.264675505766355,1.3220268915724878,3
9,9,2022/02/20,2小倉4,曇,5,3歳未勝利,,18,5,10,7.0,3,7,横山和生,54,芝1200,重,18,1:11.4,1.0,73,16-18,35.1-35.3,35.1,432(-2),,,スクリーンショット,0.0,10,820.0,91.11111111111111,0.788888888888889,68.88888888888889,0,,,35.5,0.7222222222222222,16.806722689075627,16.83072935190465,71.4,16.0,18.0,11.0,9.0,-2.0,6.111111111111111,1.2222222222222223,0.5555555555555556,-0.6666666666666666,7.892401408950257,0.6425729530566943,3
10,10,2022/02/27,2小倉6,晴,5,3歳未勝利,,18,4,7,222.0,16,15,小林凌大,51,芝1200,良,-8,1:11.3,2.2,48,8-8,34.8-34.3,36.1,422(-12),,,ゲンパチレオニダス,0.0,11,77.0,11.0,2.142857142857143,54.285714285714285,0,,,36.24285714285714,0.2857142857142857,16.83029453015428,16.64854121752529,71.3,8.0,8.0,-7.0,-7.0,0.0,8.428571428571429,-1.8571428571428572,-2.2857142857142856,-0.42857142857142855,12.26529657203608,2.2444375687463434,3
11,11,2021/11/20,2福島5,晴,4,2歳未勝利,,16,8,16,28.2,8,5,小林脩斗,52,芝1200,良,2,1:10.3,0.7,83,5-3,34.9-34.7,35.0,456(-6),,,セリノーフォス,51.0,12,405.0,57.857142857142854,1.2714285714285711,67.28571428571429,0,,,35.98571428571428,0.6593406593406593,17.069701280227598,16.727083688441795,70.3,5.0,3.0,-2.0,0.0,2.0,6.714285714285714,1.2857142857142858,1.2857142857142858,0.0,12.638606529202498,2.36613477004164,3
12,12,2022/02/20,2小倉4,曇,5,3歳未勝利,,18,3,5,241.3,16,14,山田敬士,52,芝1200,重,18,1:12.3,1.9,59,5-8,35.1-35.3,36.8,406(+2),,,スクリーンショット,0.0,13,48.0,5.333333333333333,1.5111111111111108,48.22222222222222,0,,,36.68888888888889,0.36363636363636365,16.597510373443985,16.543558803514205,72.3,5.0,8.0,-6.0,-9.0,-3.0,9.444444444444445,-0.8888888888888888,-0.8888888888888888,0.0,15.249918032566601,1.7356266879718107,3
13,13,2022/02/06,1東京4,晴,1,3歳未勝利,,16,1,2,66.1,11,15,江田照男,54,ダ1400,良,2,1:30.5,4.1,31,4-4,35.3-38.7,42.5,448(0),,,メテオフリューゲル,0.0,14,0.0,0.0,4.1,31.0,0,,,42.5,0.06666666666666667,15.469613259668508,15.469613259668508,90.5,4.0,4.0,-11.0,-11.0,0.0,4.0,-11.0,-11.0,0.0,6.0,3.5,3
14,14,2021/11/06,2福島1,晴,2,2歳未勝利,,16,4,8,295.2,15,16,中井裕二,54,芝1200,良,-11,1:13.5,4.2,24,7-16,33.9-35.4,39.0,392(+16),,3角不利,スマイルアップ,0.0,15,0.0,0.0,2.275,52.25,0,,,36.75,0.30612244897959184,16.3265306122449,16.81250638070061,73.5,7.0,16.0,0.0,-9.0,-9.0,9.5,0.0,-1.5,-1.5,16.521501142450706,1.419013742005341,3
15,15,2022/01/10,1中山4,曇,4,3歳新馬,,15,7,14,123.9,11,13,秋山稔樹,53,ダ1200,良,-6,1:18.1,5.9,2,3-7,34.2-38.0,43.7,384(0),,,ラブリネスオーバー,0.0,16,0.0,0.0,5.9,2.0,0,,,43.7,0.14285714285714285,15.36491677336748,15.36491677336748,78.1,3.0,7.0,-6.0,-10.0,-4.0,7.0,-6.0,-10.0,-4.0,18.0,2.25,3
16,16,2022/04/24,1福島4,曇,9,雪うさぎ賞(1勝クラス),,16,7,14,4.7,2,4,荻野極,54,芝1200,良,-6,1:10.2,0.3,77,3-3,34.3-35.6,35.5,452(-2),,,ウインモナーク,150.0,1,1312.8,164.1,0.7,75.25,0,,,36.300000000000004,0.6761904761904762,17.094017094017094,16.881946644651848,70.2,3.0,3.0,-1.0,-1.0,0.0,3.25,-2.0,-1.75,0.25,17.10750322714179,2.2213331554844093,3
17,17,2022/03/26,3中山1,小雨,5,3歳1勝クラス,,13,4,5,12.2,6,6,柴田大知,54,芝1200,良,-7,1:09.5,0.4,86,2-2,34.1-35.0,35.3,440(-2),,,ジャスパークローネ,0.0,2,1241.0,177.28571428571428,0.3,84.14285714285714,0,,,35.385714285714286,0.803921568627451,17.26618705035971,17.20465744731648,69.5,2.0,2.0,-4.0,-4.0,0.0,3.5714285714285716,-0.2857142857142857,-0.7142857142857143,-0.42857142857142855,5.651327277728657,0.9666307464590609,3
18,18,2022/02/26,2中山1,晴,4,3歳未勝利,,16,7,13,57.8,8,1,小林脩斗,51,ダ1200,良,-5,1:12.3,0.0,84,2-2,34.9-37.4,37.2,454(+12),,,(ミンナノユメミノル),520.0,3,520.0,104.0,1.86,57.2,0,,,39.339999999999996,0.5675675675675675,16.597510373443985,16.08869714991421,72.3,2.0,2.0,1.0,1.0,0.0,4.8,-2.6,-2.6,0.0,18.72090334952409,2.856814465254769,3
19,19,2022/05/01,2阪神12,曇,5,3歳1勝クラス,,12,8,11,335.3,12,11,幸英明,56,芝1400,稍,-11,1:23.8,2.6,65,12-11,34.1-35.8,36.2,472(-2),,,ブッシュガーデン,0.0,4,95.8,13.685714285714285,2.0285714285714285,52.857142857142854,0,,,39.84285714285714,0.38461538461538464,16.706443914081145,15.72125620609084,83.8,12.0,11.0,0.0,1.0,1.0,5.142857142857143,-2.7142857142857144,-2.2857142857142856,0.42857142857142855,16.91892431568863,2.993717379780531,3
20,20,2022/04/24,1福島4,曇,9,雪うさぎ賞(1勝クラス),,16,2,3,169.2,15,9,黛弘人,54,芝1200,良,-6,1:10.5,0.6,73,7-5,34.3-35.6,35.4,440(-6),,出遅れ,ウインモナーク,0.0,5,1130.0,113.0,0.8800000000000001,71.9,0,,,36.470000000000006,0.6054421768707483,17.02127659574468,16.725094224813436,70.5,7.0,5.0,-4.0,-2.0,2.0,8.7,1.9,2.9,1.0,5.986210048419755,1.6573901618992217,3
21,21,2022/03/05,2中山3,晴,7,3歳1勝クラス,,16,4,7,395.4,16,11,丹内祐次,56,ダ1200,良,-3,1:15.0,1.0,48,11-10,35.5-38.5,38.4,470(-4),,,エイシンヌプリ,0.0,6,700.0,140.0,1.8800000000000001,57.6,0,,,37.9,0.29411764705882354,16.0,16.421895226978357,75.0,11.0,10.0,-1.0,0.0,1.0,5.2,-5.4,-5.2,0.2,15.399314559060377,2.2020192753218333,3
22,22,2022/03/26,3中山1,小雨,5,3歳1勝クラス,,13,6,8,99.7,10.0,2,丹内祐次,54,芝1200,良,-7,1:09.3,0.2,90,10-6,34.1-35.0,34.5,430(0),,出遅れ,ジャスパークローネ,300.0,7,1090.0,155.71428571428572,0.7999999999999999,73.0,0,,,35.714285714285715,0.6025641025641025,17.316017316017316,16.95331540223128,69.3,10.0,6.0,4.0,8.0,4.0,3.857142857142857,-1.5714285714285714,-0.42857142857142855,1.1428571428571428,10.700467279516348,1.0931605554537718,3
23,23,2022/03/26,3中山1,小雨,5,3歳1勝クラス,,13,8,12,9.0,5,4,横山琉人,51,芝1200,良,-7,1:09.3,0.2,89,3-3,34.1-35.0,34.9,482(0),,,ジャスパークローネ,110.0,8,1110.0,185.0,0.3333333333333333,83.5,0,,,35.050000000000004,0.7380952380952381,17.316017316017316,17.290004616231702,69.3,3.0,3.0,-1.0,-1.0,0.0,4.666666666666667,0.0,0.5,0.5,5.091008480344418,0.6608590574983063,3
24,24,2022/02/19,2小倉3,雨,3,3歳未勝利,,14,5,7,1.6,1,1,岩田康誠,56,ダ1000,稍,2,0:59.7,0.0,73,1-2,34.7-36.4,36.4,436(0),,出遅れ,(ドリーム),520.0,9,1210.0,302.5,0.17500000000000002,78.75,0,,,36.574999999999996,0.9444444444444444,16.75041876046901,16.792451343090093,59.7,1.0,2.0,1.0,0.0,-1.0,1.5,-0.25,-0.5,-0.25,3.687817782917155,1.5046594299043206,3
25,25,2022/04/24,1福島4,曇,9,雪うさぎ賞(1勝クラス),,16,1,1,126.4,14,7,嶋田純次,54,芝1200,良,-6,1:10.3,0.4,75,3-3,34.3-35.6,35.5,398(-2),,,ウインモナーク,0.0,10,840.0,105.0,0.7124999999999999,79.5,0,,,35.325,0.616822429906542,17.069701280227598,17.175352498640606,70.3,3.0,3.0,-4.0,-4.0,0.0,5.75,-0.375,-0.25,0.125,5.734883511361751,0.7263981834969407,3
26,26,2022/03/05,2中山3,晴,7,3歳1勝クラス,,16,6,11,22.0,9.0,10,丸山元気,54,ダ1200,良,-3,1:14.7,0.7,54,12-11,35.5-38.5,37.9,450(+2),,出遅れ,エイシンヌプリ,0.0,11,561.0,80.14285714285714,1.1,65.42857142857143,0,,,36.15714285714285,0.44,16.06425702811245,16.93198456443361,74.7,12.0,11.0,1.0,2.0,1.0,4.285714285714286,-4.714285714285714,-4.571428571428571,0.14285714285714285,9.848857801796104,1.7135033557014123,3
27,27,2022/04/10,3中山6,晴,5,3歳1勝クラス,,16,1,1,15.4,7,7,西村淳也,56,ダ1200,良,-13,1:13.1,1.4,65,1-1,33.8-37.9,39.3,480(-6),,,ウラカワノキセキ,0.0,12,803.0,160.6,0.6599999999999999,72.0,0,,,37.36,0.7948717948717948,16.415868673050618,16.456927239881708,73.1,1.0,1.0,-6.0,-6.0,0.0,2.2,-2.0,-1.6,0.4,7.127801593447699,2.2360679774997894,3
28,28,2022/03/20,1阪神12,晴,6,3歳1勝クラス,,9,2,2,16.6,7,8,荻野極,56,芝1200,稍,-12,1:09.6,0.9,82,9-8,33.3-35.4,35.2,486(+2),,4角不利,トップキャスト,0.0,13,728.0,121.33333333333333,0.6833333333333335,74.16666666666667,0,,,35.833333333333336,0.7555555555555555,17.24137931034483,16.969133931807274,69.6,9.0,8.0,0.0,1.0,1.0,4.5,-0.16666666666666666,0.16666666666666666,0.3333333333333333,8.201542911089899,1.538883772513741,3
29,29,2022/01/29,1東京1,晴,10,クロッカスS(L),,9,4,4,338.8,9,9,杉原誠人,54,芝1400,良,-23,1:23.9,2.1,57,5-5,36.2-33.3,34.9,420(-6),,,トウシンマカオ,0.0,14,587.0,83.85714285714286,0.8571428571428571,71.85714285714286,0,,,34.87142857142857,0.5813953488372093,16.6865315852205,17.204696932721312,83.9,5.0,5.0,-4.0,-4.0,0.0,4.857142857142857,-1.2857142857142858,-1.4285714285714286,-0.14285714285714285,10.01795263514457,0.9333240326917555,3
30,30,2022/02/12,1東京5,晴,7,3歳1勝クラス,,14,4,6,70.9,10,13,岩田望来,54,芝1400,良,-14,1:23.8,2.2,63,1-1,35.1-35.0,37.2,466(0),,,レディバランタイン,0.0,15,691.0,115.16666666666667,1.0000000000000002,69.33333333333333,0,,,36.06666666666666,0.5238095238095238,16.706443914081145,16.990023861940738,83.8,1.0,1.0,-12.0,-12.0,0.0,1.6666666666666667,-6.0,-6.166666666666667,-0.16666666666666666,8.347063518852309,1.9033804514224542,3
31,31,2022/04/24,1福島4,曇,9,雪うさぎ賞(1勝クラス),,16,7,13,56.6,12,3,泉谷楓真,54,芝1200,良,-6,1:10.2,0.3,77,1-1,34.3-35.6,35.9,412(-10),,,ウインモナーク,265.1,16,845.1,120.72857142857143,0.9142857142857144,71.57142857142857,0,,,36.68571428571429,0.5858585858585859,17.094017094017094,16.890225372184013,70.2,1.0,1.0,-2.0,-2.0,0.0,1.4285714285714286,-5.428571428571429,-5.571428571428571,-0.14285714285714285,12.237238250520416,1.0294871295941483,3
32,32,2022/04/17,1福島2,晴,10,ラジオ福島賞(2勝クラス),,16,2,4,16.8,7,5,荻野極,57,ダ1150,稍,-5,1:09.0,0.3,82,16-16,31.4-37.3,36.3,500(-16),,,プラチナムレイアー,151.0,1,3110.0,124.4,1.052,74.16,0,,,37.464,0.6260869565217392,16.666666666666668,16.526872320646333,69.0,16.0,16.0,11.0,11.0,0.0,5.64,-0.52,-0.04,0.48,15.860756900837226,1.7292300848616216,6
33,33,2021/11/13,2福島3,晴,12,会津特別(2勝クラス),,16,4,8,7.4,4,16,木幡巧也,55,芝1200,良,1,1:11.5,2.0,65,2-2,33.5-36.0,37.9,516(0),,,ローレルアイリス,0.0,2,2565.0,171.0,1.4200000000000002,67.73333333333333,0,,,37.166666666666664,0.4666666666666667,16.783216783216783,16.7585789108735,71.5,2.0,2.0,-14.0,-14.0,0.0,3.2666666666666666,-5.733333333333333,-5.733333333333333,0.0,20.873128658636684,2.5266006683882605,5
34,34,2022/03/12,2中山5,晴,12,4歳以上2勝クラス,,16,6,11,168.7,15,8,丸山元気,55,芝1200,良,-11,1:09.3,0.5,85,2-2,34.0-34.8,35.2,430(-6),,,シュアーヴアリア,0.0,3,1627.0,135.58333333333334,1.05,72.75,0,,,37.525,0.6136363636363636,17.316017316017316,16.5111344445087,69.3,2.0,2.0,-6.0,-6.0,0.0,2.8333333333333335,-3.8333333333333335,-4.0,-0.16666666666666666,15.069857056919165,2.2909133601401517,4
35,35,2022/05/07,1新潟1,晴,12,4歳以上1勝クラス,,16,6,12,3.0,1,1,木幡初也,57,芝1000,良,-11,0:54.8,0.0,94,6,32.8-32.7,32.4,480(-6),,,(リーゼントフラム),770.0,4,5109.0,204.36,0.524,84.08,0,,,34.752,0.7647058823529411,18.248175182481752,17.253463820915876,54.8,6.0,6.0,5.0,5.0,0.0,8.8,4.28,4.76,0.48,11.272577607502189,1.6610932451944922,6
36,36,2022/04/24,1福島4,曇,11,福島中央テレビ杯(2勝クラス),,16,1,1,12.3,6,4,勝浦正樹,55,芝1200,良,-6,1:09.6,0.9,85,5-5,33.9-34.8,35.4,474(+2),,,ルクルト,230.0,5,2723.4,136.17000000000002,0.6749999999999999,81.55,0,,,35.555,0.6379310344827587,17.24137931034483,17.274821411597287,69.6,5.0,5.0,1.0,1.0,0.0,3.05,-3.2,-3.3,-0.1,12.86736806801346,1.6723576308168873,4
37,37,2022/01/23,1中京8,小雨,10,賢島特別(2勝クラス),,12,2,2,96.3,11,12,和田竜二,52,芝1400,良,-2,1:22.5,1.3,82,1-1,34.4-35.1,36.4,502(0),,,エグレムニ,0.0,6,2283.8,126.8777777777778,0.6611111111111111,83.5,0,,,35.455555555555556,0.5433070866141733,16.96969696969697,17.144468161539425,82.5,1.0,1.0,-11.0,-11.0,0.0,5.888888888888889,-1.5555555555555556,-1.8888888888888888,-0.3333333333333333,7.644816106120468,1.1544206255128229,5
38,38,2022/02/20,2小倉4,晴,10,伊万里特別(2勝クラス),,14,4,5,28.5,11,14,秋山稔樹,55,ダ1000,重,-1,1:01.6,3.3,37,2-3,33.9-35.9,39.1,470(+2),,,エルズリー,0.0,7,2581.0,161.3125,0.7312499999999998,73.5,0,,,36.300000000000004,0.6883720930232559,16.233766233766232,16.97391206089599,61.6,2.0,3.0,-11.0,-12.0,-1.0,2.5625,-2.625,-2.75,-0.125,13.797848485810034,1.8467403247315577,5
39,39,2022/02/06,1中京12,曇,12,4歳以上2勝クラス,,16,1,1,315.5,15,10,長岡禎仁,57,芝1200,稍,-1,1:09.3,0.4,94,6-6,33.6-35.3,35.0,504(+2),,出遅れ,オシリスブレイン,0.0,8,2495.0,60.853658536585364,1.0390243902439023,78.6829268292683,0,,,36.90243902439023,0.4903339191564148,17.316017316017316,16.552619485198367,69.3,6.0,6.0,-4.0,-4.0,0.0,7.7073170731707314,-0.36585365853658536,-0.8048780487804879,-0.43902439024390244,12.382142799913927,1.6054470771284601,7
40,40,2022/02/13,2小倉2,小雨,6,4歳以上1勝クラス,,18,6,12,2.7,1,1,横山和生,55,芝1200,稍,7,1:09.3,0.0,93,10-7,33.9-35.4,34.8,484(0),,出遅れ,(ベンガン),770.0,9,3120.0,208.0,0.3866666666666667,83.8,0,,,35.72,0.7783018867924528,17.316017316017316,16.886850890613623,69.3,10.0,7.0,6.0,9.0,3.0,4.266666666666667,0.13333333333333333,1.3333333333333333,1.2,8.464770744089883,1.5815340653934717,5
41,41,2021/12/18,6中京5,晴,11,有松特別(2勝クラス),,17,8,15,28.1,11,17,亀田温心,52,芝1200,良,-4,1:10.8,1.9,68,2-2,34.1-34.8,36.5,466(0),,,フミロア,0.0,10,1780.9,93.73157894736842,0.9578947368421052,73.05263157894737,0,,,36.27894736842105,0.532319391634981,16.949152542372882,16.82790034497073,70.8,2.0,2.0,-15.0,-15.0,0.0,3.1578947368421053,-4.315789473684211,-4.526315789473684,-0.21052631578947367,17.24789842270646,1.82413678215204,6
42,42,2022/02/13,1東京6,雨,12,4歳以上2勝クラス,,16,1,1,99.5,15,14,岩部純二,55,ダ1400,不,-24,1:25.8,2.2,61,10-10,34.4-37.1,38.5,488(-6),,,マイヨアポア,0.0,11,2204.8,59.58918918918919,1.1270270270270273,73.08108108108108,0,,,36.55135135135136,0.4618320610687023,16.317016317016318,16.82127226961099,85.8,10.0,10.0,-4.0,-4.0,0.0,4.675675675675675,-3.945945945945946,-4.027027027027027,-0.08108108108108109,14.411757473070514,1.9960209725831264,7
43,43,2022/03/21,2中山8,晴,12,4歳以上2勝クラス,,12,3,3,89.8,10,12,水沼元輝,54,ダ2400,稍,-9,2:43.6,7.3,42,1-1-4-10,37.7-37.4,44.2,488(0),,,オンザフェーヴル,0.0,12,1550.0,81.57894736842105,1.673684210526316,67.84210526315789,0,,,38.03684210526316,0.43018867924528303,14.66992665036675,16.45407847624936,163.6,1.0,10.0,-2.0,-11.0,-9.0,5.315789473684211,-3.6315789473684212,-3.736842105263158,-0.10526315789473684,13.634056623030432,2.3960175291512367,5
44,44,2022/02/19,2小倉3,雨,11,大濠特別(2勝クラス),,18,3,5,76.6,16,12,亀田温心,55,芝1200,重,22,1:11.0,1.0,82,18-17,34.0-36.0,35.2,520(+14),,出遅れ,ヴィズサクセス,0.0,13,2347.0,130.38888888888889,0.7666666666666668,78.16666666666667,0,,,35.68888888888889,0.6022727272727273,16.901408450704224,17.05410111863931,71.0,18.0,17.0,5.0,6.0,1.0,4.888888888888889,-1.9444444444444444,-1.7222222222222223,0.2222222222222222,12.146383249296111,0.91971331194959,5
45,45,2022/02/06,1中京12,曇,12,4歳以上2勝クラス,,16,5,9,523.6,16,16,柴山雄一,55,芝1200,稍,-1,1:10.4,1.5,77,3-3,33.6-35.3,36.3,454(-6),,,オシリスブレイン,0.0,14,3733.8,98.2578947368421,0.8868421052631578,80.89473684210526,0,,,35.05526315789474,0.44014084507042256,17.045454545454543,17.28625274695186,70.4,3.0,3.0,-13.0,-13.0,0.0,6.078947368421052,-3.289473684210526,-3.4473684210526314,-0.15789473684210525,10.393506798162258,1.3428800239453167,7
46,46,2022/01/29,1小倉5,晴,11,周防灘特別(2勝クラス),,18,1,2,62.1,14,16,西村淳也,55,芝1200,良,-4,1:09.8,1.0,75,3-4,34.7-34.1,34.9,444(-2),,,キャプテンドレイク,0.0,15,3074.0,146.38095238095238,0.8333333333333331,78.9047619047619,0,,,35.3,0.573208722741433,17.191977077363898,17.230793661924668,69.8,3.0,4.0,-12.0,-13.0,-1.0,4.285714285714286,-3.238095238095238,-3.0952380952380953,0.14285714285714285,13.761546616905244,1.639825882714331,5
47,47,2022/04/09,3中山5,晴,10,船橋S(3勝クラス),,16,4,8,14.1,5,2,松岡正海,55,芝1200,良,-15,1:08.0,0.3,99,2-2,33.2-34.5,34.6,510(+6),,,ジュビリーヘッド,750.2,1,5627.1,255.77727272727273,0.47727272727272735,87.13636363636364,0,,,35.21818181818182,0.7259036144578314,17.647058823529413,17.114430155011444,68.0,2.0,2.0,0.0,0.0,0.0,6.045454545454546,0.9090909090909091,1.5909090909090908,0.6818181818181818,9.277490697833827,1.377979672315848,5
48,48,2022/03/26,3中山1,曇,9,春風S(3勝クラス),,16,8,15,9.0,4,16,石川裕紀,54,ダ1200,稍,-6,1:14.6,3.0,51,2-2,34.3-37.3,40.0,520(+4),,,ニシノライトニング,0.0,2,3318.8,474.11428571428576,0.5428571428571428,88.0,0,,,35.81428571428572,0.6767676767676768,16.0857908847185,17.158761144298683,74.6,2.0,2.0,-14.0,-14.0,0.0,1.5714285714285714,-4.0,-4.0,0.0,14.669270602180601,1.9332210815113722,4
49,49,2022/04/09,3中山5,晴,10,船橋S(3勝クラス),,16,2,3,73.4,10.0,10,斎藤新,57,芝1200,良,-15,1:08.6,0.9,92,1-1,33.2-34.5,35.4,496(-2),,出遅れ,ジュビリーヘッド,0.0,3,5203.4,247.78095238095236,1.0714285714285714,79.9047619047619,0,,,35.63809523809524,0.44,17.49271137026239,17.06433510508154,68.6,1.0,1.0,-9.0,-9.0,0.0,5.571428571428571,-2.761904761904762,-2.6666666666666665,0.09523809523809523,10.836500914322652,1.3285796803135859,5
50,50,2022/03/12,2中山5,晴,10,アクアマリンS(3勝クラス),,15,6,11,38.9,10.0,8,菅原明良,53,芝1200,良,-11,1:08.5,0.6,96,12-14,33.0-34.9,34.5,450(-2),,,チェアリングソング,0.0,4,5740.6,191.35333333333335,0.5666666666666668,87.53333333333333,0,,,34.779999999999994,0.6103286384976526,17.51824817518248,17.02732588646757,68.5,12.0,14.0,6.0,4.0,-2.0,9.933333333333334,3.4,3.8,0.4,9.303753732056958,1.1303494620459438,6
51,51,2022/01/23,1中山8,曇,10,江戸川S(3勝クラス),,12,7,9,164.3,12,11,嶋田純次,53,ダ1200,良,1,1:12.3,1.2,91,11-11,33.9-37.2,37.4,530(+6),,出遅れ,スペクタクル,0.0,5,4216.0,124.0,0.9735294117647058,87.08823529411765,0,,,35.1764705882353,0.445859872611465,16.597510373443985,17.034206325912802,72.3,11.0,11.0,0.0,0.0,0.0,8.411764705882353,-0.2647058823529412,0.23529411764705882,0.5,13.157879613310321,2.006418272871907,7
52,52,2022/03/12,2中山5,晴,10,アクアマリンS(3勝クラス),,15,3,5,132.4,15,10,団野大成,53,芝1200,良,-11.0,1:08.7,0.8,93.0,1-1,33.0-34.9,35.7,470(+2),,,チェアリングソング,0.0,6,5276.5,159.8939393939394,0.6636363636363637,85.24242424242425,0,,,35.33333333333332,0.5806451612903226,17.46724890829694,17.283991430719215,68.7,1.0,1.0,-9.0,-9.0,0.0,2.6666666666666665,-4.636363636363637,-4.848484848484849,-0.21212121212121213,9.27529740054259,1.3958198840785037,7
53,53,2022/04/09,3中山5,晴,10,船橋S(3勝クラス),,16,4,7,272.7,16,11,原田和真,55,芝1200,良,-15,1:08.6,0.9,91,11-10,33.2-34.5,34.7,484(-10),,,ジュビリーヘッド,0.0,7,1611.0,59.666666666666664,0.9740740740740742,59.074074074074076,0,,,38.529629629629625,0.569620253164557,17.49271137026239,16.110119605267002,68.6,11.0,10.0,-1.0,0.0,1.0,5.185185185185185,-0.8518518518518519,-1.1481481481481481,-0.2962962962962963,15.500987460316775,2.4103729917138703,5
54,54,2022/02/27,2小倉6,晴,11,下関S(3勝クラス),,18,8,17,37.1,13,16,亀田温心,55,芝1200,良,-8,1:08.8,1.4,85,10-9,33.2-34.2,34.9,506(0),,,トップオブメジャー,0.0,8,5240.4,163.7625,0.7906249999999999,80.65625,0,,,36.209375,0.531390134529148,17.441860465116278,17.018742602473274,68.8,10.0,9.0,-7.0,-6.0,1.0,3.125,-4.40625,-4.5,-0.09375,13.850440814060818,1.783842387631779,5
