,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢
226,226,2021/08/07,1函館11,晴,5,2歳新馬,,9,4,4,67.8,9,8,菱田裕二,54,芝1200,良,-7.0,1:11.9,1.9,54.0,4-6,34.3-35.7,37.1,446(0),,,ヴィアドロローサ,0.0,15,0.0,0.0,1.9,54.0,0,,,37.1,0.125,16.689847009735743,16.689847009735743,71.9,4.0,6.0,-2.0,-4.0,-2.0,6.0,-2.0,-4.0,-2.0,2.0,1.4499999999999993,2
227,227,2021/08/08,3新潟6,曇,6,2歳新馬,,15,8,14,122.0,14.0,13.0,永野猛蔵,51,芝1600,良,-11.0,1:38.7,2.7,42.0,2-2,37.6-33.3,35.9,408(0),,,ステルナティーア,0.0,16.0,0.0,0.0,2.7,42.0,0,,,35.9,0.14285714285714285,16.210739614994935,16.210739614994935,98.7,2.0,2.0,-11.0,-11.0,0.0,2.0,-11.0,-11.0,0.0,1.5,0.4499999999999993,2
228,228,2021/08/01,3新潟4,曇,2,2歳未勝利,,18,7,13,228.4,17,16,長岡禎仁,54,芝1000,良,-7,0:59.3,2.5,17,17,33.3-34.2,34.9,438(-2),,,エシェロン,0.0,17,0.0,0.0,2.5,17.0,0,,,34.9,0.11764705882352941,16.863406408094434,16.863406408094434,59.3,17.0,17.0,1.0,1.0,0.0,17.0,1.0,1.0,0.0,8.0,0.3000000000000007,2
229,229,2021/07/10,1福島3,曇,6,2歳新馬,,14,6,10,76.1,10,14,野中悠太,54,芝1200,稍,-2.0,1:14.9,4.5,12.0,10-14,34.5-35.9,38.7,430(0),,,フミバレンタイン,0.0,18,0.0,0.0,4.5,12.0,0,,,38.7,0.0,16.02136181575434,16.02136181575434,74.9,10.0,14.0,0.0,-4.0,-4.0,14.0,0.0,-4.0,-4.0,6.0,1.9000000000000021,2
230,230,2021/05/02,1新潟8,曇,9,4歳以上1勝クラス,,15,5,8,2.5,1,5,小林脩斗,52,芝1000,重,15,0:58.6,2.1,51,9,33.7-33.9,35.4,436(-6),,,タピオカ,76.0,1,1750.4,145.86666666666667,0.5916666666666667,79.75,0,,,35.00833333333333,0.7945945945945946,17.064846416382252,17.279082341177595,58.6,9.0,9.0,4.0,4.0,0.0,6.333333333333333,2.1666666666666665,2.0833333333333335,-0.08333333333333333,11.110525954348358,1.488695072119029,4
231,231,2021/07/24,3新潟1,晴,12,3歳以上1勝クラス,,18,5,9,46.3,11,6,江田照男,54,芝1000,良,-10,0:55.2,0.6,88,6,32.1-32.8,33.0,434(+2),,,スイーツマジック,0.0,2,1221.4,101.78333333333335,1.05,69.83333333333333,0,,,35.483333333333334,0.5906432748538012,18.115942028985508,17.196589243766287,55.2,6.0,6.0,0.0,0.0,0.0,6.5,-0.3333333333333333,-0.75,-0.4166666666666667,13.975887942702684,1.9656517957788258,3
232,232,2021/05/16,2新潟4,小雨,7,4歳以上1勝クラス,,15,1,1,5.4,4,12,津村明秀,57,ダ1200,良,-5,1:13.4,1.4,68,8-8,34.4-37.6,38.3,520(0),,出遅れ,ケイアイマリブ,0.0,3,750.0,187.5,0.7000000000000001,67.0,0,,,37.9,0.559322033898305,16.34877384196185,16.224901530103903,73.4,8.0,8.0,-4.0,-4.0,0.0,5.25,-2.25,-0.75,1.5,10.63202708800161,2.184124538573749,4
233,233,2021/07/24,3新潟1,晴,12,3歳以上1勝クラス,,18,8,16,41.4,9,2,丸田恭介,55,芝1000,良,-10,0:54.9,0.3,94,6,32.1-32.8,32.7,400(+2),,,スイーツマジック,300.0,4,817.7,32.708,1.06,70.64,0,,,36.772,0.5198776758409785,18.214936247723134,16.387384745138778,54.9,6.0,6.0,4.0,4.0,0.0,6.56,-0.72,-1.24,-0.52,13.585364558138098,1.8887865927360363,4
234,234,2021/05/16,2新潟4,雨,9,4歳以上1勝クラス,,16,3,5,2.6,1,4,藤田菜七,55,芝1000,良,6,0:56.6,0.3,79,6,33.4-33.8,33.7,478(+2),,,トゥールドマジ,110.0,5,3536.2,186.1157894736842,0.6,82.42105263157895,0,,,35.09473684210527,0.7526881720430108,17.6678445229682,17.122210996743007,56.6,6.0,6.0,2.0,2.0,0.0,8.947368421052632,4.315789473684211,4.947368421052632,0.631578947368421,11.859595271340417,1.6705986950791023,5
235,235,2021/07/04,1福島2,小雨,8,3歳以上1勝クラス,,16,7,14,42.6,10,8,大野拓弥,55,芝1200,良,-5.0,1:09.6,1.1,86.0,7-7,33.6-34.9,35.2,482(-10),,,ビューティフルデイ,0.0,6,1680.0,73.04347826086956,1.0782608695652176,77.91304347826087,0,,,36.6,0.5751633986928104,17.24137931034483,16.502043557892698,69.6,7.0,7.0,-1.0,-1.0,0.0,5.826086956521739,-0.8260869565217391,0.17391304347826086,1.0,11.144801354094305,2.0829166249916646,5
236,236,2021/05/16,2新潟4,雨,9,4歳以上1勝クラス,,16,2,4,213.4,15,13,武士沢友,55,芝1000,良,6,0:57.5,1.2,62,12,33.4-33.8,34.1,434(-4),,出遅れ,トゥールドマジ,0.0,7,248.7,17.764285714285712,0.8499999999999999,58.92857142857143,0,,,37.01428571428572,0.47953216374269003,17.391304347826086,16.380204663296144,57.5,12.0,12.0,-1.0,-1.0,0.0,6.785714285714286,-0.5714285714285714,-0.35714285714285715,0.21428571428571427,18.617076987420862,2.5014307017296225,5
237,237,2021/07/24,3新潟1,晴,12,3歳以上1勝クラス,,18,7,13,2.8,1,5,永野猛蔵,49,芝1000,良,-10,0:55.2,0.6,88,8,32.1-32.8,32.8,416(+4),,,スイーツマジック,76.0,8,748.0,124.66666666666667,0.9166666666666666,67.66666666666667,0,,,36.75,0.7692307692307693,18.115942028985508,16.76345771370625,55.2,8.0,8.0,3.0,3.0,0.0,7.0,2.5,2.5,0.0,15.835893097772592,2.7711340049642836,3
238,238,2021/05/08,2新潟1,晴,10,はやぶさ賞(1勝クラス),,16,5,9,23.5,12,7,菊沢一樹,56,芝1000,良,3,0:56.9,1.1,70,10,33.2-33.4,34.1,484(-2),,,キモンブラウン,0.0,9,867.0,108.375,1.275,69.875,0,,,37.7125,0.49166666666666664,17.57469244288225,16.67767508585628,56.9,10.0,10.0,3.0,3.0,0.0,3.875,-4.75,-5.125,-0.375,8.202679477907445,1.8587796341672849,3
239,239,2021/07/25,3新潟2,晴,11,アイビスサマーD(G3),,16,1,2,183.6,15.0,14,城戸義政,54,芝1000,良,-10,0:55.7,1.5,79,17,32.4-32.3,32.6,450(-4),,,オールアットワンス,0.0,10,1555.5,44.44285714285714,0.7885714285714284,54.42857142857143,0,,,37.68571428571428,0.6963855421686747,17.953321364452425,16.037930468030318,55.7,17.0,17.0,3.0,3.0,0.0,5.542857142857143,0.9428571428571428,1.1714285714285715,0.22857142857142856,13.327863461352102,2.578591825487147,5
240,240,2021/07/24,3新潟1,晴,12,3歳以上1勝クラス,,18,3,6,23.6,8,4,津村明秀,55,芝1000,良,-10,0:55.0,0.4,92,1,32.1-32.8,33.2,412(+2),,,スイーツマジック,110.0,11,1145.2,60.27368421052632,1.1157894736842104,63.05263157894737,0,,,35.87894736842105,0.5783132530120482,18.181818181818183,16.795854730329218,55.0,1.0,1.0,-3.0,-3.0,0.0,6.578947368421052,0.05263157894736842,-1.0526315789473684,-1.105263157894737,20.556021015751078,1.5952742710894576,4
241,241,2021/06/27,3東京8,曇,8,3歳以上1勝クラス,,13,4,4,266.7,13,12,菅原隆一,57,芝2000,良,-18,2:01.7,2.4,72,13-13-13,35.0-36.0,34.7,462(-2),,出遅れ,コスモスタック,0.0,12,4722.0,89.09433962264151,0.8301886792452828,87.37735849056604,0,,,34.696226415094344,0.5112359550561798,16.433853738701725,16.896611923945173,121.7,13.0,13.0,1.0,1.0,0.0,9.226415094339623,1.6603773584905661,2.2264150943396226,0.5660377358490566,6.295996724899492,0.7884388387624855,7
242,242,2021/07/10,1福島3,曇,12,3歳以上1勝クラス,,14,5,7,56.1,13,6,丸山元気,55,芝1200,稍,-2,1:10.0,0.5,83,11-10,33.3-36.2,35.4,428(-8),,,グロリユーノワール,0.0,13,784.2,34.095652173913045,0.6347826086956522,68.43478260869566,0,,,36.68260869565217,0.630718954248366,17.142857142857142,16.475626736427163,70.0,11.0,10.0,4.0,5.0,1.0,5.782608695652174,-0.13043478260869565,0.391304347826087,0.5217391304347826,13.425462954980569,1.7092832724728677,4
243,243,2021/07/24,3新潟1,晴,12,3歳以上1勝クラス,,18,7,14,69.8,14,7,木幡巧也,55,芝1000,良,-10,0:55.3,0.7,86,13,32.1-32.8,32.6,518(+2),,,スイーツマジック,0.0,14,1666.0,59.5,1.5678571428571428,65.82142857142857,0,,,36.04285714285714,0.5130023640661938,18.083182640144667,17.08953320720817,55.3,13.0,13.0,6.0,6.0,0.0,7.321428571428571,-1.0357142857142858,-1.7142857142857142,-0.6785714285714286,24.947316665305884,3.7841461636506035,6
244,244,2021/07/24,3新潟1,晴,12,3歳以上1勝クラス,,18,4,8,8.4,4,11,杉原誠人,52,芝1000,良,-10,0:55.7,1.1,79,8,32.1-32.8,33.3,452(0),,,スイーツマジック,0.0,15,1301.0,100.07692307692308,1.153846153846154,72.46153846153847,0,,,36.03076923076923,0.42011834319526625,17.953321364452425,17.03351600882258,55.7,8.0,8.0,-3.0,-3.0,0.0,6.3076923076923075,-2.230769230769231,-2.8461538461538463,-0.6153846153846154,14.061998290369948,1.625561127608506,3
245,245,2021/07/17,1福島5,晴,12,3歳以上1勝クラス,,16,3,5,12.1,4,11,戸崎圭太,52,ダ1150,良,-1,1:09.9,1.5,73,4-5,31.4-37.0,38.1,492(+8),,,ノアヴィグラス,0.0,16,770.0,128.33333333333334,1.1666666666666667,70.5,0,,,37.50000000000001,0.7159090909090909,16.452074391988553,16.596456100646645,69.9,4.0,5.0,-6.0,-7.0,-1.0,2.8333333333333335,-2.3333333333333335,-2.3333333333333335,0.0,9.21843760280096,1.6210351945719177,3
246,246,2021/07/10,1函館3,雨,10,下北半島特別(1勝クラス),,13,6,8,18.7,7,9,丹内祐次,57,芝1200,稍,3,1:10.4,0.6,86,3-3,33.8-36.0,36.2,448(-10),,,ヴィズサクセス,0.0,17,1604.8,94.39999999999999,0.5647058823529412,80.11764705882354,0,,,35.758823529411764,0.6961538461538461,17.045454545454543,16.905749785195287,70.4,3.0,3.0,-6.0,-6.0,0.0,3.1176470588235294,-2.5294117647058822,-1.4705882352941178,1.0588235294117647,10.772765157368022,0.8225224677031887,4
247,247,2021/06/19,3東京5,曇,12,3歳以上1勝クラス,,16,4,7,179.0,13,12,武藤雅,55.0,芝1400,稍,-13,1:22.7,1.2,78,13-12,35.0-34.8,35.1,442(+4),,出遅れ,レガトゥス,0.0,18,1176.0,58.8,1.11,74.35,0,,,36.905,0.40585774058577406,16.928657799274486,16.22906736077967,82.7,13.0,12.0,0.0,1.0,1.0,9.4,1.3,2.05,0.75,10.57914776089921,2.066622777677488,5
248,248,2021/07/25,1函館8,曇,3,3歳未勝利,,12,5,6,20.0,8,5,丹内祐次,54,ダ1000,良,-8,1:00.2,0.9,68,7-6,35.0-36.2,36.5,444(-2),,S接触,トミケンカラバティ,51.0,1,311.0,62.2,1.1800000000000002,65.6,0,,,38.28,0.5967741935483871,16.611295681063122,16.4090343267844,60.2,7.0,6.0,1.0,2.0,1.0,4.2,-1.8,-1.6,0.2,14.208760990631408,2.4619888076286798,3
249,249,2021/07/18,1福島6,晴,4,3歳未勝利,,16,8,15,20.7,7.0,2,丸田恭介,54,芝1200,良,-7,1:09.9,0.7,80,2-2,34.2-35.0,35.7,476(0),,,スマートルグラン,200.0,2,407.0,40.7,1.72,62.5,0,,,37.089999999999996,0.4697986577181208,17.167381974248926,16.44597780619099,69.9,2.0,2.0,0.0,0.0,0.0,4.1,-4.8,-5.2,-0.4,13.943806943088235,2.076432095671294,3
250,250,2021/05/23,2新潟6,曇,2,3歳未勝利,,15,3,5,176.8,13,15,杉原誠人,54,ダ1200,重,-13,1:15.9,4.2,25,2-4,33.9-37.8,41.8,422(+4),,,ケヴィンズクロス,0.0,3,180.0,22.5,1.6625,56.0,0,,,37.6375,0.27,15.810276679841897,16.53059579539706,75.9,2.0,4.0,-11.0,-13.0,-2.0,4.0,-6.125,-6.25,-0.125,14.52966314513558,2.302172886644268,3
251,251,2021/05/22,2新潟5,晴,5,3歳未勝利,,15,1,2,170.1,12,13,川又賢治,54,芝1200,重,26,1:13.1,1.9,63,2-2,33.8-37.4,38.8,494(+8),,,クインズムーン,0.0,4,0.0,0.0,1.933333333333333,60.0,0,,,37.56666666666667,0.20833333333333334,16.415868673050618,16.41427174916123,73.1,2.0,2.0,-11.0,-11.0,0.0,1.6666666666666667,-12.0,-12.0,0.0,8.0156097709407,1.7613914953808534,3
252,252,2021/05/15,2新潟3,晴,6,3歳未勝利,,16,8,15,4.0,1.0,6.0,勝浦正樹,56,芝1000,良,1.0,0:56.6,0.8,74.0,2,33.0-33.5,34.3,468(0),,,シンシアハート,0.0,5.0,0.0,0.0,2.04,53.6,0,,,38.64,0.4155844155844156,17.6678445229682,16.573348165284955,56.6,2.0,2.0,-4.0,-4.0,0.0,2.4,-7.6,-7.8,-0.2,20.997354330698162,3.4628584852530273,3
253,253,2021/06/02,浦和,曇,7,ツインダッシュ特別,,12,7,10,28.8,7,11,笹川翼,54,ダ1400,稍,-25,1:36.8,7.3,-27,3-3-9-12,36.5-40.0,46.9,432(0),,,ジョーイルガチフェ,0.0,6,0.0,0.0,4.433333333333334,17.666666666666668,0,,,42.03333333333333,0.1,14.462809917355372,15.452312431784572,96.8,3.0,12.0,1.0,-8.0,-9.0,7.333333333333333,-5.666666666666667,-9.333333333333334,-3.6666666666666665,40.634806508706305,4.849999999999999,3
