,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,位置取り,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,位置取り平均,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,着差平均_condision,ペース平均,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均
58,58,2020/05/10,水沢,曇,2,C2十八組,,11,7,9,121.4,10.0,10.0,南郷家全,54,ダ1300,良,18.0,1:31.1,3.5,-23.0,8-9-10-11,0.0-40.9,42.4,436(-2),,,ベストロード,,8.0,,0.7386666666666666,2.7708860759493676,2.7066666666666666,0,,,40.013333333333335,0.2682926829268293,14.270032930845225,15.17225249446947,91.1,8.0,11.0,9.5,0.7272727272727273,0.0,40.9,42.4,1.5,-40.9,,,7.468354430379747,,,,1.0,-2.0,-3.0,0.789392112809834,7.6075949367088604,7.2405063291139244,0.620253164556962,0.25316455696202533,-0.3670886075949367,21.469276740263048,2.1303165111081497,5,3.5,2.746666666666667,27.766666666666666,,-103.0,-6215.0,-14.5
59,59,2019/09/28,盛岡,曇,9,もみじ賞,,12,5,6,33.9,8,10,木村暁,54,芝1000,良,5,1:00.1,0.6,48,3-5,0.0-36.0,36.4,445(+1),,,ハガキノハナ,,1,,17.01578947368421,1.1519999999999997,46.21052631578947,0,,,39.51052631578947,0.6134453781512605,16.638935108153078,15.898673138871112,60.1,3.0,5.0,4.0,0.25,0.0,36.0,36.4,0.3999999999999986,-36.0,22.691999999999997,38.392,4.006666666666666,16.42,0.7199999999999994,-15.7,-5.0,-7.0,-2.0,0.2977715062715063,3.92,4.08,-2.32,-2.16,0.16,16.156272711519637,1.9263971338121755,4,0.6,1.1315789473684208,24.133333333333336,33.39866666666667,-32.0,-793.0,46.25
60,60,2019/09/30,盛岡,晴,11,ペルセウス賞,,12,8,12,7.4,3,8,山本聡哉,56,ダ1400,良,-10,1:28.5,0.6,44,4-4,0.0-39.8,39.7,454(+2),,,トチノコンコルド,,2,,6.1625,1.2982758620689654,45.4375,0,,,39.1625,0.6690647482014388,15.819209039548022,15.894121455315206,88.5,4.0,4.0,4.0,0.3333333333333333,0.0,39.8,39.7,-0.09999999999999432,-39.8,14.024137931034483,38.09655172413793,4.64367816091954,24.841379310344834,0.7689655172413797,-24.072413793103454,-4.0,-4.0,0.0,0.4016267426510834,4.551724137931035,4.724137931034483,-1.793103448275862,-1.6206896551724137,0.1724137931034483,13.401326634164079,2.0247935422874326,4,0.6,0.646875,26.5,30.328735632183907,-36.0,-976.0,43.75
61,61,2019/09/28,盛岡,曇,9,もみじ賞,,12,8,11,161.7,12.0,9,陶文峰,54,芝1000,良,5,1:00.1,0.6,48,6-8,0.0-36.0,35.6,440(+1),,,ハガキノハナ,,3,,3.668085106382978,1.7758620689655173,37.97872340425532,0,,,39.61276595744681,0.4718498659517426,16.638935108153078,15.352029475905084,60.1,6.0,8.0,7.0,0.5,0.0,36.0,35.6,-0.3999999999999986,-36.0,,,6.10632183908046,,,,-1.0,-3.0,-2.0,0.6944150038977623,5.931034482758621,6.149425287356322,0.05747126436781609,0.27586206896551724,0.21839080459770116,10.949168805012604,2.1149821595285307,5,0.6,1.5404255319148938,23.866666666666664,,-32.0,-3792.0,40.75
62,62,2019/09/20,園田,雨,10,ナツメ賞B1,,12,4,4,146.3,9,7,石堂響,55,ダ1400,稍,3,1:31.6,1.4,57,8-8-9-8,0.0-40.1,40.3,495(+1),,,オオオヤブン,,4,,61.333333333333336,1.3947368421052628,72.69444444444444,0,,,38.09722222222221,0.4780701754385965,15.283842794759826,16.233823935161357,91.6,8.0,8.0,8.25,0.6666666666666666,0.0,40.1,40.3,0.19999999999999574,-40.1,27.60701754385964,37.17719298245614,4.12280701754386,10.557894736842103,0.9877192982456143,-9.570175438596486,1.0,1.0,0.0,0.2884247088194456,4.614035087719298,3.6842105263157894,-3.3508771929824563,-4.280701754385965,-0.9298245614035088,17.313238183801346,1.656235290918015,7,1.4,1.2611111111111108,26.8,34.31637426900585,-23.0,-503.0,56.5
63,63,2019/09/29,盛岡,晴,8,B2七組,,9,8,8,9.5,4,6,菅原俊吏,54,ダ1600,稍,-10,1:42.8,2.1,37,5-5,0.0-38.1,39.3,456(+2),,,ピンクキャンディー,,5,,5.73125,1.0988636363636364,49.125,0,,,38.303124999999994,0.6407766990291263,15.56420233463035,15.933338184863588,102.8,5.0,5.0,5.0,0.5555555555555556,0.0,38.1,39.3,1.1999999999999957,-38.1,,,5.494318181818182,,,,-1.0,-1.0,0.0,0.5424709759937033,5.090909090909091,5.795454545454546,0.1590909090909091,0.8636363636363636,0.7045454545454546,11.200969975634331,1.8189862866748363,5,2.1,0.8359375,25.8,,-43.0,-1569.0,36.75
64,64,2019/09/30,盛岡,晴,11,ペルセウス賞,,12,4,4,82.7,9.0,7,陶文峰,56,ダ1400,良,-10.0,1:28.4,0.5,45.0,8-7,0.0-39.8,39.2,430(+2),,,トチノコンコルド,,6,,6.172727272727272,1.6249999999999998,34.04545454545455,0,,,39.01818181818183,0.5226130653266332,15.837104072398189,15.637537970997062,88.4,8.0,7.0,7.5,0.6666666666666666,0.0,39.8,39.2,-0.5999999999999943,-39.8,2.5535714285714284,38.635714285714286,6.1875,36.69285714285714,0.6107142857142865,-36.082142857142856,0.0,1.0,1.0,0.6483057616986188,5.75,6.607142857142857,-0.39285714285714285,0.4642857142857143,0.8571428571428571,14.150877167637182,1.4971395635579579,4,0.5,1.3045454545454545,26.333333333333332,26.811904761904763,-35.0,-1301.0,35.25
65,65,2019/09/30,盛岡,晴,10,アンドロメダ賞,,12,6,8,9.2,4.0,5,塚本涼人,53,ダ1400,良,-10.0,1:27.9,0.6,51.0,3-3,0.0-40.0,39.6,452(0),,,コウギョウネルソン,1.7,7,,3.626666666666667,1.185326086956522,39.13333333333333,0,,,40.93333333333333,0.31386861313868614,15.927189988623434,16.188232264786375,87.9,3.0,3.0,3.0,0.25,0.0,40.0,39.6,-0.3999999999999986,-40.0,,,3.483695652173913,,,,-2.0,-2.0,0.0,0.2851242658307874,3.989130434782609,3.1847826086956523,-2.510869565217391,-3.3152173913043477,-0.8043478260869565,26.168857653322785,3.123995872900212,9,0.6,1.9433333333333336,26.53333333333333,,-29.0,-2410.0,50.75
66,66,2019/10/07,盛岡,曇,7,ローズクォーツ賞,,12,6,7,23.1,4,5,坂口裕一,56,ダ1200,良,-8,1:15.5,2.3,36,5-6,0.0-37.6,38.9,453(+2),,,アテナリ,1.5,8,,3.8906976744186044,1.213829787234043,33.44186046511628,0,,,39.43023255813954,0.49859154929577465,15.894039735099337,15.625077224639478,75.5,5.0,6.0,5.5,0.4166666666666667,0.0,37.6,38.9,1.2999999999999972,-37.6,,,5.351063829787234,,,,1.0,0.0,-1.0,0.5260738079887015,5.808510638297872,5.0,0.3404255319148936,-0.46808510638297873,-0.8085106382978723,12.060160970687285,1.5517407340002247,5,2.3,1.1895348837209305,25.5,,-44.0,-2179.0,37.0
67,67,2019/09/28,盛岡,曇,9,もみじ賞,,12,6,8,3.8,2,2,村上忍,54,芝1000,良,5,0:59.5,0.0,58,4-3,0.0-36.0,35.7,447(+2),,,ハガキノハナ,13.0,9,,4.000000000000001,1.3390625,32.63157894736842,0,,,39.58947368421053,0.5222929936305732,16.80672268907563,15.97693582286343,59.5,4.0,3.0,3.5,0.3333333333333333,0.0,36.0,35.7,-0.29999999999999716,-36.0,4.456250000000001,37.67187499999999,3.5703125,34.087500000000006,0.8718750000000006,-33.215624999999996,1.0,2.0,1.0,0.35716371302308797,3.71875,3.46875,-1.4375,-1.6875,-0.25,17.282825331042496,2.5292267716522785,4,0.0,1.5289473684210524,23.900000000000002,26.890625,-22.0,-1350.0,52.5
