,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,位置取り,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,位置取り平均,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,着差平均_condision,ペース平均,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均,ﾀｲﾑ指数10平均
105,105,2022/07/05,佐賀,雨,2,チャレンジシリーズ,,8,1,1,7.5,5.0,6,金山昇馬,54,ダ1300,不,13.0,1:27.9,1.6,13.0,7-8-8-7,0.0-39.8,40.1,405(-2),,,メイショウココロネ,,11,,0.0,1.0954545454545455,15.636363636363637,0,,,40.05454545454546,0.5714285714285714,14.789533560864617,14.993714146851387,87.9,7.0,7.0,7.5,0.875,0.0,39.8,40.1,0.30000000000000426,-39.8,3.342857142857143,39.88571428571428,7.158730158730159,36.71428571428572,0.17142857142857185,-36.54285714285714,1.0,1.0,0.0,0.7120911495911496,6.333333333333333,7.476190476190476,0.6190476190476191,1.7619047619047619,1.1428571428571428,15.49119984789018,1.3546751005680937,4,1.6,1.0954545454545455,26.633333333333336,27.761904761904763,-67.0,-1366.0,20.5,15.636363636363637
106,106,2022/06/29,門別,雨,10,ナツツバキ特別,,10,8,10,91.8,10.0,9,黒澤愛斗,56,ダ1700,不,-35.0,1:51.2,1.5,30.0,3-3-3-2,0.0-39.9,40.9,552(-6),,,バブリーダッシュ,,12,,0.0,2.6272727272727274,7.0,0,,,40.9,0.0,15.287769784172662,15.199401705777019,111.2,3.0,2.0,2.75,0.3,0.0,39.9,40.9,1.0,-39.9,18.638461538461538,39.13846153846154,6.3076923076923075,22.092307692307696,1.5923076923076935,-20.5,-7.0,-6.0,1.0,0.5735254062177139,6.153846153846154,6.538461538461538,-1.5384615384615385,-1.1538461538461537,0.38461538461538464,21.66359214188164,1.011792710882974,4,1.5,3.4,26.933333333333334,32.83589743589743,-50.0,-484.0,27.25,39.72727272727273
107,107,2022/07/24,佐賀,曇,3,C1ー13組,,10,1,1,1.5,1,1,出水拓人,54,ダ1300,稍,9,1:25.0,-0.3,44,1-1-1-1,0.0-39.8,39.8,476(+6),,,(クリスタルハート),37.0,1,,12.333333333333334,0.83125,33.666666666666664,0,,,39.83333333333333,0.6538461538461539,15.294117647058824,15.682482254860098,85.0,1.0,1.0,1.0,0.1,0.0,39.8,39.8,0.0,-39.8,8.9625,37.875,5.4375,29.187499999999996,0.27500000000000036,-28.9125,0.0,0.0,0.0,0.4434780497280497,5.375,5.5,0.875,1.0,0.125,12.97671228502794,1.9708993998792639,4,-0.15,0.5499999999999999,26.53333333333333,28.329166666666666,-36.0,-295.0,37.0,43.125
108,108,2022/07/16,佐賀,曇,6,KYUSHUDREA,,10,3,3,149.6,10.0,8.0,吉本隆記,56,ダ1400,重,11.0,1:34.4,2.8,16.0,10-10-10-8,0.0-40.7,40.9,509(+4),,,フォアラドゥング,,2.0,,0.0,2.6181818181818177,15.909090909090908,0,,,40.22727272727272,0.17525773195876287,14.83050847457627,15.284602567111985,94.4,10.0,8.0,9.5,1.0,0.0,40.7,40.9,0.19999999999999574,-40.7,3.4214285714285713,38.95119047619048,7.0148809523809526,35.87380952380952,0.34404761904761944,-35.52976190476191,0.0,2.0,2.0,0.6808472106791432,6.678571428571429,7.261904761904762,0.6428571428571429,1.2261904761904763,0.5833333333333334,18.752121909921755,1.73317078467707,7,2.8,2.6181818181818177,27.2,27.222619047619045,-64.0,-3702.0,16.75,15.909090909090908
109,109,2022/07/16,佐賀,曇,6,KYUSHUDREA,,10,2,2,6.6,2.0,6.0,山下裕貴,56,ダ1400,重,11.0,1:33.9,2.3,22.0,6-5-5-6,0.0-40.7,42.2,467(-1),,,フォアラドゥング,,3.0,,0.0,1.3363636363636362,30.545454545454547,0,,,40.290909090909096,0.5188679245283019,14.90947816826411,15.459414251920078,93.9,6.0,6.0,5.5,0.6,0.0,40.7,42.2,1.5,-40.7,3.6555555555555554,38.76111111111111,6.277777777777778,35.60555555555556,0.5000000000000004,-35.105555555555554,0.0,0.0,0.0,0.6142245100578433,5.666666666666667,6.944444444444445,0.4444444444444444,1.7222222222222223,1.2777777777777777,14.938099424104532,1.9310697737042357,4,2.3,1.3772727272727272,27.633333333333336,27.22592592592592,-58.0,-843.0,30.25,28.818181818181817
110,110,2022/07/24,佐賀,曇,10,こと座特選,,11,6,7,14.7,7.0,1,田中純,54.0,ダ1300,稍,9.0,1:25.0,-0.1,44.0,1-1-1-1,0.0-39.7,39.7,424(-1),,,(モンテモナコ),45.0,4,,4.090909090909091,2.145454545454545,4.909090909090909,0,,,42.31818181818182,0.41237113402061853,15.294117647058824,15.483237105572266,85.0,1.0,1.0,1.0,0.09090909090909091,0.0,39.7,39.7,0.0,-39.7,,,4.185654008438819,,,,0.0,0.0,0.0,0.34469412444095987,4.6075949367088604,4.025316455696203,-2.721518987341772,-3.3037974683544302,-0.5822784810126582,25.489308420394618,2.398509954117347,8,-0.05,2.036363636363636,26.46666666666667,,-36.0,-4223.0,13.0,2.5454545454545454
111,111,2022/07/17,佐賀,曇,5,佐賀競馬移転開設50,,11,4,4,3.9,2,4,山田義貴,51,ダ1300,重,9,1:26.3,2.1,28,6-6-5-5,0.0-38.7,39.9,468(-2),,,テーオーピタゴラス,4.4,5,,0.4,1.3181818181818181,33.27272727272727,0,,,40.63636363636363,0.5494505494505495,15.063731170336037,15.219995296511545,86.3,6.0,5.0,5.5,0.5454545454545454,0.0,38.7,39.9,1.1999999999999957,-38.7,3.128888888888889,39.20666666666668,3.1055555555555556,37.022222222222226,0.9444444444444449,-36.07777777777778,1.0,2.0,1.0,0.24739698573031899,3.7777777777777777,2.6222222222222222,-0.9111111111111111,-2.066666666666667,-1.1555555555555554,10.88401213830833,1.2656356696906086,5,2.1,1.3181818181818181,26.2,27.49555555555556,-52.0,-2020.0,34.75,33.27272727272727
112,112,2022/07/16,佐賀,曇,6,KYUSHUDREA,,10,4,4,42.1,6.0,3.0,中山蓮王,51,ダ1400,重,11.0,1:32.3,0.7,40.0,4-4-4-4,0.0-40.7,40.6,450(+16),,,フォアラドゥング,6.7,6.0,,0.6090909090909091,1.8545454545454545,15.818181818181818,0,,,41.163636363636364,0.37894736842105264,15.167930660888407,14.808073070318708,92.3,4.0,4.0,4.0,0.4,0.0,40.7,40.6,-0.10000000000000142,-40.7,0.0,40.52222222222222,5.711111111111111,41.40666666666666,0.8844444444444451,-40.52222222222222,1.0,1.0,0.0,0.5430375180375181,6.044444444444444,5.222222222222222,0.0,-0.8222222222222222,-0.8222222222222222,16.449628100667915,1.2477503385583195,4,0.7,2.1454545454545455,27.100000000000005,27.309629629629626,-40.0,-3335.0,28.0,18.181818181818183
113,113,2022/07/17,佐賀,曇,5,佐賀競馬移転開設50,,11,1,1,27.2,4.0,5.0,中山蓮王,51,ダ1300,重,9.0,1:26.4,2.2,27.0,3-3-3-3,0.0-38.7,40.6,498(-1),,,テーオーピタゴラス,3.0,7.0,,0.2727272727272727,1.436363636363636,24.818181818181817,0,,,41.62727272727273,0.46153846153846156,15.046296296296296,15.2170029482187,86.4,3.0,3.0,3.0,0.2727272727272727,0.0,38.7,40.6,1.8999999999999986,-38.7,4.103125,39.47812499999999,3.0,36.837500000000006,1.4625000000000008,-35.37499999999999,-2.0,-2.0,0.0,0.2264437309014515,3.5625,2.71875,-2.71875,-3.5625,-0.84375,12.090871117127275,1.5167627796264784,4,2.2,1.436363636363636,26.433333333333337,28.17395833333334,-53.0,-1723.0,21.5,24.818181818181817
114,114,2022/07/16,佐賀,曇,6,KYUSHUDREA,,10,7,7,74.9,8.0,4.0,小松丈二,54,ダ1400,重,11.0,1:33.3,1.7,29.0,7-8-8-7,0.0-40.7,40.9,430(0),,,フォアラドゥング,4.4,8.0,,0.4,1.9727272727272727,20.818181818181817,0,,,40.32727272727272,0.34375,15.005359056806002,15.326098194091026,93.3,7.0,7.0,7.5,0.7,0.0,40.7,40.9,0.19999999999999574,-40.7,2.9377049180327868,39.068852459016384,6.438524590163935,36.29999999999999,0.16885245901639317,-36.131147540983605,3.0,3.0,0.0,0.6625446502495683,5.983606557377049,6.852459016393443,0.9508196721311475,1.819672131147541,0.8688524590163934,16.945534651966547,1.4420482383568793,7,1.7,1.9727272727272727,27.2,27.08142076502734,-51.0,-2760.0,22.25,20.818181818181817
115,115,2022/07/10,佐賀,晴,10,いて座特選,,11,4,4,7.5,3,1,飛田愛斗,54,ダ1400,不,11,1:32.9,-0.4,34,1-1-1-1,0.0-41.6,41.6,467(-3),,,(マイネルサンライト),45.0,9,,4.090909090909091,1.3227272727272728,15.545454545454545,0,,,41.62727272727272,0.6494845360824743,15.069967707212054,15.247008177151463,92.9,1.0,1.0,1.0,0.09090909090909091,0.0,41.6,41.6,0.0,-41.6,7.674074074074076,39.12592592592592,5.104938271604938,32.88888888888889,1.4370370370370382,-31.45185185185185,0.0,0.0,0.0,0.38695286195286194,5.777777777777778,4.62962962962963,-1.5185185185185186,-2.6666666666666665,-1.1481481481481481,19.744897300005263,1.7737132444308432,4,-0.2,1.3227272727272728,27.733333333333334,29.12098765432099,-46.0,-1765.0,27.5,15.545454545454545
116,116,2022/07/17,佐賀,曇,5,佐賀競馬移転開設50,,11,6,6,29.9,5,2,出水拓人,54,ダ1300,重,9,1:25.9,1.7,33,1-1-2-2,0.0-38.7,40.4,432(+6),,,テーオーピタゴラス,11.8,10,,1.1800000000000002,1.4227272727272726,25.0,0,,,40.60999999999999,0.532608695652174,15.133876600698486,15.649862317035858,85.9,1.0,2.0,1.5,0.09090909090909091,0.0,38.7,40.4,1.6999999999999957,-38.7,3.8225806451612905,38.280645161290316,2.25,35.777419354838706,1.319354838709677,-34.458064516129035,0.0,-1.0,-1.0,0.15548806032676998,3.032258064516129,1.7096774193548387,-3.096774193548387,-4.419354838709677,-1.3225806451612903,17.296924401465134,1.5275465418441423,4,1.7,1.5150000000000001,26.366666666666664,27.234408602150534,-47.0,-1792.0,25.75,24.272727272727273
117,117,2022/07/17,佐賀,曇,5,佐賀競馬移転開設50,,11,7,8,68.6,8,8,山下裕貴,56,ダ1300,重,9,1:26.7,2.5,24,9-10-10-10,0.0-38.7,39.5,493(+1),,,テーオーピタゴラス,,11,,0.0,0.8181818181818182,29.636363636363637,0,,,39.52727272727273,0.6792452830188679,14.994232987312571,15.255236193744155,86.7,9.0,10.0,9.75,0.8181818181818182,0.0,38.7,39.5,0.7999999999999972,-38.7,3.4843749999999996,38.875,7.1015625,36.07812499999999,0.6874999999999996,-35.390625,2.0,1.0,-1.0,0.6440498737373738,7.25,6.8125,0.8125,0.375,-0.4375,17.605565110640832,1.4000983830051603,4,2.5,0.8181818181818182,26.066666666666666,27.307291666666668,-56.0,-1943.0,23.0,29.636363636363637
118,118,2022/07/16,佐賀,曇,6,KYUSHUDREA,,10,1,1,21.9,5.0,7,山田義貴,51,ダ1400,重,11,1:34.0,2.4,21,9-7-7-5,0.0-40.7,41.9,439(-10),,,フォアラドゥング,,12,,0.0,1.4727272727272727,27.545454545454547,0,,,40.63636363636364,0.4462809917355372,14.893617021276595,15.391196615443258,94.0,9.0,5.0,7.0,0.9,0.0,40.7,41.9,1.1999999999999957,-40.7,26.703125000000004,39.59687500000001,7.5,13.431249999999999,0.5374999999999999,-12.893749999999997,-2.0,2.0,4.0,0.6219782336740057,7.125,7.75,-0.5,0.125,0.625,13.0291049484443,1.967537277531398,5,2.4,1.7681818181818185,27.53333333333333,35.478125,-59.0,-1482.0,31.0,27.363636363636363
119,119,2022/07/16,佐賀,曇,5,ひまわり賞チャレンジ(未勝利),,6,2,2,1.4,1.0,1,田中直人,54,ダ1400,重,11,1:35.5,-0.1,4,1-1-1-1,0.0-42.0,42.0,463(-9),,,(レオンブルーム),100.0,1,,100.0,0.025,4.0,0,,,42.0,1.0,14.659685863874346,15.238454531234186,95.5,1.0,1.0,1.0,0.16666666666666666,0.0,42.0,42.0,0.0,-42.0,0.0,40.45,2.5,40.0,-0.4499999999999993,-40.45,0.0,0.0,0.0,0.3833333333333333,1.5,3.5,0.0,2.0,2.0,4.08248290463863,1.687206764645835,2,-0.05,-0.05,28.0,26.81666666666667,-76.0,-147.0,6.5,6.5
120,120,2022/07/16,佐賀,曇,1,2歳ー3組,,7,2,2,1.8,1.0,2,石川慎将,55,ダ1300,重,11,1:27.8,0.0,12,3-3-6-4,0.0-41.5,41.1,443(-5),,,ハチサンサン,17.6,2,,8.8,1.4666666666666668,2.0,0,,,42.0,0.7142857142857143,14.806378132118452,15.044176634047014,87.8,3.0,4.0,4.0,0.42857142857142855,0.0,41.5,41.1,-0.3999999999999986,-41.5,0.0,39.86666666666667,3.9166666666666665,40.833333333333336,0.9666666666666686,-39.86666666666667,2.0,1.0,-1.0,0.4444444444444444,4.0,3.3333333333333335,0.6666666666666666,0.0,-0.6666666666666666,8.814051281902097,1.5708278072405004,2,0.0,1.15,27.53333333333333,26.899999999999995,-68.0,-223.0,5.666666666666667,5.666666666666667
121,121,2022/07/03,佐賀,曇,8,フェニックス賞チャレ,,9,7,7,48.9,6.0,6,長田進仁,55,ダ1400,良,12,1:37.7,3.6,-20,6-7-8-7,0.0-42.4,44.4,465(+1),,,イチノコマチ,,3,,0.0,2.5833333333333335,-21.0,0,,,43.0,0.7058823529411765,14.329580348004093,14.58256903517362,97.7,6.0,7.0,7.0,0.6666666666666666,0.0,42.4,44.4,2.0,-42.4,0.0,41.03333333333333,7.0,41.96666666666667,0.9333333333333323,-41.03333333333333,1.0,0.0,-1.0,0.7472222222222222,6.666666666666667,6.666666666666667,2.3333333333333335,2.3333333333333335,0.0,22.286486937155438,1.6718253497300488,2,3.6,1.7750000000000001,28.933333333333334,27.666666666666668,-100.0,-334.0,-31.333333333333332,-31.333333333333332
122,122,2022/07/15,佐賀,曇,1,2歳ー4組,,7,3,3,1.6,1.0,1,山口勲,54,ダ1400,稍,11,1:36.8,-0.2,-11,4-3-3-1,0.0-44.2,43.6,442(+2),,,(ムーンパスゴーゴー),55.0,4,,55.0,1.15,-11.0,0,,,43.6,1.0,14.462809917355372,15.098537825810553,96.8,4.0,1.0,2.75,0.5714285714285714,0.0,44.2,43.6,-0.6000000000000014,-44.2,0.0,40.5,4.375,40.7,0.1999999999999993,-40.5,0.0,3.0,3.0,0.7142857142857142,3.5,5.0,0.5,2.0,1.5,7.788880963698615,2.4711670657134204,2,-0.1,-0.1,29.26666666666667,27.066666666666666,-91.0,-163.0,-1.5,-1.5
123,123,2022/07/17,佐賀,曇,6,JRA認定2歳ー1組,,10,7,7,47.4,5.0,8.0,倉富隆一,54,ダ1400,重,9.0,1:36.1,4.2,-5.0,10-10-9-9,0.0-40.6,42.1,445(+1),,,ミヤノウッドリー,,5.0,,0.0,2.533333333333333,-4.5,0,,,42.400000000000006,0.5294117647058824,14.568158168574403,14.916942980416925,96.1,10.0,9.0,9.5,1.0,0.0,40.6,42.1,1.5,-40.6,0.0,40.06666666666667,6.0,41.03333333333334,0.9666666666666686,-40.06666666666667,1.0,2.0,1.0,0.746031746031746,5.333333333333333,6.666666666666667,1.0,2.3333333333333335,1.3333333333333333,2.8613807855648994,1.6911534525287781,2,4.2,3.1,27.566666666666666,27.03333333333333,-85.0,-249.0,-3.0,-3.0
124,124,2022/07/17,佐賀,曇,10,熱血!さがけいば塾!,,9,4,4,3.4,2.0,3.0,竹吉徹,56,ダ1300,重,9.0,1:25.9,1.1,33.0,9-9-9-5,0.0-40.3,38.8,484(+10),,,リュカイオス,6.7,1.0,,6.7,2.2199999999999998,33.0,0,,,38.8,0.75,15.133876600698486,15.899718872557802,85.9,9.0,5.0,8.0,1.0,0.0,40.3,38.8,-1.5,-40.3,29.68,36.120000000000005,10.116666666666667,7.099999999999997,0.659999999999998,-6.4399999999999995,2.0,6.0,4.0,0.8064713064713065,9.0,10.8,-0.6,1.2,1.8,20.933757957476775,1.6970562748477143,3,1.1,1.1,26.366666666666664,34.19333333333334,-47.0,-126.0,60.5,54.8
125,125,2022/07/17,佐賀,曇,10,熱血!さがけいば塾!,,9,7,7,17.8,5.0,2.0,村松翔太,54,ダ1300,重,9.0,1:24.9,0.1,46.0,3-2-2-1,0.0-40.3,40.3,392(-2),,,リュカイオス,11.8,2.0,,2.3600000000000003,2.25,37.6,0,,,40.2,0.3,15.31213191990577,15.724035499103401,84.9,3.0,1.0,2.0,0.3333333333333333,0.0,40.3,40.3,0.0,-40.3,23.333333333333332,38.16666666666667,8.972222222222221,16.166666666666668,1.3333333333333346,-14.83333333333333,-1.0,1.0,2.0,0.6157407407407408,9.166666666666666,8.833333333333334,-0.6666666666666666,-1.0,-0.3333333333333333,18.802952438597597,1.8901463068303708,3,0.1,2.4799999999999995,26.866666666666664,33.666666666666664,-34.0,-219.0,41.75,43.5
126,126,2022/07/15,佐賀,曇,3,3歳ー9組,,7,1,1,8.4,5.0,4.0,竹吉徹,54,ダ1400,稍,11.0,1:34.3,1.1,18.0,5-4-4-2,0.0-40.6,41.5,511(+3),,,ラブリーアタランテ,4.4,3.0,,1.4666666666666668,3.1142857142857143,13.666666666666666,0,,,42.0,0.44,14.846235418875928,15.24555165294323,94.3,5.0,2.0,3.75,0.7142857142857143,0.0,40.6,41.5,0.8999999999999986,-40.6,20.114285714285717,38.41428571428571,7.821428571428571,20.628571428571426,2.328571428571429,-18.299999999999994,-2.0,1.0,3.0,0.554944856730571,8.571428571428571,7.285714285714286,-0.42857142857142855,-1.7142857142857142,-1.2857142857142858,25.34480962643042,2.635336790620888,3,1.1,2.333333333333333,27.366666666666664,33.09047619047619,-62.0,-334.0,22.75,32.285714285714285
127,127,2022/07/16,佐賀,曇,11,ウーマんチャンス,,11,6,7,10.1,5.0,2.0,田中純,54,ダ1300,重,11.0,1:27.4,0.9,17.0,7-7-6-3,0.0-41.4,40.9,437(+2),,,マリノモマンドール,11.8,4.0,,2.3600000000000003,1.98,30.8,0,,,39.36,0.3333333333333333,14.874141876430205,15.564953012225377,87.4,7.0,3.0,5.75,0.6363636363636364,0.0,41.4,40.9,-0.5,-41.4,19.96,38.9,9.1,19.400000000000002,0.46000000000000085,-18.94,1.0,5.0,4.0,0.6816558441558442,8.6,9.4,-0.8,0.0,0.8,15.857875715940715,1.6619934483090537,3,0.9,1.98,27.433333333333334,32.74,-63.0,-246.0,28.75,30.8
128,128,2022/07/15,佐賀,曇,3,3歳ー9組,,7,7,7,6.0,4.0,6.0,中山蓮王,53,ダ1400,稍,11.0,1:35.5,2.3,4.0,2-3-6-7,0.0-40.6,42.5,488(-1),,,ラブリーアタランテ,,5.0,,0.0,3.22,16.0,0,,,41.375,0.4857142857142857,14.659685863874346,14.833243220331408,95.5,2.0,7.0,4.5,0.2857142857142857,0.0,40.6,42.5,1.8999999999999986,-40.6,7.459999999999999,39.86,6.65,34.519999999999996,2.1199999999999988,-32.4,1.0,-4.0,-5.0,0.44396103896103895,8.2,5.2,0.6,-2.4,-3.0,8.225975119502044,1.3299958228839994,3,2.3,2.2,27.7,29.76666666666667,-76.0,-327.0,16.0,14.6
129,129,2022/07/15,佐賀,曇,4,さがけいば無料ネット,,10,4,4,6.9,3.0,9.0,山田義貴,53,ダ1400,稍,11.0,1:36.8,4.2,-11.0,9-8-8-9,0.0-40.7,44.0,519(0),,,ワッチャネイム,,6.0,,0.0,2.8857142857142857,9.0,0,,,40.63333333333333,0.33962264150943394,14.462809917355372,15.192658531208055,96.8,9.0,9.0,8.5,0.9,0.0,40.7,44.0,3.299999999999997,-40.7,5.3,39.31428571428571,9.428571428571429,35.114285714285714,1.1000000000000003,-34.01428571428572,0.0,0.0,0.0,0.9121212121212121,9.142857142857142,9.857142857142858,1.0,1.7142857142857142,0.7142857142857143,15.739579886388327,1.5489916074659664,3,4.2,2.6999999999999997,28.233333333333334,28.342857142857145,-91.0,-472.0,10.75,12.571428571428571
130,130,2022/07/15,佐賀,曇,3,3歳ー9組,,7,6,6,3.5,2.0,7.0,田中純,54,ダ1400,稍,11.0,1:35.9,2.7,-1.0,1-1-1-5,0.0-40.6,43.3,431(+3),,,ラブリーアタランテ,,7.0,,0.0,2.5,18.0,0,,,41.26666666666666,0.3,14.598540145985401,15.527192533834329,95.9,1.0,5.0,2.0,0.14285714285714285,0.0,40.6,43.3,2.6999999999999957,-40.6,21.6,37.84,8.966666666666667,17.459999999999997,1.2200000000000002,-16.24,-2.0,-6.0,-4.0,0.6858976317799848,9.2,9.2,-0.6,-0.6,0.0,19.50783318453271,3.1324466830613766,3,2.7,2.566666666666667,27.96666666666667,32.83333333333333,-81.0,-260.0,26.0,28.0
131,131,2022/07/15,佐賀,曇,4,さがけいば無料ネット,,10,8,10,63.2,6.0,7.0,加茂飛翔,52,ダ1400,稍,11.0,1:36.4,3.8,-6.0,6-7-9-10,0.0-40.7,43.4,437(-3),,,ワッチャネイム,,8.0,,0.0,3.036363636363637,-7.0,0,,,41.88333333333333,0.21818181818181817,14.522821576763485,15.21429901903362,96.4,6.0,10.0,8.0,0.6,0.0,40.7,43.4,2.6999999999999957,-40.7,3.108333333333333,38.225,8.597222222222223,36.55833333333333,1.441666666666667,-35.11666666666667,3.0,-1.0,-4.0,0.7485795454545455,9.0,8.25,0.75,0.0,-0.75,21.812541856659454,2.6444762123849443,3,3.8,3.9999999999999996,28.03333333333333,27.000000000000004,-86.0,-930.0,5.25,-1.1818181818181819
132,132,2022/06/26,佐賀,曇,4,佐賀競馬移転開設50,,11,7,8,150.9,10.0,9.0,川島拓,54,ダ1400,重,-5.0,1:34.3,4.5,2.0,11-10-10-9,0.0-39.5,41.1,380(-4),,,シゲルチータ,,9.0,,0.0,3.1363636363636362,-7.5,0,,,42.225,0.2597402597402597,14.846235418875928,14.944295623135389,94.3,11.0,9.0,10.0,1.0,0.0,39.5,41.1,1.6000000000000014,-39.5,0.0,39.15714285714285,8.660714285714286,40.73571428571428,1.5785714285714287,-39.15714285714285,0.0,2.0,2.0,0.7703823953823953,8.785714285714286,8.428571428571429,-0.14285714285714285,-0.5,-0.35714285714285715,9.563820714895625,2.10645568563774,3,4.5,3.5124999999999997,26.866666666666664,26.630952380952376,-78.0,-1257.0,-12.25,-9.181818181818182
133,133,2022/07/10,佐賀,晴,3,さがけいば無料ネット,,7,5,5,2.0,1,2,川島拓,56,ダ1300,不,11,1:24.6,0.5,51,3-3-3-2,0.0-39.5,39.7,471(-7),,,フォアラドゥング,11.8,1,,1.0727272727272728,0.6454545454545455,45.0,0,,,39.38181818181818,0.7047619047619048,15.366430260047283,15.344008901469154,84.6,3.0,2.0,2.75,0.42857142857142855,0.0,39.5,39.7,0.20000000000000284,-39.5,7.02,39.186666666666675,3.8166666666666673,32.68666666666667,0.5199999999999994,-32.16666666666667,0.0,1.0,1.0,0.36153439153439154,3.466666666666667,4.0,-1.0666666666666667,-0.5333333333333333,0.5333333333333333,13.724408001804669,1.3842303818367814,6,0.5,0.6454545454545455,26.400000000000002,28.637777777777774,-29.0,-559.0,43.5,45.0
134,134,2022/07/10,佐賀,晴,5,KYUSHUDREA,,11,8,11,1.4,1,5,山田義貴,53,ダ1400,不,11,1:34.3,1.3,18,6-5-1-3,0.0-42.6,43.6,459(-3),,,ピーチリキュール,3.0,2,,0.5,1.9045454545454545,37.666666666666664,0,,,40.016666666666666,0.7142857142857143,14.846235418875928,15.674180042000666,94.3,6.0,3.0,3.75,0.5454545454545454,0.0,42.6,43.6,1.0,-42.6,18.058333333333334,38.550000000000004,4.756944444444445,21.941666666666666,1.4500000000000004,-20.491666666666664,-2.0,1.0,3.0,0.4078763828763828,5.416666666666667,4.833333333333333,-1.4166666666666667,-2.0,-0.5833333333333334,18.062350918694367,2.4680682621729817,4,1.3,0.5750000000000001,28.733333333333334,32.202777777777776,-62.0,-380.0,35.0,45.90909090909091
135,135,2022/07/05,佐賀,雨,4,さがけいば無料ネット,,9,3,3,11.3,3.0,6.0,金山昇馬,54,ダ1400,不,13.0,1:33.0,1.0,34.0,5-6-5-7,0.0-40.1,40.2,487(+1),,,ランタン,,3.0,,0.0,1.1454545454545455,30.727272727272727,0,,,39.71818181818182,0.5656565656565656,15.053763440860216,15.40115119972153,93.0,5.0,7.0,5.75,0.5555555555555556,0.0,40.1,40.2,0.10000000000000142,-40.1,10.1,38.510000000000005,6.2,28.875,0.4649999999999995,-28.410000000000004,1.0,-1.0,-2.0,0.4956383689839572,6.45,6.05,0.4,0.0,-0.4,14.942672007108305,1.544105902633868,4,1.0,1.0363636363636362,26.76666666666667,29.195,-46.0,-807.0,32.25,30.0
136,136,2022/07/05,佐賀,雨,4,さがけいば無料ネット,,9,1,1,37.2,7.0,7,中山蓮王,51,ダ1400,不,13.0,1:33.4,1.4,30.0,7-7-6-6,0.0-40.1,40.5,400(+4),,,ランタン,,4,,0.0,1.4090909090909092,27.0,0,,,39.54545454545455,0.5148514851485149,14.989293361884368,15.249574094759728,93.4,7.0,6.0,6.5,0.7777777777777778,0.0,40.1,40.5,0.3999999999999986,-40.1,3.1228571428571423,39.182857142857145,7.2,36.30285714285716,0.24285714285714285,-36.06,-1.0,0.0,1.0,0.7270454545454548,6.085714285714285,7.8,0.6857142857142857,2.4,1.7142857142857142,12.38536945525687,1.4703132277356146,4,1.4,1.2363636363636366,26.866666666666664,27.24380952380952,-50.0,-1708.0,31.25,26.181818181818183
137,137,2022/07/05,佐賀,雨,4,さがけいば無料ネット,,9,5,5,44.3,9.0,9.0,川島拓,54,ダ1400,不,13.0,1:35.5,3.5,6.0,3-3-8-9,0.0-40.1,42.7,469(-4),,,ランタン,,5.0,,0.0,1.8909090909090913,24.636363636363637,0,,,40.809090909090905,0.5959595959595959,14.659685863874346,15.313585269283227,95.5,3.0,9.0,5.75,0.3333333333333333,0.0,40.1,42.7,2.6000000000000014,-40.1,15.150793650793647,39.22698412698415,2.6732804232804233,25.4095238095238,1.3333333333333333,-24.076190476190483,0.0,-6.0,-6.0,0.2105603676331967,3.2063492063492065,2.380952380952381,-3.746031746031746,-4.571428571428571,-0.8253968253968254,16.887032747051805,2.0296243494794792,6,3.5,1.2954545454545452,27.600000000000005,31.646031746031742,-74.0,-3244.0,19.25,20.0
138,138,2022/07/05,佐賀,曇,7,KYUSHUDREA,,11,7,8,13.6,7.0,7.0,金山昇馬,54,ダ1400,不,13.0,1:33.4,1.2,30.0,6-5-5-6,0.0-40.5,41.0,430(-2),,,エコロペガサス,,6.0,,0.0,1.2090909090909092,24.454545454545453,0,,,40.25454545454545,0.4,14.989293361884368,15.171339787877097,93.4,6.0,6.0,5.5,0.5454545454545454,0.0,40.5,41.0,0.5,-40.5,2.58974358974359,39.1974358974359,6.163461538461538,37.15897435897435,0.5512820512820521,-36.60769230769231,-1.0,-1.0,0.0,0.6565427627927628,5.756410256410256,6.756410256410256,0.16666666666666666,1.1666666666666667,1.0,8.535513528037415,1.1277408350872185,6,1.2,1.3545454545454547,27.166666666666668,27.178632478632473,-50.0,-4128.0,27.25,22.818181818181817
