,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,位置取り,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,位置取り平均,最終コーナー平均,最初コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,着差平均_condision,ペース平均,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均,ﾀｲﾑ指数10平均
85,85,2022/07/24,佐賀,曇,2,さがけいば無料ネット,,10,2,2,155.3,10,10,田中純,56,ダ1300,稍,9,1:28.8,3.8,-2,9-9-10-10,0.0-39.1,40.8,473(-1),,,ホープヒル,,8,,0.0,2.827272727272727,6.75,0,,,41.050000000000004,0.11842105263157894,14.63963963963964,15.330380806823314,88.8,9.0,10.0,9.5,0.9,0.0,39.1,40.8,1.6999999999999957,-39.1,17.235294117647058,38.35882352941176,8.769607843137255,22.0,0.8764705882352937,-21.123529411764707,0.0,-1.0,-1.0,0.750287664085242,8.823529411764707,8.705882352941176,-0.4117647058823529,-0.5294117647058824,-0.11764705882352941,27.663152387246107,2.4810703086658403,3,3.8,3.3374999999999995,26.633333333333336,31.609803921568627,-82.0,-906.0,-2.5,11.909090909090908
86,86,2022/07/24,佐賀,曇,2,さがけいば無料ネット,,10,4,4,97.6,9,6,山田義貴,53,ダ1300,稍,9,1:26.8,1.8,22,6-6-8-7,0.0-39.1,39.8,420(-1),,,ホープヒル,,9,,0.0,3.0727272727272736,6.545454545454546,0,,,42.03636363636364,0.3333333333333333,14.976958525345623,14.783756203004677,86.8,6.0,7.0,6.75,0.6,0.0,39.1,39.8,0.6999999999999957,-39.1,0.0,40.394999999999996,6.504166666666667,41.685,1.2899999999999996,-40.394999999999996,1.0,0.0,-1.0,0.6094859307359307,6.65,6.3,0.0,-0.35,-0.35,14.679493463490871,1.5891211792840032,3,1.8,3.0727272727272736,26.3,27.360000000000003,-58.0,-1513.0,-3.75,6.545454545454546
87,87,2022/07/16,佐賀,曇,3,C2ー8組,,11,4,4,40.3,7,2,山田義貴,51,ダ1300,重,11,1:26.5,0.2,28,6-6-5-3,0.0-41.6,40.4,419(+3),,,クリノマレンゴ,11.2,1,,1.018181818181818,1.4727272727272727,12.909090909090908,0,,,40.654545454545456,0.4536082474226804,15.028901734104046,15.162893545531757,86.5,6.0,3.0,5.0,0.5454545454545454,0.0,41.6,40.4,-1.2000000000000028,-41.6,0.0,39.39487179487179,7.147435897435898,39.66410256410258,0.2692307692307685,-39.39487179487179,1.0,4.0,3.0,0.7462185962185963,6.333333333333333,7.717948717948718,0.46153846153846156,1.8461538461538463,1.3846153846153846,9.569450088693708,1.1047369596424303,5,0.2,1.4727272727272727,27.333333333333332,26.352991452991457,-52.0,-2394.0,16.5,12.909090909090908
88,88,2022/07/17,佐賀,曇,1,C2ー7組,,9,1,1,40.7,8,5,長田進仁,54,ダ1400,重,9,1:34.1,1.3,18,4-2-3-5,0.0-40.8,41.9,423(-7),,,ケイツーフォリント,2.8,2,,0.2545454545454545,1.5454545454545454,10.454545454545455,0,,,41.763636363636365,0.5053763440860215,14.87778958554729,15.075737071871536,94.1,4.0,5.0,3.5,0.4444444444444444,0.0,40.8,41.9,1.1000000000000014,-40.8,1.392207792207792,39.844155844155836,4.5432900432900425,39.6948051948052,1.2428571428571427,-38.451948051948044,0.0,-1.0,-1.0,0.3897009015515509,5.467532467532467,3.883116883116883,-0.8051948051948052,-2.3896103896103895,-1.5844155844155845,17.32186029794316,1.9963016429977796,6,1.3,1.5454545454545454,27.566666666666663,27.441125541125555,-62.0,-5130.0,13.75,10.454545454545455
89,89,2022/07/17,佐賀,曇,1,C2ー7組,,9,4,4,14.4,3,6,飛田愛斗,54,ダ1400,重,9,1:34.5,1.7,13,8-7-7-7,0.0-40.8,41.4,409(+6),,,ケイツーフォリント,,3,,0.0,1.4454545454545455,14.454545454545455,0,,,40.46363636363636,0.5154639175257731,14.814814814814815,15.114772134634993,94.5,8.0,7.0,7.25,0.8888888888888888,0.0,40.8,41.4,0.6000000000000014,-40.8,5.721739130434783,39.63478260869565,7.550724637681159,34.056521739130446,0.14347826086956633,-33.91304347826087,1.0,2.0,1.0,0.6735420979986196,7.304347826086956,7.478260869565218,1.1304347826086956,1.3043478260869565,0.17391304347826086,20.74246851269154,1.686465732431781,4,1.7,1.4454545454545455,27.399999999999995,28.37826086956522,-67.0,-1298.0,20.25,14.454545454545455
90,90,2022/07/17,佐賀,曇,1,C2ー7組,,9,2,2,14.4,4.0,7.0,村松翔太,54,ダ1400,重,9.0,1:35.1,2.3,7.0,2-3-2-4,0.0-40.8,43.1,388(-2),,,ケイツーフォリント,,4.0,,0.0,1.7363636363636366,9.181818181818182,0,,,41.47272727272727,0.5217391304347826,14.721345951629864,15.02579659690944,95.1,2.0,4.0,2.75,0.2222222222222222,0.0,40.8,43.1,2.3000000000000043,-40.8,2.3959459459459462,39.351351351351354,4.3108108108108105,38.20270270270268,1.2472972972972973,-36.95540540540541,-3.0,-5.0,-2.0,0.30160631410631406,5.8108108108108105,3.2432432432432434,-1.1081081081081081,-3.675675675675676,-2.5675675675675675,15.619383968503865,1.4922317365461557,6,2.3,1.7363636363636366,27.96666666666667,27.448648648648653,-73.0,-4900.0,16.75,9.181818181818182
91,91,2022/07/17,佐賀,曇,1,C2ー7組,,9,7,8,82.9,9.0,8,出水拓人,54,ダ1400,重,9.0,1:35.6,2.8,1.0,9-9-9-8,0.0-40.8,41.8,448(-3),,,ケイツーフォリント,,5,,0.0,1.7363636363636366,10.090909090909092,0,,,41.054545454545455,0.40594059405940597,14.644351464435147,15.085338295266245,95.6,9.0,8.0,8.75,1.0,0.0,40.8,41.8,1.0,-40.8,,,5.860666666666667,,,,0.0,1.0,1.0,0.6201800865800865,5.928,5.84,-0.256,-0.344,-0.088,16.999948127319964,1.59356877832341,7,2.8,1.8,27.53333333333333,,-79.0,-6714.0,2.5,10.181818181818182
92,92,2022/07/15,佐賀,曇,11,ドリームシリーズ,,10,2,2,6.1,3.0,1,山田義貴,53,ダ900,稍,11,0:56.7,-0.7,24,1-1,0.0-38.2,38.2,482(-9),,,(ペイドゥレーヴ),33.0,6,,0.325,1.9681818181818178,8.375,0,,,41.8125,0.23529411764705882,15.873015873015872,15.568012594691709,56.7,1.0,1.0,1.0,0.1,0.0,38.2,38.2,0.0,-38.2,14.835714285714285,38.51428571428572,4.660714285714286,25.40714285714285,1.7285714285714289,-23.678571428571427,0.0,0.0,0.0,0.3718344155844156,4.857142857142857,4.642857142857143,-3.2142857142857144,-3.4285714285714284,-0.21428571428571427,31.66378934296329,2.9284049507463186,4,-0.35,3.2624999999999997,25.46666666666667,31.197619047619046,-56.0,-754.0,-5.75,21.363636363636363
93,93,2022/07/16,佐賀,曇,3,C2ー8組,,11,1,1,20.2,6,10,田中直人,54,ダ1300,重,11,1:30.8,4.5,-25,5-5-6-7,0.0-41.6,44.2,476(+5),,,クリノマレンゴ,,7,,0.0,2.831818181818182,-5.636363636363637,0,,,43.27272727272727,0.28865979381443296,14.317180616740089,14.950240273767532,90.8,5.0,7.0,5.75,0.45454545454545453,0.0,41.6,44.2,2.6000000000000014,-41.6,8.2,39.49545454545455,4.409090909090909,33.78181818181818,2.486363636363635,-31.29545454545455,-3.0,-5.0,-2.0,0.36260463021826655,5.090909090909091,3.9545454545454546,-3.272727272727273,-4.409090909090909,-1.1363636363636365,20.182438228678972,3.1346529551671867,4,4.5,3.1090909090909093,28.600000000000005,29.892424242424248,-105.0,-1660.0,1.75,-3.3636363636363638
94,94,2022/04/17,佐賀,晴,2,チャレンジシリーズ,,9,7,7,51.8,9.0,3.0,加茂飛翔,53,ダ1300,稍,11.0,1:27.3,1.6,18.0,5-6-6-6,0.0-39.2,39.8,485(+3),,,オラクトゥール,6.3,8.0,,0.5727272727272728,1.5227272727272727,14.363636363636363,0,,,40.554545454545455,0.4948453608247423,14.891179839633448,14.873945388829384,87.3,5.0,6.0,5.75,0.5555555555555556,0.0,39.2,39.8,0.5999999999999943,-39.2,2.966666666666667,39.16666666666667,5.458333333333333,37.87499999999999,1.6749999999999987,-36.20000000000001,3.0,2.0,-1.0,0.4868065961815962,5.958333333333333,4.958333333333333,-0.7916666666666666,-1.7916666666666667,-1.0,17.601545386698294,1.4582948947315155,4,1.6,1.5227272727272727,26.333333333333332,27.658333333333342,-62.0,-1756.0,3.5,14.363636363636363
