年数,馬名,タイム指数2,タイム指数3,タイム指数4,ラベル,1F,3F,4F,上り,順位
2015,ワンアンドオンリー,108,103,106,2,12.9,40.2,55.2,34.6,9
2015,ルージュバック,103,101,89,2,12.2,37.9,53.4,34.2,10
2015,アルバート,103,104,104,2,12.8,38.9,53.9,35,11
2015,ラストインパクト,110,107,108,3,13.4,41.6,56.3,33.9,12
2015,ヒットザターゲット,107,112,111,3,12.7,38.5,53,34,13
2015,ダービーフィズ,108,106,110,3,13.7,39.3,53.3,34.4,14
2015,オーシャンブルー,90,108,102,3,12.7,40.3,55.6,36.7,15
2015,リアファル,107,106,106,3,12.7,37.9,51.6,35.3,16
2014,ジェンティルドンナ,113,107,103,1,13.3,39.8,54.5,35.5,1
2014,トゥザワールド,95,106,100,1,12.1,38.9,52.7,38.7,2
2014,ゴールドシップ,121,113,104,1,12.8,38.4,52.1,35.3,3
2014,ジャスタウェイ,116,115,114,1,12.9,40.2,54.9,35.1,4
2014,エピファネイア,119,107,113,1,12.4,37.3,50.1,35,5
2014,ラキシス,106,103,108,2,12.6,39.7,54.5,33.4,6
2014,ラストインパクト,115,109,109,2,12.4,37.8,52.8,34.6,7
2014,トーセンラー,114,108,95,2,12.4,38.2,53.6,34.1,8
2014,デニムアンドルビー,110,108,108,2,12,40.3,55,35.5,9
2014,フェノーメノ,113,103,107,2,12.5,38.9,53,35.3,10
2014,サトノノブレス,114,105,96,2,12.4,38.3,51.8,34.8,11
2014,ウインバリアシオン,96,108,107,3,12.3,37.6,51.7,36.1,12
2014,ワンアンドオンリー,114,113,104,3,13,39.2,54.2,35.4,13
2014,ヴィルシーナ,98,107,113,3,11.9,39,53.4,34.8,14
2014,メイショウマンボ,97,100,101,3,12.8,39.8,56,34.8,15
2014,オーシャンブルー,105,101,102,3,12,38.3,52.9,35.4,16
2013,オルフェーヴル,109,116,122,1,12.9,38.4,52.3,33,1
2013,ウインバリアシオン,105,114,102,1,13,38.6,51,34.6,2
2013,ゴールドシップ,98,106,118,1,12.1,39.7,53.3,35.5,3
2013,ラブイズブーシェ,109,73,90,1,12.8,38.8,54.1,34.5,4
2013,タマモベストプレイ,104,105,98,1,11.7,35.6,61,34.2,5
2013,カレンミロティック,105,91,108,2,12.8,38.1,52.2,35.8,6
2013,デスペラード,107,101,104,2,11.8,41.4,56.3,35.4,7
2013,トゥザグローリー,101,97,106,2,12.7,39.2,54.5,35.3,8
2013,テイエムイナズマ,95,95,100,2,13.1,42.1,58,35.1,9
2013,ヴェルデグリーン,103,110,103,2,12.6,38.9,53.2,35.9,10
2013,アドマイヤラクティ,106,103,106,2,11.8,38.1,52.7,33.5,11
2013,ラブリーデイ,102,112,101,3,12.8,39.5,53.7,35.6,12
2013,ナカヤマナイト,104,103,107,3,12.8,38,51.2,34,13
2013,トーセンジョーダン,106,97,66,3,12.5,39,53.7,34.1,14
2013,ダノンバラード,91,108,112,3,12.4,39,53.1,38,15
2013,ルルーシュ,106,103,59,3,12.5,37.9,51.8,34,16
2012,ゴールドシップ,117,103,107,1,13.8,40.2,54.4,34.7,1
2012,オーシャンブルー,104,106,108,1,12.4,37.3,50.8,34.7,2
