,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
75,75,2017/03/12,2中山6,晴,11.0,中山牝馬S(G3),,16,1.0,1,14.4,7,3,蛯名正義,52.0,芝1800,良,-2.0,1:49.5,0.1,101.0,5-5-5-6,37.8-34.9,34.3,470(+10),,出遅れ,トーセンビクトリー,908.3,14,14120.7,504.3107142857143,0.37499999999999994,93.71428571428571
76,76,2016/10/29,3新潟5,晴,11.0,魚沼特別(1000万下),,18,6.0,12,5.9,2,1,北村友一,52.0,芝1800,稍,6.0,1:48.1,0.0,92.0,12-12,36.4-33.5,32.9,464(+6),,,(ロッカフラベイビー),1439.2,14,6057.3,302.865,0.48500000000000004,90.65
77,77,2016/10/30,4京都9,晴,8.0,3歳以上500万下,,13,5.0,7,2.7,1,1,幸英明,53.0,芝1600,良,-8.0,1:34.6,-0.2,89.0,3-3,35.2-34.8,34.5,464(+8),,,(スズカバーディー),750.0,16,11012.1,917.6750000000001,0.18333333333333335,94.75
78,78,2017/09/03,2札幌6,晴,11.0,丹頂S(OP),,14,6.0,10,9.4,6,7,福永祐一,55.0,芝2600,良,11.0,2:44.9,0.7,101.0,9-9-10-8,39.0-37.7,37.7,482(+14),,,プレストウィック,0.0,17,11436.400000000001,635.3555555555556,0.638888888888889,97.72222222222223
79,79,2017/09/10,4中山2,晴,11.0,京成杯オータムH(G3),,15,5.0,9,13.4,5,14,横山典弘,55.0,芝1600,良,-17.0,1:33.7,2.1,90.0,13-13-12,34.6-34.5,35.1,480(-8),,出脚鈍い,グランシルク,0.0,18,18320.5,872.4047619047619,0.5952380952380952,99.19047619047619
80,80,2015/09/20,4阪神4,晴,11.0,関西TVローズS(G2),,17,8.0,16,10.6,5,5,Ｍ．デム,54.0,芝1800,良,-10.0,1:46.1,0.9,98.0,5-5,35.1-34.9,35.4,450(+2),,,タッチングスピーチ,500.0,1,32176.600000000002,2475.123076923077,0.276923076923077,99.3076923076923
81,81,2016/03/13,2中山6,曇,11.0,中山牝馬S(G3),,16,6.0,12,14.0,6,15,岩田康誠,55.0,芝1800,良,-5.0,1:50.9,0.6,93.0,2-2-5-5,38.4-35.1,35.3,470(+2),,,シュンドルボン,0.0,2,15036.3,1002.42,0.5533333333333333,89.2
82,82,2015/04/12,2阪神6,晴,9.0,忘れな草賞(OP),,12,6.0,7,2.1,1,1,浜中俊,54.0,芝2000,良,8.0,2:03.5,-0.1,94.0,9-9-9-7,37.4-34.7,34.0,426(+2),,出遅れ,(ロカ),1929.4,3,36331.4,3302.8545454545456,0.06363636363636364,102.81818181818181
83,83,2016/02/21,2京都8,晴,9.0,つばき賞(500万下),,9,6.0,6,4.9,3,3,福永祐一,54.0,芝1800,稍,28.0,1:52.6,0.2,83.0,2-2,37.7-35.5,35.7,514(-10),,,ナムラシングン,253.5,4,9574.7,1367.814285714286,0.2285714285714286,91.71428571428571
84,84,2015/08/08,2小倉3,晴,9.0,都井岬特別(500万下),,13,5.0,6,33.7,11.0,5,和田竜二,52.0,芝2000,良,-6.0,1:59.7,0.4,95.0,7-7-13-12,35.0-36.0,35.0,484(-6),,,ウインリバティ,105.0,5,6442.8,306.8,0.6190476190476191,87.42857142857143
85,85,2016/06/26,3阪神8,晴,11.0,宝塚記念(G1),,17,8.0,16,25.1,8,1,蛯名正義,56.0,芝2200,稍,6.0,2:12.8,0.0,114.0,11-11-10-6,34.7-36.8,36.3,438(0),,,(ドゥラメンテ),15361.2,6,41395.8,2178.726315789474,0.16842105263157894,100.26315789473684
86,86,2016/06/12,3阪神4,雨,11.0,マーメイドS(G3),,14,8.0,13,4.8,1,4,田辺裕信,56.0,芝2000,良,-10.0,1:59.4,0.1,100.0,11-11-9-3,34.9-35.7,35.4,494(-10),,,リラヴァティ,540.0,6,14005.400000000001,538.6692307692308,0.3,92.76923076923077
87,87,2015/10/18,4京都5,晴,11.0,秋華賞(G1),,18,6.0,11,3.8,2,6,ルメール,55.0,芝2000,良,-15.0,1:57.2,0.3,112.0,17-16-17-16,33.8-35.3,34.4,456(-4),,,ミッキークイーン,0.0,8,11436.400000000001,879.7230769230771,0.5307692307692308,96.6923076923077
88,88,2015/04/26,2東京2,晴,11.0,サンスポ賞フローラS(G2),,17,1.0,1,6.7,3,3,武豊,54.0,芝2000,良,-7.0,2:01.9,0.1,91.0,5-6-7,37.3-34.4,33.9,432(-18),,,シングウィズジョイ,1317.6,9,11491.1,675.9470588235295,0.17647058823529413,96.11764705882354
89,89,2015/09/26,4阪神6,晴,10.0,夕月特別(1000万下),,17,6.0,11,13.1,4,1,浜中俊,52.0,芝1800,良,-5.0,1:46.7,-0.3,102.0,3-3,36.8-34.1,33.6,462(+8),,,(レネットグルーヴ),1539.2,10,8056.2,503.5125,0.325,94.0
90,90,2016/05/15,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18,4.0,8,117.8,17,12,武幸四郎,55.0,芝1600,良,-14.0,1:33.2,1.7,100.0,15-15,33.8-34.3,34.6,494(-4),,,ストレイトガール,0.0,12,43519.5,1500.6724137931035,0.9448275862068968,96.58620689655173
91,91,2016/02/28,1阪神2,晴,8.0,4歳以上500万下,,16,4.0,7,4.1,3,1,四位洋文,55.0,芝1600,良,-8.0,1:34.2,-0.2,93.0,7-6,34.6-36.0,35.1,464(+6),,,(ダイシンカレラ),750.0,13,11197.7,447.908,0.35200000000000004,93.32
92,92,2016/03/12,2中山5,曇,10.0,サンシャインS(1600万下),,12,6.0,7,8.7,4.0,2,杉原誠人,52.0,芝2500,良,-4.0,2:34.3,0.1,106.0,9-9-10-8,30.9-36.1,35.4,438(+2),,,インナーアージ,737.4,14,6403.8,320.19,0.48500000000000004,92.5
93,93,2015/12/12,4中京3,曇,8.0,3歳以上500万下,,17,7.0,14,2.5,1,1,鮫島克駿,52.0,芝2000,稍,-2.0,2:01.6,-0.4,102.0,8-8-8-10,36.6-36.3,35.1,442(-10),,,(テイエムフタエマル),700.0,15,9430.3,554.7235294117646,0.4470588235294116,91.52941176470588
94,94,2014/08/03,2新潟2,晴,10,三面川特別(1000万下),,15,4,7,4.3,2,3,蛯名正義,52,芝1800,良,-7,1:46.6,0.0,90,5-5,36.6-34.1,32.6,412(-6),,,フレイムコード,374.9,1,17519.0,1347.6153846153845,0.14615384615384613,97.23076923076923
95,95,2014/03/08,1阪神3,晴,11.0,チューリップ賞(G3),,13,8.0,13,18.1,4,2,岩田康誠,54.0,芝1600,良,3.0,1:34.7,0.4,101.0,6-6,35.3-34.9,34.7,438(-2),,,ハープスター,1413.2,2,44571.600000000006,3183.6857142857148,0.08571428571428573,101.0
96,96,2015/10/12,4京都3,晴,11,京都大賞典(G2),,10,6,6,27.5,7,5,酒井学,54,芝2400,良,-13,2:24.0,0.4,108,3-3-4-4,35.3-33.0,33.1,478(+2),,,ラブリーデイ,650.0,6,19554.2,501.3897435897436,0.4205128205128204,90.25641025641026
97,97,2015/01/11,1中山4,晴,10,初咲賞(1000万下),,12,3,3,8.7,5,2,田辺裕信,54,芝1800,良,-8,1:48.1,0.2,98,6-7-5-4,37.3-34.1,33.8,488(+6),,,オメガキングティー,608.2,7,9257.3,462.86499999999995,0.24,89.95
98,98,2015/03/07,1阪神3,雨,9,千里山特別(1000万下),,15,7,13,4.8,3,14,シュタル,55,芝2000,稍,22,2:05.7,2.0,80,5-6-6-6,37.9-36.3,37.8,464(+18),,,シホウ,0.0,9,7945.9,441.43888888888887,0.4166666666666667,89.05555555555556
99,99,2015/06/14,3阪神4,晴,11,マーメイドS(G3),,16,1,2,15.6,8,1,藤岡康太,53,芝2000,良,-14.0,2:00.5,-0.1,99.0,13-13-15-14,36.6-34.7,33.6,472(-6),,,(マリアライト),3557.4,10,12032.7,523.1608695652175,0.5217391304347826,95.56521739130434
100,100,2015/10/12,4京都3,晴,11,京都大賞典(G2),,10,7,8,4.0,3,4,武豊,55,芝2400,良,-13,2:24.0,0.4,108,7-7-8-8,35.3-33.0,32.5,460(-16),,,ラブリーデイ,980.0,11,29598.6,1741.0941176470587,0.21764705882352942,98.17647058823529
101,101,2015/08/09,2小倉4,晴,11,小倉記念(G3),,17,4,8,20.9,9.0,11,幸英明,52,芝2000,良,-4,1:59.1,1.1,100,1-1-1-1,34.0-36.3,37.4,460(+8),,,アズマシャトル,0.0,12,14303.0,650.1363636363636,0.5045454545454547,95.4090909090909
102,102,2015/05/23,2東京9,晴,11,モンゴル大統領賞(OP),,17,1,1,10.0,6,7,横山典弘,52,芝1800,良,-12,1:45.3,0.6,112,17-17-16,35.3-35.1,33.6,476(+16),,出遅れ,サトノアラジン,0.0,13,12093.300000000001,310.0846153846154,0.5128205128205127,99.84615384615384
103,103,2015/06/14,3阪神4,晴,11,マーメイドS(G3),,16,5,10,64.7,15,5,川須栄彦,50,芝2000,良,-14.0,2:00.7,0.2,98.0,13-13-14-14,36.6-34.7,33.9,480(-2),,出遅れ,シャトーブランシュ,350.0,14,6128.799999999999,340.4888888888888,0.4388888888888889,87.11111111111111
104,104,2014/11/16,5京都4,晴,10,修学院S(1600万下),,14,8,14,3.0,1,4,小牧太,54,芝1600,良,-11,1:32.9,0.3,107,13-13,35.0-34.3,33.4,446(+4),,出遅れ,アルバタックス,270.0,15,9048.4,696.0307692307692,0.5846153846153846,97.23076923076923
105,105,2014/09/07,2札幌6,晴,9,3歳以上500万下,,14,4,6,8.6,3,5,松岡正海,52,芝1800,良,5,1:51.2,1.0,84,6-6-5-7,36.8-36.1,36.8,448(+6),,,ガリバルディ,73.0,16,7849.599999999999,327.06666666666666,0.41250000000000003,88.70833333333333
106,106,2014/05/18,2東京8,晴,11,ヴィクトリアマイル(G1),,18,2,4,5.5,3,2,武幸四郎,55,芝1600,良,-10,1:32.4,0.1,114,7-7,34.7-34.3,33.5,486(+6),,,ヴィルシーナ,3712.8,17,43519.5,1978.159090909091,0.7500000000000001,97.45454545454545
107,107,2015/05/17,3京都8,晴,9,パールS(1600万下),,10,5,5,43.4,9,8,岩崎翼,55,芝1800,良,-10,1:47.6,1.2,92,6-6,35.8-33.8,33.7,492(+6),,,ウインプリメーラ,0.0,18,12017.900000000001,375.55937500000005,0.5031249999999999,91.125
108,108,2013/09/17,4阪神5,晴,9,甲武特別(500万下),,12,4,4,4.0,2,1,川田将雅,52,芝2200,良,-10,2:13.4,-0.4,97,6-6-6-5,35.8-35.3,34.3,458(+8),,,(セルリアンディンゴ),1020.8,1,21339.199999999997,1939.9272727272726,0.21818181818181814,93.27272727272727
109,109,2013/11/10,5京都4,雨,11,エリザベス女王杯(G1),,18,1,2,21.7,8,9,藤岡康太,54,芝2200,重,20,2:17.2,0.6,101,12-13-14-17,36.7-34.5,34.2,446(+6),,,メイショウマンボ,0.0,3,15257.0,1271.4166666666667,0.22499999999999998,96.25
110,110,2013/09/28,4阪神8,晴,8,3歳以上500万下,,18,7,15,31.7,9,1,古川吉洋,55,芝2400,良,-11,2:27.0,-0.3,92,17-17-14-9,37.9-34.7,34.0,462(-2),,出遅れ,(ハッピーモーメント),720.0,4,16017.0,500.53125,0.39999999999999997,87.21875
111,111,2014/04/26,1福島5,晴,11,福島牝馬S(G3),,16,4,7,4.7,2,2,後藤浩輝,54,芝1800,良,-1,1:47.0,0.0,105,3-4-3-3,35.5-35.2,34.9,462(-4),,,ケイアイエレガント,1516.0,5,16766.2,762.1,0.4681818181818182,95.5909090909091
