,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
188,188,2007/01/28,2京都2,晴,11.0,京都牝馬S(G3),,16.0,3.0,5,7.3,2.0,9,ルメール,55.0,芝1600,良,6.0,1:33.9,0.9,114.0,6-7,34.8-34.8,35.1,468(-6),,,ディアデラノビア,0.0,11,20554.100000000002,2055.4100000000003,0.48999999999999994,105.6
189,189,2006/06/03,3東京5,曇,8,3歳500万下,,17,3,5,4.6,2,6,田中勝春,56,芝1600,良,-6.0,1:36.6,0.7,81.0,13-13,35.5-34.8,34.5,496(-4),,,ベルジュール,0.0,12,12465.300000000001,656.0684210526316,0.5421052631578948,95.57894736842105
190,190,2007/06/10,2中京8,晴,11,CBC賞(G3),,18,3,6,17.9,8,3,角田晃一,54,芝1200,重,9.0,1:09.2,0.1,109.0,8-6,33.9-35.2,34.9,512(+2),,,ブラックバースピン,1110.5,13,17426.7,1089.16875,0.425,109.75
191,191,2007/06/03,3東京6,晴,11,安田記念(G1),,18,4,7,33.5,13,18,後藤浩輝,58,芝1600,良,-9.0,1:34.4,2.1,94.0,15-12,34.1-34.8,35.9,474(+4),,,ダイワメジャー,0.0,14,21675.600000000002,1445.0400000000002,0.8066666666666665,104.73333333333333
192,192,2006/10/28,5京都7,曇,11.0,毎日放送賞スワンS(G2),,18,7.0,14,8.6,5.0,9,福永祐一,58,芝1400,良,-9.0,1:20.8,0.5,103.0,2-2,34.5-34.5,34.8,500(+12),,,プリサイスマシーン,0.0,15,3899.6,557.0857142857143,1.4857142857142858,101.71428571428571
193,193,2006/06/18,2福島2,曇,11,バーデンバーデンC(OP),,16,7,14,4.2,1.0,8,中舘英二,53,芝1200,良,-7.0,1:08.5,0.4,103.0,4-4,32.4-35.7,35.4,510(-4),,,ダイワメンフィス,0.0,16,12991.500000000002,649.575,0.5650000000000001,101.85
194,194,2006/01/29,1東京2,晴,11.0,根岸S(G3),,16,3.0,5,4.1,2.0,7,福永祐一,59,ダ1400,良,10.0,1:24.3,0.6,117.0,4-4,34.6-37.0,37.3,500(-6),,,リミットレスビッド,0.0,2,3899.6,779.92,1.48,105.2
195,195,2006/07/02,4京都6,晴,11.0,米子S(OP),,11,2.0,2,8.4,5.0,5,佐藤哲三,54,芝1600,重,16.0,1:35.5,0.9,109.0,5-6,35.5-36.1,36.0,444(+4),,,ワディラム,240.0,6,8530.6,775.5090909090909,0.5727272727272728,107.36363636363636
196,196,2006/07/02,1函館6,曇,11.0,函館スプリントS(G3),,13,4.0,6,2.1,1.0,2,池添謙一,56.0,芝1200,良,-2.0,1:09.5,0.4,105.0,7-4,34.1-35.0,35.0,474(-2),,,ビーナスライン,1614.6,8,17792.4,1976.9333333333334,0.28888888888888886,105.77777777777777
197,197,2005/12/18,5中山6,晴,10.0,市川S(1600万下),,15,2.0,2,12.7,6.0,4,張田京,55,芝1200,良,-4.0,1:09.2,0.3,90.0,5-5,33.7-35.2,35.1,478(+6),,,コパノフウジン,270.0,11,6359.5,706.6111111111111,0.3,101.44444444444444
