,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
24,24,2019/05/04,3京都5,晴,11,京都新聞杯(G2),,14,3,3,5.2,2,2,浜中俊,56,芝2200,良,-14,2:11.9,0.0,99,1-1-1-1,35.4-35.3,35.3,494(-6),,,レッドジェニアル,2228.8,1,26875.600000000002,4479.266666666667,0.016666666666666673,91.33333333333333
25,25,2019/03/24,2中京6,晴,9,大寒桜賞(500万下),,10,6,6,7.6,4,1,横山典弘,56,芝2200,良,-13,2:15.3,-0.2,82,1-1-1-1,35.2-34.2,34.2,476(0),,,(ルヴォルグ),1023.1,15,8221.0,913.4444444444445,0.4444444444444444,87.66666666666667
26,26,2019/03/03,2中山4,雨,11,報知杯弥生賞(G2),,10,5,5,20.2,6,2,石橋脩,56,芝2000,重,16,2:03.5,0.2,100,9-9-9-7,36.9-37.0,36.2,488(+10),,S不利,メイショウテンゲン,2220.4,16,2920.4,730.1,0.9500000000000001,86.25
27,27,2017/10/09,4京都3,晴,5,2歳新馬,,10,6,6,17.2,4,3,北村友一,55,芝1800,良,-13,1:50.9,0.5,66,2-2,37.5-33.7,34.2,484(0),,,タングルウッド,180.0,2,26206.4,4367.733333333334,-0.11666666666666665,91.83333333333333
28,28,2018/04/15,3中山8,曇,11,皐月賞(G1),,16,3,5,6.3,3,5,Ｍ．デム,57,芝2000,稍,-2,2:01.4,0.6,101,11-14-14-13,35.5-37.3,34.8,502(+12),,,エポカドーロ,1100.0,12,3719.6,929.9,0.32499999999999996,93.5
29,29,2018/03/04,2中山4,晴,11,報知杯弥生賞(G2),,10,8,10,17.1,5,4,藤岡佑介,56,芝2000,良,-4,2:01.3,0.3,102,1-1-1-1,36.0-34.3,34.6,500(+10),,,ダノンプレミアム,810.0,13,9338.1,1556.3500000000001,0.3166666666666667,90.66666666666667
30,30,2017/04/29,2東京3,晴,11,テレビ東京杯青葉賞(G2),,12,7,10,1.5,1,1,Ｍ．デム,56,芝2400,良,-11,2:23.6,-0.4,112,12-12-9-4,35.5-35.2,34.6,510(-4),,出遅れ,(ベストアプローチ),5488.2,3,12407.1,2481.42,0.24000000000000005,92.8
31,31,2016/04/17,3中山8,晴,11,皐月賞(G1),,18,8,16,2.8,2,5(降),Ｍ．デム,57,芝2000,良,-10,1:58.4,0.5,110,2-2-1-1,34.2-35.6,36.1,500(0),,4位入線降着,ディーマジェスティ,1000.0,5,13040.599999999999,2608.12,0.13999999999999999,101.4
32,32,2016/01/24,1中京4,晴,5,3歳新馬,,18,8,16,6.8,4,5,中谷雄太,56,芝2000,良,5,2:07.2,0.5,67,9-10-10-9,39.6-35.3,35.0,508(0),,,ショウナンタイザン,60.0,9,3700.6000000000004,740.1200000000001,0.24,90.4
33,33,2016/04/30,2東京3,晴,11,テレビ東京杯青葉賞(G2),,13,5,6,5.1,4,1,内田博幸,56,芝2400,良,-12,2:24.2,-0.2,106,4-5-5-5,35.9-35.8,34.5,490(+2),,,(レッドエルディスト),5493.8,13,7918.3,989.7875,0.26249999999999996,86.5
34,34,2015/07/12,3中京4,晴,1,2歳未勝利,,15.0,3.0,4,4.0,2,2,菅原隆一,54.0,芝1600,良,-5.0,1:37.6,0.1,72.0,4-5-5,36.7-35.9,35.4,480(-4),,,デアリングエッジ,200.0,18,5941.9,594.1899999999999,1.4200000000000002,80.3
35,35,2014/11/08,5東京1,曇,4.0,2歳未勝利,,14,1.0,1,1.2,1,1,ムーア,55.0,芝1800,良,-10.0,1:47.5,-1.0,93.0,4-3-3,36.4-34.0,33.7,474(-6),,,(ショウナンハルカス),500.0,1,39276.299999999996,6546.049999999999,-0.36666666666666664,101.16666666666667
36,36,2015/04/19,3中山8,曇,11.0,皐月賞(G1),,15,7.0,13,236.0,15,10,嘉藤貴行,57.0,芝2000,良,-13.0,1:59.5,1.3,102.0,4-5-5-9,35.2-34.7,35.5,486(-4),,,ドゥラメンテ,0.0,5,6565.0,820.625,0.5625,87.125
37,37,2014/08/31,2新潟10,晴,11.0,新潟2歳S(G3),,18,2.0,4,4.1,3,1,柴田善臣,54.0,芝1600,良,-5.0,1:33.4,0.0,98.0,14-11,35.2-34.3,33.4,474(+8),,,(アヴニールマルシェ),3063.0,6,6117.6,1223.52,0.26,93.8
38,38,2014/11/01,4京都8,曇,9.0,萩S(OP),,6,1.0,1,2.0,1,2,福永祐一,55.0,芝1800,良,-7.0,1:47.6,0.0,91.0,4-3,35.9-34.8,34.2,472(+2),,,エイシンライダー,604.4,12,6315.299999999999,789.4124999999999,0.32499999999999996,89.5
39,39,2015/01/24,1京都8,晴,10.0,若駒S(OP),,7,6.0,6,3.3,2,1,和田竜二,56.0,芝2000,良,0.0,2:01.1,-0.2,97.0,7-7-7-7,36.9-34.1,33.3,484(0),,出遅れ,(ストーンウェア),1918.9,17,3101.6,775.4,0.8999999999999999,83.5
40,40,2013/09/28,4阪神8,晴,5.0,2歳新馬,,11.0,8.0,11,1.9,1,2,川田将雅,54.0,芝1800,良,-11.0,1:49.0,1.0,75.0,4-3,36.5-33.5,34.1,508(0),,,バンドワゴン,280.0,5,15767.2,2252.457142857143,0.14285714285714285,91.71428571428571
41,41,2013/11/30,5阪神1,晴,5.0,2歳未勝利,,15.0,5.0,8,1.3,1,1,岩田康誠,55.0,芝2000,良,-12.0,2:02.0,-0.3,79.0,3-3-4-3,36.1-35.5,35.2,508(+2),,,(ダンディーズムーン),500.0,10,4979.3,711.3285714285714,0.09999999999999999,87.0
42,42,2013/04/27,2東京3,晴,11,テレビ東京杯青葉賞(G2),,18,2,3,48.2,9,2,勝浦正樹,56,芝2400,良,-10,2:26.2,0.0,95,1-1-1-1,36.6-34.7,34.7,530(0),,,ヒラボクディープ,2138.0,3,9068.199999999999,1295.4571428571428,0.35714285714285715,82.42857142857143
43,43,2012/09/01,2札幌5,晴,11,札幌2歳S(G3),,14,3,3,4.1,3,1,横山典弘,54,芝1800,良,-12,1:48.5,-0.3,95,3-4-4-4,36.3-34.9,34.6,474(+4),,,(ラウンドワールド),3051.8,9,13959.400000000001,1994.2000000000003,-0.028571428571428574,97.0
44,44,2012/10/20,4東京6,晴,9,いちょうS(OP),,16,3,6,4.4,2,1,横山典弘,55,芝1800,良,-9,1:48.1,0.0,90,2-2-2,35.8-34.8,34.2,490(+6),,,(サトノノブレス),1535.7,10,6297.7,899.6714285714286,0.31428571428571433,89.0
