,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
102,102,2021/04/25,佐賀,晴,4,C2ー8組,,8,4,4,4.1,2.0,3,田中直人,56,ダ1400,良,15.0,1:33.6,0.4,30.0,5-4-3-2,0.0-41.8,41.2,441(+5),,,クリスタルボール,5.1,5,328.9,2.7408333333333332,1.7508333333333337,16.133333333333333
103,103,2021/03/22,佐賀,晴,1,C2ー14組,,9,5,5,55.9,8.0,4,川島拓,56,ダ1300,不,-1.0,1:25.6,1.2,27.0,9-8-7-5,0.0-39.2,39.3,509(+2),,,ソドゥバスク,2.2,6,216.5,8.326923076923077,1.3384615384615386,37.34615384615385
104,104,2021/04/23,佐賀,曇,3,C2ー13組,,9,8,9,5.4,3.0,1.0,田中直人,56,ダ1300,良,13.0,1:27.1,-0.2,23.0,5-4-4-2,0.0-40.7,40.3,428(+5),,,(ケイツーシリング),30.0,7.0,285.49999999999994,5.947916666666665,0.8312499999999998,42.0625
105,105,2020/12/20,佐賀,曇,7,C2ー13組,,11,7,8,5.4,2.0,2,倉富隆一,56,ダ1300,良,13.0,1:25.5,0.4,42.0,9-9-8-3,0.0-40.0,39.3,458(-14),,,サンブリテニア,8.1,8,120.80000000000001,4.474074074074075,1.3925925925925928,30.333333333333332
106,106,2021/06/27,佐賀,曇,5,C2ー4組,,9,3,3,86.1,9.0,7,吉本隆記,54,ダ1400,良,7.0,1:34.1,0.6,16.0,1-1-1-2,0.0-41.2,41.8,462(+3),,,ショーラッシュ,0.0,9,463.80000000000007,3.9305084745762717,1.9161016949152545,30.6864406779661
107,107,2021/01/03,佐賀,晴,10,開運ウーマんチャンス,,11,3,3,9.9,5.0,2.0,鮫島克也,54,ダ900,重,12.0,0:56.5,0.2,29.0,1-1,0.0-37.7,37.9,470(+21),,,ノンストップダイヤ,8.1,10.0,92.69999999999999,4.878947368421052,1.9210526315789473,23.263157894736842
108,108,2021/03/21,佐賀,曇,5,C2ー16組,,10,6,6,18.1,4.0,2,金山昇馬,53,ダ1300,不,-4.0,1:24.4,0.5,39.0,4-4-5-2,0.0-38.1,38.1,406(-3),,,チェアーグライド,8.1,11,120.09999999999997,3.5323529411764696,1.3441176470588236,25.88235294117647
109,109,2021/05/08,佐賀,曇,6,C2ー3組,,12,7,10,19.5,7.0,2,金山昇馬,53,ダ1300,稍,5.0,1:25.4,0.0,35.0,3-3-3-2,0.0-39.2,39.0,436(+3),,,マリノスペクトル,9.6,12,170.7,3.631914893617021,1.9999999999999993,23.21276595744681
110,110,2021/01/16,佐賀,晴,5,祝月賞,,11,6,8,49.8,8,9,吉本隆記,56,ダ1300,重,14,1:26.7,2.7,29,11-10-10-10,0.0-38.7,40.2,497(-2),,,モルトルバート,0.0,1,591.0,9.688524590163935,1.1803278688524588,40.90163934426229
111,111,2021/06/27,佐賀,曇,9,SAGAイブニング賞,,9,1,1,14.2,9,4,長田進仁,54,ダ1300,良,7,1:26.7,0.6,22,3-4-4-2,0.0-39.7,39.8,460(+5),,,ニンジンムスメ,2.7,2,234.3,3.9050000000000002,1.1216666666666664,33.81666666666667
112,112,2021/04/10,佐賀,晴,6,ほとめきナイター賞,,8,7,7,5.9,4,2,山下裕貴,56,ダ1300,良,12,1:26.3,0.3,31,4-4-3-4,0.0-39.7,39.4,505(+4),,,フェルトオンブレ,10.2,3,379.9,14.61153846153846,1.5884615384615386,39.57692307692308
