index,開催所,平均タイム,平均上り
115,新潟芝1200不良,73.0985074626866,36.9125
116,新潟芝1400良,83.7451843043995,35.7256
117,新潟芝1400稍重,84.013730255164,35.9184
118,新潟芝1400重,85.1372641509434,38.5035555555555
119,新潟芝1400不良,85.938961038961,37.4218181818182
120,新潟芝1600良,96.4814863102999,34.3856
121,新潟芝1600稍重,96.9719948849105,34.4496
122,新潟芝1600重,97.8732044198895,38.0236
123,新潟芝1600不良,98.7068571428572,40.7753846153846
124,新潟芝1800良,109.365198863636,34.5424
125,新潟芝1800稍重,110.096633941094,34.7936
126,新潟芝1800重,110.601071428571,36.1180487804878
127,新潟芝1800不良,112.606557377049,36.6275
128,新潟芝2000良,122.811549707602,35.4408
129,新潟芝2000稍重,123.334850640114,35.5124
130,新潟芝2000重,124.71652613828,38.1835555555555
131,新潟芝2000不良,126.481456953642,40.6276923076923
132,新潟芝2200良,135.171654676259,35.6756
133,新潟芝2200稍重,137.107114624506,38.0163157894737
134,新潟芝2200重,138.412820512821,38.2977777777778
135,新潟芝2200不良,139.831395348837,41.18
136,新潟芝2400良,148.790598290598,35.6244
137,新潟芝2400稍重,150.5367003367,36.2191304347826
138,新潟芝2400重,154.54358974359,37.1733333333333
139,新潟芝2400不良,150.497142857143,37.57
140,新潟ダ1000良,62.4700884955752,37.2528
141,新潟ダ1000稍重,62.3275555555556,37.238
142,新潟ダ1000重,61.8165745856354,36.8125
143,新潟ダ1000不良,61.8246575342466,36.87
144,新潟ダ1200良,73.4493723849373,37.45
145,新潟ダ1200稍重,73.2194640338505,37.3668
146,新潟ダ1200重,72.9177871148459,37.0944
147,新潟ダ1200不良,72.8012379642366,37.1752
148,新潟ダ1700良,109.972147651007,38.9452
149,新潟ダ1700稍重,110.901298701299,39.7468085106383
150,新潟ダ1700重,109.844661921708,39.3744
151,新潟ダ1700不良,109.509776536313,39.2757575757576
152,新潟ダ1800良,115.9029455081,38.8168
153,新潟ダ1800稍重,116.111259259259,38.924
154,新潟ダ1800重,115.136153846154,38.7004
155,新潟ダ1800不良,114.523746312684,38.3592
156,新潟ダ2500良,164.162962962963,38.8314285714286
157,新潟ダ2500稍重,165.041176470588,38.51
158,新潟ダ2500重,163.290697674419,38.925
159,新潟ダ2500不良,163.069444444444,38.8733333333333
160,東京芝1400良,83.2847480106101,34.3796
161,東京芝1400稍重,83.7728900255755,34.6856
162,東京芝1400重,85.2901002506266,35.8316
163,東京芝1400不良,87.0510980966325,37.175
164,東京芝1600良,95.6170903954802,34.2208
165,東京芝1600稍重,96.7897506925208,34.6504
166,東京芝1600重,98.2853137516689,35.6892
167,東京芝1600不良,100.026172465961,37.1987755102041
168,東京芝1800良,109.064933135215,34.3292
169,東京芝1800稍重,110.617138810198,34.6224
170,東京芝1800重,111.658881118881,36.0648
171,東京芝1800不良,113.731712062257,37.0078947368421
172,東京芝2000良,122.13440285205,34.4324
173,東京芝2000稍重,123.92328990228,35.1132
174,東京芝2000重,125.520689655172,36.2361111111111
175,東京芝2000不良,127.595238095238,37.3985714285714
176,東京芝2200良,136.349618320611,35.7408695652174
177,東京芝2200稍重,138.292105263158,36.4
178,東京芝2200重,138.96,36.39
179,東京芝2200不良,143.363636363636,38.82
180,東京芝2300良,142.738673139159,34.9336
181,東京芝2300稍重,143.942372881356,36.1466666666667
182,東京芝2300重,143.985,35.836
183,東京芝2300不良,147.392857142857,37.385
184,東京芝2400良,148.202977232925,34.7956
185,東京芝2400稍重,150.993733681462,35.7246666666667
186,東京芝2400重,151.604761904762,36.0490909090909
187,東京芝2400不良,155.764233576642,37.77
188,東京芝2500良,156.893457943925,36.2571428571429
189,東京芝2500稍重,158.111111111111,35.6
190,東京ダ1200良,75.1294117647059,37.5976
191,東京ダ1200稍重,75.0706325301205,37.7738775510204
192,東京ダ1200重,74.653032659409,38.5456
193,東京ダ1200不良,74.988155922039,37.6604
194,東京ダ1300良,80.943433029909,36.9292
195,東京ダ1300稍重,80.7530012771392,37.0544
196,東京ダ1300重,79.8852825229961,36.4896
197,東京ダ1300不良,80.3001745200698,36.8318918918919
198,東京ダ1400良,87.3651102464332,37.3276
199,東京ダ1400稍重,86.8956072351421,37.0048
200,東京ダ1400重,86.1128826530612,36.6456
201,東京ダ1400不良,86.4763565891473,36.8832
202,東京ダ1600良,100.435890410959,37.6168
203,東京ダ1600稍重,99.7606469002695,37.2616
204,東京ダ1600重,98.9199181446112,36.8768
205,東京ダ1600不良,99.09826435247,36.9884
206,東京ダ1700良,107.276829268293,38.3808
207,東京ダ1700稍重,106.785714285714,38.845
208,東京ダ1700重,107.425,44.37
209,東京ダ1700不良,106.87816091954,41.505
210,東京ダ2100良,135.851768033946,38.1732
211,東京ダ2100稍重,135.53694721826,38.0844
212,東京ダ2100重,134.156498194946,37.4651282051282
213,東京ダ2100不良,134.060526315789,38.0693023255814
214,東京ダ2400良,156.525,38.66
215,中山芝1200良,70.3862957937585,35.0872
216,中山芝1200稍重,70.8861111111111,35.5264
217,中山芝1200重,72.0522906793049,36.5008510638298
218,中山芝1200不良,73.8086720867209,37.6846666666667
219,中山芝1400良,85.1294117647059,37.08
220,中山芝1600良,96.4275103163686,35.3004
221,中山芝1600稍重,97.3198666666667,35.5796
222,中山芝1600重,98.9005479452055,36.6996
223,中山芝1600不良,100.584689655172,38.1632
224,中山芝1800良,110.781077147016,35.4384
225,中山芝1800稍重,111.968812589413,35.736
226,中山芝1800重,113.485094850949,36.7121428571429
227,中山芝1800不良,115.401282051282,37.9625
228,中山芝2000良,123.658344640434,35.7268
229,中山芝2000稍重,124.925925925926,36.0256
230,中山芝2000重,126.512916666667,37.2896
231,中山芝2000不良,128.929284164859,38.2117647058824
232,中山芝2200良,136.624571428571,35.6632
233,中山芝2200稍重,138.836484245439,36.7752380952381
234,中山芝2200重,140.339481268012,37.4883333333333
235,中山芝2200不良,142.86455026455,38.1971428571428
236,中山芝2500良,156.112592592593,35.8033333333333
237,中山芝2500稍重,157.517721518987,36.0685714285714
238,中山芝2500重,160.37619047619,37.8033333333333
239,中山芝2500不良,160.484615384615,38.78
240,中山ダ1000良,62.2346534653465,37.516
241,中山ダ1000稍重,61.6402877697842,37.375
242,中山ダ1000重,61.2880434782609,37.0375
243,中山ダ1000不良,61.4558441558442,37.3483333333333
244,中山ダ1200良,73.5900636942675,37.8276
245,中山ダ1200稍重,73.73125,37.8516
246,中山ダ1200重,72.8884615384615,37.1988
247,中山ダ1200不良,72.7466408268734,37.2468
248,中山ダ1800良,117.479527559055,39.326
249,中山ダ1800稍重,117.291089108911,39.3468
250,中山ダ1800重,116.140746054519,38.8916
251,中山ダ1800不良,115.892531120332,38.7556
252,中山ダ2400良,159.643014128728,39.284
253,中山ダ2400稍重,158.358181818182,39.382
254,中山ダ2400重,158.117721518987,39.1666666666667
