,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
98,98,2013/05/12,2東京8,晴,11.0,ヴィクトリアマイル(G1),,18.0,4.0,8,44.0,12,2,蛯名正義,55.0,芝1600,良,-13.0,1:32.4,0.0,112.0,10-10,34.6-34.2,33.4,474(+2),,躓く,ヴィルシーナ,3709.2,15,49654.200000000004,1986.1680000000001,0.7519999999999998,96.44
99,99,2014/05/17,2東京7,晴,11.0,京王杯スプリングC(G2),,15.0,5.0,9,38.4,10,1,北村宏司,56.0,芝1400,良,-10.0,1:19.7,-0.2,117.0,2-2,33.7-35.0,34.7,534(0),,,(クラレント),5819.0,17,33978.3,1258.4555555555557,0.7185185185185186,101.4074074074074
100,100,2012/09/09,4阪神2,晴,11.0,セントウルS(G2),,16.0,5.0,9,2.2,1,2,岩田康誠,56,芝1200,良,-20.0,1:07.3,0.0,106.0,3-3,33.2-34.1,33.7,500(-2),,,エピセアローム,2234.4,1,54931.399999999994,3662.093333333333,-0.1733333333333333,105.46666666666667
101,101,2012/03/04,1阪神4,小雨,10.0,大阪城S(OP),,9.0,8.0,8,2.0,1,2,武豊,56,芝1800,良,26.0,1:48.6,0.0,115.0,9-9,36.4-36.2,35.2,504(+16),,,ミッキーパンプキン,887.0,2,28094.699999999997,1652.6294117647058,0.2117647058823529,101.3529411764706
102,102,2010/10/30,5京都7,曇,3.0,2歳未勝利,,14.0,3.0,4,2.8,2,2,福永祐一,55,芝1600,良,-3.0,1:34.8,0.5,88.0,3-3,35.3-35.1,35.3,442(+2),,,サダムパテック,200.0,3,22038.4,1049.4476190476191,0.1476190476190476,102.0952380952381
103,103,2012/11/11,5京都4,雨,11.0,エリザベス女王杯(G1),,16.0,1.0,1,37.3,10,7,松岡正海,56,芝2200,重,28.0,2:16.9,0.6,105.0,8-8-8-10,37.2-36.4,36.3,462(-8),,,レインボーダリア,0.0,4,25205.0,1145.6818181818182,0.4227272727272728,99.31818181818181
104,104,2011/04/03,2阪神4,晴,11.0,産経大阪杯(G2),,15.0,7.0,13,40.2,8,2,福永祐一,57,芝2000,良,-10.0,1:57.8,0.0,117.0,11-11-12-12,35.8-35.3,33.9,492(-16),,アオル,ヒルノダムール,2634.0,6,34301.5,2017.735294117647,0.15882352941176467,107.82352941176471
105,105,2012/02/26,1阪神2,曇,11.0,阪急杯(G3),,16.0,2.0,4,3.3,2,5,石橋脩,56.0,芝1400,良,14.0,1:22.4,0.4,107.0,6-8,33.7-36.2,36.0,474(-8),,,マジンプロスパー,380.0,7,26333.9,797.9969696969697,0.5424242424242424,103.21212121212122
106,106,2011/11/13,6京都4,晴,9.0,黄菊賞(500万下),,10.0,6.0,6,2.8,1,3,福永祐一,54,芝1800,良,-9.0,1:47.6,0.1,89.0,6-6,35.5-35.6,34.6,442(+2),,,ブライトライン,253.1,8,33348.09999999999,2779.0083333333328,0.17499999999999996,95.5
107,107,2012/02/19,1東京8,晴,11.0,フェブラリーS(G1),,16.0,7.0,13,21.1,6.0,12,内田博幸,57,ダ1600,良,11.0,1:37.1,1.7,116.0,3-3,34.7-36.7,38.1,508(-10),,,テスタマッタ,0.0,10,45825.9,2411.8894736842108,0.38947368421052636,106.84210526315789
108,108,2010/11/06,5東京1,晴,9.0,百日草特別(500万下),,10.0,7.0,7,3.8,3.0,2,柴田善臣,55.0,芝1800,良,-8.0,1:47.8,0.4,93.0,6-5-4,36.0-34.4,34.0,456(-2),,,ディープサウンド,406.4,12,28768.399999999998,1438.4199999999998,0.495,100.35
109,109,2011/04/24,2東京2,晴,11.0,皐月賞(G1),,18.0,2.0,4,2.5,1,2,岩田康誠,57.0,芝2000,良,3.0,2:01.1,0.5,101.0,8-8-8,36.4-35.3,34.9,500(-8),,出遅れ,オルフェーヴル,4835.2,13,35392.00000000001,1966.2222222222226,0.42222222222222217,105.27777777777777
110,110,2012/02/05,1東京4,晴,11.0,東京新聞杯(G3),,16.0,6.0,11,27.9,10,16,横山典弘,58.0,芝1600,良,-4.0,1:35.6,2.8,84.0,9-8,35.1-34.2,36.0,496(+4),,,ガルボ,0.0,15,38498.299999999996,836.9195652173912,0.741304347826087,104.73913043478261
111,111,2013/04/21,3京都2,晴,11.0,読売マイラーズC(G2),,18.0,7.0,13,8.9,4,14,松岡正海,57,芝1600,良,-2.0,1:33.3,0.7,108.0,2-2,34.1-35.3,35.9,508(+4),,,グランプリボス,0.0,18,39732.8,749.6754716981133,0.5830188679245282,99.75471698113208
112,112,2011/06/05,3東京6,曇,11,安田記念(G1),,18,1,1,11.9,5,2,石橋脩,58.0,芝1600,良,-10,1:32.0,0.0,119,12-11,33.9-35.0,33.8,518(-2),,出遅れ,リアルインパクト,4109.2,1,31099.500000000004,1636.8157894736844,0.07894736842105264,104.42105263157895
113,113,2010/07/11,3阪神8,小雨,10,プロキオンS(G3),,16,5,9,37.3,8,16,川原正一,54.0,ダ1400,稍,-15.0,1:24.6,2.8,84.0,2-2,34.4-35.3,38.0,502(+6),,,ケイアイガーベラ,0.0,3,20115.100000000002,773.6576923076924,0.5730769230769232,99.57692307692308
114,114,2009/05/09,3京都5,晴,5,3歳500万下,,11,3,3,2.1,1,4,武豊,56.0,芝1600,稍,-6,1:36.1,0.3,78,7-7,36.2-34.6,34.0,508(-2),,出遅れ,ジャングルストーン,110.0,4,20484.599999999995,975.4571428571426,0.3333333333333333,101.95238095238095
