,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
120,120,2012/11/25,5東京8,晴,11.0,ジャパンC(G1),,17.0,7.0,13,5.4,2.0,3,ウィリア,57.0,芝2400,良,-12.0,2:23.5,0.4,113.0,13-11-13-15,35.8-34.7,32.7,506(-8),,アオル,ジェンティルドンナ,6351.0,3,54976.4,3054.2444444444445,0.09999999999999999,107.66666666666667
121,121,2011/11/27,5東京8,晴,10.0,ジャパンC(G1),,16.0,8.0,15,11.3,5.0,8,池添謙一,57.0,芝2400,良,-8.0,2:24.9,0.7,108.0,9-11-11-9,37.1-34.5,34.4,492(+2),,,ブエナビスタ,0.0,4,64661.00000000001,3079.0952380952385,0.35238095238095246,102.52380952380952
122,122,2012/08/25,3新潟5,晴,10.0,阿賀野川特別(1000万下),,11.0,2.0,2,3.6,2.0,6,内田博幸,53.0,芝2200,良,-8.0,2:14.0,0.8,87.0,11-10-5-5,37.5-34.2,34.4,490(+12),,出遅れ,トラストワン,0.0,5,11391.2,1139.1200000000001,0.31,88.0
123,123,2010/08/15,1札幌2,曇,11.0,支笏湖特別(1000万下),,11.0,3.0,3,2.5,1.0,4,ホワイト,54.0,芝2600,良,-11.0,2:40.4,0.8,101.0,5-5-5-2,36.1-36.0,36.3,506(0),,,ゴールデンハインド,220.0,6,33701.5,2246.766666666667,0.12000000000000001,107.6
124,124,2010/09/05,1札幌8,曇,4.0,2歳新馬,,11.0,8.0,11,1.4,1.0,1,横山典弘,54.0,芝1800,良,-5.0,1:50.8,0.0,79.0,3-2-2-2,37.2-36.0,35.9,494(0),,,(アドマイヤバートン),700.0,8,15277.900000000001,1273.1583333333335,0.13333333333333333,96.83333333333333
125,125,2012/06/24,3阪神8,晴,11.0,宝塚記念(G1),,16.0,5.0,9,27.5,9.0,9,石橋脩,58.0,芝2200,良,-2.0,2:13.7,2.8,99.0,3-3-3-2,34.3-35.3,38.1,516(+4),,,オルフェーヴル,0.0,9,31121.699999999997,972.5531249999999,0.8874999999999998,91.3125
126,126,2011/05/21,3東京1,晴,11.0,メイS(OP),,18.0,8.0,16,2.7,1.0,11,北村宏司,56.0,芝1800,良,-13.0,1:46.2,0.9,102.0,7-8-9,35.9-33.5,33.8,514(+10),,,ダンツホウテイ,0.0,10,21055.800000000003,779.8444444444445,0.362962962962963,101.92592592592592
127,127,2012/12/01,3中京1,晴,11.0,金鯱賞(G2),,12.0,6.0,8,6.3,3.0,10,吉田隼人,57.0,芝2000,良,-19.0,2:01.4,1.0,94.0,5-5-6-4,37.0-35.2,35.9,534(+6),,,オーシャンブルー,0.0,11,58290.899999999994,2010.0310344827585,0.45862068965517233,104.13793103448276
128,128,2012/06/03,3東京2,曇,11.0,安田記念(G1),,18.0,8.0,16,14.2,9.0,13,武豊,58.0,芝1600,良,-15.0,1:32.2,0.9,111.0,17-16,33.8-35.0,34.2,458(-8),,躓く,ストロングリターン,0.0,12,69466.8,3020.2956521739134,0.6000000000000002,103.47826086956522
129,129,2011/05/15,3京都8,晴,9.0,烏丸S(1600万下),,18.0,3.0,5,5.6,4.0,1,川田将雅,56.0,芝2400,良,-8.0,2:23.6,-0.4,110.0,8-8-8-5,33.9-35.3,34.5,488(+6),,,(トモロポケット),1812.0,13,23166.8,1158.34,0.475,98.75
130,130,2012/11/25,5東京8,晴,11.0,ジャパンC(G1),,17.0,5.0,9,207.8,17.0,14,浜中俊,57.0,芝2400,良,-12.0,2:24.9,1.8,102.0,7-6-6-7,35.8-34.7,34.5,484(0),,,ジェンティルドンナ,0.0,14,50386.299999999996,1866.159259259259,0.6222222222222222,102.51851851851852
131,131,2012/08/19,2札幌2,晴,11.0,札幌記念(G2),,14.0,6.0,10,261.7,14.0,12,横山和生,57.0,芝2000,良,-17.0,2:00.0,1.3,98.0,14-14-12-13,35.0-35.2,35.7,478(-6),,,フミノイマージン,0.0,15,39713.200000000004,902.5727272727273,0.8886363636363636,104.36363636363636
132,132,2011/06/26,4阪神4,晴,11.0,宝塚記念(G1),,16.0,7.0,14,10.1,4.0,13,福永祐一,58.0,芝2200,良,-13.0,2:11.8,1.7,103.0,10-9-8-5,33.6-35.2,36.2,526(+2),,,アーネストリー,0.0,16,44958.4,1873.2666666666667,0.8208333333333333,103.66666666666667
133,133,2009/12/13,5阪神4,曇,9.0,エリカ賞(500万下),,8.0,2.0,2,2.7,1,1,内田博幸,55.0,芝2000,良,0.0,2:05.3,0.0,65.0,6-6-5-4,38.2-34.7,34.4,492(+6),,,(ブルーミングアレー),1022.4,2,48074.6,3004.6625,0.23750000000000002,99.125
134,134,2010/03/27,2阪神1,晴,10.0,毎日杯(G3),,11.0,2.0,2,2.2,1.0,5,岩田康誠,56.0,芝1800,良,10.0,1:49.8,0.5,92.0,7-7,36.6-34.1,33.8,488(-2),,アオル,ダノンシャンティ,390.0,4,27229.800000000003,2269.15,0.025000000000000012,102.75
135,135,2009/02/08,1東京4,晴,11.0,共同通信杯(G3),,15.0,2.0,3,4.1,2.0,2,松岡正海,56.0,芝1800,良,4.0,1:47.6,0.3,107.0,2-3-3,35.6-34.9,34.4,472(+2),,,ブレイクランアウト,1615.8,5,57228.00000000001,3179.333333333334,0.11666666666666667,103.5
136,136,2010/12/04,5阪神1,晴,11.0,鳴尾記念(G3),,12.0,7.0,10,3.6,1,2,藤田伸二,55.0,芝1800,良,-9.0,1:45.0,0.1,114.0,8-7,35.1-34.8,33.5,474(0),,,ルーラーシップ,1614.2,6,35536.3,2369.086666666667,0.15333333333333338,102.93333333333334
137,137,2011/11/27,5東京8,晴,10.0,ジャパンC(G1),,16.0,1.0,2,3.4,2.0,1,岩田康誠,55.0,芝2400,良,-8.0,2:24.2,0.0,112.0,6-6-9-6,37.1-34.5,33.9,464(+2),,,(トーセンジョーダン),25344.4,7,138643.29999999996,6602.061904761903,-0.004761904761904763,108.52380952380952
138,138,2011/11/27,5東京8,晴,10.0,ジャパンC(G1),,16.0,4.0,8,10.9,4.0,13,Ｍデムー,57.0,芝2400,良,-8.0,2:25.8,1.6,102.0,16-16-15-14,37.1-34.5,35.0,508(0),,,ブエナビスタ,0.0,8,59595.4,4966.283333333334,0.08333333333333333,99.58333333333333
139,139,2010/06/27,3阪神4,晴,10.0,宝塚記念(G1),,17.0,1.0,2,6.4,3,3,佐藤哲三,58.0,芝2200,稍,6.0,2:13.2,0.2,111.0,2-2-2-2,34.8-36.5,36.6,526(-6),,,ナカヤマフェスタ,3356.4,10,57890.899999999994,2516.9956521739127,0.26956521739130435,104.6086956521739
140,140,2009/10/11,4京都2,晴,11.0,京都大賞典(G2),,14.0,5.0,8,2.8,1.0,4,石橋脩,57.0,芝2400,良,-13.0,2:24.7,0.4,108.0,9-9-8-9,34.6-37.1,34.8,478(+2),,,オウケンブルースリ,980.0,11,41837.9,1901.7227272727273,0.3727272727272728,105.0909090909091
141,141,2010/10/24,5京都6,小雨,11.0,菊花賞(G1),,18.0,5.0,10,2.1,1.0,2,武豊,57.0,芝3000,良,-7.0,3:06.3,0.2,104.0,13-13-10-10,36.5-35.6,33.9,464(+2),,,ビッグウィーク,5674.6,12,68566.8,4033.3411764705884,0.36470588235294116,103.23529411764706
142,142,2011/02/19,1東京7,晴,11.0,ダイヤモンドS(G3),,16.0,6.0,12,221.6,16,15,吉田豊,51.0,芝3400,良,-2.0,3:35.2,3.3,88.0,8-8-10-12,38.1-35.3,37.7,508(-10),,,コスモメドウ,0.0,13,19641.699999999997,491.0424999999999,0.9349999999999998,98.95
143,143,2009/12/26,5阪神7,晴,11.0,ラジオNIKKEI杯(G3),,15,2.0,3,1.6,1.0,1,武豊,55,芝2000,良,-2.0,2:01.3,0.0,96.0,10-10-8-8,36.3-34.8,34.2,518(+8),,,(コスモファントム),3258.8,1,53108.600000000006,5900.955555555556,-0.07777777777777778,97.11111111111111
144,144,2009/11/15,5京都4,晴,11.0,エリザベス女王杯(G1),,18,8.0,16,1.6,1.0,3,安藤勝己,54.0,芝2200,良,3.0,2:13.9,0.3,104.0,15-15-9-3,36.0-36.8,32.9,454(+4),,,クィーンスプマンテ,2355.8,2,102191.29999999999,6386.956249999999,-0.06874999999999999,106.75
145,145,2007/11/04,5東京2,晴,11.0,アルゼンチン共和国杯(G2),,18,2.0,3,4.8,1.0,8,北村宏司,57.5,芝2500,良,-8.0,2:31.5,0.6,111.0,17-17-17-13,29.8-35.2,35.0,476(+4),,,アドマイヤジュピタ,0.0,8,37002.0,1156.3125,0.6749999999999999,106.125
146,146,2010/02/07,1東京4,晴,11.0,共同通信杯(G3),,13,3.0,3,4.1,2.0,2,吉田豊,56,芝1800,良,1.0,1:48.2,0.0,98.0,10-9-7,36.2-34.2,33.5,472(+4),,出遅れ,ハンソデバンド,1613.8,9,16653.4,2775.566666666667,0.11666666666666668,99.0
147,147,2009/03/01,1阪神2,晴,9.0,すみれS(OP),,9,5.0,5,3.1,2.0,5,武豊,56.0,芝2200,良,13.0,2:18.0,0.4,88.0,7-7-5-4,36.4-35.1,35.2,476(-12),,,トップクリフォード,190.0,10,23767.9,1320.4388888888889,0.5444444444444444,98.16666666666667
148,148,2008/05/17,1新潟5,晴,6.0,3歳未勝利,,11,6.0,6,1.5,1.0,5,北村友一,55.0,芝2000,良,-5.0,2:02.8,0.3,80.0,8-10-9-9,36.0-36.2,35.8,502(-2),,膨れる,エイデンダンス,50.0,11,44012.49999999999,2934.166666666666,0.17999999999999997,104.0
149,149,2010/10/10,5京都2,晴,11.0,京都大賞典(G2),,10,2.0,2,3.5,2.0,1,池添謙一,56,芝2400,良,0.0,2:25.0,-0.1,113.0,6-6-6-5,34.1-36.8,34.9,504(+10),,,(オウケンブルースリ),6581.2,12,30460.2,923.0363636363636,0.45151515151515154,98.81818181818181
150,150,2010/04/04,2阪神4,晴,10.0,産経大阪杯(G2),,12,6.0,8,1.2,1.0,3,池添謙一,59,芝2000,良,-3.0,1:59.6,0.1,109.0,11-10-11-8,36.0-35.4,34.6,434(-4),,,テイエムアンコール,1612.6,13,84797.3,2924.044827586207,0.3344827586206897,108.86206896551724
151,151,2009/11/29,5東京8,曇,10.0,ジャパンC(G1),,18.0,3.0,6,9.6,6.0,3,四位洋文,53.0,芝2400,良,-8.0,2:22.6,0.2,122.0,9-10-11-11,35.2-35.1,34.7,478(-2),,,ウオッカ,6355.2,14,30998.600000000002,3444.2888888888892,0.17777777777777778,105.77777777777777
152,152,2010/05/02,3京都4,晴,10.0,天皇賞(春)(G1),,18,7.0,13,6.9,3.0,7,安藤勝己,58,芝3200,良,-11.0,3:17.4,1.7,100.0,18-18-18-16,37.2-34.2,34.6,452(0),,,ジャガーメイル,0.0,15,17608.199999999997,800.3727272727272,0.4136363636363637,92.63636363636364
153,153,2008/12/28,5中山8,晴,10,有馬記念(G1),,14,7,11,24.1,7,4,池添謙一,57,芝2500,良,-1,2:31.9,0.4,121,11-13-13-9,30.0-36.4,35.9,430(+10),,出脚鈍い,ダイワスカーレット,2700.0,1,76951.1,3206.2958333333336,0.325,108.875
154,154,2009/08/30,3新潟6,曇,11,新潟記念(G3),,18,8,16,7.5,3,4,後藤浩輝,58,芝2000,良,-2.0,1:59.7,0.1,97.0,15-16,36.6-33.5,32.7,492(-4),,,ホッコーパドゥシャ,650.0,3,46459.4,1720.7185185185185,0.3851851851851851,112.48148148148148
155,155,2007/08/26,1札幌6,晴,10,知床特別(500万下),,16,3,5,7.5,5,6,柴山雄一,57.0,芝2000,良,-5.0,2:02.3,0.7,100.0,7-7-7-9,35.7-35.2,35.3,492(+10),,,リファインドボディ,0.0,5,34077.2,1099.2645161290322,0.3999999999999999,105.45161290322581
156,156,2009/04/19,3中山8,晴,11,皐月賞(G1),,18,7,15,21.2,4,3,内田博幸,57,芝2000,良,-3,1:59.0,0.3,118,12-12-14-15,34.8-35.6,34.7,516(-10),,,アンライバルド,2906.8,6,18133.4,1813.3400000000001,0.49000000000000005,100.7
157,157,2009/11/01,4東京8,晴,11.0,天皇賞(秋)(G1),,18,7,13,33.2,8.0,17,蛯名正義,58,芝2000,良,-10.0,1:58.9,1.7,104.0,4-2-2,35.6-33.7,35.3,490(+4),,,カンパニー,0.0,7,64313.899999999994,2796.25652173913,0.391304347826087,108.91304347826087
