,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,ペース平均,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均
41,41,2020/05/31,2東京12,曇,11,東京優駿(G1),,18,8,16,179.7,16,16,北村友一,57,芝2400,良,-20,2:26.0,1.9,93,18-18-18-17,36.8-34.3,34.9,492(+2),,出遅れ,コントレイル,,9,,1113.8,0.58,88.2,0,,,35.3,0.4482758620689655,16.438356164383563,16.419885409441214,146.0,18.0,17.0,17.75,36.8,34.3,-1.8999999999999986,0.6000000000000014,2.5,36.120000000000005,35.46,9.25,-0.8199999999999988,-0.15999999999999942,0.6599999999999995,1.0,2.0,1.0,9.4,4.4,3.8,-0.6,10.115993936995679,0.5756638679723511,3,1.9,35.33333333333333,35.626666666666665,13.0,41.0,93.0
42,42,2020/07/05,2福島2,曇,11,ラジオNIKKEI賞(G3),,12,2,2,9.5,5,3,戸崎圭太,52,芝1800,稍,2,1:48.1,0.8,97,6-9-9-8,35.4-35.8,36.0,474(-2),,,バビット,956.2,10,,270.0,0.43750000000000006,89.25,0,,,35.75,0.8378378378378378,16.651248843663275,16.476561182524506,108.1,6.0,8.0,8.0,35.4,35.8,0.6000000000000014,0.20000000000000284,-0.3999999999999986,35.89999999999999,35.949999999999996,4.4375,-0.14999999999999858,-0.1999999999999975,-0.049999999999998934,5.0,3.0,-2.0,4.0,1.0,1.0,0.0,7.155417527999327,0.7002856560004639,3,0.8,35.73333333333333,35.86666666666666,17.0,37.0,89.25
43,43,2020/05/31,2東京12,曇,11,東京優駿(G1),,18,4,8,91.2,13,10,津村明秀,57,芝2400,良,-20,2:25.2,1.1,98,11-11-12-12,36.8-34.3,34.6,464(0),,,コントレイル,,11,,546.2166666666667,0.47857142857142854,93.14285714285714,0,,,34.92857142857143,0.64,16.528925619834713,16.47213962473706,145.2,11.0,12.0,11.5,36.8,34.3,-2.1999999999999957,0.30000000000000426,2.5,36.628571428571426,34.87142857142857,5.238095238095238,-1.6999999999999997,0.05714285714285897,1.7571428571428587,2.0,1.0,-1.0,5.142857142857143,0.14285714285714285,0.2857142857142857,0.14285714285714285,5.315072906367325,1.3674794331177351,3,1.1,35.233333333333334,35.476190476190474,18.0,92.0,96.25
44,44,2020/07/05,2福島2,曇,11.0,ラジオNIKKEI賞(G3),,12,8.0,11,15.8,7.0,2,三浦皇成,54,芝1800,稍,2.0,1:48.1,0.8,97.0,3-4-2-2,35.4-35.8,36.4,458(-4),,,バビット,1512.4,12,,251.42857142857142,0.42777777777777776,82.33333333333333,0,,,36.56666666666666,0.6615384615384615,16.651248843663275,16.302775659595145,108.1,3.0,2.0,2.75,35.4,35.8,1.0,0.6000000000000014,-0.3999999999999986,36.6,36.111111111111114,2.638888888888889,-0.033333333333333805,0.4555555555555557,0.48888888888888954,0.0,1.0,1.0,2.6666666666666665,-1.4444444444444444,-1.5555555555555556,-0.1111111111111111,14.604451376207187,1.6982638193166568,3,0.8,35.86666666666667,36.425925925925924,17.0,21.0,95.0
45,45,2020/08/08,1札幌5,晴,11,札幌日経OP(L),,14,3,3,20.5,7,4,古川吉洋,52,芝2600,良,-15,2:38.6,1.0,108,4-5-5-5,36.7-36.1,36.3,460(+2),,,ポンデザール,390.0,13,,,0.4599999999999999,54.333333333333336,0,,,38.93333333333333,0.0,16.393442622950822,15.684440104094081,158.6,4.0,5.0,4.75,36.7,36.1,-0.4000000000000057,0.19999999999999574,0.6000000000000014,4.926666666666667,39.03999999999999,4.266666666666667,34.00666666666667,-0.10666666666666628,-34.11333333333333,1.0,0.0,-1.0,3.8,0.6,1.4666666666666666,0.8666666666666667,21.719806628973473,2.0096252760154063,3,1.0,36.36666666666667,27.633333333333333,28.0,-385.0,76.5
46,46,2020/09/08,佐賀,晴,7,JRA交流霧島賞(G),,11,2,2,3.7,3,2,小崎綾也,56,ダ1400,重,15,1:29.0,0.0,82,8-8-7-5,0.0-38.3,37.5,459(-9),,,テイエムノサッタ,240.0,14,,270.0,0.9049999999999999,76.2,0,,,36.519999999999996,0.5652173913043478,15.730337078651685,16.445129210261165,89.0,8.0,5.0,7.0,0.0,38.3,37.5,-0.7999999999999972,-38.3,27.939999999999998,36.410000000000004,5.925,8.58,0.10999999999999943,-8.469999999999999,3.0,6.0,3.0,5.6,0.5,1.2,0.7,14.10527127303656,1.9001522340056587,3,0.0,25.266666666666666,33.623333333333335,2.0,-38.0,89.75
47,47,2020/05/31,3京都12,曇,11,白百合S(L),,8,6,6,6.5,6,4,藤岡康太,56,芝1800,良,-2,1:49.1,0.2,91,8-8,36.7-34.4,33.8,470(+8),,,ヒュッゲ,300.0,15,,429.76000000000005,0.41000000000000003,82.6,0,,,34.910000000000004,0.7377049180327869,16.498625114573787,16.35442396450808,109.1,8.0,8.0,8.0,36.7,34.4,-2.9000000000000057,-0.6000000000000014,2.3000000000000043,36.68,35.14,7.325,-1.7700000000000002,-0.2299999999999997,1.5400000000000005,4.0,4.0,0.0,6.6,2.7,3.9,1.2,9.307421725351963,0.9630358334604837,3,0.2,34.96666666666666,35.57666666666667,11.0,26.0,91.75
48,48,2020/05/09,3京都5,曇,11,京都新聞杯(G2),,13,7,10,6.0,2,3,川田将雅,56,芝2200,良,-14,2:12.0,0.3,97,8-7-4-4,34.5-36.2,36.0,444(-6),,アオル,ディープボンド,1413.8,16,,910.3666666666667,0.17500000000000002,87.16666666666667,0,,,35.583333333333336,0.9,16.666666666666668,16.412117028461534,132.0,8.0,4.0,5.75,34.5,36.2,1.5,-0.20000000000000284,-1.7000000000000028,36.38333333333333,35.699999999999996,4.5,-0.8000000000000007,-0.11666666666666596,0.6833333333333348,1.0,5.0,4.0,3.3333333333333335,1.1666666666666667,3.6666666666666665,2.5,8.642561978430956,0.9499731467740732,3,0.3,35.56666666666667,35.888888888888886,17.0,43.0,92.25
49,49,2019/11/30,5中山1,晴,9,葉牡丹賞(1勝クラス),,12,4,4,4.2,2,1,藤岡佑介,55,芝2000,良,-13,1:58.9,-0.2,107,2-2-2-1,35.7-36.1,36.0,502(+2),,,(エヴァーガーデン),1025.9,17,,1025.9,-0.175,93.0,0,,,35.1,1.0,16.82085786375105,16.614622186205516,118.9,2.0,1.0,1.75,35.7,36.1,0.29999999999999716,-0.10000000000000142,-0.3999999999999986,36.35,35.150000000000006,1.375,-1.25,-0.05000000000000071,1.1999999999999993,0.0,1.0,1.0,1.0,0.0,0.5,0.5,16.418147141366333,2.6042699979499466,3,-0.1,35.93333333333333,35.53333333333333,27.0,26.0,93.0
50,50,2020/05/31,2東京12,曇,11.0,東京優駿(G1),,18,7.0,14,87.7,11,9,横山典弘,57,芝2400,良,-20.0,2:25.2,1.1,98.0,17-14-1-1,36.8-34.3,35.4,500(-4),,,コントレイル,,18,,1007.875,0.45,88.0,0,,,34.93333333333333,0.6078431372549019,16.528925619834713,16.38472752277825,145.2,17.0,1.0,8.25,36.8,34.3,-1.3999999999999986,1.1000000000000014,2.5,36.96666666666667,34.81666666666666,6.9444444444444455,-2.0333333333333337,0.11666666666666714,2.150000000000001,-8.0,8.0,16.0,5.166666666666667,0.3333333333333333,4.0,3.6666666666666665,15.117228986983626,2.394892524536673,3,1.1,35.49999999999999,35.57222222222222,18.0,48.0,94.25
