,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,着差_調整,ペース平均,上がりハロン平均,ﾀｲﾑ指数_調整,ﾀｲﾑ指数_調整_合計,ﾀｲﾑ指数3平均
10,10,2022/04/24,2阪神10,小雨,5,3歳未勝利,,16,5,9,7.0,3,1,坂井瑠星,56,芝2000,稍,-8,2:00.9,-1.0,92,2-2-2-2,36.4-35.2,35.1,500(-2),,,(ウォーターレクラ),520.0,11,,520.0,0.35,80.5,0,,,37.875,1.0,16.542597187758478,15.78390406138295,120.9,2.0,2.0,2.0,36.4,35.2,-1.2999999999999972,-0.10000000000000142,1.1999999999999957,38.025,37.475,2.6875,-0.15000000000000036,0.3999999999999986,0.5499999999999989,1.0,1.0,0.0,2.0,-0.5,0.75,1.25,6.11228271597445,1.5126136320951218,3,-0.5,35.56666666666667,37.79166666666667,12.0,2.0,80.5
11,11,2022/02/26,1阪神5,晴,10,すみれS(L),,8,4,4,6.0,5,1,福永祐一,56,芝2200,良,-10,2:12.9,-0.1,100,2-2-2-2,35.9-34.4,34.4,502(-6),,,(レヴァンジル),2016.8,12,,977.8000000000001,0.15000000000000002,84.0,0,,,34.88333333333333,0.84,16.55379984951091,16.367492030627243,132.9,2.0,2.0,2.0,35.9,34.4,-1.5,0.0,1.5,37.21666666666666,34.949999999999996,3.375,-2.333333333333332,-0.06666666666666643,2.2666666666666657,1.0,1.0,0.0,3.6666666666666665,1.5,1.1666666666666667,-0.3333333333333333,12.055991820481225,1.6832912367606212,3,-0.05,34.9,35.68333333333333,20.0,24.0,89.0
12,12,2021/05/30,2東京12,晴,11.0,東京優駿(G1),,17,6.0,11,40.2,9,3,吉田隼人,57.0,芝2400,良,-24.0,2:22.7,0.2,107.0,13-14-13-12,35.0-33.9,33.4,488(-12),,,シャフリヤール,5388.4,1,,4283.0,0.17500000000000002,97.66666666666667,0,,,34.949999999999996,0.8709677419354839,16.818500350385424,16.660468423751002,142.7,13.0,12.0,13.0,35.0,33.9,-1.6000000000000014,-0.5,1.1000000000000014,35.61666666666667,35.583333333333336,8.069444444444445,-0.6666666666666666,-0.6333333333333329,0.033333333333333805,9.0,10.0,1.0,7.5,5.0,6.166666666666667,1.1666666666666667,10.433462649434409,1.4008743625292874,3,0.2,34.1,35.38333333333333,27.0,106.0,103.5
13,13,2021/05/30,2東京12,晴,11.0,東京優駿(G1),,17,2.0,4,57.0,13,11,横山典弘,57.0,芝2400,良,-24.0,2:23.6,1.1,101.0,17-17-17-17,35.0-33.9,33.7,490(+2),,,シャフリヤール,,2,,1339.98,0.36250000000000004,90.0,0,,,35.025,0.7166666666666667,16.71309192200557,16.557784944174934,143.6,17.0,17.0,17.0,35.0,33.9,-1.2999999999999972,-0.19999999999999574,1.1000000000000014,35.9875,35.3125,8.4375,-0.9625000000000004,-0.28749999999999964,0.6750000000000007,6.0,6.0,0.0,7.375,3.625,5.25,1.625,12.287703378621558,0.9930623542890806,3,1.1,34.199999999999996,35.44166666666666,21.0,80.0,97.75
14,14,2021/08/28,2札幌5,晴,9.0,ルスツ特別(1勝クラス),,14,3.0,3,3.7,2,1,池添謙一,54.0,芝2600,良,-12.0,2:41.1,-0.3,95.0,7-5-4-1,36.6-37.8,37.5,478(-4),,,(タイミングハート),1095.7,3,,241.08571428571426,0.305,86.1,0,,,35.54,0.7887323943661971,16.139044072004967,16.296169283259026,161.1,7.0,1.0,4.25,36.6,37.8,0.8999999999999986,-0.29999999999999716,-1.1999999999999957,36.55,35.61999999999999,5.55,-1.010000000000001,-0.07999999999999971,0.9300000000000012,0.0,6.0,6.0,5.0,2.1,3.1,1.0,9.296760299486898,1.1300552169643874,3,-0.15,37.300000000000004,35.903333333333336,15.0,61.0,93.25
15,15,2021/05/30,2東京12,晴,11.0,東京優駿(G1),,17,5.0,10,11.7,4,1,福永祐一,57.0,芝2400,良,-24.0,2:22.5,0.0,109.0,7-7-11-9,35.0-33.9,33.4,444(-4),,,(エフフォーリア),22718.8,4,,22718.8,0.1,100.25,0,,,33.875,1.0,16.842105263157894,16.80291204983825,142.5,7.0,9.0,8.5,35.0,33.9,-1.6000000000000014,-0.5,1.1000000000000014,35.775000000000006,34.275,6.291666666666667,-1.9000000000000004,-0.3999999999999986,1.5000000000000018,8.0,6.0,-2.0,6.25,4.75,4.5,-0.25,9.951884243699784,1.1805083650698975,3,0.0,34.1,34.641666666666666,29.0,81.0,100.25
16,16,2021/05/01,2東京3,小雨,11.0,テレビ東京杯青葉賞(G2),,18,5.0,10,3.3,1,2,ルメール,56.0,芝2400,良,-15.0,2:25.2,0.0,99.0,11-10-8-7,35.2-34.8,34.2,496(0),,,ワンダフルタウン,2236.4,5,,2236.4,0.3,86.4,0,,,34.82,0.9411764705882353,16.528925619834713,16.364059413109793,145.2,11.0,7.0,9.0,35.2,34.8,-1.0,-0.5999999999999943,0.4000000000000057,36.72,35.14,6.683333333333333,-1.9,-0.31999999999999884,1.5800000000000012,5.0,9.0,4.0,6.4,3.8,4.6,0.8,11.407843305765068,1.6980380835933377,3,0.0,34.733333333333334,35.559999999999995,19.0,32.0,90.5
17,17,2021/08/22,4新潟4,晴,10.0,阿賀野川特別(2勝クラス),,12,3.0,3,5.2,3,5,西村淳也,54.0,芝2200,稍,-4.0,2:14.2,0.4,85.0,5-5-5-5,35.8-37.0,36.9,476(+8),,,モクレレ,150.0,6,,306.5571428571429,0.51875,83.0,0,,,35.675000000000004,0.7777777777777778,16.393442622950822,16.223091574009732,134.2,5.0,5.0,5.0,35.8,37.0,1.1000000000000014,-0.10000000000000142,-1.2000000000000028,36.375,35.725,5.875,-0.6999999999999993,-0.05000000000000071,0.6499999999999986,0.0,0.0,0.0,5.875,2.125,2.25,0.125,7.617394000445604,0.8139220698583309,3,0.4,36.56666666666667,35.925,5.0,24.0,88.0
18,18,2021/05/30,3中京8,晴,11.0,白百合S(L),,8,6.0,6,5.2,2,1,鮫島克駿,56.0,芝2000,良,-12.0,1:59.6,-0.6,97.0,7-7-5-4,35.9-35.7,35.4,518(-2),,出遅れ,(アナゴサン),2020.3,7,,646.0600000000001,0.325,83.5,0,,,36.67499999999999,0.8979591836734694,16.722408026755854,16.280741615208207,119.6,7.0,4.0,5.75,35.9,35.7,-0.5,-0.30000000000000426,0.19999999999999574,35.925000000000004,36.5375,3.3125,0.7500000000000009,0.13750000000000018,-0.6125000000000007,3.0,6.0,3.0,2.75,0.125,0.875,0.75,10.060311950591288,0.9298878201292299,3,-0.3,35.666666666666664,36.37916666666666,17.0,28.0,91.25
19,19,2021/05/30,2東京12,晴,11.0,東京優駿(G1),,17,6.0,12,16.2,5,10,和田竜二,57.0,芝2400,良,-24.0,2:23.3,0.8,102.0,10-8-6-5,35.0-33.9,34.4,470(+4),,,シャフリヤール,,8,,2954.3666666666663,0.13333333333333333,93.66666666666667,0,,,34.43333333333334,0.7857142857142857,16.74808094905792,16.631733283777795,143.3,10.0,5.0,7.25,35.0,33.9,-0.6000000000000014,0.5,1.1000000000000014,35.53333333333333,34.666666666666664,6.458333333333333,-1.1000000000000003,-0.23333333333333192,0.8666666666666684,-5.0,0.0,5.0,5.5,2.5,4.333333333333333,1.8333333333333333,4.948716593053936,1.1183077594731958,3,0.8,34.43333333333333,34.87777777777777,22.0,82.0,96.0
20,20,2021/09/05,2札幌8,晴,8.0,3歳以上1勝クラス,,14,7.0,12,13.7,7,11,古川吉洋,54.0,芝1800,稍,7.0,1:51.9,0.6,81.0,13-13-12-10,37.4-36.5,36.1,500(-2),,出遅れ,ペドラフォルカ,,9,,143.0,1.2722222222222221,76.88888888888889,0,,,37.08888888888888,0.5714285714285714,16.0857908847185,16.11562380826234,111.9,13.0,10.0,12.0,37.4,36.5,-1.2999999999999972,-0.3999999999999986,0.8999999999999986,36.41111111111112,36.18888888888889,4.583333333333333,0.6777777777777779,0.8999999999999994,0.22222222222222143,-1.0,2.0,3.0,4.0,-2.111111111111111,-1.0,1.1111111111111112,10.354226190305097,1.973550100706845,3,0.6,36.666666666666664,36.56296296296296,1.0,-28.0,78.5
21,21,2021/09/04,4新潟7,曇,10.0,赤倉特別(2勝クラス),,13,7.0,11,12.4,5,12,石橋脩,53.0,芝2000,稍,8.0,2:02.9,1.2,79.0,2-2,36.7-35.3,36.2,492(+4),,,フェアリーグルーヴ,,10,,380.0,0.8555555555555556,75.0,0,,,37.63333333333333,0.42105263157894735,16.273393002441008,16.256129054330845,122.9,2.0,2.0,2.0,36.7,35.3,-0.5,0.9000000000000057,1.4000000000000057,35.37777777777777,37.388888888888886,5.916666666666667,2.255555555555557,0.24444444444444635,-2.0111111111111106,-10.0,-10.0,0.0,5.111111111111111,-0.4444444444444444,1.0,1.4444444444444444,7.507329751649384,1.6489087300393552,3,1.2,36.06666666666667,36.79999999999999,-1.0,-45.0,77.25
22,22,2021/03/13,1阪神9,晴,9,ゆきやなぎ賞(1勝クラス),,11,7,9,2.8,1,1,川田将雅,56.0,芝2400,稍,-2,2:27.9,-0.7,96,11-11-3-3,37.2-36.2,36.0,488(0),,出遅れ,(リーブルミノル),1033.1,1,,404.3666666666666,0.30833333333333335,85.83333333333333,0,,,35.199999999999996,0.7941176470588235,16.227180527383368,16.496815824744512,147.9,11.0,3.0,7.0,37.2,36.2,-1.2000000000000028,-0.20000000000000284,1.0,36.3,35.416666666666664,7.208333333333333,-1.1000000000000003,-0.2166666666666662,0.8833333333333341,2.0,10.0,8.0,6.166666666666667,3.1666666666666665,4.833333333333333,1.6666666666666667,11.733433827646326,0.9402561526802474,3,-0.35,36.46666666666667,35.638888888888886,16.0,35.0,93.25
23,23,2021/03/27,2阪神1,晴,11,毎日杯(G3),,9,4,4,5.4,3,4,福永祐一,56.0,芝1800,良,-16,1:44.4,0.5,108,2-2,34.5-34.4,34.8,500(0),,,シャフリヤール,570.0,2,,310.0,0.18333333333333335,91.66666666666667,0,,,35.53333333333333,0.85,17.241379310344826,16.604896937731112,104.4,2.0,2.0,2.0,34.5,34.4,0.29999999999999716,0.3999999999999986,0.10000000000000142,36.166666666666664,35.46666666666667,3.5,-0.6333333333333352,0.06666666666666525,0.7000000000000005,-2.0,-2.0,0.0,3.0,0.0,1.0,1.0,11.280514172678478,0.5385164807134522,3,0.5,34.56666666666666,35.72222222222222,28.0,35.0,91.66666666666667
24,24,2021/03/28,2中京6,雨,9,大寒桜賞(1勝クラス),,14,8,14,3.4,1,1,松山弘平,56.0,芝2200,重,11,2:15.6,-0.2,95,7-7-7-6,34.7-37.2,36.6,484(0),,,(グレアリングアイ),1040.1,3,,507.40000000000003,0.44375,84.25,0,,,35.4625,0.8032786885245902,16.224188790560472,16.297870796377214,135.6,7.0,6.0,6.75,34.7,37.2,1.8999999999999986,-0.6000000000000014,-2.5,36.6625,35.6,6.6875,-1.200000000000001,-0.13750000000000018,1.0625000000000009,5.0,6.0,1.0,5.75,2.25,3.75,1.5,8.586524038382958,0.8220720583597293,3,-0.1,36.16666666666667,35.90833333333333,15.0,34.0,88.5
25,25,2021/03/20,1阪神11,曇,11,若葉S(L),,10,7,7,54.3,8,8,高倉稜,56.0,芝2000,良,-16,2:00.8,1.3,86,6-6-8-8,36.3-34.0,34.5,478(-6),,,アドマイヤハダル,,4,,172.75,1.25,76.6,0,,,36.28,0.7291666666666666,16.55629139072848,16.192640753879143,120.8,6.0,8.0,7.0,36.3,34.0,-1.7999999999999972,0.5,2.299999999999997,36.48,35.94,10.8,-0.19999999999999857,0.3400000000000006,0.5399999999999991,0.0,-2.0,-2.0,11.0,5.8,5.2,-0.6,17.084756038319334,1.992276754536544,3,1.3,34.93333333333333,36.233333333333334,6.0,-17.0,84.75
26,26,2021/04/10,1新潟1,晴,10.0,ひめさゆり賞(1勝クラス),,7,6.0,6,2.8,1,1,西村淳也,56.0,芝2000,良,-3.0,1:59.5,0.0,98.0,5-3,36.1-34.4,34.1,464(-2),,,(アリーヴォ),1026.1,5,,447.32,0.5444444444444445,86.11111111111111,0,,,35.43333333333334,0.7777777777777778,16.736401673640167,16.284003207371526,119.5,5.0,3.0,4.0,36.1,34.4,-2.0,-0.29999999999999716,1.7000000000000028,36.48888888888888,35.599999999999994,5.796296296296296,-1.0555555555555556,-0.16666666666666588,0.8888888888888897,2.0,4.0,2.0,5.777777777777778,2.0,2.2222222222222223,0.2222222222222222,9.295697929687691,1.7435882541471774,3,0.0,34.86666666666667,35.84074074074074,18.0,55.0,88.0
27,27,2021/04/04,2阪神4,小雨,5,3歳1勝クラス,,16,7,13,168.9,14,5,菱田裕二,56.0,芝1600,良,-12,1:33.7,0.2,99,15-15,35.0-35.0,33.8,436(+6),,出遅れ,ジュンブルースカイ,73.0,6,,93.33333333333333,0.4785714285714286,85.42857142857143,0,,,35.08571428571429,0.5384615384615384,17.075773745997864,16.496761071885604,93.7,15.0,15.0,15.0,35.0,35.0,-1.2000000000000028,-1.2000000000000028,0.0,36.75714285714286,35.214285714285715,6.714285714285714,-1.6714285714285728,-0.12857142857142836,1.5428571428571445,10.0,10.0,0.0,6.0,0.2857142857142857,1.8571428571428572,1.5714285714285714,8.077747210701755,0.9655794892187797,3,0.2,34.6,35.68571428571429,19.0,38.0,89.0
28,28,2021/04/17,2阪神7,雨,11,アーリントンC(G3),,18,4,7,142.6,16,16,斎藤新,56.0,芝1600,重,11,1:36.2,2.0,91,13-13,34.7-35.0,35.9,492(-2),,,ホウオウアマゾン,,7,,130.16666666666666,0.63,83.6,0,,,35.58,0.7916666666666666,16.632016632016633,16.431140867833527,96.2,13.0,13.0,13.0,34.7,35.0,1.1999999999999957,0.8999999999999986,-0.29999999999999716,35.900000000000006,35.459999999999994,6.1416666666666675,-0.31999999999999956,0.120000000000001,0.44000000000000056,-3.0,-3.0,0.0,6.0,1.3,1.5,0.2,7.749166844045849,1.3018105637156474,3,2.0,35.2,35.64666666666666,11.0,36.0,88.5
29,29,2021/03/28,2中京6,雨,9,大寒桜賞(1勝クラス),,14,2,2,11.1,6,3,藤岡佑介,56.0,芝2200,重,11,2:15.8,0.2,94,11-12-12-11,34.7-37.2,36.3,494(-6),,出遅れ,マカオンドール,254.3,8,,223.575,0.35,83.5,0,,,35.775,0.7647058823529411,16.200294550810014,16.170696146464465,135.8,11.0,11.0,11.5,34.7,37.2,1.5999999999999943,-0.9000000000000057,-2.5,36.325,36.1,7.5,-0.5500000000000025,-0.32500000000000107,0.22500000000000142,8.0,8.0,0.0,7.0,3.0,3.0,0.0,9.765244492586962,0.986711710683521,3,0.2,36.06666666666667,36.06666666666667,14.0,14.0,83.5
30,30,2021/03/21,1阪神12,雨,5,3歳未勝利,,10,8,9,3.1,2,1,福永祐一,56.0,芝2400,重,14,2:32.3,-0.1,81,2-2-2-2,37.8-35.4,35.3,510(0),,,(フォルテデイマルミ),510.0,9,,510.0,-0.05,81.0,0,,,35.3,1.0,15.758371634931056,15.758371634931056,152.3,2.0,2.0,2.0,37.8,35.4,-2.5,-0.10000000000000142,2.3999999999999986,37.8,35.4,2.0,-2.5,-0.10000000000000142,2.3999999999999986,1.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,1.3000000000000007,3,-0.05,36.166666666666664,36.166666666666664,1.0,1.0,81.0
