,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,予想タイム差,着差平均_condision,勝率_condision,上り差平均,着差平均_speed,勝率_speed,種牡馬成績,母父成績,相手勝率,相手着差
106,106,2023/02/18,1阪神3,曇,8,3歳1勝クラス,,16,4,8,3.8,2,5,川田将雅,56,ダ1800,良,**,1:54.7,0.5,**,8-8-6-5,36.5-38.7,38.4,482(-2),,,オーロイプラータ,78.0,5,-0.10000000000001208,0.93,0.8360655737704918,0.7527200000000022,0.93,0.8360655737704918,,,0.7058823529411765,1.1
107,107,2023/02/18,1阪神3,曇,8,3歳1勝クラス,,16,2,4,63.6,13,6,福永祐一,56,ダ1800,良,**,1:55.0,0.8,**,13-12-12-10,36.5-38.7,38.2,474(+2),,,オーロイプラータ,,6,2.55,0.47500000000000003,0.8,0.19319999999999737,0.47500000000000003,0.8,,,0.5827338129496403,1.69
108,108,2023/02/18,1阪神3,曇,8,3歳1勝クラス,,16,8,15,6.8,3,7,吉田隼人,56,ダ1800,良,**,1:55.0,0.8,**,11-9-8-8,36.5-38.7,38.5,526(-8),,,オーロイプラータ,,7,1.0666666666666669,0.75,0.5769230769230769,1.3110666666666688,0.75,0.5769230769230769,,,0.7058823529411765,1.1
109,109,2023/02/18,1阪神3,曇,8,3歳1勝クラス,,16,5,10,43.2,11,8,岩田康誠,56,ダ1800,良,**,1:55.1,0.9,**,14-14-15-16,36.5-38.7,38.0,496(-2),,,オーロイプラータ,,8,2.466666666666667,0.7000000000000001,0.75,0.2444000000000012,0.7000000000000001,0.75,,,0.46226415094339623,2.388888888888889
110,110,2023/02/18,1阪神3,曇,8,3歳1勝クラス,,16,2,3,18.4,7,9,ムルザバ,56,ダ1800,良,**,1:55.4,1.2,**,15-14-12-13,36.5-38.7,38.5,562(+10),,,オーロイプラータ,,9,1.4500000000000004,0.825,0.5909090909090909,0.08940000000000126,0.825,0.5909090909090909,,,0.272,2.372727272727273
111,111,2023/02/18,1阪神3,曇,8,3歳1勝クラス,,16,4,7,110.5,15,10,古川奈穂,52,ダ1800,良,**,1:55.4,1.2,**,6-6-8-13,36.5-38.7,38.7,410(+6),,,オーロイプラータ,,10,2.299999999999999,-0.1,1.0,-0.4299999999999997,-0.1,1.0,,,0.34523809523809523,2.7214285714285715
112,112,2023/02/18,1阪神3,曇,8,3歳1勝クラス,,16,6,12,25.9,9,11,坂井瑠星,54,ダ1800,良,**,1:56.0,1.8,**,3-3-3-4,36.5-38.7,40.0,490(-2),,,オーロイプラータ,,11,0.9999999999999994,-0.05,1.0,0.3932000000000002,-0.05,1.0,,,0.6470588235294118,1.25
113,113,2023/02/18,1阪神3,曇,8,3歳1勝クラス,,16,3,6,19.9,8,12,横山典弘,54,ダ1800,良,**,1:56.2,2.0,**,4-3-5-5,36.5-38.7,40.0,502(+4),,,オーロイプラータ,,12,0.7999999999999995,-0.15,1.0,1.0700000000000003,-0.15,1.0,,,0.3881578947368421,2.6749999999999994
114,114,2023/02/18,1阪神3,曇,8,3歳1勝クラス,,16,1,1,27.4,10,14,Ｍ．デム,56,ダ1800,良,**,1:56.3,2.1,**,12-12-12-8,36.5-38.7,39.5,476(+2),,,オーロイプラータ,,14,3.1000000000000014,1.0,0.7619047619047619,-0.5388000000000019,1.0,0.7619047619047619,,,0.22093023255813954,2.042857142857143
115,115,2023/02/18,1阪神3,曇,8,3歳1勝クラス,,16,3,5,63.5,12,15,永島まな,52,ダ1800,良,**,1:56.3,2.1,**,6-6-6-5,36.5-38.7,40.0,490(-2),,,オーロイプラータ,,15,0.9199999999999997,1.45,0.5675675675675675,-0.8560800000000001,0.38333333333333336,0.7083333333333334,,,0.3835616438356164,1.3333333333333337
116,116,2023/02/18,1阪神3,曇,8,3歳1勝クラス,,16,5,9,3.0,1,16,岩田望来,56,ダ1800,良,**,1:56.4,2.2,**,9-9-10-10,36.5-38.7,39.7,512(0),,,オーロイプラータ,,16,0.8499999999999988,0.8833333333333334,0.7878787878787878,0.735066666666666,0.8833333333333334,0.7878787878787878,,,0.5602836879432624,1.4363636363636365
117,117,2023/02/11,1阪神1,晴,7,4歳以上1勝クラス,,8,3,3,3.3,2,1,角田大河,55,ダ1800,良,**,1:53.9,0.0,**,1-1-1-1,37.6-39.0,39.0,546(+16),,,(インテンスフレイム),800.0,1,0.39999999999999636,1.4136363636363636,0.532258064516129,-0.36170909090909215,1.25,0.5,,,0.6062992125984252,1.040909090909091
118,118,2023/02/11,1阪神1,晴,7,4歳以上1勝クラス,,8,8,8,3.6,3,2,岩田望来,58,ダ1800,良,**,1:53.9,0.0,**,3-3-3-3,37.6-39.0,38.3,524(-4),,,パトリオットラン,320.0,2,-0.009770114942527997,0.8533333333333332,0.7080745341614907,0.1545400000000022,0.7391304347826084,0.7536231884057971,,,0.5701754385964912,0.8555555555555555
119,119,2023/02/11,1阪神1,晴,7,4歳以上1勝クラス,,8,6,6,4.7,4,3,鮫島克駿,55,ダ1800,良,**,1:54.3,0.4,**,2-2-2-2,37.6-39.0,38.8,442(-6),,,パトリオットラン,200.0,3,0.08333333333334414,0.8928571428571429,0.5783132530120482,0.4995428571428572,0.8928571428571429,0.5783132530120482,,,0.494949494949495,1.6749999999999998
120,120,2023/02/11,1阪神1,晴,7,4歳以上1勝クラス,,8,5,5,2.5,1,4,福永祐一,57,ダ1800,良,**,1:54.6,0.7,**,4-3-3-4,37.6-39.0,38.9,526(+8),,,パトリオットラン,120.0,4,0.27999999999999775,0.8833333333333333,0.6231884057971014,0.1884666666666656,0.8833333333333333,0.6231884057971014,,,0.5631067961165048,1.1388888888888888
121,121,2023/02/11,1阪神1,晴,7,4歳以上1勝クラス,,8,1,1,131.3,8,5,川須栄彦,58,ダ1800,良,**,1:55.8,1.9,**,6-6-6-6,37.6-39.0,39.3,502(-2),,,パトリオットラン,80.0,5,2.5977973568281953,2.3363636363636364,0.4126984126984127,-1.1343333333333316,1.1766666666666665,0.5260115606936416,,,0.5,1.2249999999999999
122,122,2023/02/11,1阪神1,晴,7,4歳以上1勝クラス,,8,2,2,32.9,5,6,和田竜二,57,ダ1800,良,**,1:56.0,2.1,**,5-5-5-5,37.6-39.0,39.7,468(-2),,,パトリオットラン,,6,0.7754716981132077,1.5499999999999998,0.56,-0.5676799999999986,1.2571428571428573,0.5980392156862745,,,0.5333333333333333,1.0318181818181817
123,123,2023/02/11,1阪神1,晴,7,4歳以上1勝クラス,,8,7,7,51.2,6,7,ムルザバ,58,ダ1800,良,**,1:57.5,3.6,**,6-6-7-7,37.6-39.0,40.6,514(+12),,,パトリオットラン,,7,4.799999999999983,3.85,0.08,-2.6439999999999984,0.395,0.8,,,0.6060606060606061,1.7111111111111112
124,124,2022/12/28,6阪神9,晴,6,2歳1勝クラス,,11,6,7,1.5,1,1,川田将雅,55,ダ1800,良,**,1:53.9,-0.5,**,3-3-3-3,37.3-37.6,37.4,520(-2),,,(メイクザビート),750.0,1,-0.5,-0.025000000000000022,0.9444444444444444,1.0479999999999983,-0.025000000000000022,0.9444444444444444,,,0.578125,1.5363636363636362
125,125,2022/12/28,6阪神9,晴,6,2歳1勝クラス,,11,4,4,10.8,3,2,和田竜二,55,ダ1800,良,**,1:54.4,0.5,**,2-2-2-2,37.3-37.6,38.0,494(+2),,,ユティタム,300.0,2,0.19999999999999973,0.375,0.9629629629629629,-0.1433999999999962,0.375,0.9629629629629629,,,0.46994535519125685,2.115384615384615
126,126,2022/12/28,6阪神9,晴,6,2歳1勝クラス,,11,7,8,3.7,2,3,藤岡康太,55,ダ1800,良,**,1:54.6,0.7,**,4-4-5-4,37.3-37.6,37.9,494(+10),,,ユティタム,190.0,3,0.09999999999999998,-0.35,1.0,1.6931999999999974,-0.35,1.0,,,0.5403225806451613,1.6
127,127,2022/12/28,6阪神9,晴,6,2歳1勝クラス,,11,2,2,17.4,4,4,岩田望来,55,ダ1800,良,**,1:54.8,0.9,**,4-4-3-4,37.3-37.6,38.3,496(+2),,,ユティタム,110.0,4,0.6333333333333334,0.35000000000000003,0.8235294117647058,0.9906666666666695,0.35000000000000003,0.8235294117647058,,,0.272,2.372727272727273
128,128,2022/12/28,6阪神9,晴,6,2歳1勝クラス,,11,6,6,22.2,6,5,幸英明,55,ダ1800,良,**,1:54.8,0.9,**,11-11-11-11,37.3-37.6,37.2,534(+2),,,ユティタム,75.0,5,1.5,1.2750000000000001,0.7368421052631579,0.18159999999999954,1.9166666666666667,0.5357142857142857,,,0.5462184873949579,1.6444444444444448
129,129,2022/12/28,6阪神9,晴,6,2歳1勝クラス,,11,1,1,133.1,10,6,菱田裕二,55,ダ1800,良,**,1:55.3,1.4,**,9-9-10-9,37.3-37.6,38.1,482(-14),,,ユティタム,,6,-0.3000000000000078,1.25,0.7777777777777778,-0.24980000000000402,1.25,0.7777777777777778,,,0.45320197044334976,2.35
130,130,2022/12/28,6阪神9,晴,6,2歳1勝クラス,,11,5,5,78.4,9,7,鮫島克駿,54,ダ1800,良,**,1:55.4,1.5,**,9-9-8-7,37.3-37.6,38.4,470(-6),,,ユティタム,,7,0.9000000000000006,-0.05,1.0,0.8854000000000006,0.425,0.8125,,,0.4,1.5833333333333337
131,131,2022/12/28,6阪神9,晴,6,2歳1勝クラス,,11,8,11,77.9,8,8,西村淳也,55,ダ1800,良,**,1:55.7,1.8,**,1-1-1-1,37.3-37.6,39.4,484(-6),,,ユティタム,,8,2.399999999999999,0.0,1.0,0.6111999999999966,0.0,1.0,,,0.4792626728110599,2.8299999999999996
132,132,2022/12/28,6阪神9,晴,6,2歳1勝クラス,,11,7,9,18.7,5,11,藤岡佑介,55,ダ1800,良,**,1:58.1,4.2,**,4-6-5-4,37.3-37.6,41.4,486(+10),,,ユティタム,,11,1.7500000000000036,0.43333333333333335,0.782608695652174,0.3357333333333301,0.43333333333333335,0.75,,,0.632183908045977,
133,133,2022/12/28,6阪神9,晴,8,3歳以上1勝クラス,,11,6,6,3.4,2,2,鮫島克駿,56,ダ1800,良,**,1:54.7,0.1,**,5-6-5-3,37.8-38.5,38.2,488(+2),,,ブラックボイス,310.0,2,-1.3999999999999997,0.95,0.8571428571428571,0.6932000000000009,1.3333333333333333,0.7307692307692307,,,0.6535433070866141,0.6000000000000001
134,134,2022/12/28,6阪神9,晴,8,3歳以上1勝クラス,,11,1,1,20.5,6,3,古川奈穂,50,ダ1800,良,**,1:54.9,0.3,**,5-5-5-6,37.8-38.5,38.2,478(-2),,,ブラックボイス,190.0,3,-2.099999999999998,0.30000000000000004,0.8,0.5496799999999993,0.38333333333333336,0.7941176470588235,,,0.5980392156862745,0.975
135,135,2022/12/28,6阪神9,晴,8,3歳以上1勝クラス,,11,5,5,3.9,3,4,藤岡康太,56,ダ1800,良,**,1:55.2,0.6,**,7-7-7-6,37.8-38.5,38.4,494(-2),,,ブラックボイス,120.0,4,-0.8578947368421088,0.025,0.9565217391304348,0.6596000000000046,0.43,0.8823529411764706,,,0.44329896907216493,4.6937500000000005
136,136,2022/12/28,6阪神9,晴,8,3歳以上1勝クラス,,11,7,9,53.4,9,6,和田翼,57,ダ1800,良,**,1:55.5,0.9,**,9-9-9-8,37.8-38.5,38.2,446(-2),,,ブラックボイス,,6,0.12843137254902048,1.56,0.5606060606060606,0.19005000000000205,0.85,0.7151162790697675,,,0.5233644859813084,0.8555555555555556
137,137,2022/12/28,6阪神9,晴,8,3歳以上1勝クラス,,11,8,11,256.3,10,7,国分恭介,57,ダ1800,良,**,1:55.6,1.0,**,9-11-11-10,37.8-38.5,38.0,480(+2),,,ブラックボイス,,7,0.9163265306122454,1.1411764705882355,0.5174418604651163,0.19564000000000092,1.0500000000000003,0.5374449339207048,,70.8,0.4230769230769231,1.675
138,138,2022/12/28,6阪神9,晴,8,3歳以上1勝クラス,,11,7,8,18.3,5,8,岩田康誠,56,ダ1800,良,**,1:55.7,1.1,**,3-3-3-3,37.8-38.5,39.3,516(+18),,,ブラックボイス,,8,0.3666666666666642,1.0,0.6470588235294118,0.04189999999999827,1.0,0.6470588235294118,,,0.5755395683453237,1.0999999999999999
139,139,2022/12/28,6阪神9,晴,8,3歳以上1勝クラス,,11,3,3,8.7,4,9,亀田温心,56,ダ1800,良,**,1:55.7,1.1,**,3-3-3-5,37.8-38.5,39.2,482(+6),,,ブラックボイス,,9,-0.29750000000000015,-0.012500000000000011,0.9454545454545454,0.6002017391304335,0.25,0.9117647058823529,,,0.35384615384615387,1.8000000000000003
140,140,2022/12/28,6阪神9,晴,8,3歳以上1勝クラス,,11,2,2,49.8,8,10,角田大河,54,ダ1800,良,**,1:55.9,1.3,**,8-8-8-8,37.8-38.5,38.8,490(-10),,,ブラックボイス,,10,0.3375000000000017,1.4849999999999999,0.5565217391304348,0.4236799999999995,1.5954545454545455,0.5241935483870968,,,0.580952380952381,1.0277777777777777
141,141,2022/12/28,6阪神9,晴,8,3歳以上1勝クラス,,11,6,7,288.7,11,11,国分優作,57,ダ1800,良,**,1:56.1,1.5,**,11-9-9-10,37.8-38.5,38.7,470(+4),,,ブラックボイス,,11,0.7709576138147582,1.5803571428571426,0.5775862068965517,-0.13301471571906157,1.5741379310344825,0.5761772853185596,,,0.4230769230769231,1.675
142,142,2022/12/25,6阪神8,晴,7,3歳以上1勝クラス,,12,2,2,1.6,1,1,坂井瑠星,54,ダ1800,良,**,1:54.7,-1.0,**,1-1-1-1,37.7-38.8,38.8,450(0),,,(フライングバレル),770.0,1,0.8785714285714274,1.6500000000000001,0.6551724137931034,0.0071555555555554585,1.15,0.6810344827586207,,,0.47107438016528924,0.911111111111111
143,143,2022/12/25,6阪神8,晴,7,3歳以上1勝クラス,,12,8,11,26.7,6,2,ムルザバ,55,ダ1800,良,**,1:55.7,1.0,**,2-2-2-2,37.7-38.8,39.7,460(+2),,,メタルゴッド,310.0,2,0.21666666666667567,1.4333333333333333,0.5675675675675675,-0.12519999999999953,1.56,0.40298507462686567,,,0.5123456790123457,1.2192307692307691
144,144,2022/12/25,6阪神8,晴,7,3歳以上1勝クラス,,12,1,1,5.5,2,3,今村聖奈,51,ダ1800,良,**,1:55.9,1.2,**,5-5-7-7,37.7-38.8,39.3,494(+2),,,メタルゴッド,190.0,3,-0.583944153577661,0.725,0.8043478260869565,0.26525714285714486,0.5357142857142857,0.8279569892473119,,,0.45689655172413796,1.1649999999999998
145,145,2022/12/25,6阪神8,晴,7,3歳以上1勝クラス,,12,7,10,75.2,11,4,斎藤新,55,ダ1800,良,**,1:56.1,1.4,**,11-11-11-11,37.7-38.8,38.8,460(-2),,,メタルゴッド,120.0,4,0.982178217821783,1.3939393939393938,0.5411764705882353,0.0026588235294128827,1.3093749999999997,0.5542168674698795,,,0.45689655172413796,1.1649999999999998
146,146,2022/12/25,6阪神8,晴,7,3歳以上1勝クラス,,12,7,9,10.8,5,5,川須栄彦,54,ダ1800,良,**,1:56.4,1.7,**,12-12-10-7,37.7-38.8,39.4,514(-8),,,メタルゴッド,77.0,5,1.3166666666666622,1.9722222222222219,0.4482758620689655,-1.5607999999999995,1.8357142857142856,0.45977011494252873,,,0.5727272727272728,0.8799999999999999
147,147,2022/12/25,6阪神8,晴,7,3歳以上1勝クラス,,12,8,12,10.1,4,6,角田大河,52,ダ1800,良,**,1:56.5,1.8,**,8-7-5-5,37.7-38.8,40.0,428(-10),,,メタルゴッド,,6,-0.8083333333333345,0.9249999999999999,0.6326530612244898,-0.4245599999999996,1.0,0.65625,,,0.5727272727272728,0.8799999999999999
148,148,2022/12/25,6阪神8,晴,7,3歳以上1勝クラス,,12,4,4,44.3,8,7,泉谷楓真,54,ダ1800,良,**,1:56.7,2.0,**,6-7-9-10,37.7-38.8,39.9,450(+2),,,メタルゴッド,,7,-0.13246753246753276,1.125,0.6470588235294118,-0.3236571428571407,0.8586956521739131,0.5772870662460567,,,0.5306122448979592,1.2
149,149,2022/12/25,6阪神8,晴,7,3歳以上1勝クラス,,12,3,3,27.2,7,8,イーガン,54,ダ1800,良,**,1:57.3,2.6,**,3-3-3-3,37.7-38.8,41.1,458(-4),,,メタルゴッド,,8,0.1999999999999999,2.2,0.6363636363636364,0.07000000000000028,2.2,0.5833333333333334,,,0.5306122448979592,1.2
150,150,2022/12/25,6阪神8,晴,7,3歳以上1勝クラス,,12,5,6,105.4,12,9,荻野琢真,55,ダ1800,良,**,1:58.2,3.5,**,6-5-5-6,37.7-38.8,41.7,486(+14),,,メタルゴッド,,9,1.399999999999995,1.71875,0.44565217391304346,-0.7381499999999974,1.34375,0.4942528735632184,,,0.45454545454545453,1.3375
151,151,2022/12/25,6阪神8,晴,7,3歳以上1勝クラス,,12,5,5,65.6,9,11,富田暁,54,ダ1800,良,**,1:58.6,3.9,**,3-3-3-3,37.7-38.8,42.4,454(-4),,,メタルゴッド,,11,1.8000000000000005,1.7249999999999999,0.6470588235294118,-1.1838400000000007,1.2833333333333332,0.5454545454545454,,,0.5306122448979592,1.2
152,152,2022/12/24,6阪神7,晴,7,3歳以上1勝クラス,,10,8,9,34.5,8,1,ムルザバ,57,ダ1800,稍,**,1:54.4,-0.2,**,3-3-3-3,38.0-38.5,38.2,456(+8),,,(テーオーサンドニ),770.0,1,0.6870967741935476,2.533333333333333,0.36363636363636365,-0.5200666666666661,1.5249999999999997,0.49411764705882355,,,0.5502645502645502,1.0142857142857142
153,153,2022/12/24,6阪神7,晴,7,3歳以上1勝クラス,,10,7,8,4.0,2,2,坂井瑠星,56,ダ1800,稍,**,1:54.6,0.2,**,1-1-1-1,38.0-38.5,38.7,478(+4),,,ラッキーモー,310.0,2,-0.45,0.2833333333333333,0.8765432098765432,0.16593333333333504,0.4428571428571428,0.851063829787234,,,0.4519774011299435,1.3
154,154,2022/12/24,6阪神7,晴,7,3歳以上1勝クラス,,10,8,10,11.4,5.0,3,松山弘平,56,ダ1800,稍,**,1:54.8,0.4,**,2-2-2-2,38.0-38.5,38.8,502(+6),,,ラッキーモー,190.0,3,0.13333333333333314,0.5166666666666667,0.8611111111111112,-0.15559999999999974,0.5166666666666667,0.8611111111111112,,,0.6512820512820513,0.9843750000000001
155,155,2022/12/24,6阪神7,晴,7,3歳以上1勝クラス,,10,3,3,2.2,1,4,岩田望来,56,ダ1800,稍,**,1:55.1,0.7,**,7-7-8-6,38.0-38.5,38.4,492(+2),,,ラッキーモー,120.0,4,-0.4,0.175,0.9473684210526315,0.7394000000000034,0.175,0.9473684210526315,,,0.6832298136645962,0.6749999999999999
156,156,2022/12/24,6阪神7,晴,7,3歳以上1勝クラス,,10,5,5,13.7,6,5,イーガン,56,ダ1800,稍,**,1:55.4,1.0,**,8-8-8-8,38.0-38.5,38.7,510(+4),,,ラッキーモー,77.0,5,-0.12857142857142861,0.6428571428571429,0.810126582278481,0.7217714285714274,0.75,0.7741935483870968,,,0.4230769230769231,1.675
157,157,2022/12/24,6阪神7,晴,7,3歳以上1勝クラス,,10,4,4,6.0,3.0,6,藤岡康太,57,ダ1800,稍,**,1:55.5,1.1,**,9-8-8-8,38.0-38.5,38.8,522(+10),,,ラッキーモー,,6,0.3049999999999784,1.36,0.6382978723404256,0.50122,1.36,0.6382978723404256,,,0.494949494949495,1.6749999999999998
158,158,2022/12/24,6阪神7,晴,7,3歳以上1勝クラス,,10,6,6,19.4,7,7,岡田祥嗣,56,ダ1800,稍,**,1:55.7,1.3,**,9-10-6-3,38.0-38.5,39.3,452(+2),,,ラッキーモー,,7,-0.35934065934066234,0.8499999999999999,0.7207207207207207,0.665709090909091,1.1312499999999999,0.675531914893617,,,0.40816326530612246,1.535714285714286
159,159,2022/12/24,6阪神7,晴,7,3歳以上1勝クラス,,10,7,7,69.7,9,8,古川吉洋,56,ダ1800,稍,**,1:56.0,1.6,**,4-4-4-6,38.0-38.5,39.6,490(-2),,,ラッキーモー,,8,0.8956521739130381,1.7049999999999996,0.45454545454545453,-0.8144799999999975,1.7049999999999996,0.45454545454545453,,,0.4827586206896552,1.8350000000000002
160,160,2022/12/24,6阪神7,晴,7,3歳以上1勝クラス,,10,2,2,7.9,4,9,鮫島克駿,56,ダ1800,稍,**,1:56.2,1.8,**,4-6-6-5,38.0-38.5,39.7,474(+12),,,ラッキーモー,,9,0.12499999999999989,0.4375,0.8372093023255814,0.8431999999999977,0.65,0.6666666666666666,,,0.5161290322580645,1.5125
161,161,2022/12/24,6阪神7,晴,7,3歳以上1勝クラス,,10,1,1,107.7,10,10,北村友一,55,ダ1800,稍,**,1:58.5,4.1,**,4-4-4-8,38.0-38.5,42.0,472(+14),,,ラッキーモー,,10,0.2538461538461537,0.8583333333333334,0.6506024096385542,-0.02971428571428549,1.1944444444444444,0.592,,,0.5629139072847682,1.4636363636363638
162,162,2022/12/11,6阪神4,曇,7,3歳以上1勝クラス,,10,3,3,2.1,1,1,岩田望来,56,ダ1800,良,**,1:53.3,-0.1,**,9-9-8-3,37.1-37.7,36.7,532(-6),,,(ホウオウフウジン),770.0,1,-0.14000000000000004,0.8,0.7758620689655172,0.6224000000000018,0.8,0.7758620689655172,,,0.5233644859813084,0.8555555555555556
163,163,2022/12/11,6阪神4,曇,7,3歳以上1勝クラス,,10,6,6,3.1,2,3,松山弘平,56,ダ1800,良,**,1:54.7,1.4,**,6-6-6-3,37.1-37.7,38.3,506(+2),,,エクセスリターン,190.0,3,-0.15000000000000002,0.5166666666666666,0.8142857142857143,0.759866666666665,0.6571428571428571,0.7738095238095238,,,0.6062992125984252,1.040909090909091
164,164,2022/12/11,6阪神4,曇,7,3歳以上1勝クラス,,10,5,5,9.6,5,4,中井裕二,56,ダ1800,良,**,1:55.1,1.8,**,2-2-2-2,37.1-37.7,39.2,498(-2),,,エクセスリターン,120.0,4,1.0214285714285734,1.3722222222222225,0.6956521739130435,-1.2097714285714258,1.36,0.7536231884057971,,,0.544,1.3458333333333332
165,165,2022/12/11,6阪神4,曇,7,3歳以上1勝クラス,,10,2,2,27.5,7,5,国分恭介,57,ダ1800,良,**,1:55.7,2.4,**,10-10-10-10,37.1-37.7,38.7,478(+2),,,エクセスリターン,77.0,5,0.8840909090909079,1.0625,0.5153374233128835,0.2070222222222237,0.9857142857142859,0.536697247706422,,70.8,0.39490445859872614,1.5142857142857142
166,166,2022/12/11,6阪神4,曇,7,3歳以上1勝クラス,,10,7,7,8.8,4,6,石橋脩,56,ダ1800,良,**,1:55.9,2.6,**,4-4-3-3,37.1-37.7,39.9,504(+4),,,エクセスリターン,,6,-0.14285714285716083,1.2,0.6456692913385826,0.18740000000000237,1.0125,0.673469387755102,,,0.5903614457831325,1.0
167,167,2022/12/11,6阪神4,曇,7,3歳以上1勝クラス,,10,4,4,149.7,10,7,国分優作,57,ダ1800,良,**,1:56.2,2.9,**,7-6-5-7,37.1-37.7,39.9,466(+6),,,エクセスリターン,,7,0.7234323432343253,1.5314814814814812,0.584070796460177,-0.09406330434782405,1.526785714285714,0.5823863636363636,,,0.35359116022099446,1.6571428571428566
168,168,2022/12/11,6阪神4,曇,7,3歳以上1勝クラス,,10,8,10,93.7,9,8,和田竜二,56,ダ1800,良,**,1:56.5,3.2,**,5-4-6-8,37.1-37.7,40.1,496(+2),,,エクセスリターン,,8,2.1600000000000006,2.7571428571428567,0.38961038961038963,-1.781718260869566,1.9555555555555557,0.46938775510204084,,,0.5412844036697247,1.8777777777777775
169,169,2022/12/11,6阪神4,曇,7,3歳以上1勝クラス,,10,1,1,27.3,6,9,横山和生,57,ダ1800,良,**,1:56.6,3.3,**,2-2-3-3,37.1-37.7,40.6,546(-4),,,エクセスリターン,,9,2.699999999999999,1.8,0.4444444444444444,-0.2765000000000004,0.5357142857142857,0.5833333333333334,,,0.4789473684210526,1.1642857142857141
170,170,2022/12/11,6阪神4,曇,7,3歳以上1勝クラス,,10,8,9,50.8,8,10,鮫島克駿,56,ダ1800,良,**,1:56.8,3.5,**,8-8-8-9,37.1-37.7,40.1,482(+4),,,エクセスリターン,,10,1.7039999999999964,2.4333333333333336,0.4393939393939394,-0.7525987577639748,1.9187500000000002,0.4891304347826087,,,0.5161290322580645,1.5125
171,171,2022/12/04,6阪神2,曇,7,3歳以上1勝クラス,,9,8,9,2.2,1,1,吉田隼人,56,ダ1800,稍,**,1:53.4,-0.4,**,2-2-2-2,37.5-37.5,37.4,498(0),,,(メイショウマントル),770.0,1,-0.5684210526315787,1.1714285714285713,0.5853658536585366,0.047257142857143365,1.1714285714285713,0.5853658536585366,,,0.5683453237410072,0.809090909090909
172,172,2022/12/04,6阪神2,曇,7,3歳以上1勝クラス,,9,6,6,3.4,2.0,2,藤岡康太,57,ダ1800,稍,**,1:53.8,0.4,**,8-6-4-3,37.5-37.5,37.5,512(-2),,,ラインオブソウル,310.0,2,0.3578947368420984,1.4105263157894739,0.6299559471365639,0.45953684210526324,1.4105263157894739,0.6299559471365639,,,0.5683453237410072,0.809090909090909
173,173,2022/12/04,6阪神2,曇,7,3歳以上1勝クラス,,9,4,4,11.0,5,3,城戸義政,56,ダ1800,稍,**,1:54.2,0.8,**,2-2-2-1,37.5-37.5,38.3,498(+2),,,ラインオブソウル,190.0,3,-0.5088235294117647,1.3,0.7142857142857143,0.789200000000001,1.3,0.39285714285714285,,,0.40441176470588236,2.059090909090909
174,174,2022/12/04,6阪神2,曇,7,3歳以上1勝クラス,,9,5,5,5.0,3,4,藤懸貴志,54,ダ1800,稍,**,1:54.4,1.0,**,6-6-7-5,37.5-37.5,37.9,448(+2),,,ラインオブソウル,120.0,4,-1.2878587085651816e-14,0.875,0.5733333333333334,0.43393333333333334,0.875,0.5733333333333334,,,0.5502645502645502,1.1285714285714283
175,175,2022/12/04,6阪神2,曇,7,3歳以上1勝クラス,,9,7,7,65.6,6,6,長岡禎仁,56,ダ1800,稍,**,1:55.6,2.2,**,4-4-4-4,37.5-37.5,39.4,488(+2),,,ラインオブソウル,,6,3.2111111111111184,0.925,0.6666666666666666,-0.468796521739128,1.4400000000000002,0.5454545454545454,,,0.39490445859872614,1.5142857142857142
176,176,2022/12/04,6阪神2,曇,7,3歳以上1勝クラス,,9,1,1,69.4,7,7,和田竜二,57,ダ1800,稍,**,1:55.8,2.4,**,6-6-7-9,37.5-37.5,39.3,510(+4),,,ラインオブソウル,,7,0.8571428571428572,0.9166666666666666,0.7666666666666667,0.6616000000000035,0.6459999999999999,0.7360594795539034,,,0.3644859813084112,1.875
177,177,2022/12/04,6阪神2,曇,7,3歳以上1勝クラス,,9,8,8,137.1,8,8,団野大成,57,ダ1800,稍,**,1:57.5,4.1,**,8-9-7-7,37.5-37.5,41.0,486(-6),,,ラインオブソウル,,8,1.289041095890413,1.5625,0.5263157894736842,-0.37115555555555424,1.3375,0.5604395604395604,,,0.30927835051546393,1.4416666666666664
178,178,2022/12/04,6阪神2,曇,7,3歳以上1勝クラス,,9,3,3,201.7,9,9,角田大河,55,ダ1800,稍,**,1:58.2,4.8,**,1-1-1-5,37.5-37.5,42.3,456(-4),,,ラインオブソウル,,9,-0.8191827468785485,1.4214285714285713,0.4303030303030303,0.20259999999999956,1.2999999999999998,0.5,,,0.4125,1.4892857142857143
179,179,2022/11/27,5阪神8,晴,7,3歳以上1勝クラス,,8,1,1,1.3,1,1,幸英明,55,ダ1800,稍,**,1:52.2,-0.4,**,1-1-1-1,38.1-36.5,36.5,478(-4),,,(メイショウゲキリン),770.0,1,0.33333333333334136,0.21250000000000002,0.9230769230769231,0.5996000000000006,0.21250000000000002,0.9230769230769231,,,0.6535433070866141,0.6000000000000001
