,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
0,0,2022/07/23,2福島7,晴,9,伊達特別(1勝クラス),,14,7,12,182.7,14,7,森裕太朗,54,芝1800,稍,11,1:51.3,0.9,78,7-8-8-6,36.3-36.4,36.7,458(-6),,,ロジレット,,1,,71.0,1.2545454545454549,72.81818181818181,0,,,35.97272727272727,0.4731182795698925,16.172506738544474,16.244032200349782,111.3,7.0,6.0,7.25,36.3,36.4,0.4000000000000057,0.30000000000000426,-0.10000000000000142,36.627272727272725,35.24545454545454,4.212121212121212,-0.6545454545454535,0.7272727272727292,1.3818181818181827,-1.0,0.0,1.0,4.7272727272727275,-1.4545454545454546,-2.6363636363636362,-1.1818181818181819,9.496709956611289,1.0992421631894096,3,36.46666666666666,35.948484848484846,76.5
1,1,2022/03/27,2中京6,晴,7,4歳以上1勝クラス,,16,7,14,93.3,13,3,岩田康誠,57,芝2200,重,4,2:16.3,0.2,83,2-2-4-3,36.4-37.0,36.9,438(-4),,,ダノンセレスタ,190.0,2,,77.43333333333334,0.9352941176470587,80.3529411764706,0,,,36.35294117647059,0.5131578947368421,16.140865737344093,16.271656478980134,136.3,2.0,3.0,2.75,36.4,37.0,0.5,-0.10000000000000142,-0.6000000000000014,33.247058823529414,36.311764705882354,9.073529411764707,3.105882352941176,0.04117647058823546,-3.0647058823529414,0.0,-1.0,-1.0,8.294117647058824,1.9411764705882353,3.4705882352941178,1.5294117647058822,7.924995618645827,1.5937861591153477,5,36.76666666666667,35.30392156862746,81.5
2,2,2022/07/24,1札幌2,曇,6,3歳未勝利,,15,2,3,4.8,2,1,鮫島克駿,56,芝2000,良,-2,2:04.8,0.0,74,11-10-10-10,37.5-37.0,36.2,468(0),,,(マイネルユヌスール),520.0,3,,72.22222222222223,1.5272727272727273,70.72727272727273,0,,,36.845454545454544,0.5511811023622047,16.025641025641026,16.08329213283866,124.8,11.0,10.0,10.25,37.5,37.0,-1.2999999999999972,-0.7999999999999972,0.5,35.472727272727276,36.21818181818182,8.43939393939394,1.372727272727274,0.6272727272727284,-0.7454545454545454,9.0,10.0,1.0,7.818181818181818,0.7272727272727273,1.9090909090909092,1.1818181818181819,12.104579023383396,1.916648550639023,3,36.9,36.17878787878788,69.0
3,3,2022/02/06,1中京12,晴,7,4歳以上1勝クラス,,11,4,4,62.5,9,9,松田大作,56,ダ1900,稍,-1,2:04.5,2.9,60,9-10-11-11,29.7-40.0,39.1,456(-12),,出遅れ,アズユーフィール,,4,,295.5,1.45,73.33333333333333,0,,,36.48333333333334,0.75,15.261044176706827,15.813524118812756,124.5,9.0,11.0,10.25,29.7,40.0,9.400000000000002,-0.8999999999999986,-10.3,35.63333333333333,36.23333333333334,6.875,0.8500000000000009,0.2500000000000024,-0.5999999999999984,2.0,0.0,-2.0,7.333333333333333,0.6666666666666666,-0.3333333333333333,-1.0,12.187313577852093,2.089429177003683,4,36.266666666666666,36.11666666666666,67.5
4,4,2022/06/25,1函館5,曇,9,恵山特別(1勝クラス),,14,7,11,22.2,8,4,吉田隼人,55,芝1800,稍,-7,1:48.3,0.4,94,5-6-5-5,35.9-35.1,35.1,460(+10),,,ハーツラプソディ,160.0,5,,138.08333333333334,0.5588235294117647,75.52941176470588,0,,,36.39411764705883,0.6442953020134228,16.62049861495845,16.200557272982767,108.3,5.0,5.0,5.25,35.9,35.1,-0.7999999999999972,0.0,0.7999999999999972,27.935294117647057,36.188235294117646,4.117647058823529,8.458823529411763,0.20588235294117688,-8.25294117647059,1.0,1.0,0.0,3.9411764705882355,-0.47058823529411764,-0.35294117647058826,0.11764705882352941,20.416647770210453,2.0240910168380384,6,35.36666666666667,33.50588235294117,90.0
5,5,2022/07/10,1函館10,晴,3,3歳未勝利,,14,3,3,4.2,2,1,丹内祐次,56,芝1800,良,-1,1:49.9,0.0,84,3-3-3-3,36.7-36.1,35.9,484(+6),,,(ナンベイコー),520.0,6,,157.625,0.6,76.375,0,,,36.075,0.7894736842105263,16.378525932666058,16.3601919215739,109.9,3.0,3.0,3.0,36.7,36.1,-0.8000000000000043,-0.20000000000000284,0.6000000000000014,36.599999999999994,36.1375,5.71875,-0.5250000000000004,-0.06250000000000089,0.46249999999999947,2.0,2.0,0.0,5.125,1.625,2.625,1.0,7.319852929778047,0.8534606386520672,3,36.233333333333334,36.270833333333336,79.75
6,6,2022/07/24,1札幌2,曇,8,3歳以上1勝クラス,,10,4,4,3.2,1,8,古川奈穂,49,芝1800,良,-2,1:51.4,1.1,76,6-7-6-4,37.1-36.2,36.7,454(+6),,,ヤマニンゼスト,,7,,233.8166666666667,0.788888888888889,75.11111111111111,0,,,35.71111111111111,0.639344262295082,16.15798922800718,16.46623864573182,111.4,6.0,4.0,5.75,37.1,36.2,-0.3999999999999986,0.5,0.8999999999999986,36.31111111111111,35.333333333333336,4.138888888888889,-0.5999999999999991,0.3777777777777776,0.9777777777777766,-4.0,-2.0,2.0,3.7777777777777777,-1.2222222222222223,-0.8888888888888888,0.3333333333333333,10.668176976409795,1.1260994627474066,3,36.666666666666664,35.78518518518519,81.75
7,7,2022/07/30,1札幌3,晴,8,3歳以上1勝クラス,,13,8,13,35.0,9,5,鷲頭虎太,49,芝1800,良,-12,1:48.9,0.5,91,12-12-12-12,36.7-34.7,33.9,430(+6),,,メモリーサボアール,77.0,8,,115.875,0.8111111111111112,77.88888888888889,0,,,35.98888888888889,0.6470588235294118,16.52892561983471,16.391863552152202,108.9,12.0,12.0,12.0,36.7,34.7,-2.8000000000000043,-0.8000000000000043,2.0,36.077777777777776,35.733333333333334,5.611111111111111,-0.08888888888888936,0.2555555555555544,0.34444444444444383,7.0,7.0,0.0,6.111111111111111,0.3333333333333333,-0.8888888888888888,-1.2222222222222223,8.027452896155792,1.4330387294138294,3,35.1,35.93333333333334,83.5
8,8,2022/07/24,1札幌2,晴,12,3歳以上1勝クラス,,11,1,1,24.8,9,8,泉谷楓真,56,芝1500,良,-2,1:30.1,0.9,88,11-11-9,29.4-35.3,35.0,494(+6),,,セッタレダスト,,9,,46.75,0.9999999999999999,76.5,0,,,35.887499999999996,0.40425531914893614,16.64816870144284,16.335934287727532,90.1,11.0,9.0,10.333333333333334,29.4,35.3,5.600000000000001,-0.29999999999999716,-5.899999999999999,35.675000000000004,35.575,7.291666666666667,0.21249999999999947,0.3125,0.10000000000000053,1.0,3.0,2.0,6.75,-0.375,0.75,1.125,8.974586891692743,1.9030839169783695,4,33.23333333333333,35.7125,81.75
9,9,2022/07/31,1札幌4,晴,4,3歳未勝利,,13,4,5,14.6,9,7,西塚洸二,51,芝2000,良,-14,2:02.8,0.9,78,1-1-1-2,35.2-37.4,38.3,450(-2),,,ブルーロワイヤル,,10,,77.5,0.9923076923076924,67.46153846153847,0,,,36.5,0.6363636363636364,16.286644951140065,16.545051770910735,122.8,1.0,2.0,1.25,35.2,37.4,3.0999999999999943,0.8999999999999986,-2.1999999999999957,35.41538461538461,35.792307692307695,3.0064102564102564,1.084615384615384,0.7076923076923068,-0.37692307692307736,-5.0,-6.0,-1.0,2.923076923076923,-4.923076923076923,-4.846153846153846,0.07692307692307693,8.763619138698536,1.2737538928662153,3,36.96666666666666,35.9025641025641,71.0
