,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
0,0,2022/04/24,2東京2,小雨,6,3歳1勝クラス,,16,5,9,16.2,5,4,藤岡佑介,56,ダ1400,良,-8,1:25.2,1.0,85,5-3,34.2-37.5,38.2,494(-2),,出遅れ,レッドゲイル,110.0,1,,206.66666666666666,0.9833333333333334,71.0,0,,,37.61666666666667,0.6176470588235294,16.431924882629108,16.304688105206598,85.2,5.0,3.0,4.0,34.2,37.5,4.0,0.7000000000000028,-3.299999999999997,35.400000000000006,37.2,6.083333333333333,2.2166666666666663,0.41666666666666785,-1.7999999999999983,-1.0,1.0,2.0,5.666666666666667,0.3333333333333333,1.1666666666666667,0.8333333333333334,13.477115902938005,1.2743946141808131,3,36.63333333333333,36.73888888888889,78.25
1,1,2022/07/02,3小倉1,晴,12,3歳以上1勝クラス,,14,6,10,35.1,10,2,団野大成,52,ダ1000,良,-2,0:58.5,0.1,89,2-2,34.3-35.8,35.7,468(-4),,,ゴッドクインビー,310.0,2,,166.0,1.3000000000000003,67.0,0,,,37.871428571428574,0.6301369863013698,17.094017094017094,16.42338298907189,58.5,2.0,2.0,2.0,34.3,35.8,1.4000000000000057,-0.09999999999999432,-1.5,34.728571428571435,37.12857142857143,5.0,3.1428571428571437,0.7428571428571443,-2.3999999999999995,0.0,0.0,0.0,5.142857142857143,-2.4285714285714284,-2.7142857142857144,-0.2857142857142857,13.18557450397972,1.4793896545535252,3,35.266666666666666,36.57619047619048,73.5
2,2,2022/07/10,3小倉4,晴,7,3歳以上1勝クラス,,11,8,11,8.1,5,4,西村淳也,52,ダ1000,稍,-6,0:58.9,0.3,80,4-3,34.7-35.7,35.5,502(+4),,出遅れ,テンクウフラワー,120.0,3,,213.33333333333334,1.3499999999999999,64.5,0,,,38.1,0.5789473684210527,16.977928692699493,16.333544221733327,58.9,4.0,3.0,3.5,34.7,35.7,0.7999999999999972,-0.20000000000000284,-1.0,35.150000000000006,36.925000000000004,2.25,2.9499999999999975,1.1749999999999972,-1.7750000000000004,-1.0,0.0,1.0,2.0,-5.0,-4.5,0.5,17.611359970201054,2.2835060761907333,3,35.300000000000004,36.725,64.5
3,3,2022/06/05,4中京2,曇,8,3歳以上1勝クラス,,15,2,2,13.2,7,7,角田大河,54,ダ1400,良,-14,1:24.8,0.9,81,1-1,35.0-36.8,37.7,488(-4),,,モズリッキー,,4,,,0.8928571428571427,66.0,0,,,38.528571428571425,0.0,16.50943396226415,15.725941372101229,84.8,1.0,1.0,1.0,35.0,36.8,2.700000000000003,0.9000000000000057,-1.7999999999999972,25.035714285714285,37.98571428571428,4.339285714285714,13.492857142857144,0.5428571428571429,-12.950000000000001,-6.0,-6.0,0.0,3.4285714285714284,-1.2142857142857142,0.5,1.7142857142857142,16.153431008096494,1.5107613974417002,5,36.5,33.85,85.0
4,4,2022/07/17,3小倉6,晴,7,3歳以上1勝クラス,,14,7,12,5.3,4,3,今村聖奈,53,ダ1000,稍,-2,0:59.0,0.6,81,3-3,34.3-35.5,35.9,470(0),,,エクサープト,190.0,5,,87.5,1.3692307692307693,64.23076923076923,0,,,38.56153846153846,0.4485981308411215,16.949152542372882,16.281993826264706,59.0,3.0,3.0,3.0,34.3,35.5,1.6000000000000014,0.3999999999999986,-1.2000000000000028,28.61538461538462,37.46153846153846,3.1346153846153846,9.946153846153846,1.0999999999999999,-8.846153846153848,0.0,0.0,0.0,3.4615384615384617,-3.8461538461538463,-4.3076923076923075,-0.46153846153846156,12.617812158748814,1.6560495161679194,4,35.233333333333334,34.87948717948718,76.75
5,5,2022/07/02,3小倉1,晴,12,3歳以上1勝クラス,,14,3,3,17.5,7,11,小沢大仁,53,ダ1000,良,-2,0:59.7,1.3,69,2-3,34.3-35.8,36.8,452(+20),,,ゴッドクインビー,,6,,79.66666666666667,1.2111111111111112,66.77777777777777,0,,,37.46666666666667,0.4878048780487805,16.75041876046901,16.583015253275462,59.7,2.0,3.0,2.5,34.3,35.8,2.5,1.0,-1.5,34.388888888888886,36.55555555555556,3.388888888888889,3.0777777777777797,0.9111111111111122,-2.1666666666666674,-8.0,-9.0,-1.0,3.6666666666666665,-4.333333333333333,-4.888888888888889,-0.5555555555555556,9.28654941299512,1.3296992141082133,4,35.63333333333333,36.13703703703703,62.25
6,6,2022/05/21,1新潟5,曇,8,4歳以上1勝クラス,,15,6,10,2.6,1,13,川須栄彦,57,ダ1200,良,-4,1:13.7,1.0,65,7-9,34.3-38.4,38.6,498(0),,,ルヴァンヴェール,,7,,198.22222222222223,0.8,72.76923076923077,0,,,37.92307692307692,0.7815126050420168,16.28222523744912,16.396261956161705,73.7,7.0,9.0,8.0,34.3,38.4,4.300000000000004,0.20000000000000284,-4.100000000000001,34.53846153846154,37.43076923076923,3.5,3.3846153846153846,0.49230769230769167,-2.892307692307693,-4.0,-6.0,-2.0,3.4615384615384617,-1.0769230769230769,-1.0,0.07692307692307693,12.300862753880148,1.4474643557699407,4,37.1,36.63076923076923,78.75
7,7,2022/05/25,園田,晴,11,JRA交流淀川特別,,12,1,1,30.2,7,10,杉浦健太,54,ダ1400,良,-1,1:32.7,2.8,40,8-8-6-8,0.0-40.3,42.2,523(+19),,,ゼットパール,,8,,47.72727272727273,1.1217391304347826,72.19565217391305,0,,,38.15434782608696,0.6054421768707483,15.102481121898597,16.0174655014064,92.7,8.0,8.0,7.5,0.0,40.3,42.2,1.9000000000000057,-40.3,,,7.119565217391305,,,,-2.0,-2.0,0.0,7.260869565217392,1.0,0.7608695652173914,-0.2391304347826087,11.661205042063475,1.9004276281300674,8,27.5,,58.75
8,8,2022/07/02,3小倉1,晴,12,3歳以上1勝クラス,,14,4,5,11.0,5,4,横山典弘,57,ダ1000,良,-2,0:59.1,0.7,79,8-10,34.3-35.8,35.4,488(-18),,,ゴッドクインビー,120.0,9,,52.18181818181818,0.7208333333333333,74.83333333333333,0,,,37.166666666666664,0.6267605633802817,16.920473773265652,16.40935552581358,59.1,8.0,10.0,9.0,34.3,35.8,1.1000000000000014,-0.3999999999999986,-1.5,31.537499999999998,37.19166666666666,7.1875,5.629166666666666,-0.024999999999999467,-5.654166666666666,6.0,4.0,-2.0,6.75,0.875,1.75,0.875,8.034923770640267,1.5386955514330956,6,35.166666666666664,35.29861111111111,77.25
9,9,2022/05/22,1新潟6,晴,12,4歳以上1勝クラス,,16,3,5,38.2,11,13,今村聖奈,51,芝1400,良,-4,1:23.1,1.4,73,13-13,34.9-35.0,35.3,476(+6),,,トーカイキング,,10,,19.0,1.126315789473684,76.84210526315789,0,,,36.931578947368415,0.5423728813559322,16.84717208182912,16.503776438860335,83.1,13.0,13.0,13.0,34.9,35.0,0.3999999999999986,0.29999999999999716,-0.10000000000000142,34.61315789473684,36.54210526315789,7.765350877192982,2.318421052631578,0.38947368421052625,-1.928947368421053,0.0,0.0,0.0,7.868421052631579,0.23684210526315788,0.05263157894736842,-0.18421052631578946,9.636591997456557,1.7517681496790927,6,35.06666666666666,36.02894736842106,71.25
