,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
0,0,2022/06/18,3阪神1,晴,9,皆生特別(2勝クラス),,11,7,9,25.3,7,5,三浦皇成,55,芝1200,良,-15,1:08.5,0.6,94,7-7,33.6-34.3,34.2,458(-2),,,テイエムスパーダ,151.0,1,,177.69230769230768,0.4315789473684211,82.52631578947368,0,,,35.794736842105266,0.7659574468085106,17.51824817518248,17.029229788228097,68.5,7.0,7.0,7.0,33.6,34.3,0.6000000000000014,-0.09999999999999432,-0.6999999999999957,34.215789473684204,35.79473684210526,4.184210526315789,1.578947368421053,3.739698609263685e-16,-1.5789473684210527,2.0,2.0,0.0,4.105263157894737,-0.2631578947368421,-0.10526315789473684,0.15789473684210525,9.24716172671377,1.2567816039392046,4,34.03333333333333,35.268421052631574,87.75
1,1,2022/05/28,3中京7,晴,11,葵S(G3),,17,7,13,6.8,4,3,Ｍ．デム,54,芝1200,良,-14,1:08.6,0.4,90,9-9,33.2-35.0,34.7,458(+8),,,ウインマーベル,1009.3,2,,509.48333333333335,0.30000000000000004,85.16666666666667,0,,,35.13333333333333,0.8571428571428571,17.49271137026239,17.21188601659749,68.6,9.0,9.0,9.0,33.2,35.0,1.5,-0.29999999999999716,-1.7999999999999972,34.21666666666666,35.1,3.25,0.9166666666666666,0.03333333333333499,-0.8833333333333316,6.0,6.0,0.0,3.1666666666666665,0.5,0.6666666666666666,0.16666666666666666,10.034633902191969,0.3958973274443136,3,34.300000000000004,34.81666666666666,90.25
2,2,2022/07/17,3小倉6,晴,10,戸畑特別(2勝クラス),,8,4,4,37.7,7,6,長岡禎仁,57,芝1200,良,-21,1:07.5,0.4,91,4-4,32.8-34.3,34.1,468(-4),,,クリノマジン,,3,,13.727272727272727,1.1821428571428572,76.89285714285714,0,,,36.714285714285715,0.4794520547945205,17.77777777777778,16.43125645012707,67.5,4.0,4.0,4.0,32.8,34.3,1.3000000000000043,-0.19999999999999574,-1.5,29.828571428571426,36.31428571428572,7.011904761904762,6.885714285714286,0.40000000000000085,-6.485714285714285,-2.0,-2.0,0.0,7.178571428571429,0.21428571428571427,-0.07142857142857142,-0.2857142857142857,17.129568486332133,2.0973058988363382,6,33.733333333333334,34.285714285714285,89.0
3,3,2022/07/10,3小倉4,晴,12,シンガポールTC賞(2勝クラス),,7,6,6,6.1,3,4,富田暁,57,芝1200,良,-18,1:08.2,1.0,83,7-6,33.1-34.1,33.9,470(+6),,,テイエムトッキュウ,230.0,4,,193.43333333333334,0.7263157894736842,80.0,0,,,35.357894736842105,0.6372549019607843,17.59530791788856,17.086924707527242,68.2,7.0,6.0,6.5,33.1,34.1,0.7999999999999972,-0.20000000000000284,-1.0,34.19473684210525,35.33157894736842,7.328947368421052,1.1631578947368417,0.026315789473683463,-1.1368421052631583,2.0,3.0,1.0,7.2631578947368425,1.2105263157894737,1.368421052631579,0.15789473684210525,10.78366820706201,1.6343500237097321,4,33.699999999999996,34.96140350877194,87.0
4,4,2022/06/26,3阪神4,晴,9,舞子特別(2勝クラス),,17,2,4,6.2,3,12,福永祐一,53,芝1400,良,-13,1:21.7,1.2,89,4-5,33.6-35.3,36.2,468(+4),,直線不利,インフィナイト,,5,,367.64,0.6,82.66666666666667,0,,,34.63333333333333,0.5490196078431373,17.135862913096695,17.135860998247715,81.7,4.0,5.0,4.5,33.6,35.3,2.6000000000000014,0.9000000000000057,-1.6999999999999957,34.86666666666667,34.36666666666667,4.25,-0.2333333333333331,0.26666666666666927,0.5000000000000023,-7.0,-8.0,-1.0,4.5,-0.8333333333333334,-1.3333333333333333,-0.5,10.222025039999039,0.7706345119577815,3,35.03333333333333,34.62222222222221,84.5
5,5,2022/06/18,1函館3,晴,11,STV杯(2勝クラス),,12,8,11,9.3,4,5,泉谷楓真,55,芝1200,良,-17,1:08.5,0.6,93,9-8,33.3-34.6,33.8,464(0),,,ダークペイジ,151.0,6,,218.2,0.515,88.1,0,,,34.93000000000001,0.7548076923076923,17.51824817518248,17.15152067347348,68.5,9.0,8.0,8.5,33.3,34.6,0.5,-0.8000000000000043,-1.3000000000000043,34.025,35.135000000000005,7.4,0.904999999999999,-0.2050000000000008,-1.1099999999999999,3.0,4.0,1.0,6.95,2.0,2.95,0.95,6.586938219084859,0.9658335607754478,4,33.9,34.696666666666665,92.25
6,6,2022/06/12,4中京4,晴,9,恵那特別(2勝クラス),,16,2,3,3.3,1,10,北村友一,52,ダ1200,良,-18,1:12.8,2.0,68,1-1,33.9-36.9,38.9,480(+2),,,ペプチドヤマト,,7,,595.1,0.8,83.71428571428571,0,,,36.1,0.828125,16.483516483516485,17.02156181131094,72.8,1.0,1.0,1.0,33.9,36.9,5.0,2.0,-3.0,34.08571428571428,35.65714285714286,4.321428571428571,2.0142857142857125,0.44285714285714306,-1.5714285714285694,-9.0,-9.0,0.0,4.428571428571429,-0.14285714285714285,-0.2857142857142857,-0.14285714285714285,9.433152972362953,1.9605085437202252,3,36.56666666666666,35.28095238095238,83.5
7,7,2022/06/26,3阪神4,晴,9,舞子特別(2勝クラス),,17,2,3,57.7,13,6,幸英明,52,芝1400,良,-13,1:21.2,0.7,95,15-15,33.6-35.3,34.6,446(+12),,出遅れ,インフィナイト,,8,,177.8083333333333,0.7428571428571429,82.0,0,,,35.214285714285715,0.7393617021276596,17.241379310344826,17.100365993898347,81.2,15.0,15.0,15.0,33.6,35.3,1.0,-0.6999999999999957,-1.6999999999999957,34.357142857142854,35.185714285714276,7.785714285714286,0.8571428571428567,0.028571428571427963,-0.8285714285714286,9.0,9.0,0.0,7.571428571428571,1.7142857142857142,2.142857142857143,0.42857142857142855,10.855413396089528,1.2336756281760437,4,34.5,34.919047619047625,92.25
8,8,2022/06/26,3阪神4,晴,9,舞子特別(2勝クラス),,17,8,15,172.6,17,13,今村聖奈,51,芝1400,良,-13,1:21.7,1.2,89,10-11,33.6-35.3,35.7,422(-4),,出遅れ,インフィナイト,,9,,52.1,0.6272727272727274,77.77272727272727,0,,,36.96818181818182,0.6551724137931034,17.135862913096695,16.353154532304703,81.7,10.0,11.0,10.5,33.6,35.3,2.1000000000000014,0.4000000000000057,-1.6999999999999957,24.813636363636363,36.981818181818184,7.340909090909091,12.154545454545456,-0.013636363636363185,-12.16818181818182,-2.0,-3.0,-1.0,7.045454545454546,2.0,2.6363636363636362,0.6363636363636364,11.443458437937107,2.0392741212006946,5,34.86666666666667,32.92121212121213,83.0
9,9,2022/05/28,3中京7,晴,11,葵S(G3),,17,8,17,121.1,17,17,酒井学,56,芝1200,良,-14,1:10.6,2.4,61,5-5,33.2-35.0,36.9,468(-4),,,ウインマーベル,,10,,373.98,0.8800000000000001,80.6,0,,,35.36,0.6086956521739131,16.997167138810198,17.303259289000625,70.6,5.0,5.0,5.0,33.2,35.0,3.6999999999999957,1.8999999999999986,-1.7999999999999972,33.58,34.94,4.3,1.779999999999997,0.42000000000000026,-1.3599999999999965,-12.0,-12.0,0.0,4.4,-2.0,-2.2,-0.2,11.100550536897808,0.9689627902499087,3,35.03333333333334,34.62666666666667,82.0
