,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
12,12,2021/01/30,1中京9,晴,10,天竜川特別(2勝クラス),,9,5,5,4.7,3,1,松山弘平,57,芝2000,稍,-2,2:01.3,0.0,99,9-9-7-4,36.4-36.0,35.4,478(+8),,出遅れ,(ヒルノダカール),1519.6,3,,338.76,0.29375,91.3125,0,,,34.699999999999996,0.7468354430379747,16.488046166529266,16.430378468722942,121.3,9.0,4.0,7.25,36.4,36.0,-1.0,-0.6000000000000014,0.3999999999999986,36.556250000000006,35.23125,8.229166666666668,-1.8562500000000002,-0.5312500000000004,1.3249999999999997,3.0,8.0,5.0,7.5,3.875,5.0,1.125,10.4963331873861,0.7415965196276711,5,35.93333333333334,35.49583333333333,91.75
13,13,2021/01/16,1小倉1,晴,11,虹の松原S(3勝クラス),,14,5,8,3.0,1,4,吉田隼人,55,芝1800,良,-14,1:46.4,0.2,90,6-5-7-4,34.1-35.9,35.4,450(-6),,,アーデントリー,270.0,4,,462.16,0.3625,88.125,0,,,35.5375,0.8556149732620321,16.917293233082706,16.53237117055506,106.4,6.0,4.0,5.5,34.1,35.9,1.2999999999999972,-0.5,-1.7999999999999972,35.962500000000006,35.587500000000006,4.453125,-0.4250000000000007,-0.050000000000000266,0.37500000000000044,0.0,2.0,2.0,3.75,0.5625,1.625,1.0625,14.31068998164886,2.1556395818690133,5,35.13333333333333,35.69583333333334,95.75
14,14,2020/12/13,5中山4,曇,10,常総S(3勝クラス),,11,1,1,15.3,7,9,石川裕紀,57,芝1800,良,-4,1:49.8,0.5,90,6-6-7-7,37.2-35.7,35.4,520(-4),,,ロザムール,,5,,247.775,0.47500000000000003,90.625,0,,,34.900000000000006,0.64,16.39344262295082,16.773568841832713,109.8,6.0,7.0,6.5,37.2,35.7,-1.8000000000000043,-0.30000000000000426,1.5,35.8125,34.81875,3.7447916666666665,-0.9124999999999992,0.08125000000000115,0.9937500000000004,-2.0,-3.0,-1.0,3.8125,-1.125,-1.1875,-0.0625,6.608686744310783,0.9683575078326078,6,36.1,35.17708333333333,92.75
15,15,2021/01/31,1中京10,晴,10,美濃S(3勝クラス),,15,5,8,29.4,9,10,藤岡佑介,55,芝2200,良,-4,2:14.5,1.7,88,11-12-13-11,35.0-35.9,36.3,466(-2),,,ヒートオンビート,,6,,383.13571428571424,0.6681818181818181,81.86363636363636,0,,,36.39999999999999,0.8271604938271605,16.356877323420075,16.129521098889587,134.5,11.0,11.0,11.75,35.0,35.9,1.2999999999999972,0.3999999999999986,-0.8999999999999986,36.75909090909091,36.49999999999999,6.659090909090909,-0.3590909090909097,-0.10000000000000013,0.25909090909090954,1.0,1.0,0.0,6.045454545454546,1.4545454545454546,2.3636363636363638,0.9090909090909091,12.050147266707507,1.61024602142884,5,35.73333333333333,36.553030303030305,90.5
16,16,2021/02/14,1東京6,晴,9,初音S(3勝クラス),,16,6,12,253.5,14,15,津村明秀,55,芝1800,良,-14,1:48.1,2.7,79,13-13-13,35.3-35.3,36.8,478(-10),,,デゼル,,7,,252.62352941176474,0.7368421052631579,87.78947368421052,0,,,35.38947368421052,0.5736040609137056,16.651248843663275,16.49751432608637,108.1,13.0,13.0,13.0,35.3,35.3,1.5,1.5,0.0,35.99473684210527,35.489473684210516,8.456140350877194,-0.6052631578947368,-0.1000000000000003,0.5052631578947365,-2.0,-2.0,0.0,8.0,1.894736842105263,2.5789473684210527,0.6842105263157895,8.252272414311102,0.6992853494818833,5,35.8,35.62456140350877,89.5
17,17,2020/12/26,6阪神7,晴,10,元町S(3勝クラス),,11,3,3,123.8,11,8,川又賢治,57,芝2000,良,-8.0,2:02.0,0.7,89.0,8-8-8-7,38.0-34.4,34.5,508(+4),,,ヴァンランディ,,8,,280.9866666666667,0.8263157894736843,85.21052631578948,0,,,35.38947368421052,0.6107784431137725,16.39344262295082,16.41773006918855,122.0,8.0,7.0,7.75,38.0,34.4,-3.5,0.10000000000000142,3.6000000000000014,36.252631578947366,35.047368421052624,3.9078947368421053,-0.863157894736842,0.34210526315789397,1.205263157894736,-1.0,0.0,1.0,4.105263157894737,-2.8421052631578947,-3.210526315789474,-0.3684210526315789,10.170545708072897,1.357672640955838,6,35.63333333333333,35.56315789473685,87.25
18,18,2021/02/13,1阪神1,晴,10,飛鳥S(3勝クラス),,9,7,7,90.5,8,9,坂井瑠星,57,芝1800,良,-13.0,1:48.1,1.8,79.0,2-2,36.6-33.5,35.2,428(+2),,,レッドベルディエス,,9,,169.30666666666667,0.6578947368421053,88.92105263157895,0,,,35.61052631578948,0.5698630136986301,16.651248843663275,16.37981825045837,108.1,2.0,2.0,2.0,36.6,33.5,-1.3999999999999986,1.7000000000000028,3.1000000000000014,36.392105263157895,35.54473684210527,6.342105263157895,-0.7815789473684206,0.06578947368421034,0.8473684210526309,-7.0,-7.0,0.0,6.552631578947368,0.21052631578947367,-0.21052631578947367,-0.42105263157894735,7.281148373059448,0.8005997094716237,7,35.1,35.84912280701755,84.5
19,19,2021/01/11,1中京4,晴,10,寿S(3勝クラス),,16,3,6,103.6,13.0,15,富田暁,51,芝2000,良,-6,2:02.4,2.0,80,4-3-3-2,35.3-36.0,37.8,462(+2),,,ツーエムアロンソ,,10,,225.19333333333333,1.0238095238095237,74.61904761904762,0,,,37.56190476190476,0.5658536585365853,16.33986928104575,16.07931488721376,122.4,4.0,2.0,3.0,35.3,36.0,2.5,1.7999999999999972,-0.7000000000000028,30.46190476190476,37.11904761904763,5.7976190476190474,7.1,0.44285714285714206,-6.6571428571428575,-13.0,-11.0,2.0,5.238095238095238,-1.5238095238095237,-0.47619047619047616,1.0476190476190477,13.159542306592895,1.4186260959111106,6,36.36666666666667,35.047619047619044,83.25
20,20,2021/01/11,1中京4,晴,10,寿S(3勝クラス),,16,1,2,25.5,8,3,亀田温心,55,芝2000,良,-6,2:00.6,0.2,95,1-1-1-1,35.3-36.0,36.2,464(+10),,,ツーエムアロンソ,465.3,11,,289.0411764705882,0.7300000000000001,86.4,0,,,35.735,0.6923076923076923,16.58374792703151,16.445760856603563,120.6,1.0,1.0,1.0,35.3,36.0,0.9000000000000057,0.20000000000000284,-0.7000000000000028,36.470000000000006,35.37499999999999,3.325,-0.7349999999999998,0.36000000000000015,1.095,-2.0,-2.0,0.0,3.6,-1.1,-1.55,-0.45,7.188741512611744,1.1942796384747099,6,35.833333333333336,35.86,92.75
21,21,2020/12/26,6阪神7,晴,10,元町S(3勝クラス),,11,6,6,50.5,8,10,和田竜二,57,芝2000,良,-8,2:02.1,0.8,88,6-5-4-7,38.0-34.4,34.8,452(+4),,,ヴァンランディ,,1,,203.11875,0.468,86.72,0,,,34.800000000000004,0.6,16.380016380016382,16.619597305069405,122.1,6.0,7.0,5.5,38.0,34.4,-3.200000000000003,0.3999999999999986,3.6000000000000014,36.227999999999994,34.784,5.69,-1.427999999999999,0.01600000000000051,1.4439999999999995,-3.0,-4.0,-1.0,5.68,0.56,0.72,0.16,8.74194472832768,0.8125586005267192,5,35.73333333333333,35.27066666666666,92.5
