,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
0,0,2022/02/27,2小倉6,晴,3,3歳未勝利,,14,7,11,11.2,5,3,小林凌大,51,ダ1000,良,11,1:00.3,0.4,73,1-1,34.9-36.3,36.7,490(-6),,,アスターヘキサゴン,130.0,1,,,1.0625,59.0,0,,,38.150000000000006,0,16.58374792703151,16.310680563620906,60.3,1.0,1.0,1.0,34.9,36.3,1.8000000000000043,0.4000000000000057,-1.3999999999999986,34.1125,37.225,2.4375,4.037500000000001,0.9250000000000016,-3.1125,-2.0,-2.0,0.0,2.375,-3.25,-3.125,0.125,17.205368097138308,2.077391526784383,3,35.96666666666667,36.49583333333334,66.25
1,1,2021/12/04,5中山1,晴,1,2歳未勝利,,16,6,11,2.8,1,9,石橋脩,55,ダ1200,稍,-7,1:14.2,1.8,55,3-3,33.7-38.7,40.2,472(+12),,,カリュウ,,2,,,0.9,72.0,0,,,36.260000000000005,0,16.172506738544474,16.733682803942827,74.2,3.0,3.0,3.0,33.7,38.7,6.5,1.5,-5.0,35.02,35.78,5.166666666666666,1.239999999999999,0.4799999999999997,-0.7599999999999995,-6.0,-6.0,0.0,5.0,-1.0,-0.6,0.4,8.87724932372385,2.2637849328552013,3,37.53333333333334,35.686666666666675,71.25
2,2,2021/06/26,3阪神3,曇,5,2歳新馬,,17,7,14,168.9,11,11,斎藤新,53,芝1400,良,-12,1:25.3,1.1,55,3-2,36.9-34.8,35.6,412(0),,出遅れ,タガノフィナーレ,,3,,,1.1,55.0,0,,,35.6,0,16.412661195779602,16.412661195779602,85.3,3.0,2.0,2.5,36.9,34.8,-1.2999999999999972,0.8000000000000043,2.1000000000000014,36.9,34.8,2.5,-1.2999999999999972,0.8000000000000043,2.1000000000000014,-9.0,-8.0,1.0,2.0,-9.0,-8.0,1.0,13.5,1.25,3,35.76666666666667,35.76666666666667,55.0
3,3,2022/02/26,2小倉5,晴,2,3歳未勝利,,18,4,7,340.8,16,8,斎藤新,54,芝1200,良,-8,1:09.5,1.2,74,7-6,33.4-34.9,35.5,456(-2),,,ニシノデフィレ,,4,,22.22222222222222,1.0222222222222224,66.33333333333333,0,,,35.43333333333334,0.5874125874125874,17.26618705035971,17.20268647197218,69.5,7.0,6.0,6.5,33.4,34.9,2.1000000000000014,0.6000000000000014,-1.5,33.76666666666667,34.74444444444444,4.055555555555555,1.6666666666666667,0.6888888888888892,-0.9777777777777774,-2.0,-1.0,1.0,3.888888888888889,-3.6666666666666665,-3.3333333333333335,0.3333333333333333,4.648655719667784,1.2644761761298635,3,34.6,34.64814814814815,69.25
4,4,2022/01/22,1中山7,晴,3,3歳新馬,,16,1,1,45.9,8,6,木幡育也,53,ダ1200,良,-6,1:14.8,2.5,49,6-5,34.6-37.7,39.7,400(0),,出遅れ,クールライズ,,5,,,2.5,49.0,0,,,39.7,0,16.0427807486631,16.0427807486631,74.8,6.0,5.0,5.5,34.6,37.7,5.100000000000001,2.0,-3.1000000000000014,34.6,37.7,5.5,5.100000000000001,2.0,-3.1000000000000014,-1.0,0.0,1.0,5.0,-1.0,0.0,1.0,10.5,2.950000000000003,3,37.333333333333336,37.333333333333336,49.0
5,5,2022/02/26,1阪神5,晴,2,3歳未勝利,,15,8,15,6.4,3,6,岩田望来,56,ダ1200,良,0,1:15.4,2.5,51,9-9,35.5-37.4,38.9,454(+2),,,ナムラフランク,,6,,,2.62,52.8,0,,,40.220000000000006,0,15.915119363395224,15.828283467078474,75.4,9.0,9.0,9.0,35.5,37.4,3.3999999999999986,1.5,-1.8999999999999986,35.58,38.160000000000004,5.5,4.640000000000001,2.060000000000001,-2.5799999999999996,3.0,3.0,0.0,5.4,-2.4,-2.0,0.4,12.406315595964285,2.9420797632513884,3,37.266666666666666,37.98666666666667,58.25
6,6,2022/02/26,2中山1,晴,4,3歳未勝利,,16,1,1,114.1,12,9,山田敬士,52,ダ1200,良,-5,1:14.6,2.3,53,10-10,34.9-37.4,38.4,446(-2),,出遅れ,ヤマトコウセイ,,7,,,1.425,58.5,0,,,36.3,0,16.0857908847185,16.3566755843578,74.6,10.0,10.0,10.0,34.9,37.4,3.5,1.0,-2.5,35.900000000000006,35.575,7.333333333333334,0.40000000000000036,0.7249999999999979,0.3249999999999975,1.0,1.0,0.0,7.5,-3.25,-3.25,0.0,6.04648658313239,1.630460057775104,3,36.9,35.925000000000004,58.5
7,7,2022/02/26,2中山1,晴,2,3歳未勝利,,16,8,16,92.8,8,14,小林脩斗,51,ダ1200,良,-5,1:14.8,2.0,49,8-11,34.6-38.2,39.3,418(-4),,,リュタン,,8,,,2.0,53.666666666666664,0,,,38.86666666666667,0,16.0427807486631,16.023442374935556,74.8,8.0,11.0,9.5,34.6,38.2,4.699999999999996,1.0999999999999943,-3.6000000000000014,34.833333333333336,38.03333333333334,9.5,4.033333333333331,0.8333333333333286,-3.200000000000003,-3.0,-6.0,-3.0,9.666666666666666,0.3333333333333333,0.0,-0.3333333333333333,5.3091901453988255,2.3983066943158033,3,37.36666666666667,37.24444444444444,53.666666666666664
8,8,2022/04/30,1福島5,晴,5,3歳未勝利,,16,3,6,6.8,3,4,岩田康誠,54,芝1200,重,6,1:11.0,0.3,77,6-6,34.5-36.2,36.1,452(-14),,,グラストンベリー,78.0,9,,49.333333333333336,0.7833333333333332,70.0,0,,,36.15,0.717391304347826,16.901408450704224,16.711627376430744,71.0,6.0,6.0,6.0,34.5,36.2,1.6000000000000014,-0.10000000000000142,-1.7000000000000028,34.983333333333334,36.01666666666667,6.916666666666667,1.1666666666666667,0.13333333333333286,-1.0333333333333339,2.0,2.0,0.0,6.666666666666667,0.0,0.5,0.5,7.264675505766355,1.3220268915724878,3,35.6,35.71666666666667,71.5
9,9,2022/02/20,2小倉4,曇,5,3歳未勝利,,18,5,10,7.0,3,7,横山和生,54,芝1200,重,18,1:11.4,1.0,73,16-18,35.1-35.3,35.1,432(-2),,,スクリーンショット,,10,,135.5,0.788888888888889,68.88888888888889,0,,,35.5,0.8181818181818182,16.806722689075627,16.83072935190465,71.4,16.0,18.0,17.0,35.1,35.3,0.0,-0.19999999999999574,-0.19999999999999574,35.03333333333333,35.288888888888884,5.777777777777778,0.4666666666666662,0.21111111111111094,-0.25555555555555526,11.0,9.0,-2.0,6.111111111111111,1.2222222222222223,0.5555555555555556,-0.6666666666666666,7.892401408950257,0.6425729530566943,3,35.166666666666664,35.27407407407407,73.75
