,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
542,542,2021/02/14,1東京6,晴,6,4歳以上1勝クラス,,14,2,2,376.4,13,8,柴田大知,57,ダ2100,良,0.0,2:15.2,2.8,74.0,9-9-11-12,31.7-37.5,39.1,502(0),,,アメリカンフェイス,,7,,52.5,2.3058823529411767,64.11764705882354,0,,,39.61764705882353,0.38461538461538464,15.532544378698226,15.379966109041167,135.2,9.0,12.0,10.25,31.7,37.5,7.400000000000002,1.6000000000000014,-5.800000000000001,35.42352941176472,38.576470588235296,9.426470588235293,4.194117647058825,1.0411764705882363,-3.1529411764705872,4.0,1.0,-3.0,9.411764705882353,0.47058823529411764,0.5882352941176471,0.11764705882352941,11.202540496701939,1.2184917817622831,5,36.1,37.87254901960784,69.75
543,543,2020/05/09,2東京5,晴,5,3歳未勝利,,18,4,8,3.5,1,6,ルメール,56,芝1600,良,-21.0,1:34.4,1.1,80.0,7-7,34.5-35.1,35.3,520(0),,出遅れ,ビバヴィットーリオ,,8,,,1.4,72.0,0,,,35.25,0.0,16.94915254237288,16.604657571999446,94.4,7.0,7.0,7.0,34.5,35.1,0.7999999999999972,0.19999999999999574,-0.6000000000000014,35.7,35.1,9.166666666666668,-0.4499999999999993,0.14999999999999858,0.5999999999999979,1.0,1.0,0.0,9.0,2.0,2.5,0.5,7.3181661333667165,1.4383632673594264,4,34.96666666666667,35.35000000000001,72.0
544,544,2020/12/06,6阪神2,晴,8,3歳以上1勝クラス,,9,1,1,48.6,8,7,鮫島良太,56,ダ1800,良,1.0,1:55.6,1.8,75.0,6-6-7-8,38.3-37.5,38.6,494(+2),,,グレートバローズ,,9,,68.42857142857143,1.01875,69.0625,0,,,38.97500000000001,0.672316384180791,15.570934256055365,15.747246923507891,115.6,6.0,8.0,6.75,38.3,37.5,0.30000000000000426,1.1000000000000014,0.7999999999999972,33.2875,38.475,4.661458333333334,5.687500000000002,0.5000000000000013,-5.187499999999998,1.0,-1.0,-2.0,4.625,-0.5625,-0.8125,-0.25,11.515297483112082,1.1549202701701216,4,38.13333333333333,36.912499999999994,74.75
545,545,2021/03/21,2中京4,小雨,6,4歳以上1勝クラス,,11,2,2,12.6,6,4,幸英明,55,ダ1800,不,-23,1:53.2,0.2,74,10-9-10-9,37.1-38.2,37.3,434(+16),,出脚鈍い,ラブスピール,110.0,1,,113.875,0.8249999999999998,74.25,0,,,37.5,0.7222222222222222,15.901060070671377,15.909369486041179,113.2,10.0,9.0,9.5,37.1,38.2,0.19999999999999574,-0.9000000000000057,-1.1000000000000014,36.56666666666666,37.533333333333324,8.326388888888888,0.9333333333333318,-0.03333333333333499,-0.9666666666666668,5.0,6.0,1.0,8.25,2.25,2.4166666666666665,0.16666666666666666,7.195494974565271,1.6990773688462346,4,37.53333333333333,37.199999999999996,77.75
546,546,2020/11/14,3福島5,晴,7,3歳以上1勝クラス,,16,2,4,5.2,1,4,西村淳也,53,芝2000,良,0,2:01.1,0.4,93,8-9-11-11,35.4-37.6,36.8,414(-6),,出遅れ,ベストクィーン,110.0,2,,,0.47777777777777763,77.22222222222223,0,,,35.37777777777778,0.0,16.51527663088357,16.30640037142321,121.1,8.0,11.0,9.75,35.4,37.6,1.3999999999999986,-0.8000000000000043,-2.200000000000003,36.51111111111111,35.8,8.037037037037036,-1.1333333333333329,-0.4222222222222227,0.7111111111111101,7.0,4.0,-3.0,7.888888888888889,3.2222222222222223,3.2222222222222223,0.0,12.204917041913886,1.261942946412396,4,36.6,35.8962962962963,89.0
547,547,2021/01/23,1小倉3,雨,7,4歳以上1勝クラス,,16,7,13,9.8,4,12,藤岡康太,54,ダ1700,重,-17,1:44.8,1.8,83,9-7-7-5,29.8-36.1,37.3,418(-4),,,ミモザゴール,,3,,199.2,0.9000000000000001,77.3,0,,,37.260000000000005,0.6885245901639344,16.22137404580153,16.119110809629216,104.8,9.0,5.0,7.0,29.8,36.1,7.4999999999999964,1.1999999999999957,-6.300000000000001,34.690000000000005,36.900000000000006,5.35,2.57,0.36000000000000015,-2.21,-7.0,-3.0,4.0,5.0,-0.5,0.2,0.7,7.135060680126758,0.942039286085737,4,34.4,36.28333333333333,78.75
548,548,2021/03/27,3中山1,晴,7,4歳以上1勝クラス,,16,1,1,279.8,16,12,小林脩斗,52,ダ1800,良,-5,1:56.3,1.6,71,8-8-9-8,37.2-37.7,38.6,466(+2),,,ジュールサイクル,,4,,62.333333333333336,2.01,66.7,0,,,39.760000000000005,0.4049586776859504,15.477214101461737,15.572103621861208,116.3,8.0,8.0,8.25,37.2,37.7,1.3999999999999986,0.8999999999999986,-0.5,35.49,38.400000000000006,6.325,4.269999999999999,1.3600000000000008,-2.909999999999998,-4.0,-4.0,0.0,6.4,-2.9,-3.0,-0.1,8.088355061649173,1.377805177606042,4,37.833333333333336,37.88333333333333,71.0
549,549,2021/02/13,2小倉1,晴,8,4歳以上1勝クラス,,15,7,12,12.0,5,7,浜中俊,54,ダ1700,良,1,1:48.2,2.0,69,11-11-12-8,30.7-37.6,38.5,448(0),,,カグラヒメ,,5,,134.625,0.875,74.83333333333333,0,,,37.208333333333336,0.6226415094339622,15.711645101663585,15.945805796110806,108.2,11.0,8.0,10.5,30.7,37.6,7.800000000000001,0.8999999999999986,-6.900000000000002,36.28333333333333,37.35833333333333,10.104166666666666,0.9249999999999998,-0.14999999999999977,-1.0749999999999995,1.0,4.0,3.0,8.75,3.0,5.166666666666667,2.1666666666666665,7.918968314849961,1.4775239162453258,4,35.6,36.95,79.25
550,550,2020/11/25,名古屋,晴,11,名古屋CCヴァルカン,,10,8,9,10.5,3,3,大畑雅章,55,ダ1900,良,15,2:08.2,1.4,63,2-3-2,0.0-40.7,41.7,486(+8),,,クリノキングボス,12.2,6,,73.17142857142858,1.7571428571428573,71.71428571428571,0,,,37.942857142857136,0.4659090909090909,14.82059282371295,15.986636051531827,128.2,2.0,2.0,2.3333333333333335,0.0,40.7,41.7,1.0,-40.7,31.907142857142855,36.84285714285715,6.827380952380953,6.035714285714284,1.099999999999999,-4.935714285714286,-1.0,-1.0,0.0,7.0,-1.1428571428571428,-1.5714285714285714,-0.42857142857142855,6.042810236599819,1.6697305171793446,5,27.46666666666667,35.56428571428571,71.25
551,551,2021/03/03,川崎,晴,10,マーチスター賞,,14,4,5,30.4,10,10,矢野貴之,55.0,ダ1600,稍,-15,1:44.2,0.8,54,14-13-13-10,37.7-39.4,39.3,456(-6),,,デランブル,,7,,33.333333333333336,1.0875,75.9375,0,,,36.95625,0.3711340206185567,15.355086372360844,16.216185439434025,104.2,14.0,10.0,12.5,37.7,39.4,1.5999999999999943,-0.10000000000000142,-1.6999999999999957,34.25625,36.71250000000001,9.59375,2.6999999999999993,0.24374999999999902,-2.4562500000000003,0.0,4.0,4.0,9.0625,0.875,1.6875,0.8125,9.171190034210316,1.9634726668570681,5,38.8,35.974999999999994,65.75
