,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
0,0,2022/04/10,2阪神6,晴,8,吹田特別(2勝クラス),,13,6,8,8.4,5,4,小沢大仁,57,ダ1800,良,-5,1:53.6,0.3,87,1-1-1-1,38.3-38.5,38.8,508(0),,,メイショウミカワ,230.0,1,,376.13,0.9916666666666667,81.66666666666667,0,,,38.699999999999996,0.8062015503875969,15.845070422535212,15.924773337149077,113.6,1.0,1.0,1.0,38.3,38.5,0.5,0.29999999999999716,-0.20000000000000284,35.78333333333333,37.891666666666666,2.6875,2.916666666666668,0.808333333333333,-2.1083333333333347,-3.0,-3.0,0.0,2.75,-1.6666666666666667,-1.75,-0.08333333333333333,17.547568485784964,1.6653091118077217,5,38.53333333333333,37.45833333333333,89.0
1,1,2022/05/15,2東京8,曇,10,青竜S(OP),,13,6,9,14.2,7,7,ルメール,56,ダ1600,稍,-19,1:37.0,1.5,87,2-3,35.0-36.4,37.7,490(-2),,,ハセドン,,2,,95.0,0.5714285714285714,88.42857142857143,0,,,36.72857142857142,0.6,16.49484536082474,16.683209124478395,97.0,2.0,3.0,2.5,35.0,36.4,2.700000000000003,1.3000000000000043,-1.3999999999999986,34.67142857142857,36.60000000000001,4.857142857142857,2.057142857142857,0.1285714285714294,-1.9285714285714275,-4.0,-5.0,-1.0,4.428571428571429,0.7142857142857143,1.5714285714285714,0.8571428571428571,8.971308432999058,1.1691342951089927,3,36.36666666666667,36.0,93.75
2,2,2022/07/03,3小倉2,曇,10,西部スポニチ賞(2勝クラス),,12,2,2,3.3,2,4,松山弘平,57,ダ1700,良,-2,1:46.7,0.7,81,5-5-6-7,31.5-36.8,37.0,478(-6),,,ディパッセ,230.0,3,,218.46153846153845,1.0499999999999998,79.77777777777777,0,,,37.66111111111112,0.7278911564625851,15.932521087160262,16.000555451682956,106.7,5.0,7.0,5.75,31.5,36.8,5.5,0.20000000000000284,-5.299999999999997,33.61666666666667,37.59444444444444,8.444444444444445,4.044444444444445,0.06666666666666643,-3.977777777777779,3.0,1.0,-2.0,7.555555555555555,3.1666666666666665,4.611111111111111,1.4444444444444444,12.61248556961582,0.7538635482018472,4,35.1,36.290740740740745,87.25
3,3,2022/07/09,3小倉3,晴,8,3歳以上1勝クラス,,16,1,2,5.6,2,1,松山弘平,52,ダ1700,重,-17,1:44.3,0.0,88,4-4-4-3,28.6-38.5,38.3,474(-4),,,(マテンロウルビー),770.0,4,,645.0,0.82,67.9,0,,,37.67,1.0,16.299137104506233,16.191518891733807,104.3,4.0,3.0,3.75,28.6,38.5,9.699999999999996,-0.20000000000000284,-9.899999999999999,34.190000000000005,37.64,7.8,3.4799999999999995,0.029999999999999007,-3.4500000000000006,2.0,3.0,1.0,7.8,1.4,1.4,0.0,13.746224124680582,1.0298038006186399,3,35.13333333333333,36.5,72.5
4,4,2022/07/03,3小倉2,晴,12,3歳以上1勝クラス,,13,8,13,2.2,1,1,今村聖奈,50,ダ1700,良,-2,1:45.4,0.0,92,8-8-6-5,29.8-39.0,38.4,498(0),,,(ケイアイメビウス),770.0,5,,456.6666666666667,0.7749999999999999,79.25,0,,,38.8,0.7878787878787878,16.129032258064516,15.909962759516045,105.4,8.0,5.0,6.75,29.8,39.0,8.599999999999998,-0.6000000000000014,-9.2,34.949999999999996,38.4,5.25,3.8499999999999988,0.40000000000000036,-3.4499999999999984,4.0,7.0,3.0,4.75,0.75,1.75,1.0,10.244998779892558,1.497464523786789,3,35.733333333333334,37.38333333333333,79.25
5,5,2022/07/09,3小倉3,晴,10,インディアT(2勝クラス),,12,8,11,15.4,6.0,5,秋山真一,57,ダ1700,重,-17,1:43.9,1.2,92,4-5-6-7,29.1-36.8,37.4,458(+8),,,アラジンバローズ,151.0,6,,157.0,0.65,80.14285714285714,0,,,36.4,0.8823529411764706,16.361886429258902,16.573333947503716,103.9,4.0,7.0,5.5,29.1,36.8,8.299999999999997,0.6000000000000014,-7.699999999999996,34.32142857142857,36.621428571428574,8.839285714285714,2.078571428571427,-0.22142857142857203,-2.2999999999999994,2.0,-1.0,-3.0,8.714285714285714,4.285714285714286,4.428571428571429,0.14285714285714285,11.108355213781902,1.8265450081141357,4,34.43333333333333,35.78095238095238,87.5
6,6,2022/03/20,1阪神12,曇,12,4歳以上2勝クラス,,16,4,7,7.8,5,3,中井裕二,57,ダ1800,重,-9,1:52.3,0.2,95,11-11-10-8,36.4-38.6,37.7,484(0),,,ラズルダズル,280.0,7,,188.1,1.4899999999999998,77.3,0,,,38.349999999999994,0.6789473684210526,16.028495102404275,15.83597574905275,112.3,11.0,8.0,10.0,36.4,38.6,1.3000000000000043,-0.8999999999999986,-2.200000000000003,30.120000000000005,38.13,9.658333333333333,8.23,0.21999999999999958,-8.01,5.0,8.0,3.0,9.55,4.65,4.55,-0.1,25.648681745529277,1.8137794569261574,6,37.56666666666667,35.53333333333333,93.0
7,7,2022/07/03,3小倉2,曇,10,西部スポニチ賞(2勝クラス),,12,8,12,10.8,4,2,高倉稜,55,ダ1700,良,-2,1:46.6,0.6,82,3-3-3-2,31.5-36.8,37.1,476(-2),,,ディパッセ,608.0,8,,173.1764705882353,1.1074074074074074,78.74074074074075,0,,,38.01851851851852,0.6946902654867256,15.947467166979363,16.06933678076816,106.6,3.0,2.0,2.75,31.5,36.8,5.600000000000001,0.30000000000000426,-5.299999999999997,34.38148148148147,37.53703703703704,6.935185185185185,3.6370370370370377,0.48148148148148173,-3.155555555555555,0.0,1.0,1.0,6.888888888888889,1.037037037037037,1.0740740740740742,0.037037037037037035,14.66405260408971,1.2352961720385363,5,35.13333333333333,36.64567901234569,81.75
8,8,2022/06/25,3阪神3,小雨,9,鷹取特別(2勝クラス),,16,5,9,99.6,12,5,西村淳也,57,ダ2000,良,-6,2:06.9,1.2,88,7-6-6-5,34.8-38.9,39.6,480(+2),,,カフジオクタゴン,151.0,9,,162.23809523809524,0.8956521739130435,82.56521739130434,0,,,38.091304347826096,0.6556016597510373,15.760441292356186,15.80145954442537,126.9,7.0,5.0,6.0,34.8,38.9,4.800000000000004,0.7000000000000028,-4.100000000000001,36.4695652173913,37.995652173913044,6.880434782608695,1.6217391304347841,0.0956521739130436,-1.5260869565217405,0.0,2.0,2.0,6.782608695652174,1.7826086956521738,2.0,0.21739130434782608,8.680677776917346,0.7913486203241205,5,37.766666666666666,37.51884057971015,85.75
9,9,2022/07/03,3小倉2,曇,7,3歳以上1勝クラス,,12,5,6,3.9,2,1,松山弘平,57,ダ1700,良,-2,1:45.0,0.0,96,4-3-2-2,29.6-37.8,37.6,458(-2),,,(ニューダイアリーズ),770.0,10,,199.0,0.8785714285714284,79.71428571428571,0,,,38.471428571428575,0.7197452229299363,16.19047619047619,15.845727463215662,105.0,4.0,2.0,2.75,29.6,37.8,8.0,-0.19999999999999574,-8.199999999999996,35.09285714285714,37.87857142857143,3.625,3.378571428571429,0.5928571428571442,-2.7857142857142847,1.0,3.0,2.0,3.2857142857142856,-1.3571428571428572,-0.7142857142857143,0.6428571428571429,10.20762242422571,1.2614629954496834,4,35.0,37.147619047619045,87.75
10,10,2022/07/10,3小倉4,晴,8,3歳以上1勝クラス,,15,8,14,2.3,1,1,松山弘平,52,ダ1700,稍,-2,1:45.4,0.0,92,5-4-4-2,29.2-38.8,38.5,486(+2),,,(ペルアア),770.0,11,,411.25,0.36,79.2,0,,,38.120000000000005,0.8913043478260869,16.129032258064516,15.850252721999269,105.4,5.0,2.0,3.75,29.2,38.8,9.3,-0.29999999999999716,-9.599999999999998,35.660000000000004,38.1,4.15,2.46,0.020000000000000285,-2.44,1.0,4.0,3.0,3.6,1.2,2.0,0.8,11.190273554396345,0.9668103341515456,3,35.5,37.29333333333334,84.5
11,11,2022/07/09,3小倉3,晴,10,インディアT(2勝クラス),,12,5,5,37.8,8,4,松山弘平,57,ダ1700,重,-17,1:43.7,1.0,93,2-2-2-2,29.1-36.8,37.6,522(+2),,,アラジンバローズ,230.0,12,,81.10714285714286,1.2593750000000001,71.5625,0,,,39.2375,0.6308139534883721,16.39344262295082,15.66971313857714,103.7,2.0,2.0,2.0,29.1,36.8,8.5,0.8000000000000043,-7.699999999999996,35.006249999999994,38.428125,4.494791666666666,4.23125,0.8093750000000004,-3.4218749999999982,-2.0,-2.0,0.0,4.875,-0.90625,-1.40625,-0.5,14.324713918043615,1.1956840045560313,6,34.5,37.55729166666667,88.25
12,12,2022/07/09,3小倉3,晴,10,インディアT(2勝クラス),,12,7,9,72.2,10,6,北村友一,57,ダ1700,重,-17,1:44.0,1.3,91,9-9-9-8,29.1-36.8,37.1,496(-4),,,アラジンバローズ,,13,,156.33333333333334,1.2411764705882349,77.11764705882354,0,,,38.42941176470588,0.7052631578947368,16.346153846153847,15.787613054792716,104.0,9.0,8.0,8.75,29.1,36.8,8.0,0.30000000000000426,-7.699999999999996,36.205882352941174,37.57647058823529,4.470588235294118,2.2235294117647055,0.8529411764705882,-1.3705882352941174,2.0,3.0,1.0,4.588235294117647,-0.8823529411764706,-1.1764705882352942,-0.29411764705882354,12.299377681737587,1.0143416036468624,5,34.333333333333336,37.40392156862747,83.25
13,13,2022/06/04,4中京1,晴,9,弥富特別(2勝クラス),,16,1,1,77.6,13,11,加藤祥太,54,ダ1800,良,-11,1:53.7,2.6,81,7-7-6-6,36.9-37.6,39.1,518(0),,,タイセイドレフォン,,14,,160.92857142857142,1.111764705882353,72.47058823529412,0,,,38.682352941176475,0.66875,15.831134564643799,15.73408218718497,113.7,7.0,6.0,6.5,36.9,37.6,2.200000000000003,1.5,-0.7000000000000028,36.33529411764706,38.14117647058824,4.75,2.347058823529411,0.541176470588235,-1.8058823529411758,-5.0,-4.0,1.0,4.588235294117647,-1.0,-0.8823529411764706,0.11764705882352941,11.020883655279638,0.8249392046436053,4,37.86666666666667,37.71960784313725,79.5
14,14,2022/06/14,笠松,雨,8,根尾川特別,,7,7,7,5.4,3,1,渡辺竜也,57,ダ1400,稍,6,1:29.9,0.0,65,3-3-2,0.0-40.1,39.5,456(+2),,,(アイリスクォーツ),70.0,15,,12.833333333333334,1.435294117647059,68.23529411764706,0,,,38.90000000000001,0.5,15.57285873192436,16.01353864587523,89.9,3.0,2.0,2.6666666666666665,0.0,40.1,39.5,-0.6000000000000014,-40.1,32.33529411764706,38.04705882352942,5.524509803921568,6.564705882352941,0.8529411764705879,-5.711764705882351,1.0,2.0,1.0,5.705882352941177,-1.8235294117647058,-2.1176470588235294,-0.29411764705882354,12.320939718850813,1.7722831755453161,4,26.53333333333333,36.42745098039216,77.0
15,15,2022/05/21,3中京5,曇,8,4歳以上2勝クラス,,16,5,9,13.6,5,15,藤懸貴志,57,ダ1400,良,-9,1:26.3,2.5,68,16-16,34.2-37.5,37.3,506(0),,躓く,メイショウオーギシ,,16,,224.33333333333334,1.157142857142857,80.42857142857143,0,,,37.857142857142854,0.5263157894736842,16.22247972190035,16.248509247653523,86.3,16.0,16.0,16.0,34.2,37.5,3.0999999999999943,-0.20000000000000284,-3.299999999999997,35.364285714285714,37.17142857142858,4.428571428571429,2.492857142857143,0.6857142857142853,-1.8071428571428574,1.0,1.0,0.0,4.642857142857143,-1.8571428571428572,-2.357142857142857,-0.5,12.90891165048394,1.7203875532371575,5,36.333333333333336,36.79761904761904,79.75
16,16,2022/06/12,4中京4,晴,7,3歳以上1勝クラス,,16,8,16,89.6,14,1,角田大河,49,ダ1400,良,-18,1:24.2,0.0,84,6-6,33.9-38.2,37.6,478(+4),,,(ヴィゴラスダンサー),770.0,1,,0.0,1.6333333333333335,65.66666666666667,0,,,38.9,0.0,16.6270783847981,16.061403627714977,84.2,6.0,6.0,6.0,33.9,38.2,3.700000000000003,-0.6000000000000014,-4.300000000000004,35.29999999999999,37.95,7.083333333333333,3.599999999999999,0.9499999999999981,-2.650000000000001,5.0,5.0,0.0,8.5,0.5,-1.5,-2.0,15.78167369101883,1.3822489807910723,3,36.56666666666667,37.38333333333333,63.0
17,17,2022/05/08,1新潟2,晴,9,咲花特別(2勝クラス),,14,7,11,3.4,1,7,菱田裕二,55,ダ1800,良,-4,1:53.5,1.1,86,8-8-8-7,36.0-38.2,38.5,482(-2),,,カナリキケン,,2,,318.8888888888889,0.3777777777777778,82.22222222222223,0,,,38.144444444444446,0.8739495798319328,15.859030837004406,15.879192867472925,113.5,8.0,7.0,7.75,36.0,38.2,2.5,0.29999999999999716,-2.200000000000003,34.0,38.27777777777777,5.416666666666667,4.144444444444446,-0.13333333333333208,-4.277777777777778,0.0,1.0,1.0,3.6666666666666665,1.0,3.888888888888889,2.888888888888889,7.368174807915458,0.6587867636800242,4,37.56666666666667,36.8074074074074,84.25
18,18,2022/06/05,3東京2,曇,12,小金井特別(2勝クラス),,10,6,6,7.3,5,4,丸山元気,55,ダ1600,良,-17,1:37.5,0.8,85,4-4,36.2-35.9,36.0,462(-6),,,アイリッシュムーン,230.0,3,,197.73793103448276,0.8564102564102564,85.71794871794872,0,,,37.346153846153854,0.7044198895027625,16.41025641025641,15.955433598493855,97.5,4.0,4.0,4.0,36.2,35.9,-0.20000000000000284,0.10000000000000142,0.30000000000000426,35.784615384615385,37.47692307692308,9.435897435897436,1.5615384615384618,-0.13076923076923117,-1.692307692307693,0.0,0.0,0.0,8.897435897435898,3.5128205128205128,4.153846153846154,0.6410256410256411,9.957911427603682,0.810551509775906,7,36.03333333333334,36.869230769230775,86.75
19,19,2022/05/21,2東京9,曇,12,4歳以上2勝クラス,,16,6,12,20.6,7,12,戸崎圭太,55,ダ1600,稍,-18,1:37.4,1.2,84,8-10,34.4-37.3,37.2,468(-10),,,ジェロボーム,,4,,183.375,0.8333333333333334,75.9047619047619,0,,,38.05714285714286,0.78125,16.427104722792606,15.969024464653367,97.4,8.0,10.0,9.0,34.4,37.3,2.8000000000000043,-0.09999999999999432,-2.8999999999999986,34.26190476190476,37.74761904761905,5.285714285714286,3.7952380952380955,0.3095238095238092,-3.485714285714287,-2.0,-4.0,-2.0,5.333333333333333,0.5238095238095238,0.47619047619047616,-0.047619047619047616,8.403069096939157,1.339112818434604,4,36.300000000000004,36.68888888888888,86.0
20,20,2022/05/28,3中京7,晴,12,4歳以上2勝クラス,,16,1,1,17.0,6,6,藤岡康太,55,ダ1200,稍,-13,1:11.6,0.5,91,12-11,34.6-36.5,35.8,420(+8),,出遅れ,アシタバ,,5,,,0.5666666666666667,81.0,0,,,37.141666666666666,0.0,16.75977653631285,16.41818128668051,71.6,12.0,11.0,11.5,34.6,36.5,1.1999999999999957,-0.7000000000000028,-1.8999999999999986,34.99999999999999,37.5,8.375,2.141666666666667,-0.35833333333333367,-2.5000000000000004,5.0,6.0,1.0,8.166666666666666,4.416666666666667,4.833333333333333,0.4166666666666667,9.237177262940353,0.7751312162252696,4,35.63333333333333,36.547222222222224,87.25
21,21,2022/05/15,3中京4,曇,12,4歳以上2勝クラス,,6,2,2,10.5,5,5,藤懸貴志,55,ダ1800,稍,-16,1:54.6,1.7,68,4-5-5-5,37.1-37.5,37.4,462(-4),,,メガキャット,111.0,6,,135.71666666666667,0.8657142857142858,76.8,0,,,38.13999999999999,0.6136363636363636,15.706806282722514,16.159243729096847,114.6,4.0,5.0,4.75,37.1,37.5,0.29999999999999716,-0.10000000000000142,-0.3999999999999986,33.12285714285715,37.93714285714285,6.56904761904762,5.017142857142858,0.2028571428571429,-4.814285714285713,0.0,-1.0,-1.0,6.771428571428571,1.7142857142857142,1.457142857142857,-0.2571428571428571,9.96208088481295,1.147981992158844,6,37.333333333333336,36.39999999999999,78.5
22,22,2022/06/11,4中京3,小雨,12,3歳以上2勝クラス,,12,2,2,34.8,7.0,7,藤田菜七,53,ダ1800,良,-20,1:53.6,0.9,76,2-2-2-2,38.2-35.8,36.5,514(0),,,ランスオブアース,,7,,111.12727272727274,0.8074074074074075,84.77777777777777,0,,,37.32222222222222,0.5140845070422535,15.845070422535212,16.370179261669367,113.6,2.0,2.0,2.0,38.2,35.8,-1.7000000000000028,0.7000000000000028,2.4000000000000057,34.12222222222223,37.218518518518515,7.175925925925926,3.2,0.10370370370370387,-3.0962962962962965,-5.0,-5.0,0.0,7.148148148148148,0.8888888888888888,0.9629629629629629,0.07407407407407407,7.013834725100129,1.113982330494098,6,36.833333333333336,36.220987654320986,86.5
