,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
0,0,2022/07/17,2福島6,小雨,12,3歳以上1勝クラス,,15,5,8,82.7,13,10,小林脩斗,52,ダ1700,稍,-14,1:46.6,1.9,77,6-8-5-5,29.8-37.2,38.5,488(-2),,,バレルゾーン,,1,,,0.825,54.375,0,,,37.962500000000006,0,15.947467166979363,15.985469287837809,106.6,6.0,5.0,6.0,29.8,37.2,8.7,1.2999999999999972,-7.400000000000002,17.4625,37.7875,4.34375,20.5,0.17499999999999805,-20.325000000000003,-5.0,-4.0,1.0,4.125,-1.0,-0.625,0.375,20.650531335644718,1.232882800593795,4,35.166666666666664,31.070833333333333,70.25
1,1,2022/06/19,1函館4,曇,9,八雲特別(1勝クラス),,11,4,4,2.1,1,4,池添謙一,55,芝1800,良,-15,1:49.0,0.7,81,3-3-3-3,36.7-34.5,34.6,430(+2),,,コルベイユ,160.0,2,,170.66666666666666,0.3,89.57142857142857,0,,,34.878571428571426,0.7984496124031008,16.513761467889907,16.83067144014524,109.0,3.0,3.0,3.0,36.7,34.5,-2.1000000000000014,0.10000000000000142,2.200000000000003,35.385714285714286,35.33571428571428,7.702380952380952,-0.5071428571428582,-0.457142857142857,0.05000000000000122,-1.0,-1.0,0.0,7.428571428571429,3.7857142857142856,4.285714285714286,0.5,5.326662494783514,0.3627058802329453,5,35.266666666666666,35.199999999999996,88.25
2,2,2022/06/05,3東京2,曇,8,3歳以上1勝クラス,,13,6,9,4.1,1,3,ルメール,54,芝1600,良,-19,1:33.1,0.3,96,3-3,34.7-34.9,35.0,546(-2),,,フォティノース,190.0,3,,330.5,0.5,80.71428571428571,0,,,35.21428571428571,0.873015873015873,17.185821697099893,16.780469362748267,93.1,3.0,3.0,3.0,34.7,34.9,0.29999999999999716,0.10000000000000142,-0.19999999999999574,35.65714285714286,35.24285714285714,3.8452380952380953,-0.4428571428571451,-0.028571428571428976,0.4142857142857161,0.0,0.0,0.0,3.7142857142857144,0.42857142857142855,0.42857142857142855,0.0,15.46770829825802,1.1201980851617277,3,34.86666666666667,35.371428571428574,88.75
3,3,2022/05/29,3中京8,晴,6,3歳1勝クラス,,15,2,3,27.9,10,12,角田大河,53,ダ1800,良,-16,1:55.0,2.9,64,6-6-8-8,37.0-37.8,40.1,464(-8),,,ドライゼ,,4,,93.33333333333333,1.3125,70.5,0,,,38.3125,0.5,15.652173913043478,15.91455275577037,115.0,6.0,8.0,7.0,37.0,37.8,3.1000000000000014,2.3000000000000043,-0.7999999999999972,36.150000000000006,37.512499999999996,6.5,2.1625000000000005,0.8000000000000007,-1.3624999999999998,-4.0,-6.0,-2.0,6.5,0.375,0.375,0.0,8.390176501623495,2.5823235780452456,3,38.300000000000004,37.324999999999996,67.0
4,4,2022/06/05,4中京2,晴,6,3歳未勝利,,16,3,5,6.2,4,1,今村聖奈,50,芝1600,良,-14,1:34.1,0.0,90,6-3-3,35.0-35.7,35.3,436(0),,,(アオイゴールドワン),520.0,5,,177.0,0.5199999999999999,79.8,0,,,35.4,0.734375,17.003188097768334,16.73391551126233,94.1,6.0,3.0,4.0,35.0,35.7,0.29999999999999716,-0.4000000000000057,-0.7000000000000028,35.42,35.34,5.3,-0.020000000000001704,0.05999999999999801,0.07999999999999971,2.0,5.0,3.0,5.2,0.6,1.0,0.4,7.057305119913377,0.5520165053893056,3,35.333333333333336,35.38666666666667,79.0
5,5,2022/07/24,1札幌2,晴,12,3歳以上1勝クラス,,11,6,6,17.1,6,6,菱田裕二,55,芝1500,良,-2,1:30.1,0.9,88,7-6-6,29.4-35.3,35.5,418(-4),,,セッタレダスト,,6,,169.525,0.8437500000000001,85.3125,0,,,35.806250000000006,0.5,16.64816870144284,16.5641793975496,90.1,7.0,6.0,6.333333333333333,29.4,35.3,6.100000000000001,0.20000000000000284,-5.899999999999999,34.35000000000001,35.54999999999999,6.203125,1.456250000000001,0.25625000000000053,-1.2000000000000004,0.0,1.0,1.0,6.4375,-0.1875,-0.4375,-0.25,6.332756605805539,1.422191885009006,4,33.4,35.235416666666666,84.0
6,6,2022/07/23,1札幌1,曇,8,3歳以上1勝クラス,,13,5,6,8.6,3,6,菱田裕二,54,芝1200,稍,-4,1:10.9,1.0,77,5-5,34.0-35.9,36.3,478(-2),,,ドグマ,,7,,132.4,0.9272727272727272,75.45454545454545,0,,,35.663636363636364,0.5384615384615384,16.92524682651622,16.848179850192768,70.9,5.0,5.0,5.0,34.0,35.9,2.299999999999997,0.3999999999999986,-1.8999999999999986,33.98181818181818,35.17272727272728,4.212121212121212,1.6818181818181814,0.4909090909090908,-1.1909090909090907,-1.0,-1.0,0.0,4.363636363636363,-2.727272727272727,-3.0,-0.2727272727272727,5.624845676895402,0.9393777491273441,3,35.4,34.93939393939394,77.25
7,7,2022/02/27,2中山2,晴,7,3歳1勝クラス,,10,4,4,36.3,6,7,Ｍ．デム,56,芝1600,良,-7,1:36.2,0.8,79,9-5-4,35.5-34.9,35.1,448(-4),,出遅れ,レッドモンレーヴ,,8,,155.0,0.775,77.75,0,,,35.025,0.7428571428571429,16.632016632016633,16.680019893584195,96.2,9.0,4.0,6.0,35.5,34.9,-0.3999999999999986,0.20000000000000284,0.6000000000000014,35.775,34.724999999999994,5.625,-0.75,0.3000000000000007,1.0500000000000007,-3.0,2.0,5.0,4.5,0.0,2.0,2.0,4.5431266766402185,0.909065454189081,3,35.166666666666664,35.175,77.75
8,8,2022/07/23,1札幌1,曇,8,3歳以上1勝クラス,,13,4,5,22.3,6,10,勝浦正樹,52,芝1200,稍,-4,1:11.4,1.5,70,10-10,34.0-35.9,36.2,442(-6),,,ドグマ,,9,,85.0,0.9416666666666665,73.58333333333333,0,,,35.75833333333333,0.4675324675324675,16.806722689075627,16.76755911751398,71.4,10.0,10.0,10.0,34.0,35.9,2.200000000000003,0.30000000000000426,-1.8999999999999986,34.28333333333333,35.75833333333333,9.097222222222223,1.4749999999999996,5.921189464667501e-16,-1.474999999999999,0.0,0.0,0.0,8.75,0.5833333333333334,1.1666666666666667,0.5833333333333334,10.148600043367395,1.0822942976591736,3,35.36666666666667,35.26666666666667,77.0
9,9,2022/07/24,1札幌2,晴,12,3歳以上1勝クラス,,11,2,2,80.7,10,11,荻野琢真,55,芝1500,良,-2,1:30.7,1.5,81,7-9-11,29.4-35.3,35.8,458(+20),,,セッタレダスト,,10,,76.66666666666667,1.1333333333333333,78.58333333333333,0,,,35.699999999999996,0.5263157894736842,16.5380374862183,16.737873836561256,90.7,7.0,11.0,9.0,29.4,35.3,6.399999999999999,0.5,-5.899999999999999,34.31666666666667,35.25,7.520833333333333,1.3833333333333329,0.4499999999999993,-0.9333333333333336,0.0,-4.0,-4.0,7.666666666666667,-1.5833333333333333,-1.9166666666666667,-0.3333333333333333,6.0196915527734935,0.9730693219526779,4,33.5,35.08888888888889,76.25
