,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,速度,速度平均,秒タイム,最初コーナー,最終コーナー,コーナー平均,前ペース,後ペース,上り-前ペース,上り-後ペース,前ペース-後ペース,前ペース平均,後ペース平均,コーナー平均平均,上り-前ペース平均,上り-後ペース平均,前ペース-後ペース平均,最終コーナーから着順,最初コーナーから着順,最初コーナーから最終コーナー,最終コーナー平均,最終コーナーから着順平均,最初コーナーから着順平均,最初コーナーから最終コーナー平均,ﾀｲﾑ指数偏差,上り偏差,本番年齢,ペース平均,上がりハロン平均,ﾀｲﾑ指数3平均
0,0,2021/11/20,5阪神5,晴,12,3歳以上2勝クラス,,16,7,13,2.8,1,6,岩田望来,56,ダ1200,良,-5,1:12.6,1.5,85,4-4,34.3-36.8,37.8,468(-4),,,エイシンバッカス,,1,,238.375,0.6375000000000001,83.0,0,,,37.3125,0.7339449541284404,16.528925619834713,16.561421493108757,72.6,4.0,4.0,4.0,34.3,36.8,3.5,1.0,-2.5,35.025,36.7875,1.6875,2.2874999999999996,0.5249999999999995,-1.7625000000000002,-2.0,-2.0,0.0,1.625,-3.0,-2.875,0.125,11.867582153616612,0.883315862860078,4,36.3,36.375,92.5
1,1,2022/05/24,大井,晴,11,’22メトロポリタン,,14,3,4,53.5,8,3,張田昂,55,ダ1200,稍,-13,1:11.7,0.4,87,7-5,34.4-36.9,36.9,483(+1),,,ギシギシ,176.0,2,,97.30000000000001,0.6923076923076923,64.46153846153847,0,,,38.169230769230765,0.6818181818181818,16.736401673640167,16.189387661082712,71.7,7.0,5.0,6.0,34.4,36.9,2.5,0.0,-2.5,29.01538461538462,37.82307692307692,4.1923076923076925,9.153846153846155,0.34615384615384726,-8.807692307692308,2.0,4.0,2.0,4.615384615384615,-1.3846153846153846,-2.1538461538461537,-0.7692307692307693,19.54912702263042,1.0784768170424257,4,36.06666666666666,35.00256410256411,73.25
2,2,2022/05/08,2東京6,曇,12,立川特別(2勝クラス),,16,7,13,7.4,4,14,岩田望来,53,ダ1600,良,-11,1:38.1,1.6,84,1-1,35.4-36.5,38.1,494(0),,,クリーンスレイト,,3,,,0.5333333333333333,85.66666666666667,0,,,36.06666666666666,0.0,16.3098878695209,16.67255578664427,98.1,1.0,1.0,1.0,35.4,36.5,2.700000000000003,1.6000000000000014,-1.1000000000000014,35.63333333333333,35.65,1.833333333333333,0.43333333333333357,0.4166666666666667,-0.016666666666666902,-13.0,-13.0,0.0,2.0,-2.8333333333333335,-3.3333333333333335,-0.5,10.52499454651078,1.1398173860182121,5,36.666666666666664,35.78333333333333,92.75
3,3,2022/07/10,2福島4,曇,12,彦星賞(2勝クラス),,16,3,5,110.5,15,4,津村明秀,57,ダ1150,良,-12,1:08.2,0.9,87,5-4,31.1-36.2,36.6,494(-8),,,アティード,230.0,4,,123.80952380952381,0.9093750000000003,82.03125,0,,,37.92187499999999,0.6082474226804123,16.86217008797654,16.34553464742036,68.2,5.0,4.0,4.5,31.1,36.2,5.5,0.3999999999999986,-5.100000000000001,33.75625,37.46250000000001,4.578125,4.165625,0.45937499999999987,-3.7062500000000007,0.0,1.0,1.0,4.53125,-1.40625,-1.25,0.15625,9.631025775270784,1.5623908593654898,7,34.63333333333333,36.38020833333333,84.0
4,4,2022/07/10,3小倉4,晴,12,シンガポールTC賞(2勝クラス),,7,3,3,3.5,2,3,福永祐一,52,芝1200,良,-18,1:07.7,0.5,91,2-2,33.1-34.1,34.5,486(+8),,,テイエムトッキュウ,382.3,5,,334.8666666666667,0.7111111111111111,82.44444444444444,0,,,37.2888888888889,0.7954545454545454,17.725258493353028,16.628371637226504,67.7,2.0,2.0,2.0,33.1,34.1,1.3999999999999986,0.3999999999999986,-1.0,33.44444444444444,36.711111111111116,1.7777777777777777,3.8444444444444446,0.5777777777777781,-3.2666666666666666,-1.0,-1.0,0.0,1.7777777777777777,-2.6666666666666665,-2.6666666666666665,0.0,7.189575787207476,1.6125755796240995,3,33.9,35.81481481481481,86.75
5,5,2022/04/03,3中山4,雨,12,4歳以上2勝クラス,,14,4,8,9.1,5,14,永野猛蔵,55,ダ1200,稍,-8,1:12.3,1.1,81,9-8,34.1-37.1,37.4,530(-8),,,ライフレッスンズ,,6,,149.0909090909091,0.8466666666666668,82.73333333333333,0,,,37.78,0.5882352941176471,16.597510373443985,16.338084209462497,72.3,9.0,8.0,8.5,34.1,37.1,3.299999999999997,0.29999999999999716,-3.0,33.54666666666667,37.28666666666666,4.266666666666667,4.233333333333333,0.49333333333333373,-3.7399999999999993,-6.0,-5.0,1.0,4.133333333333334,-1.6,-1.3333333333333333,0.26666666666666666,7.921243194726444,1.2420843117518232,5,36.199999999999996,36.20444444444444,87.25
6,6,2022/05/14,3中京3,晴,12,4歳以上2勝クラス,,16,1,2,31.3,10,6,服部寿希,52,ダ1200,重,-17,1:11.7,0.7,85,7-6,33.8-37.2,37.4,482(-4),,出遅れ,ホッコーカリュウ,,7,,192.5,0.68,75.8,0,,,37.63,0.6764705882352942,16.736401673640167,16.617449027692896,71.7,7.0,6.0,6.5,33.8,37.2,3.6000000000000014,0.19999999999999574,-3.4000000000000057,34.42999999999999,37.13,2.75,3.2,0.5000000000000007,-2.6999999999999993,0.0,1.0,1.0,2.8,-2.6,-2.7,-0.1,9.31718398205015,1.4189974344614809,4,36.13333333333333,36.39666666666666,80.25
7,7,2022/04/17,2阪神8,晴,12,4歳以上2勝クラス,,15,2,2,13.9,6,7,角田大河,54,ダ1400,良,-8,1:25.6,1.4,80,7-7,34.9-37.0,37.7,476(0),,出遅れ,ローウェル,,8,,211.1,0.8363636363636363,81.72727272727273,0,,,37.42727272727273,0.6934306569343066,16.35514018691589,16.513939503486128,85.6,7.0,7.0,7.0,34.9,37.0,2.8000000000000043,0.7000000000000028,-2.1000000000000014,34.00000000000001,37.37272727272727,7.136363636363637,3.4272727272727295,0.05454545454545661,-3.372727272727272,0.0,0.0,0.0,6.909090909090909,1.2727272727272727,1.7272727272727273,0.45454545454545453,6.456585785072479,0.9151123185465029,4,36.53333333333333,36.26666666666667,78.75
8,8,2022/05/15,1新潟4,晴,7,4歳以上1勝クラス,,15,4,7,26.5,7,1,松本大輝,55,ダ1200,稍,-7,1:11.5,0.0,94,1-1,34.6-36.9,36.9,480(+2),,,(サウンドブライアン),770.0,9,,107.0,1.3142857142857145,65.28571428571429,0,,,38.02142857142858,0.5207100591715976,16.783216783216783,16.36525011841402,71.5,1.0,1.0,1.0,34.6,36.9,2.299999999999997,0.0,-2.299999999999997,33.46428571428571,37.25,5.035714285714286,4.557142857142858,0.7714285714285717,-3.785714285714285,0.0,0.0,0.0,6.071428571428571,-2.2142857142857144,-4.071428571428571,-1.8571428571428572,14.506090674839541,1.389708202785351,4,36.13333333333333,36.24523809523809,72.25
9,9,2022/04/10,3中山6,晴,12,4歳以上2勝クラス,,16,1,2,79.2,13,8,原優介,52,ダ1200,良,-13,1:12.5,0.6,74,4-4,34.2-37.7,38.0,468(+2),,出遅れ,リワードマレンゴ,,10,,113.6842105263158,0.9894736842105264,76.42105263157895,0,,,37.39473684210526,0.6231884057971014,16.551724137931036,16.378828013817174,72.5,4.0,4.0,4.0,34.2,37.7,3.799999999999997,0.29999999999999716,-3.5,33.684210526315795,37.321052631578944,8.394736842105264,3.710526315789472,0.07368421052631421,-3.636842105263159,-4.0,-4.0,0.0,8.368421052631579,1.894736842105263,1.9473684210526316,0.05263157894736842,15.230233090796737,1.0809602212847609,5,36.63333333333333,36.13333333333333,83.5
