,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,予想タイム差,着差平均_condision,勝率_condision,上り差平均,着差平均_speed,勝率_speed,着差平均,上り平均,着順平均,タイム計算平均,種牡馬成績,母父成績
13,13,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,3,5,310.5,15,14,北村友一,57,ダ1800,重,**,1:52.5,3.0,**,4-3-4-4,35.5-38.0,40.4,514(-10),,,プロミストウォリア,,14,-2.5079357271850573,1.5321428571428573,0.58,-0.5772000000000006,0.9499999999999998,0.6131386861313869,1.547368421052632,38.573684210526324,7.526315789473684,,,
14,14,2023/04/16,2阪神8,晴,11,アンタレスS(G3),,15,8,14,148.9,14,15,浜中俊,57,ダ1800,重,**,1:58.4,8.9,**,3-3-4-15,35.5-38.0,45.9,512(0),,,プロミストウォリア,,15,-3.1708855290367333,0.6416666666666668,0.6835443037974683,0.2978000000000005,0.5900000000000001,0.6865671641791045,0.7066666666666668,37.56666666666668,5.933333333333334,,,
15,15,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,4,4,5.2,2,1,岩田望来,56,ダ1800,良,**,1:52.0,0.0,**,8-7-6-8,37.0-37.8,36.8,496(+6),,,(フィロロッソ),2327.3,1,-6.060979363987308,0.50625,0.7631578947368421,1.9292000000000005,0.35454545454545455,0.8238993710691824,0.29090909090909084,36.345454545454544,3.5454545454545454,,,
16,16,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,7,10,21.3,6.0,2,北村友一,56,ダ1800,良,**,1:52.0,0.0,**,8-9-9-8,37.0-37.8,36.7,484(+2),,,サンライズウルス,927.8,2,-3.820407157810829,0.6000000000000001,0.7247706422018348,0.5180266666666682,0.6125000000000002,0.7004830917874396,0.7090909090909091,37.42272727272727,,,,
17,17,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,8,12,5.6,3,3,吉田隼人,57,ダ1800,良,**,1:52.1,0.1,**,3-3-3-2,37.0-37.8,37.6,522(+10),,,サンライズウルス,583.9,3,-3.9271666269853274,0.38235294117647056,0.8238095238095238,0.6933600000000008,0.3269230769230769,0.8506493506493507,0.3111111111111111,37.888888888888886,3.111111111111111,,,
18,18,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,1,1,12.9,5,4,鮫島克駿,56,ダ1800,良,**,1:52.6,0.6,**,3-4-4-4,37.0-37.8,37.8,526(+8),,,サンライズウルス,350.0,4,-3.623260568042997,0.125,0.8275862068965517,1.823999999999998,0.9099999999999998,0.5983606557377049,0.6941176470588234,35.45294117647058,5.0,,,
19,19,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,7,11,45.9,9,5,武藤雅,54,ダ1800,良,**,1:52.7,0.7,**,2-2-2-2,37.0-37.8,38.3,470(-4),,,サンライズウルス,230.0,5,-4.893609004521197,0.38000000000000006,0.839622641509434,0.7016857142857137,0.2615384615384616,0.8516483516483516,0.3266666666666667,37.74,3.2666666666666666,,,
20,20,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,5,7,9.0,4,6,和田竜二,56,ダ1800,良,**,1:52.9,0.9,**,1-1-1-1,37.0-37.8,38.7,492(0),,,サンライズウルス,,6,-3.6900421794398115,0.85625,0.7272727272727273,-0.11419999999999912,-0.3125,1.0,0.6999999999999998,38.7,4.0,,,
21,21,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,3,3,2.2,1,7,川田将雅,55,ダ1800,良,**,1:53.0,1.0,**,5-5-6-6,37.0-37.8,37.8,498(+6),,,サンライズウルス,,7,-3.719423723145398,0.12222222222222223,0.8796296296296297,0.3507333333333354,-0.021428571428571436,0.9404761904761905,-0.022222222222222244,37.62222222222223,2.4444444444444446,,,
22,22,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,2,2,24.7,8,8,西村淳也,57,ダ1800,良,**,1:53.0,1.0,**,5-5-4-5,37.0-37.8,38.1,510(-4),,,サンライズウルス,,8,-3.8984693374820134,0.5978260869565217,0.7757575757575758,1.2183111111111116,0.6065217391304347,0.7880597014925373,0.6240000000000001,36.824,4.32,,,
23,23,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,6,9,24.4,7,9,藤岡佑介,57,ダ1800,良,**,1:53.0,1.0,**,7-7-6-6,37.0-37.8,37.9,472(+16),,,サンライズウルス,,9,-2.767222130933888,1.513157894736842,0.664179104477612,0.01583999999999956,0.4535714285714286,0.8167539267015707,1.381818181818182,39.04545454545455,5.681818181818182,,,
24,24,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,6,8,55.7,10,10,岩田康誠,56,ダ1800,良,**,1:53.1,1.1,**,13-13-12-13,37.0-37.8,37.2,456(-4),,,サンライズウルス,,10,-4.660806991103805,0.7333333333333334,0.6588235294117647,2.6519199999999996,0.9958333333333335,0.5549132947976878,0.7260869565217393,34.973913043478255,6.0,,100.0,
25,25,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,5,6,204.6,13,11,菱田裕二,57,ダ1800,良,**,1:53.1,1.1,**,10-11-10-10,37.0-37.8,37.6,492(+18),,,サンライズウルス,,11,-3.0634464835587223,0.6409090909090908,0.6573426573426573,0.8788000000000009,0.6583333333333332,0.6743421052631579,0.835483870967742,36.680645161290315,6.096774193548387,,,
26,26,2022/12/28,6阪神9,晴,11,ベテルギウスS(L),,13,4,5,160.4,12,12,幸英明,56,ダ1800,良,**,1:53.1,1.1,**,10-10-10-10,37.0-37.8,37.6,456(-4),,,サンライズウルス,,12,-3.1316574954650958,1.0,0.6333333333333333,0.9634803921568587,1.0222222222222221,0.6184738955823293,1.031578947368421,37.21052631578947,6.7368421052631575,,,
27,27,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,7,14,90.7,11,1,幸英明,56,ダ1800,良,**,1:51.6,0.0,**,12-12-11-8,37.3-37.4,36.5,538(0),,,(ハギノアレグリアス),4057.4,1,-4.53123496635339,0.8657894736842103,0.6881720430107527,0.40098529411764394,0.646875,0.7605042016806722,0.8368421052631578,37.810526315789474,5.578947368421052,,,
28,28,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,6,12,4.5,2,2,福永祐一,56,ダ1800,良,**,1:51.6,0.0,**,5-6-4-4,37.3-37.4,37.0,490(-2),,,サンライズホープ,1616.4,2,-5.206513933179075,0.10625,0.9224137931034483,2.0901333333333327,0.10625,0.9224137931034483,0.13333333333333333,35.87777777777778,2.5555555555555554,,,
29,29,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,2,3,3.2,1,3,横山和生,59,ダ1800,良,**,1:51.7,0.1,**,16-16-16-16,37.3-37.4,36.0,462(+2),,,サンライズホープ,1008.2,3,-4.359926245517881,0.23043478260869565,0.8925081433224755,2.022,0.23999999999999996,0.8929663608562691,0.192,36.675999999999995,2.4,,,
30,30,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,4,8,4.6,3,4,横山典弘,54.0,ダ1800,良,**,1:51.7,0.1,**,7-6-9-10,37.3-37.4,36.8,466(0),,,サンライズホープ,600.0,4,-5.053921461770997,-4.625929269271485e-18,0.918918918918919,1.3847200000000015,-4.625929269271485e-18,0.918918918918919,-0.08333333333333333,37.35,2.0,,,
31,31,2022/11/06,5阪神2,晴,11,みやこS(G3),,16,5,9,7.2,5,5,川田将雅,54,ダ1800,良,**,1:51.8,0.2,**,7-8-7-8,37.3-37.4,37.0,494(-6),,,サンライズホープ,400.0,5,-5.157895170065881,0.035714285714285685,0.8433734939759037,0.9464571428571428,0.10624999999999997,0.8125,-0.05000000000000003,37.2625,3.25,,,
